"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","identifiedBy","yearIdentified","monthIdentified","recordNumber","continentOcean","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber"
"11","2021-03-21 19:34:09-03","UFC","EAC","22380","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Araújo, F.S.","1994","05","19","Brasil","Ceará","Ubajara",NA,NA,"Arbusto; Carrasco","EAC0022380","Dicotyledon",NA,"Loiola, M.I.B.","2000","07","740","Southern America","Planalto da Ibiapaba, Jaburuna Sul","-40.9211006164551","-3.85443997383118","27385","auto","10","EAC0022380",NA,"830","830",NA,NA,NA
"12","2021-03-21 19:34:09-03","UFC","EAC","22374","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Araújo, F.S.","1994","04","23","Brasil","Ceará","Ubajara",NA,NA,"Arbusto, 2m; Carrasco","EAC0022374","Dicotyledon",NA,"Loiola, M.I.B.; Cordeiro, L.S.","2009","11","649","Southern America","Planalto da Ibiapaba, Jaburuna Sul","-40.9211006164551","-3.85443997383118","27385","auto","13","EAC0022374",NA,"830","830",NA,NA,NA
"13","2021-03-21 19:34:09-03","UFC","EAC","22378","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Araújo, F.S.","1994","05","25","Brasil","Ceará","Ubajara",NA,NA,"Arbusto; Carrasco","EAC0022378","Dicotyledon",NA,"Loiola, M.I.B.","2000","07","779","Southern America","Planalto da Ibiapaba, Jaburuna Sul","-40.9211006164551","-3.85443997383118","27385","auto","10","EAC0022378",NA,NA,NA,NA,NA,NA
"14","2021-03-21 19:34:09-03","UFC","EAC","22376","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Araújo, F.S.","1994","06","09","Brasil","Ceará","Ubajara",NA,NA,"Arbusto; Carrasco","EAC0022376","Dicotyledon",NA,"Loiola, M.I.B.; Cordeiro, L.S.","2009","11","834","Southern America","Planalto da Ibiapaba, Jaburuna Sul","-40.9211006164551","-3.85443997383118","27385","auto","13","EAC0022376",NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:35:10-03","UFMG","BHCB","96814","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Sobral, M; Larocca, J","2006","01","10","Brasil","Tocantins","Palmas",NA,NA,"Arbusto 2m, estéril.; Em Beira de Mata","BHCB022973","Dicotyledon",NA,NA,"2015","03","10297","Southern America","Fazenda Mundial","-48.3602981567383","-10.2128000259399","62375","auto","16",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 11:54:47-03","UFPE","UFP","24317","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Lemos, JR","1999","02","04","Brasil","Piauí","São Raimundo Nonato","-42.489167","-8.733611","Arbusto aprox. 1,5 a 2,5 m de altura; inflorescência pardo-amarelada.; Caatinga, chapada sedimentares; substrato arenoso.","UFP024317",NA,"Malpighiales","Loiola, MB; Costa-Silva, JL","2013","08","77",NA,NA,"-42.489167","-8.733611",NA,NA,"30",NA,NA,"630","630",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum",NA,"T. Henkel, M. Chin & W. Ryan","1993","1","23","Guyana","Potaro-Siparuni",NA,NA,NA,NA,NA,NA,"Linales","Dodge, J. E.",NA,NA,"937","South America - Neotropics","Pakaraima Mts, Upper Ireng River, Orinduik Falls","-60.0222","4.71667",NA,NA,NA,NA,NA,"510",NA,"Dicotyledonae","1",NA
"18","2019-10-07 09:30:21-03","UEFS","HUEFS","167365","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Melo, E.","2010","11","23","Brasil","Piauí","Caracol","43W23'4''","9S9'52''","Caatinga/Carrasco.","HUEFS0167365","Angiospermae","Malpighiales","M.I.B.Loiola","2012","06","8833",NA,"Toca do Enoc. Sítio com pinturas rupestres caverna e olho d#?#água.","-43.384444","-9.164444",NA,NA,NA,"HUEFS0167365",NA,"680","680","Rosanae",NA,NA
"19","2019-10-07 09:30:21-03","UEFS","HUEFS","223459","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Costa-Lima, J.L.","2016","04","09","Brasil","Ceará","Ibiapina","40W57'31''","3S54'8''",NA,"HUEFS0223459","Angiospermae","Malpighiales",NA,NA,NA,"2267",NA,"Área de carrasco nas proximidades do Açude Betânia, entre os Distritos de Jaburana e Cajueiro (Mun. Ubajara/CE), ca. de 7,5 Km a W da sede municipal de Ubajara.","-40.958611","-3.902222",NA,NA,NA,NA,NA,"825","825","Rosanae",NA,NA
"20","2019-09-05 17:51:12-03","F","FMNH-SEEDPLANTS","V0055763F","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum",NA,"A. G. Fernandes & F. J. de Abreu Matos","1979","3","24","Brazil","Ceará",NA,NA,NA,NA,"V0055763F","Spermatophyta",NA,"T. Plowman",NA,NA,"5746","South America","Tiangua",NA,NA,NA,NA,NA,"V0055763F_01","Isotype",NA,NA,"Dicotyledoneae",NA,NA
"21","2018-05-14 16:37:48-03","F","FMNH-SEEDPLANTS","V0271913F","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum",NA,"A. G. Fernandes & F. J. de Abreu Matos","1977","2","18","Brazil","Ceará",NA,NA,NA,NA,"V0271913F","Spermatophyta",NA,"RRC ID Flag",NA,NA,"3200","South America","Tiangua",NA,NA,NA,NA,NA,"V0271913F_01 V0271913F_02",NA,NA,NA,"Dicotyledoneae",NA,"EAC 3200"
"22","2019-11-01 14:57:24-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Moraes, TM","2017","12","09","Brasil","Bahia","Santa Rita de Cássia","-44.640017","-10.979967","Conglomerado BA-354. Subunidade 1. Subparcela 1. Indivíduo 5RN. F8; Arbusto com 2,3 m de altura. Base reta. Casca cinza, fina e lenticelada, internamente amarela; Floresta típica avançada, solo pedregoso, relevo plano",NA,"Dicotyledoneae",NA,"Costa-Lima, JL","2018","07","IFN-3548841.1","Southern America",NA,"-44.640017","-10.979967",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-01 14:57:24-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Moura, EO","2018","01","17","Brasil","Bahia","Pilão Arcado","-43.56","-9.899722","Conglomerado BA-128. Subunidade 3. Subparcela 1. Indivíduo 6-RN. F8; Arbusto; 2,2m. Flor branca. Fruto maduro; 0,8x0,8cm; assimétrico; preto; seco, com polpa; Caatinga arbórea em regeneração. Solo arenoso, branco",NA,"Dicotyledoneae",NA,"Loiola, MIB","2018","07","IFN-12817953.1","Southern America",NA,"-43.56","-9.899722",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-01 14:57:24-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Moura, EO","2017","12","12","Brasil","Bahia","Pilão Arcado","-43.739722","-10.259722","Conglomerado BA-193. Subunidade 4. Subparcela 10. Indivíduo 39. F6; Altura 4,0m, DAP 9,8cm. Casca de cor externa acinzentada, fina, rugosa, sem odor; Caatinga arbórea . Solo pedregoso",NA,"Dicotyledoneae",NA,"Costa-Lima, JL","2018","07","IFN-19317124.10","Southern America",NA,"-43.739722","-10.259722",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-01 14:57:24-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Moura, EO","2018","01","22","Brasil","Bahia","Buritirama","-43.559722","-10.619722","Conglomerado BA-272. Subunidade 2. Subparcela 10. Indivíduo 11-RN. F8; Arbusto, altura 2,0m. Fruto imaturo, dimensão 0,7x0,4cm, forma drupa, cor externa e interna preta, carnoso, polpa; Caatinga arbustiva-arbórea. Solo areno-argiloso, branco",NA,"Dicotyledoneae",NA,"Loiola, MIB","2018","07","IFN-27218042.10","Southern America",NA,"-43.559722","-10.619722",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA
