"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","individualCount","coordinatePrecision","geoFlag"
"11","2015-11-07 03:33:25-02","MNHN","RECOLNAT_MNHN_P","P01901564","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides myriophylloides","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","En avril dans les marais près la ville de Thaubaté Prov. de Saint-Paul","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901564' target='other'> <mi>dwc_moreinfo</mi></a>","P01901564","P01901564_01",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"isotype","D 669","myriophylloides",NA,NA,NA,NA,NA,NA
"12","2015-11-07 03:33:28-02","MNHN","RECOLNAT_MNHN_P","P01901565","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides muscosa","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","En juillet dans les marais désséché près l'habitation de Pe do Morro, Sertao de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901565' target='other'> <mi>dwc_moreinfo</mi></a>","P01901565","P01901565_01",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"holotype","B1 1725","muscosa",NA,NA,NA,NA,NA,NA
"13","2015-01-21 17:52:33-02","MNHN","RECOLNAT_MNHN_P","P01901566","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides muscosa","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","En juillet dans les marais désséché près l'habitation de Pe do Morro, Sertao de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901566' target='other'> <mi>dwc_moreinfo</mi></a>","P01901566","P01901566_01",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"isotype","B1 1725","muscosa",NA,NA,NA,NA,NA,NA
"14","2015-11-07 03:33:22-02","MNHN","RECOLNAT_MNHN_P","P01901563","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides myriophylloides","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","En avril dans les marais près la ville de Thaubaté Prov. de Saint-Paul","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901563' target='other'> <mi>dwc_moreinfo</mi></a>","P01901563","P01901563_01",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"holotype","D 669","myriophylloides",NA,NA,NA,NA,NA,NA
"15","2015-11-07 03:33:25-02","MNHN","RECOLNAT_MNHN_P","P01901564","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides myriophylloides","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","En avril dans les marais près la ville de Thaubaté Prov. de Saint-Paul","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901564' target='other'> <mi>dwc_moreinfo</mi></a>","P01901564","P01901564_01",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"isotype","D 669","myriophylloides",NA,NA,NA,NA,NA,NA
"16","2021-01-26 13:55:41-03","IMA","MAC","2769","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.","T.B.Cavalcanti","R.F.Rocha","492",NA,"Brasil","Praia do Peba, próximo à Fazenda Batinga.",NA,"Erva. Flores lilases.; Restinga.","MAC0002769","MAC0002769",NA,"1983","03","16","Alagoas","Piaçabuçu","-36.4444","-10.405558","-36.4444","-10.405558",NA,NA,NA,"1988","09","12",NA,NA,NA
"17","2021-01-26 13:55:41-03","IMA","MAC","4496","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.","T.B.Cavalcanti","R.P.Lyra-Lemos; A.I.L.Pinheiro","1072",NA,"Brasil","Várzea Grande.",NA,"Erva.; Restinga.","MAC0004496","MAC0004496",NA,"1985","10","31","Alagoas","Piaçabuçu","-36.4444","-10.405558","-36.4444","-10.405558",NA,NA,NA,"1988","09","12",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","1383300","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A. St.-Hil.",NA,"A. Regnell","101","South America - Neotropics","Brazil","Brasilia.",NA,NA,"US03039241","US03039241_01","Dicotyledonae","1842","10","26","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","1706248","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A. St.-Hil.",NA,"-. Weddell","2118","South America","Brazil","Salinas - Central Brazil.",NA,NA,"US03039242","US03039242_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"20","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A. St.-Hil.",NA,"Riedel, --","81.82?","South America","Brazil","Brasilia.",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","1341655","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A. St.-Hil.",NA,"A. Regnell","101","South America - Neotropics","Brazil","Brasilia, cidade de Caldas.",NA,NA,"US03039240","US03039240_01","Dicotyledonae","1866","11","17","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"22","2020-09-12 05:00:02-03","US","US","3381681","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A. St.-Hil.",NA,"F. R. Mendonca, T. S. Filgueiras, F. C. A. Oliveira, M. L. M. Azevedo & E. Cardoso","3604","South America - Neotropics","Brazil","Projeto Biogeografia do Bioma Cerrado. [unsure placement] Município de Januária. Parque Nacional Grande Sertão Veredas; vereda do Rio Preto, margem direita, ca. de 3km da barra do rio Preto com o córrego Santa Rita.",NA,NA,"US03039239","US03039239_01","Dicotyledonae","1998","7","9","Minas Gerais",NA,"-45.7642","-15.1722",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"23","2020-09-02 16:30:46-03","Cenargen","CEN","27525","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides var. myriophylloides","A.St.-Hil.","J. F. Toledo","Alexander Curt Brade","6321",NA,"Brasil","Água Branca.","Exsicatas","Fl. carminosa. Doação do Instituto de Botânica - SP (6391). São Paulo.","CEN00027525","CEN00027525 CEN00027525_1",NA,"1913","05","00","SP","SAO PAULO","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"var. myriophylloides","1951","07",NA,"1","53584","auto"
"24","2020-09-02 16:30:46-03","Cenargen","CEN","27522","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides var. myriophylloides","A.St.-Hil.","S. Graham","Goro Hashimoto","565",NA,"Brasil","Tucuruvi.","Exsicatas","Doação do Instituto de Botânica - SP. Herb. nº 58314. São Paulo.","CEN00027522",NA,NA,"1948","12","12","SP","SAO PAULO","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"var. myriophylloides","1997",NA,NA,"1","53584","auto"
"25","2020-09-02 16:30:46-03","Cenargen","CEN","27525","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides var. myriophylloides","A.St.-Hil.","J. F. Toledo","Alexander Curt Brade","6321",NA,"Brasil","Água Branca.","Exsicatas","Fl. carminosa. Doação do Instituto de Botânica - SP (6391). São Paulo.","CEN00027525","CEN00027525 CEN00027525_1",NA,"1913","05","00","SP","SAO PAULO","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"var. myriophylloides","1951","07",NA,"1","53584","auto"
"26","2020-09-02 16:30:46-03","Cenargen","CEN","27522","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides var. myriophylloides","A.St.-Hil.","S. Graham","Goro Hashimoto","565",NA,"Brasil","Tucuruvi.","Exsicatas","Doação do Instituto de Botânica - SP. Herb. nº 58314. São Paulo.","CEN00027522",NA,NA,"1948","12","12","SP","SAO PAULO","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"var. myriophylloides","1997",NA,NA,"1","53584","auto"
"27","2019-11-13 11:23:52-03","USP","SPF","213135","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Ferreira, MCC","200",NA,"Brasil",NA,NA,NA,"SPF00213135",NA,NA,"2000","07","18","São Paulo","Angatuba","-48.4099998474121","-23.4899997711182",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29114","auto"
"28","2019-09-04 17:57:12-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides",NA,NA,"A. Saint-Hilaire","s.n.","South America","Brazil",NA,NA,NA,NA,NA,"Dicotyledoneae","1816",NA,NA,"Minas Gerais",NA,"-44","-18",NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-01-23 11:15:58-02","F","FMNH-SEEDPLANTS","V0062474F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides",NA,NA,"A. Saint-Hilaire","s.n.","South America","Brazil",NA,NA,NA,"V0062474F","V0062474F_01","Dicotyledoneae",NA,NA,NA,"Minas Gerais",NA,"-44","-18",NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA
"30","2015-03-06 19:00:39-03","F","FMNH-SEEDPLANTS","V0201949F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0201949F","V0201949F_01","Dicotyledoneae",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-03-06 19:00:39-03","F","FMNH-SEEDPLANTS","V0201950F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0201950F","V0201950F_01","Dicotyledoneae",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-01-23 11:15:59-02","F","FMNH-SEEDPLANTS","V0062473F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides myriophylloides",NA,NA,"A. Saint-Hilaire","s.n.","South America","Brazil",NA,NA,NA,"V0062473F","V0062473F_01","Dicotyledoneae",NA,NA,NA,"São Paulo",NA,"-49","-22",NA,NA,"Isotype",NA,"myriophylloides",NA,NA,NA,NA,NA,NA
"33","2019-01-23 11:15:59-02","F","FMNH-SEEDPLANTS","V0062473F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides myriophylloides",NA,NA,"A. Saint-Hilaire","s.n.","South America","Brazil",NA,NA,NA,"V0062473F","V0062473F_01","Dicotyledoneae",NA,NA,NA,"São Paulo",NA,"-49","-22",NA,NA,"Isotype",NA,"myriophylloides",NA,NA,NA,NA,NA,NA
"34","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Sellow, F","132",NA,"?","loco non indicato",NA,NA,NA,"P13P2N0043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Riedel, L","825","Southern America","Brazil","ad Barra da Jiquitiba",NA,NA,NA,"P13P2N0043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Lund, PW","995","Southern America","Brazil","Taubaté, Mugy",NA,NA,NA,"P13P2N0043",NA,NA,NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Netto, LSM","s.n.","Southern America","Brazil","ad Trahiras",NA,NA,NA,"P13P2N0043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Riedel, L","1598","Southern America","Brazil","Taubaté, Mugy",NA,"Erro INB revisado.",NA,"P13P2N0043",NA,NA,NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Warming, JEB","s.n.","Southern America","Brazil","Lagoa Santa",NA,NA,NA,"P13P2N0043",NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"?","s.n.","Southern America","Brazil","Habitat in Brasiliae locis humidis inde a provincia Minas Geraes et S. Paulo usque ad meridiem",NA,NA,NA,"P13P2N0043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Saint-Hilaire, AFCP","s.n.","Southern America","Brazil","in Sertão, haud longe a ditione Adamantina",NA,NA,NA,"P13P2N0043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides muscosa","A.St.-Hil.",NA,"Saint-Hilaire, AFCP","s.n.","Southern America","Brazil","Prope amnem Uberava",NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Uberaba","-47.9319","-19.7483",NA,NA,NA,NA,"muscosa",NA,NA,NA,NA,"73879","auto"
"43","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides muscosa","A.St.-Hil.",NA,"Saint-Hilaire, AFCP","s.n.","Southern America","Brazil","Prope amnem Uberava",NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Uberaba","-47.9319","-19.7483",NA,NA,NA,NA,"muscosa",NA,NA,NA,NA,"73879","auto"
"44","2021-01-11 11:19:59-03","IBt","SP","477069","S","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Ferreira, MCC","200",NA,"Brasil",NA,NA,NA,NA,NA,NA,"2000","07","18","São Paulo","Angatuba","-48.4099998474121","-23.4899997711182",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29114","auto"
"45","2019-11-21 10:07:42-03","IBt","SP","14235","S","Plantae",NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.","Toledo, JF","Edwall, G","CGG3125",NA,"Brasil","Campo brejoso, Água Branca.",NA,"Herb. repens, fl. roseo-azuis.","SP006664","SP006664",NA,"1895","08","05","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"1951","07","14",NA,"53584","auto"
