"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","eventTime","fieldNumber","individualCount"
"11","2020-12-21 16:44:58-03","MBM","MBM","83217","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K. Barringer","Souza, V.C.","Kummrow, R.","2207",NA,NA,NA,"Southern America","Brazil","Paraná","Ferraria","-49.5283012390137","-25.4585990905762",NA,NA,"MBM083217","MBM083217","Campo Largo","53742","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:44:58-03","MBM","MBM","80543","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K. Barringer","Elias, S.I.","Tessmann, G.","723",NA,NA,NA,"Southern America","Brazil","Paraná","Rodovia para Rio Negro","-49.2731018066406","-25.4277992248535",NA,NA,"MBM080543","MBM080543","Curitiba","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:44:58-03","MBM","MBM","222637","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K. Barringer","Elias, S.I.","Hatschbach, G.","5545",NA,NA,NA,"Southern America","Brazil","Paraná","Borda do Campo","-49.0633010864258","-25.4416999816895",NA,NA,"MBM222637","MBM222637","Piraquara","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:44:58-03","MBM","MBM","44031","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K. Barringer","Barringer, K.","Hatschbach, G.","1171",NA,NA,NA,"Southern America","Brazil","Paraná","Quatro Barras","-49.0633010864258","-25.4416999816895",NA,NA,"MBM044031","MBM044031","Piraquara","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-01 15:28:32-03","PUC-RIO","FCAB","2477","PreservedSpecimen","Plantae",NA,"Angiospermae","Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","V.C. Souza","P.E. Leite S.J.","s.n.","1946","01",NA,NA,"Brasil","São Paulo",NA,"-45.5900001525879","-22.7299995422363",NA,NA,"002477",NA,"Campos do Jordão","21048","auto","1996","07","24",NA,NA,NA,NA,NA,NA,NA
"16","2015-09-19 07:36:07-03","MNHN","RECOLNAT_MNHN_P","P00587598","PreservedSpecimen",NA,NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza","Regnell, A.F.",NA,"1847","3","12",NA,"Brésil",NA,"Prov. Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00587598' target='other'> <mi>dwc_moreinfo</mi></a>","P00587598","P00587598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,"III 962",NA
"17","2015-09-04 09:29:50-03","MNHN","RECOLNAT_MNHN_P","P00587599","PreservedSpecimen",NA,NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza","Regnell, A.F.",NA,"1847","3","12",NA,"Brésil",NA,"Prov. Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00587599' target='other'> <mi>dwc_moreinfo</mi></a>","P00587599","P00587599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,"III 962",NA
"18","2015-09-04 08:50:58-03","MNHN","RECOLNAT_MNHN_P","P03005769","PreservedSpecimen",NA,NA,NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer",NA,"Widgren",NA,"1845","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03005769' target='other'> <mi>dwc_moreinfo</mi></a>","P03005769","P03005769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-09-04 08:50:58-03","MNHN","RECOLNAT_MNHN_P","P03005768","PreservedSpecimen",NA,NA,NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer",NA,"Widgren",NA,"1846","3","1",NA,"Brasil","Minas Gerais",NA,"-46.386100769043","-21.9235992431641","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03005768' target='other'> <mi>dwc_moreinfo</mi></a>","P03005768","P03005768_01","Caldas","25710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-11 17:21:44-03","UFPR","UPCB","2307","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K.Barringer","Souza, V.C.","Hatschbach, G.","5545","1959","02","18",NA,"Brasil","Paraná","Borda do Campo","-49.0633010864258","-25.4416999816895",NA,"Flor lilás. Brejo..",NA,NA,"Piraquara","12577","auto","1994","10","17",NA,NA,NA,NA,NA,NA,NA
"21","2021-02-11 17:21:44-03","UFPR","UPCB","66069","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K.Barringer","Souza, V.C.","Hatschbach, G.","5545","1959","02","18",NA,"Brasil","Paraná","Borda do Campo","-49.0633010864258","-25.4416999816895",NA,"Flor lilás. Brejo..",NA,NA,"Piraquara","12577","auto","1994","10","17",NA,NA,NA,NA,NA,NA,NA
"22","2021-02-11 17:21:44-03","UFPR","UPCB","6422","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K.Barringer","Souza, V.C.","Hatschbach, G.","16029","1967","02","21",NA,"Brasil","Paraná","Rio Taquari","-49.0769004821777","-25.3656005859375",NA,"Sufrrutice ereto, flor rósea. campo graminoso, borda do brejo..",NA,NA,"Quatro Barras","17116","auto","1994","10","17",NA,NA,NA,NA,NA,NA,NA
"23","2021-02-11 17:21:44-03","UFPR","UPCB","34305","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K.Barringer","Santos, E.P.","Santos, E.P.","460","1998","02","18",NA,"Brasil","Paraná","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Erva com ca. de 40cm, flor rósea. Campo de altitude, 1220m de altitude..",NA,NA,"Guaratuba","41937","auto","1998","01","01",NA,NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","1324150","PreservedSpecimen","Plantae",NA,"Scrophulariales","Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Barringer, K. A.","A. F. Regnell","III 962","1870","2","25","South America - Neotropics","Brazil","Minas Gerais","Caldas.",NA,NA,NA,"Same coll. number as other sheet but different date and different collector's name. Protologue does not cite collection date; duplicates at US bear different collection dates so it is unclear which (if either) specimen is an isotype.","US00604428","US00604428_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Possible isotype",NA,NA,"1"
"25","2020-09-12 05:00:02-03","US","US","201153","PreservedSpecimen","Plantae",NA,"Scrophulariales","Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer",NA,"A. F. Regnell","III 962","1867","6","9","South America - Neotropics","Brazil","Minas Gerais","Caldas.",NA,NA,NA,"Protologue does not cite collection date; duplicates at US bear different collection dates so it is unclear which (if either) specimen is an isotype.","US00604426","US00604426_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Isotype",NA,NA,"1"
"26","2019-11-13 11:27:45-03","USP","SPF","153003","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza, VC","Hoehne, FC","1495","1918","02","19",NA,"Brasil","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"SPF00153003","SPF00153003","São Paulo","53584","auto","1989","11",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-23 13:22:55-03","MN","R-TIPOS","96605","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza, V.C.","Regnell, A.F.","III - 962","1847","03","12",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"R000096605","R000096605_001",NA,NA,NA,"1994","06","30",NA,NA,NA,"Isotypus",NA,NA,NA
"28","2021-02-19 16:18:37-03","UFMT","UFMT","10089","S","Plantae",NA,NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza, V.C.","sc","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Banhados do Iguassu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1999","01","18",NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:13:57-03","IBt","SP","79250","S","Plantae",NA,NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza, VC","Hatschbach, G","1171","1949","03","01",NA,"Brasil","Paraná","Quatro Barras","-49.0633010864258","-25.4416999816895",NA,"Flor lilás, no brejo","SP001605","SP001605","Piraquara","12577","auto","1989","11","22",NA,NA,NA,"Isosyntype",NA,NA,NA
