"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","locality","occurrenceRemarks","county","recordNumber","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","continentOcean","barcode","imagecode","typeStatus","class","order"
"11","2021-03-21 19:34:02-03","UFC","EAC","34977","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Costa, R.C.","2003","12","01","Brasil","Ceará","RPPN - Serra das Almas, Croatá","Arbusto; Carrasco","Crateús","436Probio","-40.6775016784668","-5.1783299446106",NA,NA,NA,NA,"Loiola, M.I.B.","2007","01","15","43216","auto","Dicotyledon","Southern America","EAC0034977","EAC0034977",NA,NA,NA
"12","2021-03-21 19:34:02-03","UFC","EAC","7593","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Martins, P.; Nunes, E.","1979","12","06","Brasil","Piauí","Padre Vieira.","Árvore, flor branca&nf;Com foto; Caatinga","Cocal","s.n.","-41.5574989318848","-3.47194004058838",NA,NA,NA,NA,"Plowman, T.",NA,NA,NA,"30836","auto","Dicotyledon","Southern America","EAC0007593","EAC0007593","holotype",NA,NA
"13","2021-03-21 19:34:02-03","UFC","EAC","58332","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Castro, A.J.; Barros, R.; Castro, N.M.; Farias, R.R.; Santos, L.; Santos, J.R.; Tito, R.","1999","11","27","Brasil","Piauí","Fazenda Saquinho, próximo a Lagero, substrato pedregoso.","Arbusto; frutos jovens, verdes.; Cerrado.","Monsenhor Gil","PCE011","-42.6077995300293","-5.56416988372803",NA,NA,NA,NA,"Loiola, M.I.B.","2015",NA,NA,"20710","auto","Dicotyledon","Southern America","EAC0058332","EAC0058332",NA,NA,NA
"14","2021-03-21 19:34:02-03","UFC","EAC","58211","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Brasil, S.N.R.; Loiola, M.I.B.","2015","03","17","Brasil","Ceará","RPPN Serra das Almas.",NA,"Crateús","01","-41.097222","-5.311944","-41.097222","-5.311944",NA,NA,"Loiola, M.I.B.","2015","03","17",NA,NA,"Dicotyledon","Southern America","EAC0058211","EAC0058211",NA,NA,NA
"15","2021-03-21 19:34:02-03","UFC","EAC","56940","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Chaves, E.M.F.","2014","01","22","Brasil","Piauí","Bebedouro, substrato arenoso.","Arbusto, abundante; futo imaturo verde.; Carrasco.","Cocal","912","-41.098806","-5.059528","-41.098806","-5.059528","253","253","Loiola, M.I.B.","2014","08","15",NA,NA,"Dicotyledon","Southern America","EAC0056940","EAC0056940",NA,NA,NA
"16","2021-03-21 19:34:02-03","UFC","EAC","58213","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Teixeira, D.","2014","12","04","Brasil","Ceará","RPPN Serra das Almas.","Árvore.; Carrasco.","Crateús","01","-40.925833","-5.146639","-40.925833","-5.146639",NA,NA,"Loiola, M.I.B.","2015","06",NA,NA,NA,"Dicotyledon","Southern America","EAC0058213","EAC0058213",NA,NA,NA
"17","2021-03-21 19:34:02-03","UFC","EAC","39348","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Lima-Verde, L.W.","2000","02","22","Brasil","Ceará","Serra das Almas","Carrasco","Crateús","1098","-40.6775016784668","-5.1783299446106",NA,NA,NA,NA,"Lima-Verde, L.W.","2000","02","22","43216","auto","Dicotyledon","Southern America","EAC0039348","EAC0039348",NA,NA,NA
"18","2021-03-21 19:34:02-03","UFC","EAC","39788","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Silveira, E.R.","2007","02","26","Brasil","Ceará","Serra das Almas, Jatobá","Arbusto, flor branca, fruto verde","Crateús","s.n.","-40.6775016784668","-5.1783299446106",NA,NA,NA,NA,NA,NA,NA,NA,"43216","auto","Dicotyledon","Southern America","EAC0039788","EAC0039788",NA,NA,NA
"19","2019-10-07 09:30:12-03","UEFS","HUEFS","233610","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Moonlight, P.W.","2017","03","30","Brasil","Ceará","Serra das Almas, around plot 1.","Dry forest with canopy of 5-10m. Dense shrub layer (mostly Croton sp). Sparse herb layer and sparse bromeliad ground cover. Deep clay-sand soil.","Crateús","656","-40.928333","-5.146667","40W55'42''","5S8'48''","684","684",NA,NA,NA,NA,NA,NA,"Angiospermae",NA,"HUEFS0233610","HUEFS0233610",NA,"Rosanae","Malpighiales"
"20","2019-10-07 09:30:12-03","UEFS","HUEFS","117494","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Oliveira, J.","2006","04","18","Brasil","Ceará",NA,"Mata atlântica.","Maranguape","42","-38.6856002807617","-3.89083003997803",NA,NA,NA,NA,NA,NA,NA,NA,"40608","auto","Angiospermae",NA,"HUEFS0117494","HUEFS0117494",NA,"Rosanae","Malpighiales"
"21","2019-10-07 09:30:12-03","UEFS","HUEFS","67460","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Araújo, F.S.","2002","02","26","Brasil","Ceará","Cruzinhas, Serra das Almas.","Carrasco.","Cratéus","1322","-40.6775016784668","-5.1783299446106",NA,NA,"650","650","I.Loiola","2004","05",NA,"43216","auto","Angiospermae",NA,"HUEFS0067460","HUEFS0067460 HUEFS0067460_01",NA,"Rosanae","Malpighiales"
"22","2019-09-04 17:25:55-03","F","FMNH-SEEDPLANTS","V0055626F","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae",NA,"P. Martins & E. P. Nunes","1979","12","6","Brazil","Piauí","Padre Vieira-Cocal",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spermatophyta","South America","V0055626F","V0055626F_01","Isotype","Dicotyledoneae",NA
