"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified"
"18","2020-12-11 11:37:40-03","UFMG","BHCB","39759","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:37:40-03","UFMG","BHCB","8406","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Faria, AC","s.n.","1982","05","15","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,"Cerrado;arbusto;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:37:40-03","UFMG","BHCB","19810","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Pereira, M; Lucca, M","778","1991",NA,NA,"Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA
"21","2020-12-11 11:37:40-03","UFMG","BHCB","19806","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Pereira, M; Lucca, M","774","1991",NA,NA,"Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA
"22","2020-12-11 11:37:40-03","UFMG","BHCB","8894","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Lopes, MA","s.n.","1985","04","15","Southern America","Brasil","Minas Gerais","Santana do Riacho","Usina Coronel Américo Teixeira (UCAT).","-43.7144012451172","-19.1688995361328",NA,"Cerrado;arbusto;flores amarelas;",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA
"23","2021-03-15 18:28:32-03","USP","SPF","120753","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Mello-Silva, R","1084","1996","06","12",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Estrada Lagoa Santa - Conceição do Mato Dentro, c. de 2 km do camping Véu da Noiva.","-43.604444","-19.305",NA,"Subarbusto ereto, entre rochas. Folhas discolores. Pétalas amarelas, glândulas do cálice verdes. Frutos imaturos verdes no centro e vermelhos nas bordas.","SPF00120753","SPF00120753",NA,"950","950","-43.604444","-19.305",NA,NA,"1996",NA,NA
"24","2021-03-15 18:28:32-03","USP","SPF","218731","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Pena, MA","Pena, MA","307","2007","05","31",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 108 da rodovia MG 010, lado direito, sentido Morro do Pilar.","-43.588333","-19.284444",NA,"Ramos ferrugíneos. Botões castanho amarelados. Flor pequena amarela. Nectários verdes.","SPF00218731","SPF00218731",NA,"1260","1260","-43.588333","-19.284444",NA,NA,"2007","07",NA
"25","2021-03-15 18:28:32-03","USP","SPF","218732","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Pena, MA","Pena, MA","303","2007","05","31",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 108 da rodovia MG 010, lado direito, sentido Morro do Pilar.","-43.588333","-19.284444",NA,"Arbusto ca. 1 m alt. Folhas discolores. Botões castanhos. Sâmara verde na base e vermelho magenta no ápice.","SPF00218732","SPF00218732",NA,"1260","1260","-43.588333","-19.284444",NA,NA,"2007","07",NA
"26","2021-03-15 18:28:32-03","USP","SPF","218733","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Pena, MA","Pena, MA","246","2007","05","31",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 108 da rodovia MG 010, lado direito, sentido Morro do Pilar.","-43.587778","-19.289444",NA,"Folhas discolores. Corola amarela, estames amarelos. Frutos alados com base esverdeadas e bases avermelhadas.","SPF00218733","SPF00218733",NA,"1206","1206","-43.587778","-19.289444",NA,NA,"2007","07",NA
"27","2021-03-15 18:28:32-03","USP","SPF","218730","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Pena, MA","Pena, MA","168","2007","05","30",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 113 da rodovia MG 010, lado direito, sentido Morro do Pilar. Próximo à Pedra do Elefante.","-43.560833","-19.456389",NA,"Erva ereta. Folha discolor com face abaxial pilosa. Flores amarelas","SPF00218730","SPF00218730",NA,"1226","1226","-43.560833","-19.456389",NA,NA,"2007","07",NA
"28","2021-03-15 18:28:32-03","USP","SPF","23071","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Rossi, L","CFCR1148","1981","04","17",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estrada pela Serra do Cabral.","-44.1721992492676","-17.7574996948242",NA,"Subarbusto de 1.5 m, flores amarelas, cálice com pilosidade parda, glândulas verdes.","SPF00023071","SPF00023071 SPF00023071_1",NA,NA,NA,NA,NA,"37503","auto","1986","04","16"
"29","2021-03-15 18:28:32-03","USP","SPF","220193","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Escaramai, M","Escaramai, M","55","2012","07","04",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, Trilha do Travessão, acesso pela MG-010 ao lado do córrego Duas Pontinhas.","-43.7144012451172","-19.1688995361328",NA,"Arbusto. Corola amarela. Fruto alado de tons verdes e avermelhados.; Campo.","SPF00220193","SPF00220193",NA,NA,NA,NA,NA,"26557","auto","2013",NA,NA
"30","2021-03-15 18:28:32-03","USP","SPF","20228","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Giulietti, AM","CFSC7406","1981","07","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Estrada da Usina.","-43.7144012451172","-19.1688995361328",NA,"Subarbusto de 1.0 m. Flores amarelas.","SPF00020228","SPF00020228",NA,NA,NA,NA,NA,"26557","auto","1986","03","17"
"31","2021-03-15 18:28:32-03","USP","SPF","20229","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Giulietti, AM","CFSC7407","1981","07","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 100 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Campo rupestre.","-43.7144012451172","-19.1688995361328",NA,"Subarbusto até 1.0 m, flores amarelas.","SPF00020229","SPF00020229",NA,NA,NA,NA,NA,"26557","auto","1986","03","17"
"32","2021-03-15 18:28:32-03","USP","SPF","34764","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Forero, E","CFSC8717","1980","09","06",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 109 (antigo 114) da Estrada Lagoa Santa a Conceição do Mato Dentro.","-43.7144012451172","-19.1688995361328",NA,"Coleta: E.Forero 7808; Arbusto. Glândulas verdes, corola amarilla.","SPF00034764","SPF00034764",NA,"1100","1250",NA,NA,"26557","auto","1984",NA,NA
"33","2020-04-29 16:30:02-03","UFVJM","HDJF","5327","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Moreira, SN","Moreira, SN; Pereira, E","1833","2016","01","12","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Cava Sul - Anglo American","-43.421357","-18.913907",NA,NA,"HDJF005327","HDJF005327_01",NA,"727","727","-43.421357","-18.913907",NA,NA,"2016","01",NA
"34","2020-04-29 16:30:02-03","UFVJM","HDJF","5317","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Moreira, SN","Moreira, SN; Pereira, E","1823","2016","01","11","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Cava Sul - Anglo American","-43.420695","-18.91363",NA,NA,"HDJF005317","HDJF005317_01",NA,"724","724","-43.420695","-18.91363",NA,NA,"2016","01",NA
"35","2019-05-06 11:58:52-03","UFU","HUFU","149","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, M.C.H.","Castro, N.M.","29","1980","06","08",NA,"Brasil","Minas Gerais",NA,"Serra do cipó, Estrada da Usina.",NA,NA,NA,"Flores amarelas.; Terreno arenoso pedregoso.","HUFU00014571","HUFU00014571",NA,NA,NA,NA,NA,NA,NA,"1994","03","22"
"36","2019-05-06 11:58:52-03","UFU","HUFU","39804","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Oliveira, G.C.","2519","2003","05","27",NA,"Brasil","Minas Gerais","Uberaba","Fazenda Santa Juliana, A 300 metros da BR 050, na altura do km 50.","-47.9319000244141","-19.7483005523682",NA,"Subarbusto ca. de 1,7 m. Cálice e estames amarelos.; Vereda.","HUFU00014570","HUFU00014570",NA,NA,NA,NA,NA,"73879","auto",NA,NA,NA
"37","2021-02-23 13:22:40-03","MN","R-TIPOS","108249a","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E. Anderson","Anderson, C.","Vidal, J.","s.n.","1949","07",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"R000108249a","R000108249a_001","Isoparatypus",NA,NA,NA,NA,NA,NA,"1982",NA,NA
"38","2021-02-23 13:22:40-03","MN","R-TIPOS","106933","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E. Anderson","Anderson, C.","Atala, F.","63","1958","04","04",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"R000106933","R000106933_001","Paratypus",NA,NA,NA,NA,NA,NA,"1982",NA,NA
"39","2021-02-23 13:22:40-03","MN","R-TIPOS","106932","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E. Anderson","Anderson, C.","Atala, F.","62","1958","04","04",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"R000106932","R000106932_001","Paratypus",NA,NA,NA,NA,NA,NA,"1982",NA,NA
"40","2021-02-23 13:22:40-03","MN","R-TIPOS","108249","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E. Anderson","Anderson, C.","Vidal, J.","s.n.","1949","07",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"R000108249","R000108249_001","Paratypus",NA,NA,NA,NA,NA,NA,"1982",NA,NA
"41","2019-11-21 10:09:05-03","IBt","SP","107880","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Anderson, CE","Glassman, SF; Correa Gomes Jr, J","8064","1965","07","11",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó, 112 km N of Belo Horizonte. Scrub grassland, rocky soil",NA,NA,NA,NA,"SP000251","SP000251","Paratype","1290","1290",NA,NA,NA,NA,"1982",NA,NA
"42","2019-11-21 10:09:05-03","IBt","SP","348683","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Costa, CB; Fiaschi, P","378","2000","07","31",NA,"Brasil","Minas Gerais","Gouveia","Km 514 da BR 259, entre Curvelo e Diamantina, 55 km de Curvelo","-43.5907","-18.3672",NA,NA,"SP020352","SP020352",NA,"830","830","-43.5907","-18.3672",NA,NA,"2001",NA,NA
"43","2019-11-21 10:09:05-03","IBt","SP","316096","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Mello-Silva, R; Salatino, A; Santos, DYAC","1084","1996","06","12",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Estrada Lagoa Santa - Conceição do Mato Dentro, ca. 2 km depois do camping Véu da Noiva","-43.604444","-19.305",NA,NA,"SP020345","SP020345",NA,"950","950","-43.604444","-19.305",NA,NA,"1996",NA,NA
"44","2019-11-21 10:09:05-03","IBt","SP","470883","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Castro, JP","338","2010","05","30",NA,"Brasil","Minas Gerais","Santana do Riacho","MG 010, no sentido Santana do Riacho - Conceição do Mato Dentro","-43.588889","-19.25",NA,NA,NA,NA,NA,"1204","1204","-43.588889","-19.25",NA,NA,NA,NA,NA
"45","2019-11-21 10:09:05-03","IBt","SP","489393","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Faria, JEQ","6132","2016","06","30",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Margem da rodovia entre a estátua do Juquinha e o povoado de Serra do Cipó","-43.595833","-19.294444",NA,NA,NA,NA,NA,"1207","1207","-43.595833","-19.294444",NA,NA,"2017","07","25"
"46","2019-11-21 10:09:05-03","IBt","SP","162565","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Mantovani, W","69","1979","07","25",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,"SP020349",NA,NA,NA,NA,NA,NA,"31264","auto","1987","03","31"
"47","2019-11-21 10:09:05-03","IBt","SP","162565a","Extra","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Mantovani, W","69","1979","07","25",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,"SP020350",NA,NA,NA,NA,NA,NA,"31264","auto","1987","03","31"
"48","2019-11-21 10:09:05-03","IBt","SP","145932","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Joly, AB; Sendulsky, T; Pereira, SMB; Joly, AM; Martins, F; Giulietti, AM","CFSC1401","1972","04","15",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 112,5 da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,"SP020327",NA,NA,"1020","1020",NA,NA,"31264","auto","1983","10","18"
"49","2019-11-21 10:09:05-03","IBt","SP","142675","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Semir, J; Sazima, M","CFSC2706","1972","07","21",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 112 da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,"SP020338",NA,NA,NA,NA,NA,NA,"31264","auto","1983","10","18"
"50","2019-11-21 10:09:05-03","IBt","SP","142651","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Semir, J; Sazima, M","CFSC2666","1972","07","20",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 114 da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,"SP020339",NA,NA,NA,NA,NA,NA,"31264","auto","1983","10","18"
"51","2019-11-21 10:09:05-03","IBt","SP","145958","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Joly, AB; Semir, J; Ugadim, Y","CFSC53","1970","06","05",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 114 da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,"SP020341",NA,NA,"1150","1150",NA,NA,"31264","auto","1983","10","18"
"52","2019-11-21 10:09:05-03","IBt","SP","142698","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Semir, J; Sazima, M","CFSC2775","1972","05","24",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 114 da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,"SP020337",NA,NA,NA,NA,NA,NA,"31264","auto","1983","10","18"
"53","2019-11-21 10:09:05-03","IBt","SP","145963","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Semir, J; Sazima, M","CFSC4282","1973","07","22",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 114 da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,"SP020336",NA,NA,NA,NA,NA,NA,"31264","auto","1983","10","18"
"54","2019-11-21 10:09:05-03","IBt","SP","145924","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","Mamede, MCH","Joly, AB; Semir, J; Joly, AM; Martins, F","CFSC2560","1972","05","29",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 114 da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,"SP020340","SP020340",NA,NA,NA,NA,NA,"31264","auto","1983","10","18"
