"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","year","month","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude"
"11","2020-12-11 11:40:32-03","UFMG","BHCB","53427","PreservedSpecimen","Plantae","Dicotyledon",NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana",NA,"Mota, RC da","204","Southern America","Brasil","Serra do Caraça.",NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto",NA,NA,NA,NA,NA
"12","2020-12-11 11:40:32-03","UFMG","BHCB","52597","PreservedSpecimen","Plantae","Dicotyledon",NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana",NA,"Vasconcelos, MF de","s.n.","Southern America","Brasil","Serra do Caraça.",NA,"Trilha para o Pico do Inficionado, borda de mata. Altitude: 1450 m. Arbustivo.",NA,NA,NA,"2000","01","10","Minas Gerais",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto",NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","1149541","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","V. Plana (K)","Howard S. Irwin|et al.","Irwin 28922","South America","Brazil","Serra de Espinhaco. Cerrado. Locally common. Cerrado, sedge meadow, and gallery forest, gray sandy soil, lower slopes of Serra da Caraca, ca. 10 km W of Barao de Cocais.",NA,NA,NA,NA,"Holotype","1971","1","23","Minas Gerais","1400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2709390","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana",NA,"H. S. Irwin, R. M. Harley & E. Onishi","28922","South America - Neotropics","Brazil","Serra do Espinhaco, lower slopes of Serra da Caraca, ca. 10 km W of Barao de Cocais.",NA,NA,"US00603720","US00603720_01","Isotype","1971","1","23","Minas Gerais","1400","1400",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"15","2019-11-13 11:29:33-03","USP","SPF","167245","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Ceccantini, GCT","2144",NA,"Brasil",NA,NA,NA,"SPF00167245",NA,NA,"2004","01","17","Minas Gerais","1313","1313","Santana do Riacho","-43.507333","-19.217861",NA,NA,NA,NA,"2004","-43.507333","-19.217861"
"16","2019-11-13 11:29:33-03","USP","SPF","167246","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Ceccantini, GCT","2151",NA,"Brasil",NA,NA,NA,"SPF00167246",NA,NA,"2004","01","17","Minas Gerais","1313","1313","Santana do Riacho","-43.507333","-19.217861",NA,NA,NA,NA,"2004","-43.507333","-19.217861"
"17","2019-11-13 11:29:33-03","USP","SPF","169590","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Araújo-Nóbrega, M","288",NA,"Brasil","Chapada Diamantina",NA,NA,"SPF00169590",NA,NA,"2000","11","25","Bahia","850","850","Ibicoara","-41.216667","-13.433333",NA,NA,NA,NA,"2004","-41.216667","-13.433333"
"18","2019-11-13 11:29:33-03","USP","SPF","22258","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Hensold, N","CFCR2778",NA,"Brasil","Serra do Caraça, (a 1 km do hotel., Trilha p/ a piscina)",NA,NA,"SPF00022258",NA,NA,"1982","01","09","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1999",NA,NA
"19","2019-11-13 11:29:33-03","USP","SPF","95494","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Sano, PT","CFCR14575",NA,"Brasil","Serra do Barbado, Coordenadas entre: 13°17'27''S, 41°54'06''W e 13°17'50''S, 41°54'29''W.",NA,NA,"SPF00095494",NA,NA,"1994","02","26","Bahia","1750","2035","Abaíra","-41.6636009216309","-13.2496995925903","26531","auto",NA,NA,"1999",NA,NA
"20","2019-11-13 11:29:33-03","USP","SPF","161519","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Anônimo","Stehmann, JR","3498",NA,"Brasil","RPPN Santuário do Caraça",NA,NA,"SPF00161519",NA,NA,"2003","12","18","Minas Gerais",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto",NA,NA,NA,NA,NA
"21","2019-11-13 11:29:33-03","USP","SPF","168909","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Pifano, DS","329",NA,"Brasil","Morro do Imperador",NA,NA,"SPF00168909",NA,NA,"2002","03","01","Minas Gerais",NA,NA,"Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto",NA,NA,"2005",NA,NA
"22","2019-11-13 11:29:33-03","USP","SPF","153077","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Pifano, DS","329",NA,"Brasil","Morro do Imperador",NA,NA,"SPF00153077",NA,NA,"2002","03","01","Minas Gerais",NA,NA,"Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto",NA,NA,"2002",NA,NA
"23","2019-11-13 11:29:33-03","USP","SPF","106673","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Campos, MTVA","CFSC13644",NA,"Brasil","Serra do Cipó",NA,NA,"SPF00106673",NA,NA,"1994","03","03","Minas Gerais",NA,NA,"Morro do Pilar","-43.3763999938965","-19.2155990600586","18539","auto",NA,NA,"1999",NA,NA
"24","2019-11-13 11:29:33-03","USP","SPF","76682","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Marcondes-Ferreira, W","280",NA,"Brasil",NA,NA,NA,"SPF00076682",NA,NA,"1990","03","15","Minas Gerais",NA,NA,"Santa Bárbara","-43.4152984619141","-19.959400177002","33136","auto",NA,NA,"1999",NA,NA
"25","2019-11-13 11:29:33-03","USP","SPF","37466","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Pirani, JR","CFSC6930",NA,"Brasil",NA,NA,NA,"SPF00037466",NA,NA,"1981","01","10","Minas Gerais",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,"1999",NA,NA
"26","2019-11-13 11:29:33-03","USP","SPF","37462","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Cordeiro, I","CFSC6062",NA,"Brasil",NA,NA,NA,"SPF00037462",NA,NA,"1980","03","30","Minas Gerais",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,"1999",NA,NA
"27","2019-11-13 11:29:33-03","USP","SPF","100982","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Campos, MTVA","CFSC13338",NA,"Brasil","Serra do Cipó",NA,NA,"SPF00100982",NA,NA,"1993","08","10","Minas Gerais",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,"1999",NA,NA
"28","2019-11-13 11:29:33-03","USP","SPF","100927","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, JR","Campos, MTVA","CFSC13380",NA,"Brasil","Serra do Cipó",NA,NA,"SPF00100927",NA,NA,"1993","09","21","Minas Gerais",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,"1999",NA,NA
"29","2019-09-04 17:51:14-03","F","FMNH-SEEDPLANTS","V0067898F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata",NA,NA,"H. S. Irwin & Onishi","28922","South America","Brazil","Serra de Caraca",NA,NA,"V0067898F","V0067898F_01","Isotype","1971","1","23","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"30","2015-03-07 09:06:06-03","F","FMNH-SEEDPLANTS","V0177298F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0177298F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"31","2020-09-22 13:49:02-03","USP","SPFW","898","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","J.R. Pirani 2004","Ceccantini, G.C.T. Locosselli, G.M.; Gussella, L.W.; Mota, L.B.; Amaral, M.M.","2144",NA,"Brasil",NA,NA,"Capão B",NA,NA,NA,"2004","01","17","Minas Gerais","1313","1313","Santana do Riacho","-43.507333","-19.217861",NA,NA,NA,NA,NA,"43º30'26,4''W","19º13'04,3''S"
"32","2020-09-22 13:49:02-03","USP","SPFW","905","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","J.R. Pirani 2004","Ceccantini, G.C.T. Locosselli, G.M.; Gussella, L.W.; Mota, L.B.; Amaral, M.M.","2151",NA,"Brasil",NA,NA,"Capão B",NA,NA,NA,"2004","01","17","Minas Gerais","1313","1313","Santana do Riacho","-43.507333","-19.217861",NA,NA,NA,NA,NA,"43º30'26,4''W","19º13'04,3''S"
"33","2020-09-10 10:18:31-03","IBt","SP","311710","S","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana",NA,"Sano, PT","CFCR14575",NA,"Brasil",NA,NA,NA,NA,NA,NA,"1994","02","26","Bahia",NA,NA,"Abaíra","-41.6636009216309","-13.2496995925903","26531","auto",NA,NA,NA,NA,NA
