"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","330999","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","R. Reitz","L. B. Smith","1964","10","20","Brazil","Santa Catarina","Sao Miguel do Oeste","Low woods, 2 km northwest of Sao Miguel d'Oeste.","-53.53","-26.7",NA,NA,"700","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330999","NY00330999_01","12750",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","330992","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","G. G. Hatschbach","G. G. Hatschbach","1979","11","23","Brazil","Paraná","Cerro Azul","Cab. Rib. do Tigre (mun. Cerro Azul) Paraná.","-49.2608","-24.8236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330992","NY00330992_01","42586",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","330997","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","P. K. H. Dusén","P. K. H. Dusén","1916","02","28","Brazil","Paraná",NA,"Rio Capinzal",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330997","NY00330997_01","17874",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","331009","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","R. S. Cowan; L. B. Smith","R. Reitz","1964","01","03","Brazil","Santa Catarina","Sao Miguel do Oeste","Paraíso, Sao Miguel do Oeste.",NA,NA,NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331009","NY00331009_01","16978",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","331013","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","J. R. Pirani","F. J. Fernández Casas","1982","12","17","Paraguay","Canindeyú",NA,"Unos 20 km al Sur de Catueté siguiendo la supercarretera, claros de bosque alto.",NA,NA,NA,NA,"380","380","Per Paraquariam Orientalem Iter <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331013",NA,"7636",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","330989","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","G. G. Hatschbach","G. G. Hatschbach","1970","12","19","Brazil","Paraná","Sao José da Boa Vista","Rio Jaguariaiva, Paraná.","-49.6519","-23.9158",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330989","NY00330989_01","25522",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","331007","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","R. S. Cowan; L. B. Smith","R. Reitz","1967","04","07","Brazil","Santa Catarina","Ilhota","Parque Botânico do Morro do Baú, Ilhota.","-48.8269","-26.8997",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331007","NY00331007_01","7021",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","331004","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","J. R. Pirani","R. M. Harley","1988","12","12","Brazil","Bahia",NA,"Livramento do Brumado. 3-5 km da cidade na estrada para Rio de Contas.","-41.83","-13.63",NA,NA,"580","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331004","NY00331004_01","27142",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","331003","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","J. C. Lindeman","J. C. Lindeman","1966","06","21","Brazil","Paraná","Altônia","5 km S. of Pôrto Byington.","-53.9017","-23.8744",NA,NA,"225","225","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331003","NY00331003_01","1667",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","331011","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","R. C. Kaastra","Helmenreichen",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331011","NY00331011_01","59",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","330993","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","G. G. Hatschbach","G. G. Hatschbach","1983","12","07","Brazil","Paraná","Cerro Azul","Sete Quedas (mun. Cerro Azul) Paraná.","-49.2608","-24.8236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330993","NY00330993_01","47555",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","331006","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","R. S. Cowan; L. B. Smith","R. Reitz","1966","12","23","Brazil","Santa Catarina","Ilhota","Parque Botânico do Morro do Baú, Ilhota.","-48.8269","-26.8997",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331006","NY00331006_01","6861",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","331005","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","J. R. Pirani","J. R. Pirani","1980","07","31","Brazil","São Paulo","Penápolis","Município de Penápolis. Fazenda Sao Sebastiao, Bairro bonito.","-50.0697","-21.4203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331005","NY00331005_01","680",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","778706","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","M. Groppo, Jr.","M. Groppo, Jr.","2000","10","13","Brazil","São Paulo","Socorro","Sítio Beija-flor, bairro dos Domingues.","-46.52","-22.5903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778706","NY00778706_01","444",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","330996","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","P. K. H. Dusén","P. K. H. Dusén","1915","12","23","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330996","NY00330996_01","17468",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","330988","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","G. G. Hatschbach","G. G. Hatschbach","1969","05","15","Brazil","Paraná","Terra Boa","Faa. Mururé. Paraná. Bacia do Rio Paraná.","-52.4442","-23.7683",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330988","NY00330988_01","21509",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","330998","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","L. B. Smith","L. B. Smith","1957","02","27","Brazil","Santa Catarina","Joaçaba","12 km south of Joaçaba on the west bank of the Rio do Peixe.","-51.5044","-27.1783",NA,NA,"450","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330998","NY00330998_01","11905",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","331001","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","L. H. Soares-Silva","L. H. Soares-Silva","1988","10","21","Brazil","Paraná","Londrina","Parque Estadual Mata do Godoy.","-51.1628","-23.3106",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331001","NY00331001_01","135",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","330990","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","G. G. Hatschbach","G. G. Hatschbach","1972","05","26","Brazil","Paraná","Coronel Vivida","Rod. Br 373 (mun.Cel.Vivida) Paraná.","-52.5678","-25.9797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330990","NY00330990_01","29713",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","330994","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","R. C. Kaastra","P. K. H. Dusén","1910","12","11","Brazil","Paraná","Sengés","Itararé","-49.4633","-24.1131",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330994","NY00330994_01","11330",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","331010","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","J. A. Kallunki","L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331010","NY00331010_01","79",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","330987","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.",NA,"G. G. Hatschbach","1965","10","12","Brazil","Paraná","Maringá","Orto Florestal","-51.9383","-23.4256",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330987","NY00330987_01","12947",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","330995","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","P. K. H. Dusén","P. K. H. Dusén","1915","03","11","Brazil","Paraná",NA,"Patrimonio","-51.75","-23.87",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330995","NY00330995_01","16782",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","331008","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","R. S. Cowan; L. B. Smith","R. M. Klein","1963","10","30","Brazil","Santa Catarina","Lacerdópolis","Lacerdópolis","-51.5556","-27.2603",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331008","NY00331008_01","4258",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"35","2016-09-29 13:09:00-03","NY","NYBG","632062","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum",NA,"M. C. Dias","O. C. Pavao","2001","03","27","Brazil","Paraná","Sertanópolis","Sitio Dois Irmaos","-51.0364","-23.0586",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632062","NY00632062_01",NA,NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"36","2016-09-29 13:09:00-03","NY","NYBG","331012","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum",NA,NA,"R. O. Vanni","1987","07","30","Argentina","Misiones",NA,"Dep. Cainguás. Ruta 7, 5 km W del acceso a Aristóbulo del Valle.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331012",NA,"891",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02692490","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.",NA,"Luan, Silva","2015","08","19","Brazil","Rio de Janeiro","Rio Bonito","Conglomerado 349-2-4-8. UTM do Ponto Central: E (740414m) N (74920008m) Fuso do GPS (23K).","-42.6096992492676","-22.7085990905762",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987630' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692490","NY02692490_01","161",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet","20195","auto",NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","331000","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","J. A. Kallunki","R. Callejas Posada","1983","12","07","Brazil","Paraná","Cerro Azul","Estrada antiga Cerro Azul Jaguariaiva, cabecera do Ribeirao do Tigre, km 15 al N. de Cerro Azul.","-48.72","-24.75",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331000","NY00331000_01","1883",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"39","2021-02-18 09:30:39-03","UNESP-IBB","BOTU","27144","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.)","Vieira, A.O.S.","Francisco, E.M.","1998","09","22","Brasil","Paraná","Mauá da Serra",NA,NA,NA,"9999","9999",NA,NA,"Árvore 12 m de altura; frutos maduros. Mata auxiliar do Rio Três Barras.","BOTU027144",NA,NA,"1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-08 11:10:08-03","UNESP-IBB","BOTU","26006","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.)","Stival-Santos, A.","Stival-Santos, A.","2009","06","02","Brasil","Santa Catarina","Romelândia",NA,"-53.265278","-26.566667","53°15'55w","26°34'00 s",NA,NA,"Arbórea. Floresta Estacional Decidual.","BOTU026006",NA,"724","2009","06","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-02-18 09:30:39-03","UNESP-IBB","BOTU","34001","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.",NA,"Castro Matheus, L.","2019","03","22","Brasil","São Paulo","Botucatu","Jardim Botânico do IBB","-48.833333","-23.016667","48°49'60w","22°60'60s",NA,NA,NA,"BOTU034001",NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-13 09:20:54-03","UFRJ","RFA","19156","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","L.B. Smith","G.G. Hatschbach","1972","12","12","Brasil","Paraná","Lapa","Johanisdorff","-49.7158012390137","-25.7696990966797",NA,NA,NA,NA,"Árvore 30 m, tronco 65 cm, flor creme esverdeada.","RFA16022",NA,"30958","1974",NA,NA,NA,NA,NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA
"43","2020-11-13 09:20:54-03","UFRJ","RFA","18489","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","G.G. Hatschbach","G.G. Hatschbach","1974","06","13","Brasil","Paraná","Matelândia","Sta. Lúcia","-53.9963989257812","-25.2408008575439",NA,NA,NA,NA,"Árvore de 20m.","RFA15575",NA,"34523",NA,NA,NA,NA,NA,NA,NA,NA,"40323","auto",NA,NA,NA,NA,NA
"44","2020-11-24 17:11:02-03","UTFPR","DVPR","4564","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","Cordeiro, J; Barboza, E","Siqueira, EL; et al.","2007","11","10","Brasil","Paraná","Dois Vizinhos","Campus da UTFPR - arredores","-53.0548","-25.4219","-53.0548","-25.4219","535","535","Árvore ca. 5m, Heliófita, cultivada em linhas. Flores amarelas.; relevo: ondulado - Vegetação: Floresta Omblófila Mista Montana","DVPR004564",NA,"80","2008",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
