"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"11","2015-09-16 10:42:30-03","MNHN","RECOLNAT_MNHN_P","P00447542","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Gardner, G.",NA,"1838",NA,NA,NA,"Brésil",NA,"Montagnes Organ","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00447542' target='other'> <mi>dwc_moreinfo</mi></a>","P00447542","P00447542_01 P00447542_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","669",NA,NA
"12","2015-09-03 19:31:29-03","MNHN","RECOLNAT_MNHN_P","P00447539","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Houllet, M.",NA,"1847","10",NA,NA,"Brésil",NA,"cultivé, origine Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00447539' target='other'> <mi>dwc_moreinfo</mi></a>","P00447539","P00447539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-03 19:31:29-03","MNHN","RECOLNAT_MNHN_P","P00447540","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Herb. L. Claude et A. Richard",NA,"1849","9",NA,NA,"Brésil",NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00447540' target='other'> <mi>dwc_moreinfo</mi></a>","P00447540","P00447540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-16 10:42:28-03","MNHN","RECOLNAT_MNHN_P","P00447541","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Hort. Bot. Kew",NA,NA,NA,NA,NA,"Brésil",NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00447541' target='other'> <mi>dwc_moreinfo</mi></a>","P00447541","P00447541_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-10-01 14:26:07-03","JBB","HEPH","22471","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Dr.Kauskii","s.n.","2004","01","01","Southern America","Brasil","Espírito Santo",NA,NA,"Cultivada no Viveiro do Jardim Botânico de Brasília",NA,NA,NA,NA,"Meneguzzo, TEC","2009","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,"48150",NA,NA,"auto","11","06",NA,NA,NA,NA
"16","2021-02-11 17:20:58-03","UFPR","UPCB","69924","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Fraga, C.N.","1860","2008","02","15",NA,"Brasil","Espírito Santo","BLOQUEADO",NA,"Epífita. Flores com sépalas e pétalas de fundo amarelo com máculas castanhas, labelo de base lilás e ápide branco. Material prensado em alcool..",NA,NA,NA,NA,NA,NA,"Cariacica",NA,NA,"9999","9999",NA,"600","600",NA,NA,NA,NA,NA,NA,NA
"17","2011-08-30 15:36:00-03","MO","MOBOT","2833970","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","George H. Pring","Pring 262","1909","10","20","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2014-12-23 14:58:00-02","MO","MOBOT","2834186","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","G.E. McClure","McClure s.n.","1905","7","18","South America","Brazil",NA,"Cultivated at the Missouri Botanical Garden. From material originally collected in Brazil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"19","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","14191",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","L. Kollmann","3431","2000","11","29",NA,"Brasil","Espírito Santo","Estação Biológica de Santa Lúcia",NA,"Epífita na sombra. Sépalas e pétalas amarelas com pintas vináceas. Labelo com a base vináceo e o ápice vináceo","MBML014191","MBML014191",NA,NA,"L. Kollmann/29-11-2000",NA,"Santa Teresa","-40.530278","-19.971389","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","20912",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","A. P. Fontana","516","2003","03","03",NA,"Brasil","Espírito Santo","São Lourenço",NA,"Epífita flores com sépalas e pétalas marrons com máculas marrons escuras, labelo com base roxa e ápice branco.","MBML020912","MBML020912",NA,NA,"A. P. Fontana/03-03-2003",NA,"Santa Teresa","-40.620556","-19.931111","40W37'14","19S55'52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","21369",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","M. V. S. Berger; et al","104","2003","08","02",NA,"Brasil","Espírito Santo","Pedra do Garrafão",NA,"Epífita com fruto, trilha do córrego pastilha no pasto, no sol.","MBML021369","MBML021369",NA,NA,NA,NA,"Santa Maria de Jetibá","-40.924167","-20.176944","40W55'27","20S10'37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","34904",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","(Reichenbach f.)","C. N. de Fraga; et al","1860","2008","02","15",NA,"Brasil","Espírito Santo","Reserva Biológica Duas Bocas",NA,NA,"MBML034904","MBML034904",NA,NA,NA,NA,"Cariacica","-40.519444","-20.291389","40W31'10","20S17'29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","383",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","W. Boone","1122","1986","11","24",NA,"Brasil","Espírito Santo","Museu de Biologia Mello Leitão",NA,"Epífita a 80m do solo, flores com sépalas amareladas e manchas marrons, pétalas semelhantes as sépalas sendo a base arroxeada, labelo branco com a base roxa, semi-sombra. Em meio líquido.","MBML000383","MBML000383",NA,NA,NA,NA,"Santa Teresa","-40.6","-19.936111","40W36'0","19S56'10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","4421",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","H. Q. Boudet Fernandes","2389","1988","03","01",NA,"Brasil","Espírito Santo","Museu de Biologia Mello Leitão, Orquidário",NA,"Sépalas e pétalas castanho claras com manchas marrons. Labelo branco com faixa transversal na região das calosidades roxo-rosada. Coluna ventralmente amarelada e dorsalmente rosada. Culta/herb./álcool.","MBML004421","MBML004421",NA,NA,"H. Q. Boudet Fernandes/1988",NA,"Santa Teresa","-40.6","-19.936111","40W36'0","19S56'10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","49341",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","D.R. Couto; F.C.Guerra-Junior; L.Miranda","33","2004","05","19",NA,"Brasil","Espírito Santo","Pedra da Caveira da Anta",NA,"Epífita facultativa. Pétalos e sépalos amarelos com manchas vinosas; labelo com lóbulos laterais brancos, lábulo central roxo e lóbulo apical branco. Vegetando em afloramento rochoso próximo a residência do Sr. Geraldo Nicola.","MBML049341","MBML049341",NA,NA,"D.R. Couto/03-04-2004",NA,"Alegre","-41.383889","-20.653889","41W23'2","20S39'14",NA,"1024","1024",NA,NA,NA,NA,NA,NA,NA
"26","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","49439",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lind.","D.R. Couto; F.C.Favoreto & M.Redling","500","2008","02","22",NA,"Brasil","Espírito Santo","Burarama: Canta Galo",NA,"Epífita facultativa. Flores maculadas de vinho e amarelo. Labelo vermelho na quilha e rosa no ápice.","MBML049439","MBML049439",NA,NA,"D.R. Couto/03-03-2008",NA,"Cachoeiro de Itapemirim","-41.385","-20.673889","41W23'6","20S40'26",NA,"791","791",NA,NA,NA,NA,NA,NA,NA
"27","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","515",NA,"Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.",NA,NA,"1943","08","25",NA,"Brasil","Espírito Santo",NA,NA,"nº 800","MBML000515","MBML000515",NA,NA,NA,NA,"Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"23813",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"28","2017-11-24 14:11:54-02","UFLA","ESAL","20954","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Loures, L","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,"; ; ;",NA,NA,NA,NA,"Laércio Loures",NA,"Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"36144","1","1","auto",NA,NA,NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","2562821","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Miltonia","clowesii","Miltonia clowesii",NA,"Collector unknown","s.n.","1939","2","15","South America - Neotropics","Brazil","São Paulo",NA,NA,NA,"US00434471","US00434471_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"30","2020-07-23 12:17:23-03","CEPLAC","CEPEC","125441","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii",NA,"C. N. Fraga","1860","2008","02","15",NA,"Brasil","Espírito Santo","Reserva Biológica Duas Bocas. Localidade de Alegre, trilha do Pau Oco.",NA,NA,NA,NA,NA,"30/12/2008","C. N. Fraga",NA,"cariacica","-40.519444","-20.291389","40W31'10","20S17'29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-08-23 09:45:45-03","NHMLondon","NHM-LONDON-BOT","BM000534097","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","George Gardner; b.1812; d.1849; Gardner","669","1837","05",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4651471"
"32","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Veitch","s.n.(Hort.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","in prov. Minas Geraes loco haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Gardner, G","669",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in prov. Rio de Janeiro supra arbores ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Gardner, G","669?",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in prov. Rio de Janeiro supra arbores ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Veitch, JG","s.n.(Hort.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","in prov. Minas Geraes loco haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-03 22:00:02-03","FLAS","FLAS","219003","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Mark Whitten","3442",NA,NA,NA,NA,"Brazil",NA,NA,"Preserved herbarium specimen","[Label footing:] Voucher for NSF Grant Molecular Systematics of Subtribe Oncidiinae.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:13:34-03","IBt","SP","330899","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","s.col.","s.n.","1996","04","12",NA,"Desconhecido",NA,"Sem indicação de procedência",NA,NA,NA,NA,NA,NA,"Buono, F","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,"04",NA,NA,NA,NA,NA
"38","2019-11-21 10:13:34-03","IBt","SP","46903","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"Handro, O","1939",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA
"39","2019-11-21 10:13:34-03","IBt","SP","46499","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Heringer, EP","951","1942","02","28",NA,"Brasil","Minas Gerais","Foz da Boa Ventura",NA,NA,NA,NA,NA,NA,NA,NA,"Coronel Pacheco","-43.2655982971191","-21.5877990722656",NA,NA,"10350",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:13:34-03","IBt","SP","24949","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Hoehne, FC","225","1914","03",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Hoehne, FC",NA,"Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"36144",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:13:34-03","IBt","SP","22398","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Hoehne, FC","s.n.",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Hoehne, FC",NA,"São José do Barreiro","-44.5699996948242","-22.6399993896484",NA,NA,"30784",NA,NA,"auto",NA,NA,NA,NA,NA,NA
