"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","typeStatus","stateProvince","imagecode","decimalLongitude","decimalLatitude","locality","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"13","2021-03-15 16:37:00-03","NY","NYBG","00864529","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","J. A. Rizzo","8041","1972","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864529","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Goiás","NY00864529_01","-48.8817","-13.6536","Formoso p/Campinaçu. Alto da Serra Grande","P. G. Delprete","Formoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","396874","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","S. Atkins","14886","1994","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396874","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Bahia","NY00396874_01","-41.8536","-13.5272","Ca. 7 km da cidade, em direçao ao vilarejo de Bananal","P. G. Delprete","Rio de Contas","1200","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-10-28 17:38:00-02","NY","NYBG","949848","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","D. Philcox","3657","1967","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949848","Magnoliophyta","Gentianales",NA,NA,NA,"Mato Grosso","NY00949848_01","-51.77","-12.82","W. of Km. 229, Xavantina-Cachimbo Road.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00891962","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","J. A. Rizzo","3246","1968","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891962","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Goiás","NY00891962_01","-49.2539","-16.6786","A esquerda da estrada de Goiânia p/Guapó. 10 km de Goiânia","P. G. Delprete","Goiânia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","397048","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","R. M. Harley","15170","1974","01","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397048","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Bahia","NY00397048_01","-41.83","-13.47","12-14 km N of town of Rio de Contas on the road to Mato Grosso","J. H. Kirkbride Jr.","Rio de Contas","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","397053","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","R. M. Harley","26622","1988","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397053","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Bahia","NY00397053_01","-41.97","-13.52","Pico das Almas. Vertente leste. Campo e mata ao NW do Campo do Queiroz","J. H. Kirkbride Jr.","Rio de Contas","1500","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","949755","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","H. S. Irwin","23696","1969","02","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949755","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Minas Gerais","NY00949755_01","-43.64425","-16.78765","Serra do Espinhaço, Serra dos Três Irmãos, ca. 25 km west of Montes Claros, road to Agua Boa.","J. H. Kirkbride Jr.",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-11-01 14:43:00-02","NY","NYBG","396869","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","W. R. Anderson","36674","1972","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396869","Magnoliophyta","Gentianales",NA,NA,NA,"Bahia","NY00396869_01","-44.99","-12.15","Espigao Mestre, ca. 100 km WSW of Barreiras","J. H. Kirkbride Jr.","Barreiras","760","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","949865","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","M. Alvarenga","28977","1963","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949865","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Mato Grosso","NY00949865_01","-55.77825","-15.432","Vicinity of Buriti. Chapada dos Guimarães","J. H. Kirkbride Jr.",NA,"720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","949875","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","B. D. Sucre","294","1965","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949875","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Distrito Federal","NY00949875_01","-48.0638","-16.01719","Parque Nacional do Gama.","J. A. Steyermark","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-10-28 17:41:00-02","NY","NYBG","949732","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","P. Clausen","126","1843",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949732","Magnoliophyta","Gentianales",NA,NA,NA,"Minas Gerais","NY00949732_01",NA,NA,"Carapa","J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","949820","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","W. R. Anderson","7877","1973","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949820","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Goiás","NY00949820_01","-47.4973","-14.7","4 km by road E of São João da Aliança. Serra Geral do Paraná.","J. H. Kirkbride Jr.","São João d'Aliança","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-10-28 17:37:00-02","NY","NYBG","949863","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","J. Ramos","R&S.129",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949863","Magnoliophyta","Gentianales",NA,NA,NA,"Mato Grosso","NY00949863_01","-51.87","-12.9","Collected near base camp of the expedition, c. 270 km N of Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00895958","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","C. Monteiro","110","1995","02","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895958","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Goiás","NY00895958_01","-48.9592","-15.8525","Serra dos Pireneus. No km 350","P. G. Delprete","Pirenópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-10-28 17:41:00-02","NY","NYBG","949729","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","R. M. Tryon","6833","1965","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949729","Magnoliophyta","Gentianales",NA,NA,NA,"Minas Gerais","NY00949729_01",NA,NA,"Planalto of Serra do Cipó (a portion of Serra do Espinhaço), 85 km. north-northeast of Bello Horizonte. Vicinity of road from Lagoa Santa to Conceicão do Mato Dentro, at km. 129 from Bello Horizonte.","J. H. Kirkbride Jr.",NA,"1280","1280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1146646","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","P. G. Delprete","9984","2006","11","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1361669' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146646","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Goiás","NY01146646_01","-48.8222","-15.8064","Parque Estadual dos Pireneus. Trilha que seque do portal da Faz. Capitão do Mato (prop. Sr. Gilberto Morato), em direção ao Morro do Cabeludo.","P. G. Delprete","Cocalzinho de Goiás","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-10-28 17:41:00-02","NY","NYBG","949723","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","A. C. Brade","13854","1934","06",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949723","Magnoliophyta","Gentianales",NA,NA,NA,"Minas Gerais","NY00949723_01",NA,NA,NA,"J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00895983","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","C. E. B. Proença","339","1984","03","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895983","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Distrito Federal","NY00895983_01","-47.9294","-15.7797","Parque Nacional de Brasília","P. G. Delprete","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-11-01 14:43:00-02","NY","NYBG","397054","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","I. Silberbauer-Gottsberger","798","1970","11","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397054","Magnoliophyta","Gentianales",NA,NA,NA,"São Paulo","NY00397054_01","-48.42","-22.75","18 km north of Botucatu (14 km east of Sao Manuel). Along the S. Manuel-Piracicaba highway. Near ex-RR station, 13 de Maio","J. H. Kirkbride Jr.","Botucatu","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-11-07 11:48:00-02","NY","NYBG","01132081","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","R. de Mello-Silva","CFCR8536","1985","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289603' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132081","Magnoliophyta","Gentianales",NA,NA,NA,"Minas Gerais","NY01132081_01","-42.8894","-16.5594","Jambeiro á 7 km de Grao Mogol","M. T. V. do A. Campos","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","949783","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","W. R. Anderson","8614","1973","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949783","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Minas Gerais","NY00949783_01","-43.93412","-18.64165","Serra do Espinhaço, 30 km by road SW of Gouvêia, at km 60 on road to Curvelo","J. H. Kirkbride Jr.",NA,"1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-10-28 17:40:00-02","NY","NYBG","949747","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","A. P. Duarte","10387","1957","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949747","Magnoliophyta","Gentianales",NA,NA,NA,"Minas Gerais","NY00949747_01",NA,NA,"de Campo Alegre para Virgem da Lapa.","J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","949856","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","G. G. Hatschbach","36128","1975","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949856","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Mato Grosso","NY00949856_01","-55.77825","-15.432","Vicinity of Buriti. Chapada dos Guimarães","J. H. Kirkbride Jr.",NA,"720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-10-28 17:40:00-02","NY","NYBG","949740","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","E. Pereira","1759","1955","06","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949740","Magnoliophyta","Gentianales",NA,NA,NA,"Minas Gerais","NY00949740_01",NA,NA,NA,"J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","949797","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","H. S. Irwin","34115","1972","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949797","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Goiás","NY00949797_01","-48.7633333","-15.85","Upper slopes and summit, Pico de Pirineus, Serra dos Pirineus, ca. 20 km E. of Pirenópolis","J. H. Kirkbride Jr.","Pirenópolis","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","396876","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","J. C. Lindeman","4538","1967","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396876","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Paraná","NY00396876_01","-52.3831","-24.0458","About 3 km N of Campo Mourao","P. G. Delprete","Campo Mourao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-10-28 17:41:00-02","NY","NYBG","949730","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","P. Clausen","126",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949730","Magnoliophyta","Gentianales",NA,NA,NA,"Minas Gerais","NY00949730_01",NA,NA,"Carassa","J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","949858","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","H. S. Irwin","16556","1966","06","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949858","Magnoliophyta","Gentianales",NA,"(Willd. ex Roem. & Schult.) Kuntze",NA,"Mato Grosso","NY00949858_01","-52.08","-13.92","Ca. 86 km. N. of Xavantina. Serra do Roncador.","J. A. Steyermark",NA,"550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2016-10-28 17:48:00-02","NY","NYBG","949629","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","L. Emygdio de Mello Filho","3277","1972","07","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949629","Magnoliophyta","Gentianales",NA,NA,NA,"Minas Gerais","NY00949629_01",NA,NA,"Gandarela","J. H. Kirkbride Jr.",NA,"1570","1570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
