"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"19","2020-06-29 09:29:58-03","UFRRJ","RBR","22229","S","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","M.F. Freitas","A.L. Peixoto","6300","1992","02","10",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, proximo a Sede. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,NA,"RBR00022229","RBR00022229","1993","25743","auto",NA,"07","02",NA,NA,NA,NA,NA
"20","2020-12-21 16:19:48-03","MBM","MBM","425826","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Calvente, A.M.","Braga, H.N.; Damasceno, R.N.; Damasceno, R.N.","704","1999","12","14","Southern America","Brazil","Rio de Janeiro","Rio das Ostras","Restinga de Balneário das Garças","-41.9449996948242","-22.5268993377686",NA,NA,NA,"Erva epífita, ciófila. Cladios achatados verde-amarelos. Frutos imaturos verdes.","MBM425826",NA,"2005","17620","auto",NA,"01","14",NA,NA,NA,NA,NA
"21","2019-08-22 08:00:49-03","UESC","UESC","24683","S","Plantae","Angiospermae","Florideophycidae","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata",NA,NA,"Ronison R. dos Santos,","422","2017","07","08",NA,"Brasil","Bahia","Camacã",NA,"-39.564722","-15.393056",NA,NA,NA,"Epifíta.","UESC0024683",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"39W33'53''","15S23'35''",NA,NA,NA
"22","2019-08-15 09:03:25-03","UESC","UESC","24602","S","Plantae","Angiospermae","Florideophycidae","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata",NA,NA,"Ronison R. dos Santos,","340","2017","05","14",NA,"Brasil","Bahia","Camacã",NA,"-39.564722","-15.393056",NA,NA,NA,"Epífita","UESC0024602",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"39W33'53''","15S23'35''",NA,NA,NA
"23","2019-08-15 09:03:25-03","UESC","UESC","20870","S","Plantae","Angiospermae","Florideophycidae","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff","E.A.Rocha","Coelho, M.M.","495","2011","11","05",NA,"Brasil","Bahia","Almadina",NA,"-39.603889","-14.7025","831","831",NA,"Erva rupícola.; Foto.","UESC0020870",NA,"2016",NA,NA,"Dicotyledoneae","03",NA,"39W36'14''","14S42'9''",NA,NA,NA
"24","2019-08-15 09:03:25-03","UESC","UESC","10758","S","Plantae","Angiospermae","Florideophycidae","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff","E.A.Rocha","E.A. Rocha","1327","2003","07",NA,NA,"Brasil","Bahia","Jussari",NA,"-39.4953002929688","-15.1913995742798",NA,NA,NA,"Epífeta, ca de 40-70 cm de comprimento, aréolas com pequenos espinhos nos ramos mais jovens.; Material vegetativo.","UESC0010758",NA,NA,"21386","auto","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"25","2015-09-04 16:04:58-03","MNHN","RECOLNAT_MNHN_P","P04557070","PreservedSpecimen",NA,NA,NA,"Cactaceae","Rhipsalis","rhombea","Rhipsalis rhombea","(Salm-Dyck) Pfeiff.",NA,"Glaziou, A.",NA,"1883","1","1",NA,"Brasil","Rio de Janeiro",NA,". Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb","Plantes des environs de Rio-de-Janeiro et d'Ouro-Preto - Brésil, recueillies en 1883 et 1884. . Reçu le 6 Aoùt 1885 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04557070' target='other'> <mi>dwc_moreinfo</mi></a>","P04557070","P04557070_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14860",NA
"26","2009-07-31 05:59:00-03","MO","MOBOT","3165357","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","N. Taylor, 21.9.","James West","West 6220","1953","2","1","South America","Argentina",NA,NA,"Guerrero. North of Jujuy.",NA,NA,"1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2011-09-18 11:51:00-03","MO","MOBOT","3165631","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","N. Talyor, 23.9.","Dimitri Sucre","Sucre 3955","1968",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Restinga de Cabo Frio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-06-15 15:29:46-03","UNESP-RC","HRCB","54225","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff","Lombardi, J.A.","Almeida, O.J.H","10","2009","12","19",NA,"Brasil","São Paulo","Rio Claro","UNESP-Rio Claro","-47.560001373291","-22.4099998474121",NA,NA,NA,"epífita, caule com artículos planos, flores brancas.",NA,NA,"2010","21773","auto",NA,"12","19",NA,NA,NA,NA,NA
"29","2020-06-15 15:29:46-03","UNESP-RC","HRCB","12060","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff","Taylor, N. P. & Zappi, D.C.","Zappi, D.C.","232","1990","05","17",NA,"Brasil","Rio de Janeiro","Arraial do Cabo",NA,"-42.0278015136719","-22.966100692749",NA,NA,NA,"Até 1,5 m compr., artículos basais 3-5 costados alongados. Terminais aplanados ou 3 costados verde avermelhados. Frutos Verdes",NA,NA,"1993","25964","auto",NA,"12","06",NA,NA,NA,NA,NA
"30","2020-07-15 14:43:34-03","UNESP-RC","HRCB","13473","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"Cardoso, A.",NA,NA,NA,NA,NA,"Brasil","São Paulo","Rio Claro","Fazenda São Jopsá, á beira da Lagoa","-47.560001373291","-22.4099998474121",NA,NA,NA,NA,NA,NA,NA,"21773","auto",NA,NA,NA,NA,NA,"Isoneótipo",NA,NA
"31","2021-02-09 10:12:24-03","UENF","HUENF","12238","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","D.R. Couto","D.R. Couto; H.B.M. Viana & P.M. Santos","5263","2020","03","06",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Santa Luzia, Mata do Mico. Floresta Estacional Semidecidual, em área com corte seletivo de madeira.","-41.216667","-21.316667","70","70",NA,"Holoepífita no fuste médio, ca. 2 m de altura do solo, ciófila. Cladódios verdes.","HUENF00013057",NA,"2020",NA,NA,NA,"04","15","41º13'W","21º19'S",NA,NA,NA
"32","2021-03-01 11:53:32-03","UFPE","UFP","32448","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Siqueira-Filho, JA","Siqueira-Filho, JA","1177","2001","11","02",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.833611","-8.710278","700","700",NA,"Epífita sob Lecythidaceae. Flores alvas, diminutas. Lâminas. Flor em álcool 70% ependorfer (Você pesquisador, não arranque nenhuma flor, ok!).; Epífita sob Lecythidaceae. Flores alvas, diminutas. Lâminas. Flor em álcool 70% ependorfer","UFP032448",NA,"2001",NA,NA,NA,"11","09","-35.833611","-8.710278",NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","2830686","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"J. West","6220","1935","4","10","South America","Argentina","Jujuy",NA,NA,NA,NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1"
"34","2020-09-12 05:00:02-03","US","US","762732","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"J. N. Rose & G. Rose","20708","1915","8","7","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"US00182390","US00182390_01",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1"
"35","2020-09-02 16:22:36-03","Cenargen","CEN","105497","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","A. M. Calvente","A. M. Calvente","366","2007","12","01",NA,"Brasil","SP","ILHABELA","Estrada para Jabaquara","-45.3499984741211","-23.7700004577637","31","31","Exsicatas","Heliófila, ca 1,5m comp.. Segmentos aplanados, ramificação apical, raro sub-apical. Frutos alvo ou alvo-esverdeado. Doação do Herbário SPF.","CEN00105497","CEN00105497","2008","23719","auto",NA,NA,NA,NA,NA,NA,NA,"1"
"36","2019-11-13 11:17:22-03","USP","SPF","193496","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Calvente, AM","Calvente, AM","366","2007","12","01",NA,"Brasil","São Paulo","São Sebastião","Ilhabela.","-45.338583","-23.730722","31","31",NA,NA,"SPF00193496",NA,"2008",NA,NA,NA,NA,NA,"-45.338583","-23.730722",NA,NA,NA
"37","2019-11-13 11:17:22-03","USP","SPF","193497","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Calvente, AM","Calvente, AM","368","2007","12","01",NA,"Brasil","São Paulo","São Sebastião","Ilhabela.","-45.338583","-23.730722","31","31",NA,NA,"SPF00193497",NA,"2008",NA,NA,NA,NA,NA,"-45.338583","-23.730722",NA,NA,NA
"38","2019-11-13 11:17:22-03","USP","SPF","190064","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Calvente, AM","Calvente, AM","219","2006","07","19",NA,"Brasil","Rio de Janeiro","Guapimirim",NA,"-42.997306","-22.537278","300","300",NA,NA,"SPF00190064",NA,"2006",NA,NA,NA,NA,NA,"-42.997306","-22.537278",NA,NA,NA
"39","2019-11-13 11:17:22-03","USP","SPF","205322","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Cavalcanti, ACS","Cavalcanti, ACS","243","2008","08","22",NA,"Brasil","Rio de Janeiro","Araruama","Praia Seca","-42.293889","-22.9375",NA,NA,NA,NA,"SPF00205322",NA,"2010",NA,NA,NA,NA,NA,"-42.293889","-22.9375",NA,NA,NA
"40","2019-11-13 11:17:22-03","USP","SPF","198975","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Freitas, MF","Peixoto, AL","6300","1992","02","10",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá.","-43.451099395752","-22.7591991424561",NA,NA,NA,NA,"SPF00198975",NA,"1993","25743","auto",NA,"07",NA,NA,NA,NA,NA,NA
"41","2019-11-13 11:17:22-03","USP","SPF","190082","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Zappi, DC","Zappi, DC","839","2007","08","14",NA,"Brasil","São Paulo","São Sebastião","Ilhabela.","-45.4099998474121","-23.7600002288818",NA,NA,NA,NA,"SPF00190082",NA,NA,"41977","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-07 09:18:46-03","UEFS","HUEFS","65163","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"Machado, M.A.","3","1998",NA,NA,NA,"Brasil","Bahia","Amélia Rodrigues","Margem da BR 324.","-38.75","-12.416667",NA,NA,NA,NA,"HUEFS0065163","HUEFS0065163",NA,NA,NA,"Caryophyllanae",NA,NA,"38W45'","12S25'",NA,NA,NA
"43","2017-09-11 17:09:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Cactaceae","Rhipsalis","rhombea","Rhipsalis rhombea","(Salm-Dyck) Pfeiff.",NA,"Blanchet, JS","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:09:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Cactaceae","Rhipsalis","rhombea","Rhipsalis rhombea","(Salm-Dyck) Pfeiff.",NA,"Glaziou, AFM","14859",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-09-11 17:09:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Cactaceae","Rhipsalis","rhombea","Rhipsalis rhombea","(Salm-Dyck) Pfeiff.",NA,"Glaziou, AFM","14860",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2017-09-11 17:09:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Cactaceae","Rhipsalis","rhombea","Rhipsalis rhombea","(Salm-Dyck) Pfeiff.",NA,"Gaudichaud Beaupré, C","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-06-12 08:09:09-03","CAS","CAS-BOT","618687","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","rhombea","Rhipsalis rhombea","(Salm-Dyck) Pfeiff.",NA,"Rose, Lewis; Lutz, Bertha","29","1948","9",NA,"South America","Brazil","Rio de Janeiro","Teresopolis","*","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Museu Nacional Rio de Janeiro - Cat. geral No. 52.480. Duplicata in M. Nacional - Rio. * Data from these fields are not available on the web.",NA,NA,NA,"38539","auto","Magnoliopsida",NA,NA,"*","*",NA,NA,NA
