"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","continentOcean","preparationType","typeStatus","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"16","2019-08-27 13:35:13-03","IAP","PACA-AGP","78155","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","anniesii","Dryopteris anniesii","Rosenst.","A. Sehnem SJ","1969","06","22","Klein","7621","1967","10","25","Brasil","SC","Florianópolis","Morro Costa da Lagoa","-48.5491981506348","-27.596700668335",NA,NA,"300","300","PACA078155",NA,"27000","Habitat: mata","auto","Pteridophyta","Polypodiales",NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA
"17","2019-08-27 13:35:13-03","IAP","PACA-AGP","78154","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","anniesii","Dryopteris anniesii","Rosenst.","A. Sehnem SJ","1973",NA,NA,"Sehnem, A.","2401","1946","12","26","Brasil","RS","Santa Cruz","Pinheiral",NA,NA,NA,NA,"100","100","PACA078154",NA,NA,"Habitat: in silva",NA,"Pteridophyta","Polypodiales",NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA
"18","2019-08-27 13:35:13-03","IAP","PACA-AGP","78156","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","anniesii","Dryopteris anniesii","Rosenst.","A. Sehnem SJ","1970","07","10","Hatschbach, G.","24065","1970","03","25","Brasil","PR","Campina Grande do Sul","Rio Tucum","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"PACA078156",NA,"55154","Habitat: terrícola, mata de galeria","auto","Pteridophyta","Polypodiales",NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA
"19","2019-08-27 13:35:13-03","IAP","PACA-AGP","78158","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","anniesii","Dryopteris anniesii","Rosenst.","A. Sehnem SJ","1974","08","21","Hatschbach, G.","34441","1974","05","21","Brasil","PR","Piraquara","Roca Nova","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"PACA078158",NA,"12577","Habitat: interior de mata, solo levemente úmido","auto","Pteridophyta","Polypodiales",NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA
"20","2020-12-20 21:16:51-03","UFV","VIC","50380","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst) .","Gonzatti, F.","2016",NA,NA,"Gonzatti, F.; et alii","2357","2016","02","11","Brasil","Rio Grande do Sul","Itati.","Reserva Biológica da Mata Paludosa.","-50","-29","-50","-29","33","33","VIC050380","VIC050380 VIC050380_1 VIC050380_2",NA,"Erva rosetada, semi caméfita, em interior de mata. Frondes robustas de 1,5m de comprimento.; Erva rosetada, semicaméfila, em interior de mata. Frondes robustas de 1,5m de comprimento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:52:15-03","UFJF","CESJ","42804","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","A.R.Smith","2002",NA,NA,"G. Hatschbach; O.S. Ribas; E. Barbosa","72279","2001","08","25","Brasil","Paraná","Santa Maria do Oeste","Rio Feio, Frondes até 2m. Mata de galeria.","-51.8624992370605","-24.9391994476318",NA,NA,NA,NA,"CESJ042804",NA,"29384",NA,"auto","Polypodiopsida",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:52:15-03","UFJF","CESJ","61775","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","A. Salino","2010","04","07","A. Salino; T.E. Almeida; A.L. de Gasper","14721","2010","04","07","Brasil","Santa Catarina","Pouso Redondo","BR-70, próximo à SSerra da Santa antes do Morro do, Floresta Ombrófila Densa.","-50.0675","-27.280833","-50.0675","-27.280833",NA,NA,"CESJ061775",NA,NA,"Terrestre, no interior da floresta. Caule decumbente com 30cm de comprimento.",NA,"Polypodiopsida",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:52:15-03","UFJF","CESJ","68757","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","A. Salino","2016","05",NA,"V.A.O. Dittrich; A.M. Souza","2130","2015","04","03","Brasil","Bahia","Boa Nova","Recanto dos Pássaros, No fim da trilha ao topo da serra","-40.123972","-14.406111","-40.123972","-14.406111","975","975","CESJ068757",NA,NA,"Terrícola em interior de Floresta Ombrófila Densa Montana",NA,"Polypodiopsida",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-04 13:19:06-03","UDESC","LUSC","9551","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","AL de Gasper","2016","05","12","P. Schwirkowski","1458","2016","01","01","Brasil","Santa Catarina","São Bento do Sul","Trilha do Parque 23 de Setembro.","-49.383611","-26.275556","49º23'1''W","26º16'32''S","830","830","LUSC005945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-10-14 10:01:02-03","FURB","FURB","12450","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Salino, A","2009","08","03","Dreveck, S.; Carneiro, F.E.","932","2009","05","22","Brasil","Santa Catarina","Chapadão do Lageado","Rio Saltinho.","-49.59","-27.63","-49.5900000","-27.6300000","890","890","FURB07500","FURB07500",NA,"Herbácea IFFSC 308/S/1 Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração; próximo a nascente em local úmido Habito: herbácea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-08 08:51:38-03","FURB","FURB","1255","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2008","05","31","Sevegnani, L.",NA,"1998","09","28","Brasil","Santa Catarina","Blumenau","Parque Natural Municipal Nascentes do Garcia.","-49.0877777","-27.0566667","-49.0877777","-27.0566667",NA,NA,"FURB07512","FURB07512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-08 08:51:38-03","FURB","FURB","1263","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Cordeiro, J","2006",NA,NA,"Sevegnani, L.",NA,"1997","11","02","Brasil","Santa Catarina","Rio do Campo","Varaneira.","-49.9875","-26.8286111","-49.9875000","-26.8286111",NA,NA,"FURB07511","FURB07511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-10-14 10:01:02-03","FURB","FURB","13773","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2009","07","29","Gasper, A.L. de; Korte, A.; Cadorin, T.J. & Schmitt, J.","2222","2009","07","29","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Trilha da Chuva.","-49.0816667","-27.0575","-49.0816667","-27.0575000","350","350","FURB07499","FURB07499",NA,"Folha com 1,5m de comprimento. Coleta Extra IFFSC (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; encosta íngreme Habito: herbácea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-10-14 10:01:02-03","FURB","FURB","14027","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2009","08","29","Gasper, A.L. de","2277","2009","08","29","Brasil","Santa Catarina","Luiz Alves","Braço Francês.","-48.9738889","-26.77","-48.9738889","-26.7700000","220","220","FURB07498","FURB07498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-10-14 10:01:02-03","FURB","FURB","14218","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2009","10","10","Korte, A.; Kniess, A.","235","2009","09","17","Brasil","Santa Catarina","Leoberto Leal","Tigre.","-49.23","-27.3597222","-49.2300000","-27.3597222","438","438","FURB07497","FURB07497 FURB07497_1",NA,"Florística IFFSC 424 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-10-14 10:01:02-03","FURB","FURB","15388","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2010","05","20","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4672","2010","05","05","Brasil","Santa Catarina","Santa Rosa de Lima","Nova Fátima.","-49.1369444","-28.0805556","-49.1369444","-28.0805556","276","276","FURB07494","FURB07494",NA,"Florística IFFSC 170 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; interior do fragmento Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-10-14 10:01:02-03","FURB","FURB","15511","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2009","11","17","Stival-Santos, A.; Legal, E. & Silveira, S.","1065","2009","10","28","Brasil","Santa Catarina","Guabiruba","Aymoré.","-49.0494444","-27.09","-49.0494444","-27.0900000","256","256","FURB07496","FURB07496 FURB07496_1 FURB07496_2",NA,"Florística IFFSC 579 (Erva Terrícola) Habitat: Floresta Ombrófila Densa Submontana; Estágio Avançado; mata ciliar Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-10-14 10:01:02-03","FURB","FURB","15851","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Stival-Santos, A","2009","11","05","Stival-Santos, A.; Legal, E. & Silveira, S.","1159","2009","11","05","Brasil","Santa Catarina","Botuverá","Lageado Alto - Recanto Feliz.","-49.14","-27.18","-49.1400000","-27.1800000","307","307","FURB07495","FURB07495",NA,"Florística IFFSC 519 Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-10-14 10:01:02-03","FURB","FURB","16823","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2009","12","09","Verdi, M.; Klettenberg, D.H. & Klemz, G.","3106","2009","11","23","Brasil","Santa Catarina","Morro Grande","Três Barras.","-49.77","-28.71","-49.7700000","-28.7100000","311","311","FURB07493","FURB07493 FURB07493_1",NA,"Florística IFFSC 37 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-10-14 10:01:02-03","FURB","FURB","16944","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2009","11","23","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.","740","2009","11","23","Brasil","Santa Catarina","Blumenau","Área Virgem do Parque Nacional da Serra do Itajaí.","-49.1394444","-27.0969444","-49.1394444","-27.0969444","660","660","FURB07491","FURB07491 FURB07491_1",NA,"Florística IFFSC e578a (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Primário; mata ciliar Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-10-14 10:01:02-03","FURB","FURB","17281","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Salino, A","2010","04","19","Verdi, M.; Klettenberg, D.H. & Klemz, G.","3151","2009","11","23","Brasil","Santa Catarina","Morro Grande","Três Barras.","-49.77","-28.71","-49.7700000","-28.7100000","311","311","FURB07492","FURB07492",NA,"Florística IFFSC 37 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-10-14 10:01:02-03","FURB","FURB","18294","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2009","12",NA,"Korte, A.; Kniess, A.","1357","2009","12","03","Brasil","Santa Catarina","Ituporanga","Alto Rio Bonito.","-49.4105556","-27.54","-49.4105556","-27.5400000","676","676","FURB07490","FURB07490",NA,"Florística IFFSC 344 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-10-14 10:01:02-03","FURB","FURB","18932","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2010","01","25","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","955","2009","12","11","Brasil","Santa Catarina","Morro Grande","Três Barras.","-49.77","-28.71","-49.7700000","-28.7100000","203","203","FURB07489","FURB07489",NA,"Florística IFFSC e37a (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-10-14 10:01:02-03","FURB","FURB","20702","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2010","03","10","Korte, A.; Kniess, A.","1761","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","Nova Esperança.","-49.9505556","-26.7302778","-49.9505556","-26.7302778","535","535","FURB07529","FURB07529",NA,"Florística IFFSC 797 (Erva Terrícola) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-10-14 10:01:02-03","FURB","FURB","20968","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Stival-Santos, A","2010","03","15","Stival-Santos, A.; Legal, E. & Silveira, S.","1605","2010","02","01","Brasil","Santa Catarina","Angelina","Rancho das Tábuas.","-49.0494444","-27.6302778","-49.0494444","-27.6302778","590","590","FURB07530","FURB07530",NA,"Florística IFFSC 314 (Erva Terrícola) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado; interior do fragmento Habito: herbácea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-10-14 10:01:02-03","FURB","FURB","21924","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Verdi, M","2010","03","29","Verdi, M.; Klettenberg, D.H. & Klemz, G.","3737","2010","02","22","Brasil","Santa Catarina","Orleans","Barra do Rio Novo.","-49.3191667","-28.3480555","-49.3191667","-28.3480555","206","206","FURB07528","FURB07528",NA,"Florística IFFSC 97 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-10-14 10:01:02-03","FURB","FURB","22045","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2010","03","29","Korte, A.; Kniess, A.","1998","2010","02","25","Brasil","Santa Catarina","Rio do Campo","Tamanduá.","-50.1291667","-26.9086111","-50.1291667","-26.9086111","733","733","FURB00079","FURB00079",NA,"Florística IFFSC 682 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-10-14 10:01:02-03","FURB","FURB","23056","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2010","04","12","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1717","2010","03","16","Brasil","Santa Catarina","Presidente Nereu","Braço do Solão.","-49.2313889","-27.1813889","-49.2313889","-27.1813889","533","533","FURB07527","FURB07527",NA,"Florística IFFSC e518b (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-10-14 10:01:02-03","FURB","FURB","23221","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2010","04","19","Korte, A.; Kniess, A.","2407","2010","03","30","Brasil","Santa Catarina","Rodeio","São Pedro.","-49.4113889","-26.9102778","-49.4113889","-26.9102778","611","611","FURB07526","FURB07526",NA,"Florística IFFSC 690 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: erva terrícola;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
