"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","relatedCatalogItem","typeStatus","recordNumber","fieldNumber","preparationType","decimalLongitude","decimalLatitude","individualCount","county","minimumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","phylum"
"11","2011-06-06 14:28:00-03","MO","MOBOT","1476901","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|M. Vera","2000","5","11","South America","Paraguay","Around Sargento José E. López. Cerrado scrub.",NA,NA,NA,"F.O. Zuloaga & O. Morrone, 2002 (SI)","Concepción",NA,NA,"Zardini 54435","1206",NA,"-56.8788889","-22.5516667","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2010-04-23 21:34:00-03","MO","MOBOT","2227973","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Osvaldo Morrone|Norma B. Deginani|Diego Giraldo-Cañas","1996","10","20","South America","Argentina","Parque Prov. Teyú Cuaré; Peñón del Teyú Cuaré",NA,NA,NA,"Morrone, O.","Misiones",NA,NA,"Morrone 1634",NA,NA,"-55.58333","-27.26666",NA,"San Ignacio","152.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"13","2011-12-22 05:00:00-02","MO","MOBOT","223377","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Teodoro Rojas","1917","1","26","South America","Paraguay","Puerto Casado (Chaco Paraguayo), Obraje Mosquito (currently Puerto La Victoria).",NA,NA,NA,NA,"Alto Paraguay",NA,NA,"Rojas 2785",NA,NA,"-57.91666","-22.33333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2014-12-11 12:50:00-02","MO","MOBOT","232009","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|C. Velázquez","1990","9","9","South America","Paraguay","Tavarory, on Arroyo Avaí near confluence with Río Paraguay.",NA,NA,NA,"O. Morrone, 1999 (SI)","Central",NA,NA,"Zardini 23454","439",NA,"-57.5","-25.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","232280","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|R. Velázquez","1991","6","18","South America","Paraguay","Tavarory. Paraguay River. Gallery forest with patches of inundated savanna.",NA,NA,NA,"F.O.Zuloaga & O. Morrone (SI)","Central",NA,NA,"Zardini 27630","586",NA,"-57.5","-25.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","232331","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|Leongino Guerrero","1992","12","16","South America","Paraguay","Estero del Ypoá. Villeta - Puerto Guyrati. 10.5 km S of Villeta, on Arroyo Pikysyry. Gallery Forest.",NA,NA,NA,"F.O. Zuloaga & O. Morrone (SI)","Central",NA,NA,"Zardini 34206","791",NA,"-57.56666","-25.6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","232361","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|P. Aquino","1992","12","16","South America","Paraguay","Estero del Ypoá. Villeta - Puerto Guyrati. 11 km S of Villeta, east of trail to Villa Oliva. Inundated savanna on clay soil with patches of forest.",NA,NA,NA,"O. Morrone, 1999 (SI)","Central",NA,NA,"Zardini 34261","792",NA,"-57.58333","-25.6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2010-12-01 18:05:00-02","MO","MOBOT","2341472","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Camilo L. Quarín","1994","3","16","South America","Argentina","76 km ESE de Corrientes",NA,NA,NA,"Quarín, C. L., //","Corrientes",NA,NA,"Quarín 4113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","235070","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|U. Velázquez","1990","7","7","South America","Paraguay","Parque Nacional Vapor Cué. Arroyo Yaghuy. Savanna.",NA,NA,NA,"F.O. Zuloaga & O. Morrone (SI)","Cordillera",NA,NA,"Zardini 21859","380",NA,"-56.66666","-25.33333","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","236467","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|C. Velázquez","1990","11","17","South America","Paraguay","Tavarory, Río Paraguay. Savanna.",NA,NA,NA,"O. Morrone, 1999 (SI)","Central",NA,NA,"Zardini 24172","469",NA,"-57.5","-25.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2014-12-11 11:49:00-02","MO","MOBOT","238104","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|C. Velázquez","1990","11","30","South America","Paraguay","Tavarory. Arroyo Avaí near confluence with Río Paraguay.",NA,NA,NA,"O. Morrone, 1999 (SI)","Central",NA,NA,"Zardini 24419","477",NA,"-57.5","-25.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2013-08-20 13:06:00-03","MO","MOBOT","242739","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|Tulio Tillería","1991","12","9","South America","Paraguay","Tavarory, 3 km S from administration, 1 km E of Río Paraguay.",NA,NA,NA,"F.O. Zuloaga & O. Morrone (SI)","Central",NA,NA,"Zardini 29239","628",NA,"-57.5","-25.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2013-08-20 12:59:00-03","MO","MOBOT","242749","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|C. Velázquez","1990","8","31","South America","Paraguay","Tavarory, along Arroyo Abaí.",NA,NA,NA,"O. Morrone, 1999 (SI)","Central",NA,NA,"Zardini 23033","422",NA,"-57.5","-25.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2009-07-27 09:22:00-03","MO","MOBOT","2429113","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Fernando O. Zuloaga|Osvaldo Morrone","1999","2","22","South America","Argentina","Peñón de la Reina Victoria",NA,NA,NA,"Morrone, O.","Misiones",NA,NA,"Zuloaga 6810",NA,NA,"-55.58333","-27.26666",NA,"San Ignacio","110.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-08-26 04:35:00-03","MO","MOBOT","2429125","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","F. Biganzoli|Fernando O. Zuloaga|Paola Peralta|S. A. Catalano|A.M. Girscht|G. Irrazabal|G. Massaccesi|Y. Sasal","1999","9","23","South America","Argentina","Parque Provincial Teyú Cuaré",NA,NA,NA,"Zuloaga, F. O.","Misiones",NA,NA,"Biganzoli 602",NA,NA,NA,NA,NA,"San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2009-07-27 09:22:00-03","MO","MOBOT","2429977","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Fernando O. Zuloaga|Osvaldo Morrone","2000","10","17","South America","Argentina","Parque Prov. Teyú Cuaré, Peñón de La Reina Victoria",NA,NA,NA,"Zuloaga, F. O.","Misiones",NA,NA,"Zuloaga 7192",NA,NA,NA,NA,NA,"San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-05-30 04:37:00-03","MO","MOBOT","250962","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Ernst Üle",NA,NA,NA,"South America","Brazil","Río Branco, Serra do Mel, Serra do Banco",NA,NA,NA,NA,"Acre",NA,NA,"Üle 8039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2011-12-22 05:01:00-02","MO","MOBOT","2518053","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Teodoro Rojas",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,"Zuloaga, F. O.","Presidente Hayes",NA,NA,"Rojas 22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2009-10-24 07:52:00-02","MO","MOBOT","2518066","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Fernando O. Zuloaga|Osvaldo Morrone","2001","5","8","South America","Paraguay","Ruta Transchaco, Sur de Pozo Colorado, km 200",NA,NA,NA,"Zuloaga, F. O. & Morrone, O.","Presidente Hayes",NA,NA,"Zuloaga 7326",NA,NA,"-58.41666","-23.96666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2011-02-08 08:13:00-02","MO","MOBOT","2967445","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Antonio C. Allem|G. Vieira","1978",NA,NA,"South America","Brazil","Faz. São Bento-Dist. Nabileque-Mun. Corumbá. Solo argiloso.",NA,NA,NA,"O. Morrone","Mato Grosso",NA,NA,"Allem 1497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2008-05-27 22:02:00-03","MO","MOBOT","233641","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|M. Velázquez","1990","2","25","South America","Paraguay","Río Salado, 7 km NE of Emboscada. Inundated savanna on clay.",NA,NA,NA,"F.O. Zuloaga & O. Morrone (SI)","Cordillera",NA,NA,"Zardini 19539","301",NA,"-57.5","-25.11666","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2015-07-07 11:10:00-03","MO","MOBOT","1541829","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|R. Gamarra","2000","12","1","South America","Paraguay","Yacyreta Dam Island Reserve. Punta de observación.",NA,NA,NA,"F.O. Zuloaga & O. Morrone, 2000 (SI)","Itapúa",NA,NA,"Zardini 55522","1220",NA,"-56.8230556","-27.4488889","4",NA,"100.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","3169160","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","K. Fiebrig","1909",NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,"Isolectotype","s.n.",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","1574191","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","E. H. Ule",NA,NA,NA,"South America - Neotropics","Brazil","Rio Branco, Serra do Mel, Serra do Banco.",NA,"US00140109","US00140109_01",NA,"Acre",NA,NA,"8039",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-09-12 05:00:02-03","US","US","1574191","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","E. H. Ule","1909","10",NA,"South America - Neotropics","Brazil","Rio Branco, Serra do Mel, Serra do Banco.",NA,"US00140109","US00140109_01",NA,"Acre",NA,"Syntype","8040",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-09-12 05:00:02-03","US","US","94086","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","E. H. Ule","1909","10",NA,"South America - Neotropics","Brazil","Surumu, Rio Branco.","Fragmentary material of (syn)type collections ex herb. Berlin & ex herb. Kew.","US00902217","US00902217_01",NA,"Acre",NA,"Syntype","8040",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-09-02 16:37:07-03","Cenargen","CEN","33066","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Gert Guenther Hatschbach","1993","02","07",NA,"Brasil","MS-295, Rio Panduí.","Touceiras à beira de córrego. Doação - Museu Botânico Municipal (Curitiba).","CEN00033066","CEN00033066","G. H. Rua","MS",NA,NA,"58615",NA,"Exsicatas","-54.5611000061035","-23.6802997589111","1","IGUATEMI",NA,"2007","04","71460","auto",NA,NA,NA,NA
"38","2020-09-02 16:37:07-03","Cenargen","CEN","25977","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Wilson Hoehne","1948","11","11",NA,"Brasil",NA,"Doação Herbário SPF 11.901","CEN00025977","CEN00025977 CEN00025977_1","R. C. Oliveira","SP",NA,NA,"2848",NA,"Exsicatas","-51.2599983215332","-21.5599994659424","1","PACAEMBU",NA,"1999",NA,"26864","auto",NA,NA,NA,NA
"39","2019-01-25 15:44:47-02","IAC","IAC","25972","S","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","s/col.","1982","02","16",NA,"Argentina","R. Carnevali n.5444","Doação IBONE (Argentina)",NA,NA,"s/det.","Corrientes",NA,NA,"s/nº",NA,NA,"-56.7333","-27.5667",NA,"Ituzaingó",NA,"1982","02",NA,NA,"16","-56.7333","-27.5667",NA
"40","2020-11-12 17:02:36-03","UEL","FUEL","10721","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Assini Filho, JL","1992","10","18",NA,"Brasil","Sítio São José",NA,NA,NA,"Longhi-Wagner, HM","São Paulo",NA,NA,"s.n.",NA,NA,"-49.3199996948242","-23",NA,"Manduri",NA,"2008","10","17514","auto","16",NA,NA,"Tracheophyta"
"41","2021-02-08 12:54:03-03","UFRGS","ICN","174080","S","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Quarín, CL; Espinoza, F; Hojsgaard, D; Aguilera, P","2008","05","06","América do Sul","Paraguai","4 Km S de Villa Hayes, ruta Transchaco Km 26",NA,NA,NA,NA,"Presidente Hayes",NA,NA,"4299",NA,NA,NA,NA,NA,"Villa Hayes",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledon"
