"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","617079","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","13700","1966","02","11","Brazil","Paraná","General Carneiro","Ca. Rio Iratim","-51.3156","-26.4275",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617079","NY00617079_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","617078","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","17331","1967","10","05","Brazil","Paraná","Campina Grande do Sul","Pico Caratuva","-48.829656","-25.241299",NA,NA,"1950","1950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617078","NY00617078_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","617077","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","5285","1967","05","10","Brazil","Paraná",NA,"Roadside near Pitanga",NA,NA,NA,NA,"800","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617077","NY00617077_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","617071","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"L. B. Smith","13377","1964","12","02","Brazil","Santa Catarina","Caçador","Madeireira Rio Verde, 48 km west of Caçador","-51.37","-26.75",NA,NA,"1000","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617071","NY00617071_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","617076","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"L. B. Smith","13921","1964","12","09","Brazil","Santa Catarina","Ipumerim","4-7 km south of the Rio Irani","-52.18","-26.98",NA,NA,"500","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617076","NY00617076_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","617080","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","18381","1968","01","20","Brazil","Paraná","Laranjeiras do Sul","Laranjeiras do Sul","-52.4158","-25.4081",NA,NA,"500","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617080","NY00617080_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","617083","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","8390","1959","02","19","Brazil","Santa Catarina","Sao Joaquim","Curral Falso, Bom Jardim, Sao Joaquim","-49.9317","-28.2942",NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617083","NY00617083_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","617073","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","13700","1966","02","11","Brazil","Paraná","General Carneiro","Cab. Rio Iratim","-51.3156","-26.4275",NA,NA,"800","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617073","NY00617073_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-13 09:20:27-03","UFRJ","RFA","12352","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","D. Legrand",NA,NA,NA,"G.G. Hatschbach","18381","1968","01","20","Brasil","Paraná","Laranjeiras do Sul",NA,"-52.4160995483398","-25.4078006744385",NA,NA,NA,NA,"Árvore 12 m de altura; flor alva; tronco liso","RFA46917",NA,NA,NA,NA,NA,NA,"28404","auto",NA,NA,NA,NA
"20","2021-03-30 12:46:09-03","EAO","IAN","186954","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","Sobral, M","2009","07","31","Pavão, OC; Francisco, EM","24637","1999","02","23","Brasil","Paraná","Tamarana","Acampamento Água Viva; entrada no pátio de lazer.","-51.0971984863281","-23.7233009338379",NA,NA,NA,NA,"Árvore 7m; frutos jovens.","IAN186954",NA,"Dicotiledônea",NA,"Southern America",NA,NA,"23681","auto",NA,NA,NA,NA
"21","2020-01-20 14:40:43-03","UPM","MACK","2753","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","cf. reitzii","Siphoneugena cf. reitzii","D.Legrand.","P.C.G. Silva","2018","03",NA,"L. T. A. Vieira; Costa, P.H.P","462","2017","11","30","Brasil","SP","Campos do Jordão","Colônia de Férias Umuarama","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"Trilha do Pomar",NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"22","2020-01-20 14:40:43-03","UPM","MACK","2747","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","cf. reitzii","Siphoneugena cf. reitzii","D.Legrand.","P.C.G. Silva","2018","03",NA,"L. T. A. Vieira; Costa, P.H.P","456","2017","11","26","Brasil","SP","Campos do Jordão","Colônia de Férias Umuarama","-22.7637513","-45.5784901","-22,7637513","-45,5784901",NA,NA,"Trilha do Pomar","HMACK00002747-L.T.A.Vieira456-26/11/2017,ColôniadeFériasUmuarama,CamposdoJordão,SP,Brasil-45,5784901-22,7637513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-01-20 14:40:43-03","UPM","MACK","2072","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","M. Fascina",NA,NA,NA,"A. Buccaran","A190","2011","07","05","Brasil","SP","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"24","2020-01-20 14:40:43-03","UPM","MACK","1503","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","F. F. Mazine",NA,NA,NA,"M. Fascina","A157","2011","05","07","Brasil","SP","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"25","2020-01-20 14:40:43-03","UPM","MACK","1369","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","M. Sobral","2009","07",NA,"M. Verdi; et al.","1069","2009","05","07","Brasil","SC","Rio Rufino","Morro das Torres, floresta Ombrófila Densa, entorno.","-49.7792015075684","-27.8605995178223","S","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29300","auto",NA,NA,NA,NA
"26","2020-01-20 14:40:43-03","UPM","MACK","2074","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","F. F. Mazine",NA,NA,NA,"A. Buccaran","A157","2011","05","07","Brasil","SP","Campos do Jordão","Trilha das Sete Quedas","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"27","2020-01-20 14:40:43-03","UPM","MACK","2071","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","F. F. Mazine",NA,NA,NA,"A. Buccaran","A229","2011","07","06","Brasil","SP","Campos do Jordão","Trilha das Sete Quedas","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"28","2020-01-20 14:40:43-03","UPM","MACK","1504","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","F. F. Mazine",NA,NA,NA,"M. Fascina","A179","2011","07","05","Brasil","SP","Campos do Jordão","Trilha do por do sol","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"29","2020-01-20 14:40:43-03","UPM","MACK","2073","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","F. F. Mazine",NA,NA,NA,"A. Buccaran","A199","2011","07","05","Brasil","SP","Campos do Jordão","Trilha do Pôr-do-sol","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"30","2020-01-20 14:40:43-03","UPM","MACK","2075","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","F. F. Mazine",NA,NA,NA,"A. Buccaran","A179","2011","07","05","Brasil","SP","Campos do Jordão","Trilha do Pôr-do-sol","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA
"31","2020-10-27 11:22:06-03","PUCPR","HUCP","18627","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","1369","2007","10","27","Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,"HUCP00015968","HUCP00015968","Eudicotiledonea",NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA
"32","2020-10-27 11:22:06-03","PUCPR","HUCP","20646","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2310","2009","04","18","Brasil","Paraná","Campina Grande do Sul","Morro Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,"HUCP00015898","HUCP00015898","Eudicotiledonea",NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA
"33","2020-10-27 11:22:06-03","PUCPR","HUCP","21367","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Lozano, E",NA,NA,NA,"Lozano, E; Selusniaki, M","113","2009","04","25","Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00015972","HUCP00015972","Eudicotiledonea",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA
"34","2020-10-27 11:22:06-03","PUCPR","HUCP","21368","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Lozano, E",NA,NA,NA,"Lozano, E; Selusniaki, M","110","2009","04","25","Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00015912","HUCP00015912","Eudicotiledonea",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA
"35","2020-10-27 11:22:06-03","PUCPR","HUCP","18844","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","1339","2007","04","05","Brasil","Paraná","Tijucas do Sul","Morro dos Perdidos","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,"HUCP00015229","HUCP00015229","Eudicotiledonea",NA,NA,NA,NA,"25228","auto",NA,NA,NA,NA
"36","2020-10-27 11:22:06-03","PUCPR","HUCP","17518","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Selusniaki, M","2006","07","11","Beltrami, L","062","2006","06","28","Brasil","Paraná","Campina Grande do Sul","Morro Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,"HUCP00015617","HUCP00015617","Eudicotiledonea",NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA
"37","2020-10-27 11:22:06-03","PUCPR","HUCP","12362","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Sliva, SM Meneses",NA,NA,NA,"Goldenberg, R","484","1999","03","12","Brasil","Paraná","Campo Largo","Serra de São Luiz do Purunã","-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,"Nº 37681.","HUCP00015608","HUCP00015608","Eudicotiledonea",NA,NA,NA,NA,"53742","auto",NA,NA,NA,NA
"38","2020-10-27 11:22:06-03","PUCPR","HUCP","17312","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","s.n.","2006","03","19","Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,"HUCP00015812","HUCP00015812","Eudicotiledonea",NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA
"39","2020-10-27 11:22:06-03","PUCPR","HUCP","17304","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","s.n.","2006","04","10","Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,"HUCP00015920","HUCP00015920","Eudicotiledonea",NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA
"40","2020-10-27 11:22:06-03","PUCPR","HUCP","21177","S","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand, D.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2094","2008","05","17","Brasil","Paraná","Tijucas do Sul","Morro dos Perdidos","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,"HUCP00015860","HUCP00015860","Eudicotiledonea",NA,NA,NA,NA,"25228","auto",NA,NA,NA,NA
"41","2019-10-09 11:21:46-03","UFBA","ALCB","125854","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","Sobral, M","2012",NA,NA,"Sobral, M","14945","2012","08","15","Brasil","Minas Gerais","Barbacena",NA,"-43.899444","-21.1675","-43.899444","-21.1675","1049","1049","ca. 2m alt. flores brancas.","ALCB030004",NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:21:46-03","UFBA","ALCB","129628","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D. Legrand","Lozano, ED","2009",NA,NA,"Lozano, ED","84","2009","09","18","Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, pico caratuva.","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"ca 1m de altura, flores alvas.; Alto montana.","ALCB047278","ALCB047278","Dicotyledon",NA,"Southern America",NA,NA,"55154","auto",NA,NA,NA,NA
"43","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.1073344","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand",NA,NA,NA,NA,"Reitz R",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1073344 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1073344","NL-L1073344",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae","USw25549",NA,NA
"44","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.1073345","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand",NA,NA,NA,NA,"Reitz R",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1073345 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1073345","NL-L1073345",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"45","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.1132530","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand",NA,NA,NA,NA,"Reitz R",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1132530 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1132530","NL-L1132530",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae","USw25549",NA,NA
"46","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.1134871","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand",NA,NA,NA,NA,"Hatschbach GG; Koczicki C",NA,"1969","01","15","Brazil",NA,NA,"Est Paraná (Brasil). Mun Campina Grande Sui. Serra Capivari Grande.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1134871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1134871","NL-L1134871",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"47","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.2523792","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1968","05","05","Brazil",NA,NA,"Plantas de Santa Catarina - Brasil. Morro Spitzkopf, Blumenau.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2523792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2523792","NL-L2523792",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"48","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.2523793","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand",NA,NA,NA,NA,"Hatschbach GG; Koczicki C",NA,"1969","01","15","Brazil",NA,NA,"Est Paraná (Brasil). Mun Campina Grande Sui. Serra Capivari Grande.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2523793 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2523793","NL-L2523793",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"49","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.2523794","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1967","05","20","Brazil",NA,NA,"Est. Parana (Brasil). Mun Campina Gde. do Sul. Pico Caratuva.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2523794 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2523794","NL-L2523794",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
