"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"28","2019-12-04 15:26:06-03","PUCPR","HUCP","23438","S","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","Brotto, M",NA,NA,NA,"Brotto, M","1818","2014","11","04","Brasil","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.9911003112793","-24.6571998596191",NA,NA,NA,NA,NA,"HUCP00012849","HUCP00012849",NA,NA,NA,"Magnoliidae",NA,NA,"49901","auto",NA,NA,NA,NA
"29","2020-02-08 09:36:24-03","NBC","NL-BOTANY","L.1066834","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1066834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1066834","NL-L1066834","Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae","U 0053095 | Uw 6370",NA,NA
"30","2020-02-08 09:36:24-03","NBC","NL-BOTANY","L.1804184","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","01","26","Brazil",NA,NA,"Plantas de Santa Catarina-Brasil, Alto Matador, Rio do Sul, Pinhal.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1804184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1804184","NL-L1804184","Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"31","2020-02-08 09:36:24-03","NBC","NL-BOTANY","L.1804185","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Reitz R",NA,"1958","12","31","Brazil",NA,NA,"Plantas de Santa Catarina-Brasil, Rio do Sul, Mata.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1804185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1804185","NL-L1804185","Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"32","2020-02-08 09:36:24-03","NBC","NL-BOTANY","L.1804186","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1957","12","30","Brazil",NA,NA,"Plantas de Santa Catarina-Brasil, Sabiá, Vidal Ramos, Mata.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1804186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1804186","NL-L1804186","Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"33","2020-02-08 09:36:29-03","NBC","NL-BOTANY","U 0002950","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo","Allen CK","1964","07","01","Klein RM",NA,"1955","02","10","Brazil","Santa Catarina",NA,"Santa CatarinaMorro de Fazenda, Itajaí",NA,NA,NA,NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002950","NL-U0002950","Southern America",NA,NA,NA,"Laurales","isotype",NA,NA,"Magnoliopsidae","93900 B",NA,NA
"34","2020-02-08 09:36:29-03","NBC","NL-BOTANY","U 0053096","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200053096 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0053096",NA,"Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae","Uw 6370",NA,NA
"35","2020-02-08 09:36:29-03","NBC","NL-BOTANY","U 0275930","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200275930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0275930",NA,"Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae","Uw6370",NA,NA
"36","2020-02-08 09:36:29-03","NBC","NL-BOTANY","U.1416496","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Brade AC",NA,"1929","09","17","Brazil",NA,NA,"Estado do Rio: Theresopolis: varzea.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416496","NL-U1416496","Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"37","2020-02-08 09:36:29-03","NBC","NL-BOTANY","U.1416497","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1957","12","30","Brazil",NA,NA,"SANTA CATARINA. Sabiá, Vidal Ramos. Mata.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416497","NL-U1416497","Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"38","2020-02-08 09:36:29-03","NBC","NL-BOTANY","U.1416498","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Klein RM",NA,"1955","04","22","Brazil",NA,NA,"SANTA CATARINA. Morro da Fazenda, Itajaí. Mata.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416498","NL-U1416498","Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"39","2020-02-08 09:36:30-03","NBC","NL-BOTANY","U.1416499","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo",NA,NA,NA,NA,"Harley RM",NA,"1974","01","31","Brazil",NA,NA,"ESTADO DE BAHIA. SERRA DO SINCORÁ. 16 km N. of Barra da Estiva on the Paraguacu road. Burnt-over grassland and low woodland on sand.","-41.333333","-13.333333","-41.333333","-13.333333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416499","NL-U1416499","Southern America",NA,NA,NA,"Laurales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"40","2020-11-04 11:12:04-03","ESALQ","ESA","29261","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","Baitello, J.B.",NA,NA,NA,"Ivanauskas, N.M. ; Mazine, F.F.","817.0","1996","06","01","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA029261",NA,NA,NA,NA,"Magnoliophyta",NA,NA,"17990","auto",NA,NA,NA,NA
"41","2020-11-04 11:12:04-03","ESALQ","ESA","21976","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","Baitello, J.B.",NA,NA,NA,"Jarenkow, J.A.","2383.0","1994","01","11","Brasil","Rio Grande do Sul","Morrinhos do Sul",NA,"-49.934700012207","-29.3649997711182",NA,NA,NA,NA,NA,"ESA021976",NA,NA,NA,NA,"Magnoliophyta",NA,NA,"12766","auto",NA,NA,NA,NA
"42","2020-11-04 11:12:04-03","ESALQ","ESA","6819","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","Baitello, J.B.",NA,NA,NA,"Moraes, P.L.R.","484.0","1991","07","31","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA006819",NA,NA,NA,NA,"Magnoliophyta",NA,NA,"27904","auto",NA,NA,NA,NA
"43","2020-11-04 11:12:04-03","ESALQ","ESA","104280","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia",NA,"Baitello, J.B.","2002","03","19","Aguiar, O.T.","1082.0","2002","03","13","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA104280","ESA104280",NA,NA,NA,"Magnoliophyta",NA,NA,"27904","auto",NA,NA,NA,NA
"44","2020-11-04 11:12:04-03","ESALQ","ESA","124216","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia",NA,"Moraes, P.L.R.",NA,NA,NA,"Urbanetz, C.","372.0","2004","03","17","Brasil","São Paulo","Cananéia","Fazenda Folha Larga, trilha do Vitória.","-47.9199981689453","-25.0100002288818",NA,NA,"30","30",NA,"ESA124216",NA,NA,NA,NA,"Magnoliophyta",NA,NA,"37574","auto",NA,NA,NA,NA
"45","2020-11-04 11:12:04-03","ESALQ","ESA","82582","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","Baitello, J.B.",NA,NA,NA,"Hatschbach, G. ; Silva, J.M.","61471.0","1994","12","08","Brasil","Paraná","Cerro Azul",NA,"-49.261100769043","-24.823600769043",NA,NA,NA,NA,NA,"ESA082582","ESA082582",NA,NA,NA,"Magnoliophyta",NA,NA,"32006","auto",NA,NA,NA,NA
