"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","00955404","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","H. S. Irwin","21815","1969","01","12","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955404","NY00955404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02702120","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi",NA,"P. Fiaschi","3716","2011","04","03","South America","Brazil","Paraná","Campo Largo","Rodovia BR-277. junto ao viaduto de acesso a Campo Largo.","-49.5086","-25.44203","975",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997316' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702120","NY02702120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","617234","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","R. Reitz","31803","1946","02","08","South America","Brazil","Santa Catarina","Araranguá","Araranguá","-49.4856","-28.9347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617234","NY00617234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00955420","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","E. P. Heringer","2416","1979","10","10","South America","Brazil","Goiás",NA,"Estrada Alto Paraíso-Teresina",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955420","NY00955420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02702119","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi",NA,"P. Fiaschi","3716","2011","04","03","South America","Brazil","Paraná","Campo Largo","Rodovia BR-277. junto ao viaduto de acesso a Campo Largo.","-49.5086","-25.44203","975",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997315' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702119","NY02702119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00955423","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","E. P. Heringer","17322","1979","04","20","South America","Brazil","Distrito Federal","Brasília","Jardim Zoológico.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955423","NY00955423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00955421","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","E. P. Heringer","3179","1980","01","23","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955421","NY00955421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1018730","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","P. Fiaschi","942","2002","01","24","South America","Brazil","São Paulo","São Paulo","Parque Tenente Siqueira Campos (Trianon-Masp).","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262143' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018730","NY01018730_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1128401","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","G. G. Hatschbach","36855","1975","05","25","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros","-47.4581","-13.7975",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280806' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128401","NY01128401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00955405","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","H. S. Irwin","22316","1969","01","20","South America","Brazil","Minas Gerais",NA,"Ca. 20km SW of Diamantina. Serra do Espinhaço.","-43.7","-18.37","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955405","NY00955405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","03227438","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi",NA,"see Collection Note","427","1910","08","26","South America","Argentina","Misiones",NA,"Salt Iguazú",NA,NA,NA,NA,"sheet","leg. Rodriguez. No. 10418 [?] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3536476' target='other'> <mi>dwc_moreinfo</mi></a>","NY03227438","NY03227438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01090465","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","J. R. Pirani","5205","2004","01","20","South America","Brazil","Minas Gerais","Congonhas do Norte","Serra Talhada (braço norte da Serra do Cipó) 11,4 km SW da estrada Congonhas do Norte- Gouveia, entrada a 3,7 km NW de Congonhas do Norte, estrada pelo alto da serra denominada localmente como Serra do Jõao Camilo rumo ao vale do Rio Preto","-43.74594","-18.85511","1313","1313","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222513' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090465","NY01090465_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","03227440","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi",NA,"J. E. Montes","27482","1957","07","19","South America","Argentina","Misiones","San Pedro","El Soberbio",NA,NA,"500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3536478' target='other'> <mi>dwc_moreinfo</mi></a>","NY03227440","NY03227440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00955292","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","J. R. Pirani","11027","1988","01","11","South America","Brazil","Minas Gerais","Santana do Riacho","Rodovia Belo Horizonte-Conceição do Mato Dentro, entre Km 110 e 111. Próximo ao Córrego 2 Pontinhas.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955292","NY00955292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1184179","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","A. C. Cervi","3665","1992","04","14","South America","Brazil","Paraná","Ponta Grossa","Vila Velha","-49.98","-25.42",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465117' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184179","NY01184179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00955402","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","H. S. Irwin","13561","1966","03","05","South America","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 10 km W. of Cristalina","-47.69379","-16.75","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955402","NY00955402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00955406","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","A. E. Heringer Salles","10793","1965","11","26","South America","Brazil","Distrito Federal","Brasília","Parque Nacional do Gama.","-48.05","-16.03",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955406","NY00955406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","617238","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","P. K. H. Dusén","16807","1915","03","13","South America","Brazil","Paraná",NA,"Patrimonio",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617238","NY00617238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","03227437","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi",NA,"M. G. Bovini","3843","2013","06","20","South America","Brazil","Rio de Janeiro","Magé","Reserva Particular do Patrimônio Natural Campo Escoteiro Geraldo Hugo Nunes.","-43.040599822998","-22.6527996063232",NA,NA,"sheet","RB 590784 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3535760' target='other'> <mi>dwc_moreinfo</mi></a>","NY03227437","NY03227437_01","20531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00955293","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin","D. G. Frodin","H. S. Irwin","11511","1966","01","09","South America","Brazil","Distrito Federal","Brasília","Córrego Paranoazinho, near Sobradinho.","-47.9294","-15.7797","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955293","NY00955293_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1581776","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin","D. G. Frodin","H. S. Irwin","33046","1971","03","23","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 30 km N of Alto do Paraíso","-47.5167","-13.84555","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581776","NY01581776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-03-20 11:47:01-03","MCN-PUC-MINAS","HPUC-MG","ANG3528","S","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva",NA,"F.S. Souza","Morta, R.C.",NA,"2011","07","12",NA,"Brasil","Minas Gerais","Mariana","Mina de Fábrica Nova","-43.433333","-20.198611",NA,NA,NA,"Doação Bioma.",NA,NA,NA,NA,"2012","08","43°26'00''W","20°11'55''S",NA,NA,NA,NA,NA,NA
"33","2021-04-08 17:36:53-03","EAO","IAN","XILO5129X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Araliaceae","Didymopanax","calvum","Didymopanax calvum",NA,NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IANXILO5129X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-04-08 17:36:53-03","EAO","IAN","XILO5129X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Araliaceae","Didymopanax","calvum","Didymopanax calvum",NA,NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IANXILO5129X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:34:18-03","EAO","IAN","154366","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi","Pires, JM; Silva, NT da","9462","1963","04","26","Southern America","Brasil",NA,NA,"Granja Rui Malta, córrego Sobradinho. Mata ciliar encharcada.",NA,NA,NA,NA,NA,"Árvore de 8m e 10cm de diâmetro; frutos (imaturos) esverdedo-arroxeado.","IAN154366",NA,NA,NA,"2008","08",NA,NA,"12",NA,NA,NA,NA,NA
"36","2021-03-30 12:34:21-03","EAO","IAN","135545","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Araliaceae","Schefflera","pachycarpa","Schefflera pachycarpa","(Marchal) Frodin","Frodin, DG","Irwin, HS; Santos, RR dos","21815","1969","01","12","Southern America","Brasil","Minas Gerais",NA,"Gallery shade. Grassy meadow bordering galery forest, ca. 27km SW of Diamantina on road to Gouveia.",NA,NA,"1300","1300",NA,"Tree ca. 4m x 4cm. Flowers gray-green. Fruit greenish violet.","IAN135545",NA,NA,NA,"1969",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:34:21-03","EAO","IAN","135546","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Araliaceae","Schefflera","pachycarpa","Schefflera pachycarpa","(Marchal) Frodin","Frodin, DG","Irwin, HS; Santos, RR dos","21815","1969","01","12","Southern America","Brasil","Minas Gerais",NA,"Gallery shade. Grassy meadow bordering galery forest, ca. 27km SW of Diamantina on road to Gouveia.",NA,NA,"1300","1300",NA,"Tree ca. 4m x 4cm. Flowers gray-green. Fruit greenish violet.","IAN135546",NA,NA,NA,"1969",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:34:21-03","EAO","IAN","135554","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Araliaceae","Schefflera","pachycarpa","Schefflera pachycarpa","(Marchal) Frodin","Frodin, DG","Irwin, HS; Santos, RR dos","22316","1969","01","20","Southern America","Brasil","Minas Gerais",NA,"Gallery. Revine with steep rocky walls, ca. 20km SW of Diamantina.",NA,NA,"1200","1200",NA,"Tree ca. 5m x 8cm. Flowers light gray-green. Fruit purplish green.","IAN135554",NA,NA,NA,"1969",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-08 08:43:31-03","NBC","NL-BOTANY","U.1094635","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Didymopanax","micranthus","Didymopanax micranthus","Marchal",NA,"Lindeman JC; Haas JH de",NA,"1966","05","12","Southern America","Brazil",NA,NA,"Brasiliae Australis, Est. Paraná, Near Rio Tigre Preto, ca.25 km S. of Marmeleiro, border of Santa Catarina.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1094635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1094635","NL-U1094635",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"40","2020-02-08 08:43:37-03","NBC","NL-BOTANY","L.2562717","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin",NA,"Claussen P",NA,"1837","01","01","Southern America","Brazil",NA,NA,"Brasilia. Rio Jan Franciseo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2562717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2562717","NL-L2562717",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"41","2020-02-08 08:43:37-03","NBC","NL-BOTANY","L.2568291","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin",NA,"Mexia YEJ",NA,"1931","04","10","Southern America","Brazil",NA,NA,"Brazil, Minas Geraes. Fazendo do DIamante; pasture north of building; dry, red clay slope.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2568291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2568291","NL-L2568291",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"42","2020-02-08 08:43:37-03","NBC","NL-BOTANY","U.1094667","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin",NA,"Mexia YEJ",NA,"1931","04","10","Southern America","Brazil",NA,NA,"Brazil, Minas Geraes. Fazendo do DIamante; pasture north of building; dry, red clay slope.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1094667 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1094667","NL-U1094667",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"43","2020-11-04 11:00:29-03","ESALQ","ESA","98804","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Araliaceae","Schefflera","calva","Schefflera calva",NA,"Fiaschi, P.","Araújo, F.S.","40.0","2001","03","24",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA098804","ESA098804","30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:00:29-03","ESALQ","ESA","129220","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Araliaceae","Schefflera","calva","Schefflera calva",NA,"Colletta, G.D. & Flores, T.B.","Colletta, G.D.","1636.0","2014","05","22",NA,"Brasil","São Paulo","Assis","Estação ecológica estrada da parcela","-50.4099998474121","-22.6599998474121",NA,NA,NA,"Àrvore, 4m, face abaxial ferrugínea","ESA129220",NA,"23972","auto","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA
