"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","relatedCatalogItem","typeStatus","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"11","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410799","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Maas PJM; Benthem J van",NA,NA,NA,"Davidse G; Ramamoorthy TP; Vital DM","1976","04","04","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410799","NL-U1410799",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae","U 0118930",NA,NA,NA,NA,NA
"12","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410801","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Schwacke CAW","1880","11","11","Brazil",NA,NA,"Rio fraude Azul.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410801","NL-U1410801",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410802","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Hatschbach GG; Guimarães OA","1979","07","17","Brazil",NA,NA,"Rio Ferro Doido (mun. Morro do Chapeu) Bahia.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410802","NL-U1410802",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410803","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Hatschbach GG; Zardini EM","1984","02","09","Brazil",NA,NA,"Baln. Itapiruba (mun. Imbituba) Santa Catarina.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410803","NL-U1410803",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410804","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Pirani JR; et al.","1981","07","21","Brazil",NA,NA,"Campos Rupestres, Bahia, Mucuge: Estrada nova, Andarai-Mucuge, a 13km de Mucuge, proximoa grande pedreira na margem esquerda.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410804 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410804","NL-U1410804",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"16","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410805","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Valls JFM","1972","05","18","Brazil",NA,NA,"Osorio-Parque Historico General Osorio.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410805 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410805","NL-U1410805",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"17","2020-02-08 08:59:53-03","NBC","NL-BOTANY","WAG.1489013","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Fraga CN; Saavedra MM; Meireles JE; Neri J","2009","07","11","Brazil","Bahia",NA,"Bahia (BA), Mucugê. Capão do Correia, trilha para o Largo da Baixa. Esta vicinal saindo Caraiba a 17,5 Km da BA 142.","-41.373056","-13.127778","-41.373056","-13.127778",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1489013 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1489013","NL-WAG1489013",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"18","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410800","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Harley RM; Bromley GL; et al.","1980","05","31","Brazil","Bahia",NA,NA,"-41.033333","-11.633333","-41.033333","-11.633333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410800","NL-U1410800",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae","U 0118931",NA,NA,NA,NA,NA
"19","2021-01-14 15:26:36-03","MN","R","102938","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Benthem, J. & Maas, P.J.M.","1977",NA,NA,"Smith, L.B.","1952","02","27","Brasil","Santa Catarina","Araranguá",NA,"-49.583333","-29.133333","49°35'W","29°08'S","3","3",NA,NA,NA,"5891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-31 13:37:05-03","MN","R","31813","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Benthem, J. van & Maas, P.J.M.","1977",NA,NA,"Schwacke, C.A.W.","1880","02","02","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II - 251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:26:36-03","MN","R","31814","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Benthem, J. van & Maas, P.J.M.","1977",NA,NA,"Schwacke, C.A.W.","1880","02","02","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Ex Herb. Um. Nat.",NA,NA,"31814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-31 13:37:05-03","MN","R","51071","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Benthem, J. van & Maas, P.J.M.","1977",NA,NA,"s.col.","1880","02","11","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Herb. Schwacke/ Herb. J. Saldanha",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-02-02 14:37:54-02","BGBM","B","B 10 0296388","S","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"G. A. Malme","1892","12","05","Brazil",NA,NA,"civit. Rio Grande do Sul; Quinta pr. oppidum Rio Grande. Loco aperto arenoso, pareo (?) breviterque graminoso.",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100296388 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100296388","B100296388","424","Middle and South America",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA
"24","2019-02-15 11:35:42-02","IPA","IPA","63662","S","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Miranda, E.B.","1999","09",NA,"Miranda, E.B.; Silva, E.A.; Silva, E.A.","1999","09","04","Brasil","Bahia","Lençóis","trilha para a Gruta do Lapão. Encontrada em local associada a Eriocaulaceae, musgos, Utricularia e Xyridaceae.","-41.3899993896484","-12.563099861145",NA,NA,NA,NA,"Erva ca. 15cm. Caule verde.Flor com duas alas brancas, lobos da corola laranja e ovário lilás. Fruto seco.; Mata de encosta.","IPA0063662",NA,"203","Southern America",NA,NA,"Plantae",NA,NA,NA,NA,"47385","auto",NA,NA
"25","2019-08-27 13:26:30-03","IAP","PACA-AGP","87410","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","J. F. Barbosa",NA,NA,NA,"Mauhs, J.","2001","05","31","Brasil","RS","Palmares do Sul","Lagoa da Porteira","-50.5097007751465","-30.2577991485596",NA,NA,NA,NA,"VULNERÁVEL Habitat: Em área úmida próximo da lagoa. Saprófita.","PACA087410",NA,NA,NA,NA,NA,"Magnoliophyta","Orchidales","Liliatae",NA,NA,"31350","auto",NA,NA
"26","2019-08-27 13:26:30-03","IAP","PACA-AGP","54815","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","B. Rambo SJ","1954","05","19","Rambo, B.","1954","02","11","Brasil","RS","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"VULNERÁVEL Habitat: Prope litus in arenosis humidis. Fenofase: flor e fruto","PACA054815",NA,NA,NA,NA,NA,"Magnoliophyta","Orchidales","Liliatae",NA,NA,"20837","auto",NA,NA
"27","2019-08-27 13:26:30-03","IAP","PACA-AGP","103193","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","J. Mauhs",NA,NA,NA,"C. Foss","2004","05","27","Brasil","RS","Quintão","Lagoa da Porteira",NA,NA,NA,NA,NA,NA,"Habitat: Na borda do banhado.","PACA103193",NA,NA,NA,NA,NA,"Magnoliophyta","Orchidales","Liliatae",NA,NA,NA,NA,NA,NA
"28","2019-08-27 13:26:30-03","IAP","PACA-AGP","72200","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","B. Rambo SJ","1950","12",NA,"Sehnem, A.","1950","12",NA,"Brasil","RS","Osório","Lagoa da Pinguela","-50.2696990966797","-29.8866996765137",NA,NA,"5","5","VULNERÁVEL Habitat: In paludosos ad lacum.","PACA072200",NA,"5706",NA,NA,NA,"Magnoliophyta","Orchidales","Liliatae",NA,NA,"27350","auto",NA,NA
"29","2019-08-27 13:26:30-03","IAP","PACA-AGP","49716","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Emrich-Rambo","1954","05","19","Rambo, B.","1951","01","18","Brasil","RS","Torres","Lagoa dos Quadros","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Habitat: In paludosis ad litus lacustre. Fenofase: flor","PACA049716",NA,NA,NA,NA,NA,"Magnoliophyta","Orchidales","Liliatae",NA,NA,"20837","auto",NA,NA
"30","2019-08-27 13:26:30-03","IAP","PACA-AGP","31469","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Emrich-Rambo","1954","05","19","Rambo, B.","1946","02","01","Brasil","SC","Araranguá","Sombrio","-49.4858016967773","-28.934700012207",NA,NA,NA,NA,"VULNERÁVEL Habitat: In subpaludosis ad litus lacustre. Fenofase: flor e fruto","PACA031469",NA,NA,NA,NA,NA,"Magnoliophyta","Orchidales","Liliatae",NA,NA,"19353","auto",NA,NA
"31","2020-12-20 21:16:30-03","UFV","VIC","37979","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Valduga, E.","2012","05",NA,"Gonzatti, F.","2011","12","27","Brasil","Rio Grande do Sul","Palmares do Sul","Lagoa do Cipó, Entre as dunas, local úmido.","-50.5097007751465","-30.2577991485596",NA,NA,NA,NA,"5 metros.","VIC037979","VIC037979","281",NA,NA,NA,NA,NA,NA,NA,NA,"31350","auto",NA,NA
"32","2019-01-17 11:22:57-02","PUCRS","MPUC","21051","S","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","J.A. Jarenkow",NA,NA,NA,NA,"2017","05","27","Brasil","RS","Arroio do Sal",".","-49.8623111","-29.5118917","-49.8623111000","-29.5118917000",NA,NA,"Em baixada úmida",NA,NA,NA,"South America",NA,NA,NA,"Orchidales","Liliopsida",NA,NA,NA,NA,"1",NA
"33","2021-03-16 17:51:45-03","UCS","HUCS","41603","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Gonzatti, F.","2014","07","16","Gonzatti, F.","2014","03","16","Brasil","Rio Grande do Sul","Santa Vitória do Palmar","Hermenegildo","-53.273442","-33.656403","-53.273442","-33.656403","9","9","erva ereta em campo úmido.",NA,NA,"1073",NA,NA,NA,"Angiospermae","Dioscoreales",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-16 17:51:45-03","UCS","HUCS","42709","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Gonzatti, F.; Demeda, C.","2015","03","02","Demeda, C.","2014","11","29","Brasil","Rio Grande do Sul","Osório","Lagoa do Peixoto","-50.270472","-29.885056","-50.270472","-29.885056","4","4","erva; margem da lagoa",NA,NA,"24",NA,NA,NA,"Angiospermae","Dioscoreales",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-16 17:51:45-03","UCS","HUCS","38606","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Valduga, E.","2012","05",NA,"Gonzatti, F.","2011","12","27","Brasil","Rio Grande do Sul","Palmares do Sul","Lagoa do Cipó","-50.5097007751465","-30.2577991485596",NA,NA,NA,NA,"Entre as dunas - local úmido",NA,NA,"281",NA,NA,NA,"Angiospermae","Dioscoreales",NA,NA,NA,"31350","auto",NA,NA
"36","2020-12-21 16:19:38-03","MBM","MBM","91909","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Maas, P.J.M.",NA,NA,NA,"Hatschbach, G.; Zardini, E.M.; Zardini, E.M.","1984","02","09","Brazil","Santa Catarina","Imbituba","Balneário Itapurubá","-48.6702995300293","-28.2399997711182",NA,NA,NA,NA,NA,"MBM091909","MBM091909","47599","Southern America",NA,NA,NA,NA,NA,NA,NA,"18719","auto",NA,NA
"37","2020-12-21 16:19:38-03","MBM","MBM","405348","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Lozano, E.D.","2016",NA,NA,"Lozano, E.D.; Engels, M.E.; Engels, M.E.","2013","12","12","Brazil","Paraná","Candói","Fazenda Capão Redondo","-51.803222","-25.423556","-51.803222","-25.423556",NA,NA,"Herbácea, 15 cm, flores amarelas, campo úmido em alfloramento de basalto.; Campos de Guarapuava.","MBM405348","MBM405348","2295","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:19:38-03","MBM","MBM","63643","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Maas, P.J.M.",NA,NA,NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","1979","07","17","Brazil","Bahia","Morro do Chapéu","Rio Ferro Doido","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,NA,"MBM063643","MBM063643","42430","Southern America",NA,NA,NA,NA,NA,NA,NA,"98143","auto",NA,NA
"39","2020-12-21 16:19:38-03","MBM","MBM","91910","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Maas, P.J.M.",NA,NA,NA,"Hatschbach, G.; Kummrow, R.; Kummrow, R.","1984","06","15","Brazil","Bahia","Mucugê","Mucugê, arredores","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,"MBM091910","MBM091910","47950","Southern America",NA,NA,NA,NA,NA,NA,NA,"52493","auto",NA,NA
"40","2020-12-21 16:19:38-03","MBM","MBM","91844","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Sobral, M.",NA,NA,NA,"Sobral, M.","1983","06","03","Brazil","Rio Grande do Sul","Torres","Torres","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,NA,"MBM091844","MBM091844","2057A","Southern America",NA,NA,NA,NA,NA,NA,NA,"20837","auto",NA,NA
"41","2015-09-03 19:19:38-03","MNHN","RECOLNAT_MNHN_P","P02086187","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Saint-Hilaire, A.","1816","1","1","Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086187' target='other'> <mi>dwc_moreinfo</mi></a>","P02086187","P02086187_01",NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1775"
"42","2015-09-03 19:19:39-03","MNHN","RECOLNAT_MNHN_P","P02086191","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Saint-Hilaire, A. de","1816","1","1","Brasil","Santa Catarina",NA,"Province de Sainte Catherine",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086191' target='other'> <mi>dwc_moreinfo</mi></a>","P02086191","P02086191_01",NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1775"
"43","2015-09-03 19:19:38-03","MNHN","RECOLNAT_MNHN_P","P02086189","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Blanchet",NA,NA,NA,"Brasil","Bahia","Jacobina",NA,"-40.5182991027832","-11.1806001663208",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086189' target='other'> <mi>dwc_moreinfo</mi></a>","P02086189","P02086189_01",NA,NA,"hb",NA,NA,NA,NA,NA,NA,"62396","auto",NA,"2547"
"44","2015-09-03 19:19:38-03","MNHN","RECOLNAT_MNHN_P","P02086186","PreservedSpecimen",NA,"Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Blanchet","1836","1","1","Brasil","Bahia","Jacobina","La Jacobina (Brésil)","-40.5182991027832","-11.1806001663208",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086186' target='other'> <mi>dwc_moreinfo</mi></a>","P02086186","P02086186_01",NA,NA,"hb",NA,NA,NA,NA,NA,NA,"62396","auto",NA,"2547"
"45","2015-01-20 11:21:00-02","MO","MOBOT","100771940","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","J. van Benthem & P. J. M. Maas (U)",NA,NA,NA,"Jacques S. Blanchet",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blanchet 2547","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"46","2008-05-27 22:02:00-03","MO","MOBOT","1824079","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","P.J.M. Maas",NA,NA,NA,"Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital","1976","4","4","Brazil","Bahia",NA,"Chapada da Diamantina, along waterfall of the Rio Ferro Doido, ca. 21 km E of Morro do Chapéu.","-39.083333","-11.65",NA,NA,"850.00000000",NA,NA,NA,NA,"Davidse 11967","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1216"
"47","2010-03-18 21:18:00-03","MO","MOBOT","2455300","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"G. Malme",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,"Quinta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malme 424","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2009-08-07 05:41:00-03","MO","MOBOT","2493434","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Émile Hassler",NA,NA,NA,"Paraguay","Alto Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hassler 5654","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2016-11-15 05:15:00-02","MO","MOBOT","2801916","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","fide Maas et al.",NA,NA,NA,"Antonio C. Krapovickas|Aurelio Schinini",NA,NA,NA,"Bolivia","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Krapovickas 32387","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
