"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","fieldNumber","individualCount","class","relatedCatalogItem"
"11","2020-11-04 11:18:57-03","ESALQ","ESA","14033","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Souza, V.C. et al.","5649.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA014033","Magnoliophyta",NA,"(Vell.) Müll. Arg.","Zappi, D.C.","1994","04","14","Matão",NA,"-48.3600006103516","-21.6000003814697",NA,NA,"ESA014033","26922","auto",NA,NA,"2005","01","01",NA,NA,NA,NA,NA
"12","2020-11-04 11:18:57-03","ESALQ","ESA","11396","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Souza, V.C.","158.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA011396","Magnoliophyta",NA,"(Vell.) Müll. Arg.","Zappi, D.C.","1988","10","02","Peruíbe",NA,"-46.9900016784668","-24.3199996948242",NA,NA,"ESA011396","21922","auto",NA,NA,"2005","01","01",NA,NA,NA,NA,NA
"13","2020-11-04 11:18:57-03","ESALQ","ESA","36061","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Souza, V.C. et al.","9740.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA036061","Magnoliophyta",NA,"(Vell.) Müll. Arg.","Zappi, D.C.","1996","01","08","Restinga",NA,"-47.4799995422363","-20.6000003814697",NA,NA,"ESA036061","17863","auto",NA,NA,"2005","01","01",NA,NA,NA,NA,NA
"14","2020-11-04 11:18:57-03","ESALQ","ESA","30609","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Rozza, A.F.","8.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA030609","Magnoliophyta",NA,"(Vell.) Müll. Arg.","Zappi, D.C.","1995","04","24","Matão",NA,"-48.3600006103516","-21.6000003814697",NA,NA,"ESA030609","26922","auto",NA,NA,"2005","01","01",NA,NA,NA,NA,NA
"15","2020-11-04 11:18:57-03","ESALQ","ESA","18534","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Barreto, K.D. et al.","2268.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA018534","Magnoliophyta",NA,"(Vell.) Müll. Arg.","Zappi, D.C.","1994","04","12","Matão",NA,"-48.3600006103516","-21.6000003814697",NA,NA,"ESA018534","26922","auto",NA,NA,"2005","01","01",NA,NA,NA,NA,NA
"16","2020-11-04 11:18:57-03","ESALQ","ESA","11307","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Souza, V.C.","496.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA011307","Magnoliophyta",NA,"(Vell.) Müll. Arg.","Zappi, D.C.","1989","01","30","Peruíbe",NA,"-46.9900016784668","-24.3199996948242",NA,NA,"ESA011307","21922","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-02-15 11:49:53-02","IPA","IPA","80916","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Jardim, J.G.; Zappi, D.; Souza, E.; Carvalho, P.; Oliveira, P.; et al.; Zappi, D.; Souza, E.; Carvalho, P.; Oliveira, P.; et al.","4608","Southern America","Brasil","Bahia",NA,NA,"Arbusto 1 - 2m de altura. Folhas verdes com a face inferior mais clara. Frutos imaturos verdes, brancos quando maduros. DNA; Floresta semidecidual perturbada.","IPA0080916","Plantae",NA,"(Vell.) Müll. Arg.","Conceição, S.F.; Carvalho, P.D.","2005","06","04","Feira de Santana","Serra de São José, acesso pelo Povoado São José, ca. 10km da BR 116.","-39.666667","-12.7",NA,NA,NA,NA,NA,"-39.666667","-12.7","2005","07",NA,NA,NA,NA,NA,NA
"18","2019-02-15 11:49:53-02","IPA","IPA","63971","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata ochroleuca",NA,"Nicolau, S.A.; Beraldo, M.D.; Villagra, B.L.P.; Dias, J.W.D.; Beraldo, M.D.; Villagra, B.L.P.; Dias, J.W.D.","2120","Southern America","Brasil","São Paulo",NA,NA,"Arbusto ca. 1m de altura. Flores alvas.","IPA0063971","Plantae",NA,"(Müll. Arg.) Zappi","Zappi, D.","1999","12","16","Cajuru","próximo à curso d'água.","-47.2999992370605","-21.2700004577637",NA,NA,NA,"21243","auto",NA,NA,"2004","05","12","ochroleuca",NA,NA,NA,NA
"19","2021-03-24 17:09:56-03","UFES","SAMES","6588","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Menezes,L.F.T.; Souza,M.C.;Morim,M.P.",NA,NA,"Brasil","Espírito Santo",NA,NA,"Flores amarelas. Habito: Arbusto","SAMES06588",NA,NA,"(Vell.) Müll.Arg.","Ribeiro,M.","2016","11","16","Sooretama",NA,"-40.0978012084961","-19.1968994140625",NA,NA,NA,"33715","auto","-401458333.0","-190511111.0","2019","04","19",NA,NA,NA,NA,NA
"20","2021-03-01 16:40:15-03","UNICAMP","UEC","82152","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Noronha, MRP","1027",NA,"Brazil","São Paulo",NA,NA,"Arbusto, ca. 0,60 alt. alt., frutos maturos brancos; Interior da mata","UEC101112","Magnoliopsida",NA,"(Vell.) Müll.Arg.","Zappi, DC","1995","04","11","Andradina","Rerserva Biológica da Estação Experimental de Zootecnia de Andradina","-51.566667","-20.783333","355","355","UEC101112",NA,NA,"-51.566667","-20.783333","2007",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:40:15-03","UNICAMP","UEC","146494","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata leiocarpoides",NA,"Souza, VC; et al.","5649",NA,"Brazil","São Paulo",NA,NA,"Arbusto,1m alt. Frutos maduros alvos; Mata mesófila semidecídua","UEC101114","Magnoliopsida",NA,"(Müll.Arg.) Zappi","Zappi, DC","1994","04","14","Matão","Fazenda Cambuhy","-48.558056","-21.620833","600","600","UEC101114",NA,NA,"-48.558056","-21.620833","2007",NA,NA,"leiocarpoides",NA,NA,NA,NA
"22","2021-03-01 16:40:15-03","UNICAMP","UEC","147756","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata leiocarpoides",NA,"Campos, MCR; Belinello, R","724",NA,"Brazil","São Paulo",NA,NA,"indivíduo E0962, altura 8m","UEC114060","Magnoliopsida",NA,"(Müll.Arg.) Zappi","Jung-Mendaçolli, SL","2006","07","17","Picinguaba","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,NA,NA,NA,"UEC114060",NA,NA,NA,NA,"2007","09",NA,"leiocarpoides",NA,NA,NA,NA
"23","2021-03-01 16:40:15-03","UNICAMP","UEC","148870","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata leiocarpoides",NA,"Aranha, BA","406",NA,"Brazil","São Paulo",NA,NA,NA,"UEC114061","Magnoliopsida",NA,"(Müll.Arg.) Zappi","Jung-Mendaçolli, SL","2006","08","12","Ubatuba","Fazenda Capricórnio, Parcela J","-45.084167","-23.366389","380","380","UEC114061",NA,NA,"-45.084167","-23.366389","2008","10",NA,"leiocarpoides",NA,NA,NA,NA
"24","2021-03-01 16:40:15-03","UNICAMP","UEC","195452","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata ochroleuca",NA,"Bruniera, CP; Groppo, M; Campos, RP","331",NA,"Brazil","São Paulo",NA,NA,"Arbusto ca 1,3m alt. Folhas cartáceas, discolores. Botões alvos, flor com cálice esverdeado e corola alva, bastante delicada. Frutos imaturos verdes, maduros carnosos, alvos.; Mata estacional semi decídua.","UEC132234","Magnoliopsida",NA,"(Müll.Arg.) Zappi","Bruniera, CP","2011","04","15","Ribeirão Preto","Estação Ecológica de Ribeirão Preto (Mata Santa Teresa). Trilha anterior a trilha do córrego que divide a Reserva.","-47.853028","-21.227278","588","588","UEC132234",NA,NA,"-47.853028","-21.227278","2011","04","15","ochroleuca",NA,NA,NA,NA
"25","2021-03-01 16:40:15-03","UNICAMP","UEC","195451","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata saint-hilairei",NA,"Bruniera, CP; Groppo, M","308",NA,"Brazil","Espírito Santo",NA,NA,"Arbusto ca, 0,6m alt. Folhas coriáceas, discolores. Infrutescência com raque verde. Frutos verdes.; Mata parcialmente degradada em beira de estrada","UEC132233","Magnoliopsida",NA,"(Standl.) Zappi","Bruniera, CP","2011","03","30","Mimoso do Sul","Entre km 50 e 51 da Rodovia ES 391, ca. 1,5km NW da ponte sobre o Rio Pratinha)","-41.350611","-21.089083",NA,NA,"UEC132233",NA,NA,"-41.350611","-21.089083","2014",NA,NA,"saint-hilairei",NA,NA,NA,NA
"26","2021-03-01 16:40:15-03","UNICAMP","UEC","60572","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Silva, SM; Britez, RM; et al.","24589",NA,"Brazil","Paraná",NA,NA,"Arvoreta de flores brancas, com frutos, sub-bosque da floresta da encosta.",NA,"Magnoliopsida",NA,"(Vell.) Müll.Arg.","Zappi, DC","1988","03","26","Paranaguá","Ilha do Mel, Morro Bento Alves.","-48.5092010498047","-25.5200004577637",NA,NA,NA,"24916","auto",NA,NA,"2005",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:40:15-03","UNICAMP","UEC","45210","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Tamashiro, JY; et al.","18735",NA,"Brazil","São Paulo",NA,NA,"Arbusto até1,8m - Flores creme","UEC101129","Magnoliopsida",NA,"(Vell.) Müll.Arg.","Zappi, DC","1986","11","04","Bertioga","Est. Bertioga - Mogi das Cruzes","-46.138599395752","-23.8544006347656",NA,NA,"UEC101129","37616","auto",NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:40:15-03","UNICAMP","UEC","77788","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Zickel, CS","30268",NA,"Brazil","São Paulo",NA,NA,"Indicpiduo com 53cm de altura e 0,61 cm de diametro e frutos verdes imaturos","UEC101113","Magnoliopsida",NA,"(Vell.) Müll.Arg.","Zappi, DC","1991","09","07","Brotas","Mata da Fazenda St. Eliza","-48.1199989318848","-22.2800006866455",NA,NA,"UEC101113","26585","auto",NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA
"29","2020-07-15 18:05:23-03","UFPB","JPB","30508","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Barbosa, MR; César, EA; Dionísio, GO; Lima, IB; Lima, JR; Cunha, JP; Pereira, MS; Costa-Sant","2506","Southern America","Brasil","Alagoas",NA,NA,NA,NA,"Angiosperma","Dicotyledon","(Vell.) Müll. Arg","Zappi, DC","2002","08","03","Murici",NA,"-35.9432983398438","-9.30667018890381",NA,NA,NA,"22851","auto",NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA
"30","2020-04-27 16:11:31-03","UFES","VIES","35623","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata coronata",NA,"Leite, F.T.","20",NA,"Brasil","Espírito Santo",NA,NA,"Interior de mata.","VIES035623",NA,NA,NA,"F. Torres-Leite","2013","12","10","Castelo","Parque Estadual de Mata das Flores.","-41.184722","-20.603611",NA,NA,"VIES035623",NA,NA,"41º11'5''W","20º36'13''S","2019","05",NA,"coronata",NA,NA,NA,NA
"31","2020-04-27 16:11:31-03","UFES","VIES","34933","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata ochroleuca",NA,"Lorenzoni, L.S.; Silva, R.D.; Santos, L.N.; Machado, L.A.","34",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES034933",NA,NA,"(Müll. Arg.) Zappi","F. Torres-Leite","2015","05","05","Alegre","Rive. Fragmento florestal do Polo de Educação Ambiental. Trilha.","-41.5331001281738","-20.763599395752",NA,NA,"VIES034933","26101","auto",NA,NA,"2019","05",NA,"ochroleuca",NA,NA,NA,NA
"32","2020-04-27 16:11:31-03","UFES","VIES","33873","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata saint-hilairei",NA,"Zorzanelli, J.P.F.","1044",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES033873",NA,NA,"(Standl.) Zappi","F. Torres-Leite","2014","07","11","Cachoeiro de Itapemirim","RPPN Cafundó.","-41.1128005981445","-20.8488998413086","106","106","VIES033873","35694","auto",NA,NA,"2019","05",NA,"saint-hilairei",NA,NA,NA,NA
"33","2020-04-27 16:11:31-03","UFES","VIES","21679","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Dias, H.M.; Couto, D.R.","627",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES021679",NA,NA,"(Vell.) Müll.Arg.","F. Torres-Leite","2012","03","06","Mimoso do Sul","Pedra dos Pontões.","-41.3664016723633","-21.0641994476318",NA,NA,NA,"29430","auto",NA,NA,"2019","05",NA,NA,NA,NA,NA,NA
"34","2020-04-27 16:11:31-03","UFES","VIES","21829","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Dias, H.M.; Couto, D.R.","632",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES021829",NA,NA,"(Vell.) Müll.Arg.","F. Torres-Leite","2012","03","06","Mimoso do Sul","Pedra dos Pontões.","-41.3664016723633","-21.0641994476318",NA,NA,NA,"29430","auto",NA,NA,"2019","05",NA,NA,NA,NA,NA,NA
"35","2019-09-27 18:06:17-03","UFES","VIES","514","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Pereira, O.J.","331",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES000514",NA,NA,"(Vell.) Müll.Arg.","Gomes, J.M.L.","1984","07","03","Vitória",NA,"-40.3377990722656","-20.3194007873535",NA,NA,"VIES000514 VIES000514_1","15291","auto",NA,NA,"2006","10","18",NA,NA,NA,NA,NA
"36","2020-04-27 16:11:31-03","UFES","VIES","15560","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Dan, M.L.","13",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES015560",NA,NA,"(Vell.) Müll.Arg.","Dan, M.L.","2004","03","11","Vitória","Parque Municipal da Fonte Grande.","-40.3377990722656","-20.3194007873535",NA,NA,"VIES015560","15291","auto",NA,NA,"2004","03","11",NA,NA,NA,NA,NA
"37","2020-04-27 16:11:31-03","UFES","VIES","15559","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Dan, M.L.","92",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES015559",NA,NA,"(Vell.) Müll.Arg.","Dan, M.L.","2004","10","07","Vitória","Parque Municipal da Fonte Grande.","-40.3377990722656","-20.3194007873535",NA,NA,"VIES015559","15291","auto",NA,NA,"2004","10","07",NA,NA,NA,NA,NA
"38","2020-06-29 09:32:02-03","UFRRJ","RBR","26110","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"H.C. Rodrigues; F.A. Baroni","s.n.",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"RBR00026110",NA,NA,"(Vell.) Müll.Arg.",NA,"1994","07","16","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada do Ouro, Linha 5. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-06-29 09:32:02-03","UFRRJ","RBR","46335","S","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata ochroleuca",NA,"M. Verdi; C. Baez, D. Maurenza, E. Fernandez, G. Martinelli, R. Gomes","7415",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"RBR00046335",NA,NA,"(Müll. Arg.) Zappi","M. Gomes","2017","11","21","Santa Maria Madalena","Tadelândia. Tadelândia. Caminho (trilha) para a cachoeira da Cascata. Parque Estadual do Desengano","-41.933056","-21.871389","856","856","RBR00046335",NA,NA,"41º55'59''W","21º52'17''S","2018","03","15","ochroleuca",NA,NA,NA,NA
"40","2020-12-21 16:43:55-03","MBM","MBM","405084","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Uller, H.F.; Terra, G.; Terra, G.","320","Southern America","Brazil","Rio de Janeiro",NA,NA,"Arbusto. Flor branca.","MBM405084",NA,NA,"(Vell.) Müll. Arg.","Gomes, M.","2013","10",NA,"São Pedro da Aldeia","Conglomerado 152-Ex35","-42.075","-22.7925",NA,NA,"MBM405084",NA,NA,"-42.075","-22.7925","2014","01","22",NA,NA,NA,NA,NA
"41","2020-12-21 16:43:55-03","MBM","MBM","405089","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Pimentel, L.B.; Junqueira, A.C.S.; Ramos, R.; Junqueira, A.C.S.; Ramos, R.","s.n.","Southern America","Brazil","Rio de Janeiro",NA,NA,"Arbusto. Fruto creme.; Floresta Estacional sobre solo argiloso.","MBM405089",NA,NA,"(Vell.) Müll. Arg.","Gomes, M.","2013","10","03","Cabo Frio","Conglomerado 06-02-01-7R","-42.0075","-22.86",NA,NA,"MBM405089",NA,NA,"-42.0075","-22.86","2014","01","10",NA,NA,NA,NA,NA
"42","2015-09-03 23:49:43-03","MNHN","RECOLNAT_MNHN_P","P00592523","PreservedSpecimen",NA,"Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00592523' target='other'> <mi>dwc_moreinfo</mi></a>","P00592523",NA,NA,"(Vell.) Müll.Arg.","Zappi","1879","2","26",NA,"Sapopemba (Rio de Janeiro)",NA,NA,NA,NA,"P00592523_01",NA,NA,NA,NA,NA,NA,NA,NA,"10911",NA,NA,NA
"43","2015-09-04 14:19:00-03","MNHN","RECOLNAT_MNHN_P","P03985238","PreservedSpecimen",NA,"Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Riedel, L.",NA,NA,"Brésil",NA,"hb",NA,"Reçu le 8 octobre 1892 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03985238' target='other'> <mi>dwc_moreinfo</mi></a>","P03985238",NA,NA,"(Vell.) Müll.Arg.","Bruniera",NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"P03985238_01 P03985238_02",NA,NA,NA,NA,NA,NA,NA,NA,"637",NA,NA,NA
"44","2015-09-04 14:15:57-03","MNHN","RECOLNAT_MNHN_P","P04008534","PreservedSpecimen",NA,"Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Glaziou, A.",NA,NA,"Brasil","Minas Gerais","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008534' target='other'> <mi>dwc_moreinfo</mi></a>","P04008534",NA,NA,"(Vell.) Müll.Arg.","Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P04008534_01",NA,NA,NA,NA,NA,NA,NA,NA,"14895",NA,NA,NA
"45","2015-09-04 14:15:57-03","MNHN","RECOLNAT_MNHN_P","P04008536","PreservedSpecimen",NA,"Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Glaziou",NA,NA,"Brasil","Minas Gerais","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008536' target='other'> <mi>dwc_moreinfo</mi></a>","P04008536",NA,NA,"(Vell.) Müll.Arg.","Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P04008536_01",NA,NA,NA,NA,NA,NA,NA,NA,"14891",NA,NA,NA
"46","2015-09-04 19:49:22-03","MNHN","RECOLNAT_MNHN_P","P05194618","PreservedSpecimen",NA,"Rubiaceae","Rudgea","coronata","Rudgea coronata",NA,"Saint-Hilaire, A.",NA,NA,"Brasil","Espírito Santo","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05194618' target='other'> <mi>dwc_moreinfo</mi></a>","P05194618",NA,NA,"(Vell.) Müll.Arg.",NA,"1816","1","1",NA,NA,NA,NA,NA,NA,"P05194618_01",NA,NA,NA,NA,NA,NA,NA,NA,"B2 366",NA,NA,NA
