"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem","previousCatalogNumber","fieldNumber","sex"
"21","2021-03-16 17:52:15-03","UCS","HUCS","43839","PreservedSpecimen","Plantae","Angiospermae","Fabales","Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Silva, J.M.","8344","2013","09","19",NA,"Brasil","Paraná","Jardim Botânico",NA,"Arbusto, 2m, flor lilás.; Cultivada",NA,NA,"Barbosa, E.","Curitiba","-49.239167","-25.440833","2013",NA,NA,NA,"09","20","-49.239167","-25.440833","915","915",NA,NA,NA,NA,NA
"22","2019-08-16 08:39:30-03","UTFPR","HCF","19071","S","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"J.M. Silva","8344","2013","09","19",NA,"Brasil","PR","Jardim Botânico Municipal",NA,"arbusto com 2 m. Flor lilás. Cultivada.",NA,NA,"E. Barboza","Curitiba","-49.239167","-25.440833","2013",NA,NA,NA,"09","20","49°14'21 W","25°26'27 S","915","915",NA,NA,NA,NA,NA
"23","2019-08-16 08:39:30-03","UTFPR","HCF","2152","S","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"O.S. Ribas","3600","2001","06","12",NA,"Brasil","PR","Rio Iguaçu",NA,"Arbusto, até 3m, flor lilás-rosada, folhas untuosas ao tacto. Solo arenoso, junto a afloramento de arenito das margens do rio. Locco classico; 1° coleta após o typus (1914).",NA,NA,"O.S. Ribas","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-08-16 08:39:30-03","UTFPR","HCF","14186","S","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"C.V. Martin","6","2010","08","16",NA,"Brasil","PR","Rio Iguaçu",NA,"arbusto, 1,80 m, flor rosada, frutos verdes. Solo arenoso; (Decomposição de arenito) mata ciliar.",NA,NA,"E. Barboza","Porto Amazonas","-49.8903007507324","-25.5447006225586","2011","14684","auto",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:27:34-03","MBM","MBM","385422","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Silva, J.M.; Martins, L.M.; Martins, L.M.","8344","2013","09","19","Southern America","Brazil","Paraná","Jardim Botânico Municipal",NA,"Arbusto com 2m. Flor lilás.; Cultivada.","MBM385422",NA,"Barboza, E.","Curitiba","-49.239167","-25.440833","2013",NA,NA,NA,"09","20","-49.239167","-25.440833","915","915",NA,NA,NA,NA,NA
"26","2020-12-21 16:27:34-03","MBM","MBM","287907","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, O.S.","5200","2003","05","16","Southern America","Brazil","Paraná","Jardim Botânico Municipal",NA,NA,"MBM287907","MBM287907","Ribas, O.S.","Curitiba","-49.2731018066406","-25.4277992248535",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:27:34-03","MBM","MBM","262832","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Silva, J.M.; Ribas, O.S.; Barboza, E.; Ribas, O.S.; Barboza, E.","3418","2001","09","04","Southern America","Brazil","Paraná","Rio Iguaçu, próximo da ponte na Rod. PR-427",NA,NA,"MBM262832","MBM262832","Ribas, O.S.","Lapa","-49.7158012390137","-25.7696990966797",NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:27:34-03","MBM","MBM","267142","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, O.S.; Costa, E.F.; Silva, J.M.; Costa, E.F.; Silva, J.M.","3947","2001","11","29","Southern America","Brazil","Paraná","Rod. PR-427, 1km L da ponte sobre o Rio Iguaçu",NA,NA,"MBM267142","MBM267142","Ribas, O.S.","Lapa","-49.7158012390137","-25.7696990966797",NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:27:34-03","MBM","MBM","254229","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart","ISOTYPE","Dusén, P.","15157","1914","06","10","Southern America","Brazil","Paraná",NA,NA,"Ad ripam arenosum fluminis Rio Iguassu; Ad ripam arenosum fluminis Rio Iguassu.","MBM254229","MBM254229","Burkart, A.","Porto Amazonas","-49.8903007507324","-25.5447006225586","1947","14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:27:34-03","MBM","MBM","260597","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, O.S.; Silva, J.M.; Takeda, J.; Silva, J.M.; Takeda, J.","3600","2001","06","12","Southern America","Brazil","Paraná","Rio Iguaçu",NA,NA,"MBM260597","MBM260597","Ribas, O.S.","Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,"14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
