"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","infraspecificEpithet","class","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","sex"
"11","2020-12-21 16:35:04-03","MBM","MBM","225796","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Imaguire, N.","2790","Southern America","Brazil","Fazenda Experimental de Agronomia",NA,NA,"MBM225796",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:35:04-03","MBM","MBM","225797","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Imaguire, N.","2624","Southern America","Brazil","Fazenda Experimental de Agronomia",NA,NA,"MBM225797",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:35:04-03","MBM","MBM","225792","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.; et al.; et al.","1295","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225792",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:35:04-03","MBM","MBM","225798","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.; et al.; et al.","1442","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225798",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:35:04-03","MBM","MBM","225806","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.; et al.; et al.","1710","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225806",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:35:04-03","MBM","MBM","225805","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.","4848","Southern America","Brazil","Colônia Orleans",NA,NA,"MBM225805",NA,"Dombrowski, L.T.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:35:04-03","MBM","MBM","225794","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Imaguire, N.","2774","Southern America","Brazil","Fazenda Experimental de Agronomia",NA,NA,"MBM225794",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:35:04-03","MBM","MBM","225799","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.; et al.; et al.","1709","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225799",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:35:04-03","MBM","MBM","225810","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.","5856","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225810",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:35:04-03","MBM","MBM","225808","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Imaguire, N.","2790","Southern America","Brazil","Fazenda Experimental de Agronomia",NA,NA,"MBM225808",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:35:04-03","MBM","MBM","225803","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.","5925","Southern America","Brazil","Capão da Imbuia",NA,NA,"MBM225803",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:35:04-03","MBM","MBM","225811","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Kuniyoshi, Y.S.; et al.; et al.","2610","Southern America","Brazil","Rod. BR-277",NA,NA,"MBM225811",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:35:04-03","MBM","MBM","225802","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.; et al.; et al.","12467","Southern America","Brazil","Fazenda Santa Rita",NA,NA,"MBM225802",NA,"Dombrowski, L.T.",NA,NA,NA,NA,"Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:35:04-03","MBM","MBM","225795","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Imaguire, N.","2774","Southern America","Brazil","Fazenda Experimental de Agronomia",NA,NA,"MBM225795",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:35:04-03","MBM","MBM","225807","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Imaguire, N.","2624","Southern America","Brazil","Fazenda Experimental de Agronomia",NA,NA,"MBM225807",NA,"Wurdack, J.J.",NA,NA,NA,NA,"Paraná","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:35:04-03","MBM","MBM","225801","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"Dombrowski, L.T.","13236","Southern America","Brazil","Quatro Barras",NA,NA,"MBM225801",NA,"Dombrowski, L.T.",NA,NA,NA,NA,"Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","auto",NA,"hirsuta",NA,NA,NA,NA,NA,NA
"27","2015-09-04 20:50:38-03","MNHN","RECOLNAT_MNHN_P","P05202540","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"Glaziou, A.",NA,NA,"Brasil","Mogy das Cruzes.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05202540' target='other'> <mi>dwc_moreinfo</mi></a>","P05202540","P05202540_01",NA,NA,"1889","10","17","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2015-11-06 16:26:00-02","MNHN","RECOLNAT_MNHN_P","P01818648","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.","syntype","Riedel",NA,NA,"Brasilia","In paludosis pr Batataes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818648' target='other'> <mi>dwc_moreinfo</mi></a>","P01818648","P01818648_01","Renner",NA,"1834","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2265",NA,NA,NA,NA
"29","2013-10-30 18:44:55-02","MNHN","RECOLNAT_MNHN_P","P01818649","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.","syntype","Lund|Warming, in H.",NA,NA,"Brésil","in campis Franca","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818649' target='other'> <mi>dwc_moreinfo</mi></a>","P01818649","P01818649_01","Renner",NA,"1834","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2015-09-04 20:49:50-03","MNHN","RECOLNAT_MNHN_P","P05202498","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"Riedel",NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05202498' target='other'> <mi>dwc_moreinfo</mi></a>","P05202498","P05202498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-09-04 20:50:38-03","MNHN","RECOLNAT_MNHN_P","P05202539","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"Riedel",NA,NA,"Brasil","Brasilia.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05202539' target='other'> <mi>dwc_moreinfo</mi></a>","P05202539","P05202539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2015-09-05 07:23:46-03","MNHN","RECOLNAT_MNHN_P","P04801527","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"Dombrowski, L.T.",NA,NA,"Brasil","Brésil. Capão da Imbuia.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04801527' target='other'> <mi>dwc_moreinfo</mi></a>","P04801527","P04801527_01",NA,NA,"1975","2","17","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,"5856",NA,NA,NA,NA
"33","2015-09-04 21:07:25-03","MNHN","RECOLNAT_MNHN_P","P05317425","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Rhynchanthera","stricta","Rhynchanthera stricta","Cogn.",NA,"Ule, E.",NA,NA,"Brasil","Brésil, Estado de Sta. Catharina, no campo de Capivare azima da Serra Geral.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317425' target='other'> <mi>dwc_moreinfo</mi></a>","P05317425","P05317425_01",NA,NA,"1891","2","1","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"1493",NA,NA,NA,NA
"34","2020-12-11 11:38:37-03","UFMG","BHCB","35801","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"Teixeira, EM; Brina, AE","s.n.","Southern America","Brasil",NA,NA,"Vereda","BHCB024527",NA,NA,"2000","1990",NA,NA,"Minas Gerais","Uberaba","-47.9319000244141","-19.7483005523682","73879","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2011-01-04 17:03:00-02","MO","MOBOT","100334315","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.","Syntype","Ludwig Riedel","Riedel 2265","South America","Brazil","In paludibus pr. Batataes.",NA,NA,NA,NA,"Cogniaux, Syntype",NA,"1834","5",NA,"São Paulo","Batatais","-47.5800018310547","-20.8899993896484","22006","auto",NA,NA,NA,NA,"1",NA,NA,NA
"36","2011-03-22 11:56:00-03","MO","MOBOT","1942868","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.","Syntype","Ludwig Riedel","Riedel s.n.","South America","Brazil",NA,NA,NA,NA,NA,"S.S. Renner",NA,"1821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"37","2013-02-11 17:08:00-02","MO","MOBOT","3263630","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"Nobor Imaguire","Imaguire 2790","South America","Brazil","FEA-Piraquara-Pr.",NA,NA,NA,NA,"S.S. renner",NA,"1972",NA,NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"L. Riedel",NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1",NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","1341659","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Rhynchanthera","stricta","Rhynchanthera stricta","Cogn. in Mart.","Isotype","A. F. Regnell","III 2","South America - Neotropics","Brazil",NA,NA,NA,"US00120296","US00120296_01",NA,NA,"1849","2",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1",NA,NA,NA
"40","2019-09-04 19:17:30-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia",NA,"Type [status unknown]","L. Riedel",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"41","2017-09-11 17:10:59-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia hirsuta","Cogn.",NA,"?","s.n.","Southern America","Brazil","ad Franca cum var. a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"São Paulo","Franca","-47.4","-20.54",NA,NA,NA,"hirsuta",NA,NA,NA,"-47.4","-20.54",NA
"42","2019-11-21 10:10:32-03","IBt","SP","84330","S","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogn.",NA,"Mattos, JR; Bicalho, HD","11675",NA,"Brasil","Fazenda Estiva",NA,NA,NA,NA,"Koschnitzke, C","1998","1964","03","17","São Paulo","Jeriquara","-47.5800018310547","-20.3099994659424","11595","auto","07",NA,NA,NA,NA,NA,NA,NA
"43","2019-11-21 10:10:32-03","IBt","SP","11584","S","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","stricta","Rhynchanthera stricta","Cogn.",NA,"Loefgren, A; Edwall, G","CGG2077",NA,"Brasil","Campo úmido.",NA,"Herva sublenhosa, flor cor de violaceo-escuro.","SP006956","SP006956",NA,NA,"1893","01","07","São Paulo","Franca","-47.4000015258789","-20.5300006866455","27521","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2010-08-16 16:43:22-03","GH","HU-HERB","GH 00073191","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","latifolia","Rhynchanthera latifolia","Cogniaux","Isosyntype","L. Riedel","[2265]","South America","Brazil",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[2265]",NA,NA,NA,"undetermined"
