"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","00906887","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","M. L. Kawasaki","L. R. Landrum","4219","1982","01","31","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, between Veu da Novia and Alto do Palacio","-43.67","-19.25","1000","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906887","NY00906887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","20124","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.",NA,"Bertoncini, A.P.","43","1993","11","26",NA,"Brasil","São Paulo","Agudos","Fazenda da Cia e Cervejaria Brahma",NA,NA,NA,NA,NA,NA,"BOTU020124",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:20:20-03","UFRJ","RFA","26812","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Aulomyrcia","rufipes","Aulomyrcia rufipes","(DC.) O. Berg","G. M. Barroso","F. M. de B. Pereira","34/72","2001","02","10",NA,"Brasil","Minas Gerais","Itamonte","Fazenda Campo Redondo","-44.8699989318848","-22.283899307251","1772","1772",NA,"árvore, flor amarela, comum no local, mata de altitude sobre solo argiloso, luminosidade média","RFA42145",NA,"44º40'82''W","22º15'63''S","26914","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:46:03-03","EAO","IAN","107518","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Caldas, DKD","Magalhães, MG","4634","1951","09","19","Southern America","Brasil","Minas Gerais","Montes Claros","Cerrado na divisa dos Municípios Jequitaí e Montes Claros.","-43.8616981506348","-16.7350006103516",NA,NA,NA,"Arbusto de 0,30-0,40cm. de altura, flor alva e perfumada.","IAN107518",NA,NA,NA,"72568","auto","2020","03","09",NA,NA,NA,NA,NA,NA,NA
"15","2013-07-03 11:16:13-03","EBDA","BAH","10164","S","Plantae",NA,NA,"Myrtaceae","Aulomyrcia","ternifolia","Aulomyrcia ternifolia","O. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:21:32-03","UFBA","ALCB","60489","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Sobral, M","Hatschbach, G; Hatschbach, M; Silva, JM","73707","2002","07","20","Southern America","Brasil","Minas Gerais","Cristália","Rodovia Grão Mongol a Cristália, próximo do Rio Soberbo","-42.8622016906738","-16.8003005981445",NA,NA,NA,"Ca. 2 m de altura. Flor alva.","ALCB059954",NA,NA,NA,"30029","auto","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:21:32-03","UFBA","ALCB","60491","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Sobral, M","Hatschbach, G; Hatschbach, M; Silva, JM","73512","2002","07","18","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, entre rios Embalassaia e Preto","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ca. 0,5 m de altura. Flor alva.","ALCB059937",NA,NA,NA,"37503","auto","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:07:12-03","NBC","NL-BOTANY","U 0005144","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.",NA,"Riedel L",NA,"1834","10","01","Southern America","Brazil",NA,NA,"Inter Rio de sono et R. St. Francisco",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005144 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005144","NL-U0005144",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isotype","104054 B",NA,NA,NA,NA
"19","2020-02-08 10:07:12-03","NBC","NL-BOTANY","U 0005145","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","rufipes","Myrcia rufipes pilantha","(O.Berg) Kiaersk.","Kiaerskov HFC","Riedel L",NA,"1834","11","01","Southern America","Brazil",NA,NA,"Inter Sabara et Cacte.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005145","NL-U0005145",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isotype","104049 B","pilantha",NA,NA,NA
"20","2020-11-04 11:14:57-03","ESALQ","ESA","74925","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lucas, E.","Souza, V.C.; Souza, J.P.; Oliveira, A.C.P.","26674.0","2001","07","28",NA,"Brasil","Alagoas","Pilar","BR 101, entre Messias e São Miguel dos Campos, próximo à entrada para Marechal Deodoro e Praia do Francês. 09o37'05S, 36o01'54W. 50 m.s.m. Floresta sobre solo arenoso.","-35.9566993713379","-9.5972204208374",NA,NA,NA,"Arbusto; frutos vermelho-vináceos.","ESA074925","ESA074925",NA,NA,"24196","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:14:57-03","ESALQ","ESA","79149","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Hatschbach, G. et al.","34709.0","1974","07","23",NA,"Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,"ESA079149",NA,NA,NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:14:57-03","ESALQ","ESA","73620","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25369.0","2001","07","07",NA,"Brasil","Minas Gerais","Diamantina","Estrada entre Diamantina e Conselheiro Mata, ca. 13 km da Estrada Diamantina - Curvelo. 18o17'25S, 43o46'51W. 1275 m.s.m. Campo rupestre","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arbusto, ca. 80 cm alt.; flores alvas.","ESA073620","ESA073620",NA,NA,"101169","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:14:50-03","ESALQ","ESA","76775","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","cf. rufipes","Myrcia cf. rufipes","DC.","Lima, D.F.","Romão, G.O.","535.0","2000","11","02",NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"ESA076775","ESA076775",NA,NA,"17082","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:14:50-03","ESALQ","ESA","111470","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","cf. rufipes","Myrcia cf. rufipes","DC.","Lima, D.F.","Flores, T.B.","819.0",NA,NA,NA,NA,"Brasil","Minas Gerais","Cardeal Mota",NA,NA,NA,NA,NA,NA,NA,"ESA111470","ESA111470",NA,NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:14:50-03","ESALQ","ESA","102404","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","cf. rufipes","Myrcia cf. rufipes","DC.","Lima, D.F.","Lyra-Lemos, R.P.","7618.0","2003","04","26",NA,"Brasil","Alagoas","Pilar",NA,"-35.9566993713379","-9.5972204208374",NA,NA,NA,NA,"ESA102404","ESA102404",NA,NA,"24196","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:14:57-03","ESALQ","ESA","79410","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Farah, F.T.","437.0","2000","01","01",NA,"Brasil","São Paulo","Orlândia","Faz. Vale do Rosário. Cerrado","-47.8800010681152","-20.7199993133545",NA,NA,NA,NA,"ESA079410",NA,NA,NA,"16147","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:14:57-03","ESALQ","ESA","82957","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Sobral, M.","Araújo, A.O.; Romão, G.O.; Vieira, S.",NA,"2003","01","08",NA,"Brasil","Minas Gerais","Diamantina","ca. 8 km de Diamantina na estrada para Mendanha",NA,"-18.18","1230","1230",NA,"arbusto 1,5 m; frutos imaturos verdes","ESA082957","ESA082957","-43,543,333","-18.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:14:57-03","ESALQ","ESA","77674","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Sobral, M.","Souza, V.C.; Araújo, A.O.; Romão, G.O.; Elias, S.I.; Sampaio, D.","28176.0","2002","02","22",NA,"Brasil","Minas Gerais","Itacambira","Estrada Itacambira - Juramento, ca. 9 km de Itacambira. Campo rupestre","-432.058","-170.245","1200","1200",NA,"Subarbusto, ca. 60 cm alt.; frutos imaturos verdes.","ESA077674","ESA077674","-432,058","-170,245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 10:56:24-03","ESALQ","ESA","56112","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Mendes-Magalhães, G.","6058.0",NA,NA,NA,NA,"Brasil","Minas Gerais","São João da Ponte",NA,"-44.0078010559082","-15.9292001724243",NA,NA,NA,NA,"ESA056112","ESA056112",NA,NA,"48401","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:14:57-03","ESALQ","ESA","74552","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Elias, S.I.","26301.0","2001","07","17",NA,"Brasil","Bahia","Abaíra","Estrada Abaíra - Mucugê, próximo a Brejo de Cima. 13o18'31S, 41o33'11W. 1000 m.s.m. Transição campo limpo de cerrado (gerais) - caatinga.","-41.6636009216309","-13.2496995925903",NA,NA,NA,"Arbusto (rebrota?) , ca. 1 m alt.; botões verdes.","ESA074552",NA,NA,NA,"26531","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:14:57-03","ESALQ","ESA","96012","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","6334.0","2006","07","21",NA,"Brasil","Bahia","Utinga","Estrada para Morro do Chapéu, a 98km da BR-242","-41.0943984985352","-12.0817003250122","950","950",NA,"Arbusto, ca. 3m alt. Frutos vermelhos","ESA096012","ESA096012","-41,225,556","-11,835,833","24937","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:14:57-03","ESALQ","ESA","81867","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Mazine, F.F. Araújo, A.O.; Duarte, A.R.; Tsuji, R.","467.0","2002","11","07",NA,"Brasil","Minas Gerais","Riacho dos Machados","Estrada para BR 251 - Cerrado","-430.206","-160.326","809","809",NA,"Arbusto 2,5m. Coletado para análise macromolecular","ESA081867",NA,"-430,206","-160,326",NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:14:57-03","ESALQ","ESA","100453","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Harley, R.M.","16674.0","1974","03","04",NA,"Brasil","Bahia","Lagoinha",NA,NA,NA,NA,NA,NA,NA,"ESA100453",NA,NA,NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:14:57-03","ESALQ","ESA","82337","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Araújo, A.O.; Duarte, A.R.; Mazine, F.F.; Tsuji, R.","190.0","2002","11","10",NA,"Brasil","Minas Gerais","Diamantina","Ca. 8 km de Diamantina, pela estrada Diamantina-Conselheiro Mata",NA,"-183.125","1063","1063",NA,"arbusto 1,2 m; frutos maduros vermelhos a negros","ESA082337","ESA082337","-43,552,778","-183,125",NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 11:14:57-03","ESALQ","ESA","72399","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Kawasaki, M.L.","Stehmann, J.R. et al.","2696.0","2000","07","21",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"ESA072399","ESA072399",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:14:57-03","ESALQ","ESA","72331","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Farah, F.T. et al.","437.0","1998","09","07",NA,"Brasil","Minas Gerais","Patrocínio",NA,"-46.9925003051758","-18.9438991546631",NA,NA,NA,NA,"ESA072331",NA,NA,NA,"44638","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:14:57-03","ESALQ","ESA","83083","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Mazine, F.F.; Vieira, S. ; Romão, G.O.","830.0","2003","02","20",NA,"Brasil","Minas Gerais","Joaquim Felício","Fazenda Serra do Cabral. Cachoeira da Corrente.","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Arbusto 60 cm. Frutos arroxeados. Amostras coletadas para análise macromolecular.","ESA083083",NA,NA,NA,"37503","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:14:57-03","ESALQ","ESA","81461","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Uliana, V.L.C.R.; Elias, S.I.; Forster, W.","672.0","2002","05","01",NA,"Brasil","Goiás","Alto Paraíso","40 Km de alto Paraíso, BR 118 em direção a Palmas. Campo rupestre","-472.546","-135.532","1488","1488",NA,"Frutos vináceos, 70 cm alt.","ESA081461","ESA081461","-472,546","-135,532",NA,NA,"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:14:57-03","ESALQ","ESA","97437","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Ganev, W.","1578.0","1992","11","28",NA,"Brasil","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"ESA097437",NA,NA,NA,"26531","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:14:57-03","ESALQ","ESA","76247","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Lima, D.F.","Chaddad Jr., J.","80.0","2001","09","08",NA,"Brasil","Minas Gerais","Lavras",NA,"-44.999698638916","-21.2453002929688",NA,NA,NA,NA,"ESA076247","ESA076247",NA,NA,"20044","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-01-14 15:32:11-03","MN","R","8899","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.",NA,"Glaziou, A.F.M.","13877","1882","06","18",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008899","R000008899_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-02 11:40:58-03","UFPI","TEPB","19740","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","M. Sobral","G. Hatschback","44118","1981","10","10",NA,"Brasil","Bahia","Cristópolis","BR 242","-44.4207992553711","-12.2335996627808",NA,NA,NA,"Subarbusto, 70cm com frutos pretos Ambiente: Caatinga",NA,NA,NA,NA,"44260","auto","2001","01","01",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-23 17:09:07-03","UFPI","TEPB","31988","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","G. Barroso (JBRJ)","G. M. Conceição","394","1998","11","08",NA,"Brasil","Maranhão","Mirador","Parque Estadual do Mirador","-44.3630981445312","-6.37083005905151",NA,NA,NA,"Arbusto ca 1,00 m; casca lisa; folhas simples; flores alvas.",NA,NA,NA,NA,"176498","auto","1999","03","30",NA,NA,NA,NA,NA,NA,NA
"44","2015-07-02 14:03:19-03","JBP","HPL","5679","S","Plantae",NA,NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","G.F. Arbocz","G.F. Arbocz","2512","1996","02","03",NA,"Brasil","MG","Ouro Branco","Coletado nas proximidades da cidade.","-43.6919","-20.5208",NA,NA,NA,NA,NA,NA,NA,NA,"13809","auto","1996","02","03",NA,NA,NA,NA,NA,NA,NA
"45","2015-07-02 14:03:19-03","JBP","HPL","5681","S","Plantae",NA,NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","H. Lorenzi","H. Lorenzi","1596","1994","07","25",NA,"Brasil","SP","Aguai","Estrada para Casa Branca, no cerrado.","-46.97","-22.05",NA,NA,NA,NA,NA,NA,NA,NA,"25812","auto","1994","07","25",NA,NA,NA,NA,NA,NA,NA
"46","2019-02-15 11:46:11-02","IPA","IPA","41118","S","Plantae","Plantae",NA,"Myrtaceae","Aulomyrcia","rufipes","Aulomyrcia rufipes","O. Berg",NA,"Gardner, G.","1300",NA,NA,NA,"Southern America","Brasil","Alagoas",NA,"near Maceió.",NA,NA,NA,NA,NA,NA,"IPA0041118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-02-15 11:46:28-02","IPA","IPA","63704","S","Plantae","Plantae",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.","Kawasaki, M.L.","Mantovani, W.","66","1979","07","25","Southern America","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752","1200","1200",NA,"Arbusto 0,5 - 0,6m de altura.","IPA0063704",NA,NA,NA,"31264","auto","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-02-15 11:46:28-02","IPA","IPA","87240","S","Plantae","Plantae",NA,"Myrtaceae","Myrcia","rufipes","Myrcia rufipes","DC.",NA,"Melo, E.; França, F.; França, F.","3197","1999","12","05","Southern America","Brasil","Bahia","Jaguaquara","área do EBDA, ca. 6km W do entroncamento da BR 116.","-40.113889","-13.526389","780","780",NA,"Arbusto escandente. Folhas coriáceas discolores. Pétalas brancas. Estames brancos, frágeis, caindo no mais leve toque do ramo.; Mata de cipó antropizada.","IPA0087240",NA,"-40.113889","-13.526389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
