"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","barcode","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","continentOcean","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","verbatimLongitude","verbatimLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","monthIdentified","dayIdentified","class"
"24","2019-11-13 11:25:20-03","USP","SPF","47624","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Pirani, JR","1987","05","21","Brasil","Minas Gerais","Grão Mogol","SPF00047624","Markgr.","Martins, AB","2006","CFCR10764",NA,NA,"-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,NA,"830","830",NA,NA,NA,NA
"25","2019-11-13 11:25:20-03","USP","SPF","30132","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Giulietti, AM","1982","05","23","Brasil","Minas Gerais","Grão Mogol","SPF00030132","Markgr.","Martins, AB",NA,"CFCR3545",NA,NA,"-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:25:20-03","USP","SPF","22888","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Cordeiro, I","1981","04","15","Brasil","Minas Gerais","Grão Mogol","SPF00022888","Markgr.","Martins, AB","2006","CFCR961",NA,NA,"-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-13 11:25:20-03","USP","SPF","124614","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Mello-Silva, R","1997","09","27","Brasil","Minas Gerais","Grão Mogol","SPF00124614","Markgr.","Martins, AB","2006","1436",NA,NA,"-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,NA,"1110","1110",NA,NA,NA,NA
"28","2019-11-13 11:25:20-03","USP","SPF","143241","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Markgraf, F","1938","11","12","Brasil","Minas Gerais","Grão Mogol","SPF00143241","Markgr.","Markgraf, F",NA,"3441",NA,"Serra de Grão Mogol","-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,NA,"1000","1000",NA,NA,NA,NA
"29","2019-10-07 09:34:14-03","UEFS","HUEFS","33062","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Hatschbach, G.","1978","04","22","Brasil","Minas Gerais","Grão Mogol","HUEFS0033062","Markgr.",NA,NA,"41334",NA,"Rio Itacambiruçu.","-42.8897018432617","-16.5594005584717","67219","Margens de córrgo.","auto","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae"
"30","2019-07-02 15:55:54-03","UEM","HUEM","24760","S","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","R.Mello-Silva; M.L.Kawasaki; A.Rapini","1997","09","27","Brasil","Minas Gerais","Grão Mogol","HUEM000014682","Markgr.","A.B.Martins","2006","1436",NA,"contrafortes a leste da trilha da tropa, que vai da cidade até Periperi passando pelo alto da serra, nas encostas à esquerda do Ribeirão do Inferno","-42.8897018432617","-16.5594005584717","67219","Arvoreta ou arbusto até 2m de altura, entre rochas, próxima a leito seco de riacho. Frutos castanhos. Grande população.","auto",NA,NA,NA,"HUEM000014682","1110","1110",NA,NA,NA,NA
"31","2020-08-20 20:39:59-03","UFSC","FLOR","28887","PreservedSpecimen","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Hatschbach, G.","1978","04","22","Brasil","Minas Gerais","Grão Mogol","FLOR0028887","Markgr.","Semir, J.","1995","41334",NA,"Rio Itacambiruçu.","-42.8897018432617","-16.5594005584717","67219","arbusto; ramoso no ápice, flor rosada, estames e anteras amarelos, 2,5m altura","auto","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-05-24 11:47:42-03","CAS","CAS-BOT","505357","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Lavoisiera","mellobarretoi","Lavoisiera mellobarretoi","Mello-Silva, R.; Kawasaki, M. L.; Rapini, A.","1997","9",NA,"Brazil","Minas Gerais","Grao Mogol",NA,"Markgraf",NA,NA,"1436","South America","contrafortes a leste da trilha da tropa, que vai da cidade até Periperi passando pelo alto da serra, nas encostas à esquerda do Ribeirão do Inferno. Altos da serra","-42.8897018432617","-16.5594005584717","67219","Arvoreta ou arbusto até 2 m alt., entre rochas, próxima a leito seco de riacho. Frutos castanhos. Grande população.","auto","Myrtales",NA,NA,NA,"1110",NA,NA,NA,NA,"Magnoliopsida"
"33","2016-05-24 11:26:13-03","CAS","CAS-BOT","505354","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Lavoisiera","mellobarretoi","Lavoisiera mellobarretoi","Meireles, L. D.; Verolla, C. F.; Manscenares, M. E.; Azevedo, M T. A.; Belinello, R.","2002","7",NA,"Brazil","Minas Gerais","Grao Mogol",NA,"Markgraf",NA,NA,"1123","South America","Morro do Jambeiro. 12Km.","-42.9626388889","-16.6050555556",NA,"Arbusto, até 60cm, flores róseas.",NA,"Myrtales","42° 57' 45.5 W","16° 36' 18.2 S",NA,"760",NA,NA,NA,NA,"Magnoliopsida"
"34","2016-05-24 11:51:01-03","CAS","CAS-BOT","505358","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Lavoisiera","mellobarretoi","Lavoisiera mellobarretoi","Mello-Silva, R.; Kawasaki, M. L.; Rapini, A.","1997","9",NA,"Brazil","Minas Gerais","Grao Mogol",NA,"Markgraf",NA,NA,"1436","South America","contrafortes a leste da trilha da tropa, que vai da cidade até Periperi passando pelo alto da serra, nas encostas à esquerda do Ribeirão do Inferno. Altos da serra","-42.8897018432617","-16.5594005584717","67219","Arvoreta ou arbusto até 2 m alt., entre rochas, próxima a leito seco de riacho. Frutos castanhos. Grande população.","auto","Myrtales",NA,NA,NA,"1110",NA,NA,NA,NA,"Magnoliopsida"
"35","2016-05-24 11:36:53-03","CAS","CAS-BOT","505355","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Lavoisiera","mellobarretoi","Lavoisiera mellobarretoi","Aona, L. Y. S.; Belinello, R.","2000","8",NA,"Brazil","Minas Gerais","Grao Mogol",NA,"Markgraf",NA,NA,"707","South America","Parque Estadual G.M., trilha da Serra do Barão,","-42.8897018432617","-16.5594005584717","67219","Arbusto 2m, pétalas róseas.","auto","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida"
"36","2016-05-24 11:41:29-03","CAS","CAS-BOT","505356","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Lavoisiera","mellobarretoi","Lavoisiera mellobarretoi","Giulietti, A. M.; Mamede, M. C. H.; Hensold, N.; Giulietti, N.","1982","5",NA,"Brazil","Minas Gerais","Grao Mogol",NA,"Markgraf",NA,NA,"CFCR 3545","South America","próximo da ponte sobre o Rio das Mortes. Beira do rio.","-42.8897018432617","-16.5594005584717","67219","Arbusto mais ou menos 2,0m, ramificado a mais ou menos 40 cm da base. Flores lilás com base da pétala na face ventral amarela. Estames amarelos.","auto","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida"
"37","2019-11-21 10:09:44-03","IBt","SP","313604","S","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Mello-Silva, R; Kawasaki, ML; Rapini, A","1997","09","27","Brasil","Minas Gerais","Grão Mogol",NA,"Markgr.","Martins, AB","2013","1436",NA,"Contrafortes a leste da trilha da tropa, que vai da cidade até Periperi, passando pelo alto da serra, nas encostas à esquerda do Ribeirão do Inferno. Altos da Serra","-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,NA,"1110","1110",NA,"07",NA,NA
"38","2019-11-21 10:09:44-03","IBt","SP","319154","S","Plantae",NA,"Melastomataceae","Lavoisiera","mello-barretoi","Lavoisiera mello-barretoi","Hatschbach, G","1978","04","22","Brasil","Minas Gerais","Grão Mogol",NA,"Markgr.","Martins, AB","2013","41334",NA,"Rio Itacambiruçu. Margens de córrego","-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"07",NA,NA
