"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"11","2021-04-05 14:24:48-03","UNESC","CRI","7881","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2008","02","28","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9",NA,"CRI000120","CRI000120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:13-03","UNESC","CRI","8331","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","Vanilde Citadini- Zanette","2007",NA,NA,"Sinara Colonetti",NA,"2007",NA,NA,"Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112",NA,"CRI000302","CRI000302","Barragem Rio São Bento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:24:48-03","UNESC","CRI","10836","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer",NA,NA,NA,NA,"Zenaide P. Topanotti",NA,NA,NA,NA,"Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","75","75",NA,"CRI000129","CRI000129","Morro Estevão.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:24:48-03","UNESC","CRI","3366","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1962","1993","05","11","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000297","CRI000297","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:24:48-03","UNESC","CRI","4195","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer","Vanilde Citadini- Zanette",NA,NA,NA,"Valdemar Boff","79","1995","10","20","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","178","178",NA,"CRI000293","CRI000293","Belvedere.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:24:48-03","UNESC","CRI","5179","PreservedSpecimen","Plantae","Annonaceae","Rollinia","sericea","Rollinia sericea","(R.E. Fries) R.E. Fries","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; V. Boff & A. Gozçe.","2332","1996","09","19","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"Habitat: beira da mata Habito: árvore","CRI000291","CRI000291","Rocinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:24:48-03","UNESC","CRI","412","PreservedSpecimen","Plantae","Annonaceae","Rollinia","sericea","Rollinia sericea","(R.E. Fries) R.E. Fries","B. E. Irgang","1990","03","20","V. Citadini-Zanette; A. Ávila","829","1990","03","20","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9",NA,"CRI000295","CRI000295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:36:10-03","E","E","373478","PreservedSpecimen","Plantae","Annonaceae","Rollinia","ubatubensis","Rollinia ubatubensis",NA,NA,NA,NA,NA,"Gibbs,P.E., Leitão Filho,H.F., Kinoshita, L.S., de Andrade, J.B.","3501","1976","11","09","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00373478 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373478",NA,"Estado de Sao Paulo. Estrada Ubatuba a Caraguatatuba. Restinga na beira da estrada.","isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:431887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","03188897","PreservedSpecimen","Plantae","Annonaceae","Annona","dolabripetala","Annona dolabripetala","Raddi",NA,NA,NA,NA,"F. F. Negreiros","39","2015","03","04","Brazil","Rio de Janeiro","Miguel Pereira","-43.4147","-22.3864",NA,NA,"783","783","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3439838' target='other'> <mi>dwc_moreinfo</mi></a>","NY03188897","NY03188897_01","Orbel II.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","2422921","PreservedSpecimen","Plantae","Annonaceae","Annona","dolabripetala","Annona dolabripetala","Raddi",NA,NA,NA,NA,"L. B. Pimentel","s.n.","2013","11","08","Brazil","Rio de Janeiro","Araruama","-42.435","-22.815",NA,NA,"40",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675029' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422921","NY02422921_01","Conglomerado 134-2-1-1",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02710375","PreservedSpecimen","Plantae","Annonaceae","Annona","dolabripetala","Annona dolabripetala","Raddi",NA,NA,NA,NA,"I. G. Costa","521","2014","08","23","Brazil","Rio de Janeiro","Cambuci","-41.899722","-21.529167",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995820' target='other'> <mi>dwc_moreinfo</mi></a>","NY02710375","NY02710375_01","Serra de São Caetano. ao lado de córrego, à margem da estrada para rampa de voo livre.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","03097869","PreservedSpecimen","Plantae","Annonaceae","Annona","dolabripetala","Annona dolabripetala","Raddi",NA,NA,NA,NA,"M. G. Bovini","21117","2002","01","14","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"600","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3343473' target='other'> <mi>dwc_moreinfo</mi></a>","NY03097869","NY03097869_01","Nova Iguaçú, distrito de Tinguá, Reserva Biológica, estrada do Ouro. Tinguá",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales","57442","auto",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02431598","PreservedSpecimen","Plantae","Annonaceae","Annona","dolabripetala","Annona dolabripetala","Raddi",NA,NA,NA,NA,"C. M. Mynssen","1228","2011","03","30","Brazil","Rio de Janeiro","Santa Maria Madalena","-42.0080986022949","-21.9552993774414",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3000703' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431598","NY02431598_01","Estrada para São Fidélis, Fazenda Recreio.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales","30526","auto",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01807166","PreservedSpecimen","Plantae","Annonaceae","Annona","neolaurifolia","Annona neolaurifolia","H.Rainer","P. J. M. Maas",NA,NA,NA,"M. M. M. Lopes","632","2006","04","09","Brazil","Bahia",NA,"-39.5653","-15.3917",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485927' target='other'> <mi>dwc_moreinfo</mi></a>","NY01807166","NY01807166_01","Camacã. RPPN Serra Bonita. 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01873574","PreservedSpecimen","Plantae","Annonaceae","Annona","neolaurifolia","Annona neolaurifolia","H.Rainer","P. J. M. Maas",NA,NA,NA,"A. M. Amorim","6955","2007","03","25","Brazil","Bahia","Camacan","-39.5647","-15.3931",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199489' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873574","NY01873574_01","RPPN Serra Bonita. 10 km W de Camacan na estrada para Jacarecí, 6 km SW na estrada para a RPPN e Torre de transmissão. Trilha de acesso a RPPN",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01806290","PreservedSpecimen","Plantae","Annonaceae","Annona","neolaurifolia","Annona neolaurifolia","H.Rainer","P. J. M. Maas",NA,NA,NA,"R. A. X. Borges","845","2007","02","12","Brazil","Bahia","Itamarajú","-39.3647","-17.1467",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201133' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806290","NY01806290_01","RPPN - Fazenda Riacho das Pedras, prop. Sr. Gersino Antônio Bronzon",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","02642163","PreservedSpecimen","Plantae","Annonaceae","Annona","neosericea","Annona neosericea","H.Rainer",NA,NA,NA,NA,"E. G. A. Martins","197","2011","10","08","Brazil","São Paulo","Cubatão","-46.42978","-23.8272",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962826' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642163","NY02642163_01","Parque Ecológico do Perequê. Trilha da Cachoeira, 300 m após travessia do rio Perequê, lado esquerdo no interior da mata.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","395878","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas",NA,NA,NA,"C. Angeli","322","1962","11","15","Brazil","Rio de Janeiro","Rio de Janeiro","-43.273873","-22.971901",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395878","NY00395878_01","Guanabara, Estrada da Vista Chinesa, em frente a Est. Biológica",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","395875","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas; L. Y. T. Westra",NA,NA,NA,"A. P. Duarte","4984","1959","08","25","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395875","NY00395875_01","Estrada das Furnas. Alto Boa Vista",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1015063","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","A. Q. Lobão",NA,NA,NA,"H. C. de Lima","4418","1992","11","24","Brazil","Rio de Janeiro","Silva Jardim","-42.3917","-22.6508",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099285' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015063","NY01015063_01","Reserva Biológica de Poço das Antas, Estrada para Juturnaiba, proximo a barragem.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00837540","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas; L. Y. T. Westra",NA,NA,NA,"E. Pereira","4141","1958","09","03","Brazil","Rio de Janeiro",NA,"-43.226672","-22.945054",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837540","NY00837540_01","Sumaré",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","395876","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas; L. Y. T. Westra",NA,NA,NA,"J. N. Rose","20311","1915","07","19","Brazil","Rio de Janeiro","Rio de Janeiro","-43.212076","-22.951842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395876","NY00395876_01","On Corcovado",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00837537","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas",NA,NA,NA,"W. R. Anderson","8995","1973","04","15","Brazil","Minas Gerais",NA,"-43.58685","-18.18305",NA,NA,"1410","1410","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837537","NY00837537_01","Serra do Espinhaço, 13 km by road SW of Rio Jequití and Mendanha on road to Diamantina",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00837536","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas",NA,NA,NA,"W. R. Anderson","8420","1973","04","09","Brazil","Minas Gerais",NA,"-43.68024","-18.32666",NA,NA,"1450","1450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837536","NY00837536_01","12 km by road W of Diamantina on road to Curvelo. Serra do Espinhaço.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00837511","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas",NA,NA,NA,"H. S. Irwin","22859","1969","01","29","Brazil","Minas Gerais","Diamantina","-43.5512","-18.1798",NA,NA,"1250","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837511","NY00837511_01","Serra do Espinhaço, ca. 17 km N.E. of Diamantina, on road to Mendanha",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00837513","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas; L. Y. T. Westra",NA,NA,NA,"J. E. B. Warming","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837513","NY00837513_01","Brasilia. Ad Lagoa Santa",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02699063","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.",NA,NA,NA,NA,"A. P. Duarte","5009","1959","09","02","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982461' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699063","NY02699063_01","Estrada do Redentor.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales","57442","auto",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","395877","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","C. Farney",NA,NA,NA,"C. Farney","363","1983","11","16","Brazil","Rio de Janeiro","Niterói","-43.1036","-22.8833",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395877","NY00395877_01","Limite de Municípios Niterói-Maricá, Pico Alto Moirao",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00837512","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas",NA,NA,NA,"W. R. Anderson","35162","1972","02","02","Brazil","Minas Gerais","Diamantina","-43.60083333","-18.24015",NA,NA,"1350","1350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837512","NY00837512_01","Serra do Espinhaço, ca. 7 km W of Diamantina, km 299 on MG-259",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","886758","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","R. de Mello-Silva",NA,NA,NA,"P. Fiaschi","1915","2004","01","23","Brazil","Bahia","Barro Preto","-39.2028","-14.7703",NA,NA,"600","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1060593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886758","NY00886758_01","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção à serra. Trilha de acesso à trilha de subida para o topo da serra.",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00837514","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas; L. Y. T. Westra",NA,NA,NA,"A. P. Duarte","s.n.","1948","10","21","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837514","NY00837514_01","Horto Florestal",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00837539","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas; L. Y. T. Westra",NA,NA,NA,"A. P. Duarte","2091","1945","12","05","Brazil","Minas Gerais",NA,"-43.499904","-19.221042",NA,NA,"1150","1150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837539","NY00837539_01","Serra do Cipó, entre os kilometros 131 e 132",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","395872","PreservedSpecimen","Plantae","Annonaceae","Rollinia","dolabripetala","Rollinia dolabripetala","(Raddi) R.E.Fr.","P. J. M. Maas",NA,NA,NA,"H. S. Irwin","20920","1968","02","26","Brazil","Minas Gerais",NA,"-43.65","-18.53",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395872","NY00395872_01","Serra do Espinhaço. Ca. 30 km N of Serro on road (MG 2) to Diamantina",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
