"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","phylum","class","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","fieldNumber","preparationType","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"12","2019-10-07 09:18:38-03","UEFS","HUEFS","104879","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link & Otto) Pfeiff. & Otto","Machado, M.","552","2005","11","10","Brasil","Rio Grande do Sul","Dom Pedrito","-54.520833","-30.841389",NA,"HUEFS0104879","HUEFS0104879 HUEFS0104879_01 HUEFS0104879_02",NA,"Angiospermae","Caryophyllanae","Caryophyllales",NA,NA,NA,NA,"ca. 23 km ao norte de Dom Pedrito na RS-630 em direção a São Gabriel.",NA,NA,NA,NA,"54W31'15''","30S50'29''","234","234"
"13","2021-04-08 17:12:25-03","UESB","HUESB","3171","S","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link) Zuccarini","Machado, C.G.","552","2005","11","10","Brasil","Rio Grande do Sul","Dom Pedrito","-54.520833","-30.841389",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"ca. 23 Km ao norte de Dom Pedrito na RS-630 em direção a São Gabriel","Troca de Material.",NA,NA,NA,"-54.520833","-30.841389","234","234"
"14","2020-08-20 14:55:31-03","UFSC","FLOR","55319","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link & Otto) Pfeiff. & Otto","Aona, L.Y.S.","1249A","2009","07","03","Brasil","Bahia","Cruz das Almas","-39.1018981933594","-12.6700000762939","14660","FLOR0055319",NA,"auto",NA,NA,"Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Cactaceae","Echinopsis","eyriesii","Echinopsis eyriesii","(Turpin) Pfeiff. & Otto","?","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"P04P2N0047",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia australi.",NA,NA,NA,"Southern America",NA,NA,NA,NA
"16","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Cactaceae","Echinopsis","eyriesii","Echinopsis eyriesii","(Turpin) Pfeiff. & Otto","?","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"P04P2N0047",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat et in Uruguai.",NA,NA,NA,"Southern America",NA,NA,NA,NA
"17","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Cactaceae","Echinopsis","gemmata","Echinopsis gemmata","(Otto ex Pfeiff.) K.Schum.","?","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia australi.",NA,NA,NA,"Southern America",NA,NA,NA,NA
"18","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Cactaceae","Echinopsis","multiplex","Echinopsis multiplex","(Pfeiff.) Zucc.","?","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia australi.",NA,NA,NA,"Southern America",NA,NA,NA,NA
"19","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link & Otto) Pfeiff. & Otto","Sellow, F","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia australi.","A cl. Sello primum in hortum botanicum Berolinensem et Londinensem missa est.",NA,NA,"Southern America",NA,NA,NA,NA
"20","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Cactaceae","Echinopsis","schelhasii","Echinopsis schelhasii","Pfeiff. & Otto","?","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat probabiliter in Brasilia australi.",NA,NA,NA,"Southern America",NA,NA,NA,NA
"21","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Cactaceae","Echinopsis","tubiflora","Echinopsis tubiflora","(Pfeiff.) Zucc. ex A.Dietr.","?","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In Brasilia australiore.",NA,NA,NA,"Southern America",NA,NA,NA,NA
"22","2021-02-08 12:39:03-03","UFRGS","ICN","022092","S","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link) Zucc.","Girardi, A; Irgang, BE",NA,"1973","11","21","Brasil","RS","Quaraí","-56.4514007568359","-30.3875007629395","74636",NA,NA,"auto","Dicotyledon",NA,NA,"Büneker, HM","2015","10","22","Cerro do Jarau. Topo de morro","Sobre pedras",NA,NA,"América do Sul",NA,NA,NA,NA
"23","2021-02-08 12:39:03-03","UFRGS","ICN","158814","S","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link) Zucc.","Freitas, E","626","2008","11","22","Brasil","RS","São Francisco de Assis","-55.1310997009277","-29.5503005981445","48310",NA,NA,"auto","Dicotyledon",NA,NA,"Freitas, E",NA,NA,NA,"Fazenda Joaquim Paz","Rupícola; flores de cor rosa; Encosta do cerro",NA,NA,"América do Sul",NA,NA,NA,NA
"24","2020-06-26 10:18:24-03","MCN-FZBRS","HAS","47765","PreservedSpecimen","Plantae","Cactaceae","Echinopsis","oxygona","Echinopsis oxygona","(Link & Otto) Pfeiff. & Otto","Nilson, A.D.","1264","2010","10",NA,"Brasil","Rio Grande do Sul","Quaraí","-56.4514007568359","-30.3875007629395","74636","HAS0047765",NA,"auto","Magnoliophyta",NA,NA,"Nilson, A.D.",NA,NA,NA,"Cerro do Jarau",NA,NA,NA,NA,NA,NA,NA,NA
