grupo,familia,especie_original,especie_autor,genero,epiteto_especifico,taxon_rank,epiteto_infraespecifico,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_cr_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,fontes,id,accepted_name,taxon_status,especie,threat_status,notes,original_search,occurrence,name_status,notas_dupl
NA,NA,Begonia tibagiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Begonia tibagiensis,NA,NA,
NA,NA,Cedrela angustifolia,NA,NA,NA,NA,NA,EN,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Cedrela angustifolia,NA,NA,
NA,NA,Chaetoclamys psammina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Chaetoclamys psammina,NA,NA,
NA,NA,Dyckia commixta,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Dyckia commixta,NA,NA,
NA,NA,Dyckia julianae,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Dyckia julianae,NA,NA,
NA,NA,Echinodorus rhombifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Echinodorus rhombifolia,NA,NA,
NA,NA,Elaphoglossum jamesonii,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Elaphoglossum jamesonii,NA,NA,
NA,NA,Enhydra sessilis,NA,NA,NA,NA,NA,NA,NA,EX,EX,NA,NA,NA,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,not found,Enhydra sessilis,NA,NA,
NA,NA,Epidendrum polyanthum,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Epidendrum polyanthum,NA,NA,
NA,NA,Erythrophyllastrum andinum,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Erythrophyllastrum andinum,NA,NA,
NA,NA,Evolvulus elegans subsp. confertifolius,NA,NA,NA,NA,NA,NA,NA,EX,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Evolvulus elegans subsp. confertifolius,NA,NA,
NA,NA,Ficus velutina,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Ficus velutina,NA,NA,
NA,NA,Hibiscus linearis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Hibiscus linearis,NA,NA,
NA,NA,Hibiscus urticifolius,NA,NA,NA,NA,NA,NA,NA,EX,EX,NA,NA,NA,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,not found,Hibiscus urticifolius,NA,NA,
NA,NA,Holocheilus schulzii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Holocheilus schulzii,NA,NA,
NA,NA,Hypericum cordiforme var. Kleinii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Hypericum cordiforme var. Kleinii,NA,NA,
NA,NA,Ossaea australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Ossaea australis,NA,NA,
NA,NA,Paepalanthus melaleucus var. epilosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Paepalanthus melaleucus var. epilosus,NA,NA,
NA,NA,Parodia schumanniana,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Parodia schumanniana,NA,NA,
NA,NA,Peperomia cooperi,NA,NA,NA,NA,NA,NA,DD,EX,EX,NA,NA,NA,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,not found,Peperomia cooperi,NA,NA,
NA,NA,Peperomia sessilifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Peperomia sessilifolia,NA,NA,
NA,NA,Poikilacanthus guillesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Poikilacanthus guillesii,NA,NA,
NA,NA,Portulaca cryptopetala var. poellniztiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Portulaca cryptopetala var. poellniztiana,NA,NA,
NA,NA,Rhipsalis hileiabaiana subsp. hileiabaiana,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Rhipsalis hileiabaiana subsp. hileiabaiana,NA,NA,
NA,NA,Schwenckia grandiflora var. hatschbachiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Schwenckia grandiflora var. hatschbachiana,NA,NA,
NA,NA,Spananthe Jacq.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EX,NA,mpoSP,NA,NA,NA,NA,NA,not found,Spananthe Jacq.,NA,NA,
NA,NA,Syngonanthus caulescens var. epapillosus,NA,NA,NA,NA,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Syngonanthus caulescens var. epapillosus,NA,NA,
NA,NA,Trichilia lepidota var. schumanniana,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Trichilia lepidota var. schumanniana,NA,NA,
NA,NA,Zexmenia viguerioides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Zexmenia viguerioides,NA,NA,
