familia,genero,epiteto_especifico,especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,especie_autor,cat_ameaca_sp,grupao,grupo,cat_ameaca_CR_lac,cat_ameaca_br,fonte
Asteraceae,Acritopappus,irwinii,Acritopappus irwinii,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Acritopappus,pintoi,Acritopappus pintoi,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poaceae,Acroceras,excavatum,Acroceras excavatum,NA,DD,VU,Acroceras excavatum (Henrard) Zuloaga & Morrone,VU,NA,NA,NA,NA,NA
Arecaceae,Acrocomia,emensis,Acrocomia emensis,VU,NA,VU,Acrocomia emensis (Toledo) Lorenzi,VU,NA,NA,NA,VU,Portaria 443/2014
Arecaceae,Acrocomia,hassleri,Acrocomia hassleri,NA,LC,EN,Acrocomia hassleri (Barb.Rodr.) W.J.Hahn,EN,NA,NA,NA,NA,NA
Eriocaulaceae,Actinocephalus,cabralensis,Actinocephalus cabralensis,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Eriocaulaceae,Actinocephalus,ciliatus,Actinocephalus ciliatus,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Eriocaulaceae,Actinocephalus,cipoensis,Actinocephalus cipoensis,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriocaulaceae,Actinocephalus,claussenianus,Actinocephalus claussenianus,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriocaulaceae,Actinocephalus,heterotrichus,Actinocephalus heterotrichus,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Eriocaulaceae,Actinocephalus,rhizomatosus,Actinocephalus rhizomatosus,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Eriocaulaceae,Actinocephalus,scytophyllus,Actinocephalus scytophyllus,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbiaceae,Actinostemon,klotzschii,Actinostemon klotzschii,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Adamantinia,miltonioides,Adamantinia miltonioides,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bignoniaceae,Adenocalymma,dichilum,Adenocalymma dichilum,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bignoniaceae,Adenocalymma,fruticosum,Adenocalymma fruticosum,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bignoniaceae,Adenocalymma,magnoalatum,Adenocalymma magnoalatum,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bignoniaceae,Adenocalymma,paulistarum,Adenocalymma paulistarum,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Bignoniaceae,Adenocalymma,ubatubense,Adenocalymma ubatubense,CR,NA,CR,Adenocalymma ubatubense Assis & Semir,CR,NA,NA,NA,CR,Portaria 443/2014
Euphorbiaceae,Adenophaedra,cearensis,Adenophaedra cearensis,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Adesmia,paranensis,Adesmia paranensis,NA,NT,NA,NA,NA,NA,NA,NA,NA,NA
Pteridaceae,Adiantum,diphyllum,Adiantum diphyllum,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteridaceae,Adiantum,discolor,Adiantum discolor,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteridaceae,Adiantum,mynsseniae,Adiantum mynsseniae,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteridaceae,Adiantum,papillosum,Adiantum papillosum,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteridaceae,Adiantum,tetragonum,Adiantum tetragonum,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,alopecurus,Aechmea alopecurus,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,amicorum,Aechmea amicorum,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,apocalyptica,Aechmea apocalyptica,VU,NA,EX,Aechmea apocalyptica Reitz,EX,NA,NA,NA,VU,Portaria 443/2014
Bromeliaceae,Aechmea,azurea,Aechmea azurea,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,bambusoides,Aechmea bambusoides,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,candida,Aechmea candida,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,capixabae,Aechmea capixabae,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,cariocae,Aechmea cariocae,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,castanea,Aechmea castanea,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,depressa,Aechmea depressa,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,echinata,Aechmea echinata,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,entringeri,Aechmea entringeri,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,fosteriana,Aechmea fosteriana,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,gamosepala,Aechmea gamosepala,NA,LC,EX,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,NA,NA,Aechmea gamossepala,NA,NA,NA,Aechmea gamossepala Wittm.,EX,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,gracilis,Aechmea gracilis,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,gustavoi,Aechmea gustavoi,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,kertesziae,Aechmea kertesziae,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,kleinii,Aechmea kleinii,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,lingulata,Aechmea lingulata,NA,DD,VU,Aechmea lingulata (L.) Baker,VU,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,macrochlamys,Aechmea macrochlamys,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,marginalis,Aechmea marginalis,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,muricata,Aechmea muricata,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,mutica,Aechmea mutica,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,orlandiana,Aechmea orlandiana,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,pedicellata,Aechmea pedicellata,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,pimenti-velosoi,Aechmea pimenti-velosoi,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,podantha,Aechmea podantha,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,recurvata,Aechmea recurvata,NA,DD,VU,Aechmea recurvata (Klotzsch) L.B.Sm.,VU,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,roberto-seidelii,Aechmea roberto-seidelii,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,rubrolilacina,Aechmea rubrolilacina,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,setigera,Aechmea setigera,NA,LC,EX,Aechmea setigera Mart. ex Shult.,EX,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,sphaerocephala,Aechmea sphaerocephala,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,triangularis,Aechmea triangularis,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,vanhoutteana,Aechmea vanhoutteana,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,werdermannii,Aechmea werdermannii,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,winkleri,Aechmea winkleri,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Aechmea,wittmackiana,Aechmea wittmackiana,NA,"NA",VU,Aechmea wittmackiana (Regel) Mez,VU,NA,NA,NA,NA,NA
Lamiaceae,Aegiphila,australis,Aegiphila australis,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA
Lamiaceae,Aegiphila,capitata,Aegiphila capitata,NA,"NA",EX,Aegiphila capitata Moldenke,EX,NA,NA,NA,NA,NA
Lamiaceae,Aegiphila,duckei,Aegiphila duckei,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Aeschynomene,denticulata,Aeschynomene denticulata,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Aeschynomene,fructipendula,Aeschynomene fructipendula,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Aeschynomene,laca-buendiana,Aeschynomene laca-buendiana,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Aeschynomene,montevidensis,Aeschynomene montevidensis,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Aeschynomene,sensitiva,Aeschynomene sensitiva,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Orobanchaceae,Agalinis,bandeirensis,Agalinis bandeirensis,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanchaceae,Agalinis,brachyphylla,Agalinis brachyphylla,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanchaceae,Agalinis,communis,Agalinis communis,NA,LC,EN,Agalinis communis (Cham. & Schltdl.) D´Arcy,EN,NA,NA,NA,NA,NA
Orobanchaceae,Agalinis,itambensis,Agalinis itambensis,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanchaceae,Agalinis,nana,Agalinis nana,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanchaceae,Agalinis,ramulifera,Agalinis ramulifera,EN,NA,EX,Agalinis ramulifera Barringer,EX,NA,NA,NA,EN,Portaria 443/2014
Orobanchaceae,Agalinis,schwackeana,Agalinis schwackeana,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ericaceae,Agarista,chlorantha,Agarista chlorantha,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Ericaceae,Agarista,niederleinii,Agarista niederleinii,NA,LC,EN,Agarista niederleinii (Sleumer) Judd,EN,NA,NA,NA,NA,NA
Ericaceae,Agarista,nummularia,Agarista nummularia,NA,LC,EX,Agarista nummularia G.Don,EX,NA,NA,NA,NA,NA
Ericaceae,Agarista,pulchra,Agarista pulchra,NA,NT,EN,Agarista pulchra G.Don,EN,NA,NA,NA,NA,NA
Poaceae,Agenium,leptocladum,Agenium leptocladum,NA,LC,EN,Agenium leptocladum (Hack.) Clayton,EN,NA,NA,NA,NA,NA
Asteraceae,Agrianthus,almasensis,Agrianthus almasensis,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Agrianthus,giuliettiae,Agrianthus giuliettiae,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosaceae,Agrimonia,parviflora,Agrimonia parviflora,NA,DD,EX,Agrimonia parviflora Sol.,EX,NA,NA,NA,NA,NA
Poaceae,Agrostis,lenis,Agrostis lenis,VU,NA,VU,Agrostis lenis Roseng. et al.,VU,NA,NA,NA,VU,Portaria 443/2014
Poaceae,Agrostis,longiberbis,Agrostis longiberbis,EN,NA,EN,Agrostis longiberbis Hack. ex L.B.Sm.,EN,NA,NA,NA,EN,Portaria 443/2014
Malvaceae,Aguiaria,excelsa,Aguiaria excelsa,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Lauraceae,Aiouea,benthamiana,Aiouea benthamiana,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lauraceae,Aiouea,bracteata,Aiouea bracteata,VU,NA,VU,Aiouea bracteata Kosterm.,VU,NA,NA,NA,VU,Portaria 443/2014
Lauraceae,Aiouea,lehmannii,Aiouea lehmannii,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lauraceae,Aiouea,macedoana,Aiouea macedoana,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Lauraceae,Aiouea,piauhyensis,Aiouea piauhyensis,NA,LC,EX,Aiouea piauhyensis (Meisn.) Mez,EX,NA,NA,NA,NA,NA
Lauraceae,Aiouea,trinervis,Aiouea trinervis,NA,LC,EN,Aiouea trinervis Meisn.,EN,NA,NA,NA,NA,NA
Malvaceae,Akrosida,macrophylla,Akrosida macrophylla,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Polypodiaceae,Alansmia,senilis,Alansmia senilis,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Albizia,burkartiana,Albizia burkartiana,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Albizia,glabripetala,Albizia glabripetala,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Albizia,niopoides,Albizia niopoides,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,benzingii,Alcantarea benzingii,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,duarteana,Alcantarea duarteana,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,farneyi,Alcantarea farneyi,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,geniculata,Alcantarea geniculata,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,glaziouana,Alcantarea glaziouana,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,imperialis,Alcantarea imperialis,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,nahoumii,Alcantarea nahoumii,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,nevaresii,Alcantarea nevaresii,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromeliaceae,Alcantarea,vinicolor,Alcantarea vinicolor,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,aspilioides,Aldama aspilioides,NA,DD,VU,Aldama aspilioides (Baker) E.E.Schill. & Panero,VU,NA,NA,NA,NA,NA
Asteraceae,Aldama,corumbensis,Aldama corumbensis,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,filifolia,Aldama filifolia,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,goyazii,Aldama goyazii,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,grandiflora,Aldama grandiflora,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,linearifolia,Aldama linearifolia,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,paranensis,Aldama paranensis,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,pilosa,Aldama pilosa,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,santacatarinensis,Aldama santacatarinensis,NA,NE,NA,NA,NA,NA,NA,NA,NA,NA
Asteraceae,Aldama,vernonioides,Aldama vernonioides,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Aldina,microphylla,Aldina microphylla,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Aldina,occidentalis,Aldina occidentalis,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Aldina,polyphylla,Aldina polyphylla,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbiaceae,Algernonia,dimitrii,Algernonia dimitrii,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbiaceae,Algernonia,kuhlmannii,Algernonia kuhlmannii,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arecaceae,Allagoptera,brevicalyx,Allagoptera brevicalyx,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lecythidaceae,Allantoma,integrifolia,Allantoma integrifolia,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Lecythidaceae,Allantoma,kuhlmannii,Allantoma kuhlmannii,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Lecythidaceae,Allantoma,pauciramosa,Allantoma pauciramosa,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Lecythidaceae,Allantoma,uaupensis,Allantoma uaupensis,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Sapindaceae,Allophylus,melanophloeus,Allophylus melanophloeus,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Sapindaceae,Allophylus,membranifolius,Allophylus membranifolius,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Rutaceae,Almeidea,caerulea,Almeidea caerulea,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA
Rutaceae,Almeidea,coerulea,Almeidea coerulea,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verbenaceae,Aloysia,hatschbachii,Aloysia hatschbachii,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verbenaceae,Aloysia,polygalifolia,Aloysia polygalifolia,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Rubiaceae,Alseis,involuta,Alseis involuta,VU,NA,VU,Alseis involuta K. Schum.,VU,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,amabilis,Alstroemeria amabilis,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,apertiflora,Alstroemeria apertiflora,NA,LC,EN,Alstroemeria apertiflora Baker,EN,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,brasiliensis,Alstroemeria brasiliensis,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,capixaba,Alstroemeria capixaba,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,caryophyllaea,Alstroemeria caryophyllaea,EN,NA,EW,Alstroemeria caryophyllaea Jacq.,EW,NA,NA,NA,EN,Portaria 443/2014
Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,NA,"NA",EN,Alstroemeria foliosa Mart.ex Schult & Schult. f.,EN,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,inodora,Alstroemeria inodora,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,malmeana,Alstroemeria malmeana,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,orchidioides,Alstroemeria orchidioides,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,penduliflora,Alstroemeria penduliflora,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,NA,"NA",EN,Alstroemeria plantaginea Mart. ex Schult & Schult. f.,EN,NA,NA,NA,NA,NA
Alstroemeriaceae,Alstroemeria,variegata,Alstroemeria variegata,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,aquatica,Alternanthera aquatica,NA,"NA",VU,Alternanthera aquatica (D. Parodi) Chodat,VU,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,bahiensis,Alternanthera bahiensis,NA,"NA",VU,Alternanthera bahiensis Pedersen,VU,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,decurrens,Alternanthera decurrens,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,flavescens,Alternanthera flavescens,NA,"NA",VU,Alternanthera flavescens Kunth,VU,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,hirtula,Alternanthera hirtula,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,januarensis,Alternanthera januarensis,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,lanceolata,Alternanthera lanceolata,NA,"NA",VU,Alternanthera lanceolata (Benth.) Schinz,VU,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,malmeana,Alternanthera malmeana,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,micrantha,Alternanthera micrantha,NA,LC,VU,Alternanthera micrantha R.E. Fr.,VU,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,paronychioides,Alternanthera paronychioides,NA,LC,EX,Alternanthera paronychioides A.St.-Hil.,EX,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,puberula,Alternanthera puberula,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,reineckii,Alternanthera reineckii,NA,LC,VU,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,NA,NA,Alternanthera reinekii,NA,NA,NA,Alternanthera reinekii Briq.,VU,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,sessilis,Alternanthera sessilis,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Poaceae,Altoparadisium,chapadense,Altoparadisium chapadense,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubiaceae,Amaioua,monteiroi,Amaioua monteiroi,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Amaranthus,rosengurtii,Amaranthus rosengurtii,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Amburana,acreana,Amburana acreana,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Amburana,erythrosperma,Amburana erythrosperma,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Bignoniaceae,Amphilophium,crucigerum,Amphilophium crucigerum,NA,NE,NA,NA,NA,NA,NA,NA,NA,NA
Anacardiaceae,Anacardium,humile,Anacardium humile,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA
Primulaceae,NA,NA,Anagallis barbata,NA,NA,NA,Anagallis barbata (P.Taylor) Kupicha,EN,NA,NA,NA,NA,NA
Orchidaceae,Anathallis,bleyensis,Anathallis bleyensis,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Anathallis,colnagoi,Anathallis colnagoi,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Anathallis,crebrifolia,Anathallis crebrifolia,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Anathallis,gehrtii,Anathallis gehrtii,VU,NA,VU,Anathallis gehrtii (Hoehne & Schltr.) F.Barros,VU,NA,NA,NA,VU,Portaria 443/2014
Orchidaceae,Anathallis,gerthatschbachii,Anathallis gerthatschbachii,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Anathallis,kautskyi,Anathallis kautskyi,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Anathallis,obovata,Anathallis obovata,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Anathallis,pabstii,Anathallis pabstii,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orchidaceae,Anathallis,tigridens,Anathallis tigridens,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Ancistrotropis,firmula,Ancistrotropis firmula,NA,LC,VU,Ancistrotropis firmula (Mart. ex Benth.) A.Delgado,VU,NA,NA,NA,NA,NA
Fabaceae,Andira,praecox,Andira praecox,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA
Rutaceae,Andreadoxa,flava,Andreadoxa flava,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA
