"","especie_original","fontes","cats","id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","NA.","threat.status","notes","original.search","life.form","habitat","vegetation.type","vernacular.name","occurrence","establishment","domain","endemism"
"13","Chomelia transiens","cncflora_out_1","DD",13869,"Chomelia obtusa Cham. & Schltdl.",NA,"Rubiaceae","species","accepted","Chomelia obtusa","Chomelia obtusa",NA,"replaced synonym","Chomelia transiens","Arbusto|Árvore","Terrícola","Área Antrópica|Campo Limpo|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","Rompe Gibão/PORTUGUES/Nordeste - Paraíba | Tapaquitá/PORTUGUES/Nordeste - Pernambuco | Quina-cruzeiro/PORTUGUES/Sudeste - São Paulo | Limãorana/PORTUGUES/Norte - Pará","BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal","Não endemica"
"14","Ditassa fontellae","cncflora_out_1","DD",4560,"Ditassa bicolor Decne.",NA,"Apocynaceae","species","accepted","Ditassa bicolor","Ditassa bicolor",NA,"replaced synonym","Ditassa fontellae","Liana/volúvel/trepadeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-MG|BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"15","Elaphoglossum mourae","cncflora_out_1","DD",91067,"Elaphoglossum rigidum (Aubl.) Urb.",NA,"Dryopteridaceae","species","accepted","Elaphoglossum rigidum","Elaphoglossum rigidum",NA,"replaced synonym","Elaphoglossum mourae","Erva","Epífita","Campinarana|Floresta Ombrófila (= Floresta Pluvial)|Restinga",NA,"BR-AC|BR-AM|BR-AP|BR-BA|BR-ES|BR-MG|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-SP","native","Amazônia|Mata Atlântica","Não endemica"
"16","Epistephium portellianum","cncflora_out_1","DD",25910,"Epistephium sclerophyllum Lindl.",NA,"Orchidaceae","species","accepted","Epistephium sclerophyllum","Epistephium sclerophyllum",NA,"replaced synonym","Epistephium portellianum","Erva","Terrícola","Campo Limpo|Campo rupestre|Cerrado (lato sensu)",NA,"BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado","Não endemica"
"17","Faramea australis","cncflora_out_1","DD",13990,"Faramea stipulacea (Cham. & Schltdl.) DC.",NA,"Rubiaceae","species","accepted","Faramea stipulacea","Faramea stipulacea",NA,"replaced synonym","Faramea australis","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",NA,"BR-AL|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"18","Ficus organensis","cncflora_out_1","LC",10140,"Ficus cestrifolia Schott ex Spreng.",NA,"Moraceae","species","accepted","Ficus cestrifolia","Ficus cestrifolia",NA,"replaced synonym","Ficus organensis","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Mata Atlântica|Pampa","Endemica"
"19","Griffinia intermedia","cncflora_out_1","EN",4345,"Griffinia intermedia Lindl.",NA,"Amaryllidaceae","species","accepted","Griffinia intermedia","Griffinia intermedia",NA,"","Griffinia intermedia","Erva","Terrícola",NA,NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"20","Handroanthus serratifolius","cncflora_out_1","NT",117466,"Handroanthus serratifolius (Vahl) S.Grose",NA,"Bignoniaceae","species","accepted","Handroanthus serratifolius","Handroanthus serratifolius",NA,"","Handroanthus serratifolius","Árvore","Terrícola","Floresta de Terra Firme|Floresta Estacional Perenifólia|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",NA,"BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica"
"21","Hydrocotyle alpestris","cncflora_out_1","CR",5120,"Hydrocotyle itatiaiensis Brade",NA,"Araliaceae","species","accepted","Hydrocotyle itatiaiensis","Hydrocotyle itatiaiensis",NA,"replaced synonym","Hydrocotyle alpestris","Erva","Terrícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-MG|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"22","Hydrocotyle ulei","cncflora_out_1","EN",5128,"Hydrocotyle ulei H.Wolff",NA,"Araliaceae","species","accepted","Hydrocotyle ulei","Hydrocotyle ulei",NA,"","Hydrocotyle ulei","Erva","Terrícola","Campo de Altitude",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"23","Ilex cognata","cncflora_out_1","DD",4904,"Ilex paraguariensis A.St.-Hil.",NA,"Aquifoliaceae","species","accepted","Ilex paraguariensis","Ilex paraguariensis","LC","replaced synonym","Ilex cognata","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","erva-mate/PORTUGUES/NA | mate/PORTUGUES/NA | chá-mate/PORTUGUES/NA","BR-BA|BR-DF|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Caatinga|Cerrado|Mata Atlântica|Pampa","Não endemica"
"24","Ilex friburgensis","cncflora_out_1","DD",4910,"Ilex theezans Mart. ex Reissek",NA,"Aquifoliaceae","species","accepted","Ilex theezans","Ilex theezans",NA,"replaced synonym","Ilex friburgensis","Arbusto|Árvore","Terrícola","Campo de Altitude|Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)|Restinga","congonha/PORTUGUES/Sul","BR-BA|BR-DF|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica"
"25","Ilex virgata","cncflora_out_1","DD",26487,"Ilex chamaedryfolia Reissek",NA,"Aquifoliaceae","species","accepted","Ilex chamaedryfolia","Ilex chamaedryfolia","LC","replaced synonym","Ilex virgata","Arbusto","Terrícola","Campo de Altitude","congonhinha/PORTUGUES/Sudeste | congonha-de-folha-miúda/PORTUGUES/Sudeste | congonha-do-campo/PORTUGUES/Sudeste","BR-MG|BR-PR|BR-RS|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"26","Justicia meyeniana","cncflora_out_1","EN",4159,"Justicia meyeniana (Nees) Lindau",NA,"Acanthaceae","species","accepted","Justicia meyeniana","Justicia meyeniana",NA,"","Justicia meyeniana","Erva","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"27","Leandra depauperata","cncflora_out_1","DD",9643,"Leandra xantholasia (DC.) Cogn.",NA,"Melastomataceae","species","accepted","Leandra xantholasia","Leandra xantholasia",NA,"replaced synonym","Leandra depauperata","Arbusto|Subarbusto","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-ES|BR-MG|BR-RJ|BR-SP","native","Cerrado|Mata Atlântica","Endemica"
"28","Leandra laxa","cncflora_out_1","EN",9534,"Leandra eriocalyx Cogn.",NA,"Melastomataceae","species","accepted","Leandra eriocalyx","Leandra eriocalyx",NA,"replaced synonym","Leandra laxa","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-ES|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"29","Leandra saldanhaei","cncflora_out_1","DD",9509,"Leandra barbinervis (Cham. ex Triana) Cogn.",NA,"Melastomataceae","species","accepted","Leandra barbinervis","Leandra barbinervis",NA,"was misspelled|replaced synonym","Leandra saldanhaei","Arbusto|Árvore","Terrícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"30","Leandra schwackei","cncflora_out_1","DD",9604,"Leandra regnellii (Triana) Cogn.",NA,"Melastomataceae","species","accepted","Leandra regnellii","Leandra regnellii",NA,"replaced synonym","Leandra schwackei","Arbusto|Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",NA,"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Mata Atlântica","Não endemica"
"31","Leandra sessiliflora","cncflora_out_1","DD",9545,"Leandra glabrata (Bunbury) Cogn.",NA,"Melastomataceae","species","accepted","Leandra glabrata","Leandra glabrata",NA,"replaced synonym","Leandra sessiliflora","Arbusto","Terrícola","Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-ES|BR-GO|BR-MG|BR-PR|BR-SP","native","Cerrado|Mata Atlântica","Endemica"
"32","Lippia lasiocalycina","cncflora_out_1","LC",15176,"Lippia lasiocalycina Cham.",NA,"Verbenaceae","species","accepted","Lippia lasiocalycina","Lippia lasiocalycina",NA,"","Lippia lasiocalycina","Arbusto","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Palmeiral",NA,"BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PE|BR-PI|BR-PR|BR-SP|BR-TO","native","Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica"
"33","Magnolia paranaensis","cncflora_out_0","DD",8795,"Magnolia ovata (A.St.-Hil.) Spreng.",NA,"Magnoliaceae","species","accepted","Magnolia ovata","Magnolia ovata","LC","replaced synonym","Magnolia paranaensis","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)","pinha-do-brejo/PORTUGUES/Sudeste e Sul | fruta-de-pau/PORTUGUES/Sudeste | baguaçu/PORTUGUES/Sudeste e Sul | bicuibaçu/PORTUGUES/Sudeste e Sul","BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO","native","Cerrado|Mata Atlântica","Endemica"
"34","Marcgravia comosa","cncflora_out_1","EN",118171,"Marcgravia comosa C.Presl",NA,"Marcgraviaceae","species","accepted","Marcgravia comosa","Marcgravia comosa",NA,"","Marcgravia comosa","Liana/volúvel/trepadeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"35","Marlierea silvestris","cncflora_out_1","DD",606755,"Plinia silvestris (Vellozo) Mazine & Sobral",NA,"Myrtaceae","species","accepted","Plinia silvestris","Plinia silvestris","EN","replaced synonym","Marlierea silvestris","Árvore","Terrícola",NA,NA,"BR-BA|BR-ES|BR-PR|BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"36","Maytenus dasyclada","cncflora_out_1","LC",604538,"Monteverdia dasyclada (Mart.) Biral",NA,"Celastraceae","species","accepted","Monteverdia dasyclada","Monteverdia dasyclada",NA,"replaced synonym","Maytenus dasyclada","Arbusto","Terrícola","Campo de Altitude|Campo Limpo|Floresta Estacional Semidecidual|Floresta Ombrófila Mista",NA,"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Mata Atlântica|Pampa","Não endemica"
"37","Miconia augusti","cncflora_out_1","DD",9703,"Miconia fasciculata Gardner",NA,"Melastomataceae","species","accepted","Miconia fasciculata","Miconia fasciculata","LC","replaced synonym","Miconia augusti","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"38","Miconia fluminensis","cncflora_out_1","DD",9703,"Miconia fasciculata Gardner",NA,"Melastomataceae","species","accepted","Miconia fasciculata","Miconia fasciculata","LC","replaced synonym","Miconia fluminensis","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"39","Miconia gigantea","cncflora_out_1","EN",9706,"Miconia formosa Cogn.",NA,"Melastomataceae","species","accepted","Miconia formosa","Miconia formosa",NA,"replaced synonym","Miconia gigantea","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"40","Miconia gilva","cncflora_out_1","DD",9703,"Miconia fasciculata Gardner",NA,"Melastomataceae","species","accepted","Miconia fasciculata","Miconia fasciculata","LC","replaced synonym","Miconia gilva","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"41","Miconia oblongifolia","cncflora_out_1","DD",9677,"Miconia buddlejoides Triana",NA,"Melastomataceae","species","accepted","Miconia buddlejoides","Miconia buddlejoides",NA,"replaced synonym","Miconia oblongifolia","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Não endemica"
"42","Miconia ovalifolia","cncflora_out_1","DD",9706,"Miconia formosa Cogn.",NA,"Melastomataceae","species","accepted","Miconia formosa","Miconia formosa",NA,"replaced synonym","Miconia ovalifolia","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"43","Miconia pseudoeichleri","cncflora_out_1","DD",9778,"Miconia valtheri Naudin",NA,"Melastomataceae","species","accepted","Miconia valtheri","Miconia valtheri",NA,"replaced synonym","Miconia pseudoeichleri","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"44","Miconia rabenii","cncflora_out_1","DD",9703,"Miconia fasciculata Gardner",NA,"Melastomataceae","species","accepted","Miconia fasciculata","Miconia fasciculata","LC","replaced synonym","Miconia rabenii","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"45","Mikania casarettoi","cncflora_out_1","DD",5362,"Mikania casarettoi B.L.Rob.",NA,"Asteraceae","species","accepted","Mikania casarettoi","Mikania casarettoi",NA,"","Mikania casarettoi","Liana/volúvel/trepadeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"46","Mikania pteropoda","cncflora_out_1","EN",132894,"Mikania pteropoda DC.",NA,"Asteraceae","species","accepted","Mikania pteropoda","Mikania pteropoda",NA,"","Mikania pteropoda","Liana/volúvel/trepadeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"47","Mikania vauthieriana","cncflora_out_1","EN",5445,"Mikania vauthieriana Baker",NA,"Asteraceae","species","accepted","Mikania vauthieriana","Mikania vauthieriana",NA,"","Mikania vauthieriana","Liana/volúvel/trepadeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-ES|BR-MG|BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"48","Mimosa bocainae","cncflora_out_1","CR",100942,"Mimosa bocainae Barneby",NA,"Fabaceae","species","accepted","Mimosa bocainae","Mimosa bocainae",NA,"","Mimosa bocainae","Subarbusto","Terrícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"49","Mollinedia corcovadensis","cncflora_out_1","DD",10104,"Mollinedia triflora (Spreng.) Tul.",NA,"Monimiaceae","species","accepted","Mollinedia triflora","Mollinedia triflora",NA,"replaced synonym","Mollinedia corcovadensis","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)","pau-de-espeto/PORTUGUES/Sul","BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"50","Myrcia innovans","cncflora_out_1","EN",10771,"Myrcia tijucensis Kiaersk.",NA,"Myrtaceae","species","accepted","Myrcia tijucensis","Myrcia tijucensis","LC","replaced synonym","Myrcia innovans","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",NA,"BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"51","Nematanthus mirabilis","cncflora_out_1","DD",7860,"Nematanthus mirabilis (Handro) Chautems",NA,"Gesneriaceae","species","accepted","Nematanthus mirabilis","Nematanthus mirabilis",NA,"","Nematanthus mirabilis","Subarbusto","Epífita","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"52","Pabstia placanthera","cncflora_out_1","DD",70696,"Zygopetalum viride (Lindl.) Schltr.",NA,"Orchidaceae","species","accepted","Zygopetalum viride","Zygopetalum viride",NA,"replaced synonym","Pabstia placanthera","Erva","Epífita","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-ES|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"53","Parinari pohlii","cncflora_out_1","EN",34782,"Parinari brasiliensis (Schott) Hook.f.",NA,"Chrysobalanaceae","species","accepted","Parinari brasiliensis","Parinari brasiliensis","EN","replaced synonym","Parinari pohlii","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"54","Peperomia papillispica","cncflora_out_1","DD",12684,"Peperomia papillispica C.DC.",NA,"Piperaceae","species","accepted","Peperomia papillispica","Peperomia papillispica",NA,"","Peperomia papillispica","Erva","Desconhecido","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"55","Piper morisonianum","cncflora_out_1","CR",12817,"Piper morisonianum C.DC.",NA,"Piperaceae","species","accepted","Piper morisonianum","Piper morisonianum",NA,"","Piper morisonianum","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"56","Posoqueria laurifolia","cncflora_out_1","DD",14148,"Posoqueria acutifolia Mart.",NA,"Rubiaceae","species","accepted","Posoqueria acutifolia","Posoqueria acutifolia",NA,"replaced synonym","Posoqueria laurifolia","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-MG|BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"57","Psidium arboreum","cncflora_out_1","DD",10858,"Psidium cattleyanum Sabine",NA,"Myrtaceae","species","accepted","Psidium cattleyanum","Psidium cattleyanum",NA,"replaced synonym","Psidium arboreum","Arbusto|Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga","Araçá, araçá-amarelo/PORTUGUES/Paraná | Araçá-de-coroa/PORTUGUES/Minas Gerais, Paraná","BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Endemica"
"58","Sauroglossum odoratum","cncflora_out_1","DD",69656,"Sauroglossum elatum Lindl.",NA,"Orchidaceae","species","accepted","Sauroglossum elatum","Sauroglossum elatum",NA,"replaced synonym","Sauroglossum odoratum","Erva","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Cerrado|Mata Atlântica","Não endemica"
