especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br
Accara elegans,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Achatocarpus praecox,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Achetaria caparaoense,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Achetaria latifolia,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Achimenes ichtyostoma,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Acianthera adiri,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Acianthera aphthosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera auriculata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera bragae,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera crinita,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera glumacea,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera heringeri,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Acianthera karlii,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Acianthera langeana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Acianthera ophiantha,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Acianthera papillosa,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Acianthera pectinata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera pernambucensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Acianthera saundersiana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Acianthera saurocephala,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera strupifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera translucida,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Acianthera tricarinata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Acicarpha tribuloides,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA
Acmella pusilla,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Acmella uliginosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Acritopappus catolesensis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Acritopappus connatifolius,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Acritopappus irwinii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Acritopappus pintoi,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Acroceras excavatum,sima-SP_oficial-cncflora_web,NA,DD,VU,VU,NA,DD,NA,NA,NA
Acroceras zizanioides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Acrocomia emensis,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Acrocomia hassleri,sima-SP_oficial,NA,LC,EN,EN,NA,NA,NA,NA,NA
Acrostichum aureum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Acrostichum danaeifolium,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Actinocephalus cabralensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Actinocephalus ciliatus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Actinocephalus cipoensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Actinocephalus claussenianus,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Actinocephalus heterotrichus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Actinocephalus rhizomatosus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Actinocephalus scytophyllus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Actinostemon concolor,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Actinostemon klotzschii,sima-UICN_API,NA,DD,NA,NA,NA,NA,LC,NA,NA
Actinostemon verticillatus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Adamantinia miltonioides,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Adelothecium bogotense,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Adenocalymma dichilum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Adenocalymma fruticosum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Adenocalymma magnoalatum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Adenocalymma paulistarum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Adenocalymma ubatubense,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,NA,CR,NA,NA,CR
Adenophaedra cearensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Adesmia paranensis,sima,NA,NT,NA,NA,NA,NA,NA,NA,NA
Adiantum diphyllum,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Adiantum discolor,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Adiantum mynsseniae,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Adiantum papillosum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Adiantum tetragonum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea alopecurus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea amicorum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea apocalyptica,sima-SP_oficial-Portaria 443/2014,VU,NA,EX,EX,NA,NA,NA,NA,VU
Aechmea azurea,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aechmea bambusoides,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aechmea bromeliifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aechmea bromeliifolia var. albobracteata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aechmea candida,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aechmea capixabae,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aechmea cariocae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea castanea,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea caudata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aechmea cylindrata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aechmea depressa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea distichantha,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aechmea echinata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea entringeri,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aechmea fosteriana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea gamosepala,sima,NA,LC,EX,NA,NA,NA,NA,NA,NA
Aechmea gamossepala,SP_oficial,NA,NA,NA,EX,NA,NA,NA,NA,NA
Aechmea gracilis,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Aechmea gustavoi,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aechmea kertesziae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea kleinii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea lingulata,sima-SP_oficial,NA,DD,VU,VU,NA,NA,NA,NA,NA
Aechmea macrochlamys,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea marginalis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aechmea muricata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea mutica,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea nudicaulis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aechmea orlandiana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aechmea pectinata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aechmea pedicellata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aechmea pimenti-velosoi,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aechmea podantha,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aechmea recurvata,sima-SP_oficial,NA,DD,VU,VU,NA,NA,NA,NA,NA
Aechmea recurvata var. ortgiesii,cncflora_web,NA,NA,NA,NA,NA,DD,NA,NA,NA
Aechmea roberto-seidelii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aechmea rubrolilacina,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aechmea setigera,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Aechmea sphaerocephala,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea triangularis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea vanhoutteana,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Aechmea werdermannii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aechmea winkleri,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aechmea wittmackiana,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Aegiphila australis,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegiphila brachiata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aegiphila capitata,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Aegiphila duckei,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aegiphila fluminensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aegiphila integrifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aegiphila mediterranea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aegiphila obducta,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aegiphila verticillata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aegiphila vitelliniflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aeschynomene brasiliana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aeschynomene brevipes,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aeschynomene ciliata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aeschynomene denticulata,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Aeschynomene fructipendula,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aeschynomene laca-buendiana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aeschynomene marginata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aeschynomene montevidensis var. microphylla,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Aeschynomene racemosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aeschynomene selloi,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aeschynomene sensitiva var. hispidula,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Agalinis bandeirensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Agalinis brachyphylla,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Agalinis communis,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EN,EN,NA,LC,NA,EN,NA
Agalinis itambensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Agalinis nana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Agalinis ramulifera,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,EX,EN
Agalinis schwackeana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Agarista chlorantha,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Agarista niederleinii,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Agarista nummularia,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA
Agarista oleifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Agarista pulchra,sima-SP_oficial-cncflora_ckan,NA,NT,EN,EN,NA,NT,NA,NA,NA
Agenium leptocladum,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EN,EN,NA,LC,NA,EN,NA
Agonandra brasiliensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Agrianthus almasensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Agrianthus giuliettiae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Agrimonia parviflora,sima-SP_oficial-cncflora_web-mpoSP,NA,DD,EX,EX,NA,DD,NA,EX,NA
Agrostis lenis,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Agrostis longiberbis,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,EN,EN
Aguiaria excelsa,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aiouea acarodomatifera,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/lc,NA,NA
Aiouea benthamiana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aiouea bracteata,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,VU,NA,VU,VU,NA,EN,EN,NA,VU
Aiouea glaziovii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aiouea lehmannii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aiouea macedoana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aiouea piauhyensis,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Aiouea saligna,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aiouea trinervis,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Akrosida macrophylla,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Alansmia senilis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Alatiglossum croesus,cncflora_web-Portaria 443/2014,NA,NA,NA,NA,NA,CR,NA,NA,CR
Alatiglossum longipes,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Albizia burkartiana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Albizia carbonaria,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Albizia edwallii,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Albizia edwarllii,UICN_API,NA,NA,NA,NA,NA,NA,VU,NA,NA
Albizia glabripetala,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Albizia inundata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Albizia niopoides,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Albizia polycephala,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Alcantarea benzingii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Alcantarea duarteana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alcantarea farneyi,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Alcantarea geniculata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alcantarea glaziouana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alcantarea imperialis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Alcantarea nahoumii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Alcantarea nevaresii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alcantarea vinicolor,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alchornea glandulosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Alchornea triplinervia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aldama aspilioides,sima-SP_oficial,NA,DD,VU,VU,NA,NA,NA,NA,NA
Aldama corumbensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aldama filifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aldama goyazii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aldama grandiflora,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldama linearifolia,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aldama paranensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aldama pilosa,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldama santacatarinensis,sima,NA,NE,NA,NA,NA,NA,NA,NA,NA
Aldama vernonioides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aldina microphylla,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aldina occidentalis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aldina polyphylla,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Algernonia brasiliensis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,VU,VU,NA,NA
Algernonia dimitrii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Algernonia kuhlmannii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Algernonia leandrii,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Algernonia riedelii,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,NT,NA,NA
Allagoptera arenaria,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Allagoptera brevicalyx,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Allantoma integrifolia,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Allantoma kuhlmannii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Allantoma pauciramosa,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Allantoma uaupensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Allophylus edulis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Allophylus melanophloeus,sima-cncflora_ckan,NA,DD,NA,NA,NA,DD,NA,NA,NA
Allophylus membranifolius,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Allophylus puberulus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Allophylus racemosus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Allophylus semidentatus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Almeidea caerulea,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almeidea coerulea,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alophia coerulea,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Aloysia hatschbachii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aloysia polygalifolia,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Alseis floribunda,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Alseis involuta,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Alseis latifolia,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Alsophila capensis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Alsophila capensis subsp. polypodioides,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Alstroemeria amabilis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alstroemeria apertiflora,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Alstroemeria brasiliensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alstroemeria capixaba,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Alstroemeria caryophyllaea,sima-SP_oficial-mpoSP-Portaria 443/2014,EN,NA,EW,EW,NA,NA,NA,EW,EN
Alstroemeria foliosa,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Alstroemeria inodora,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Alstroemeria malmeana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Alstroemeria orchidioides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alstroemeria penduliflora,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alstroemeria plantaginea,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Alstroemeria variegata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Alternanthera aquatica,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Alternanthera bahiensis,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Alternanthera decurrens,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Alternanthera flavescens,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Alternanthera hirtula,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Alternanthera januarensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Alternanthera lanceolata,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Alternanthera malmeana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Alternanthera micrantha,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Alternanthera paronychioides,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA
Alternanthera praelonga,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Alternanthera puberula,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Alternanthera reineckii,sima-cncflora_web,NA,LC,VU,NA,NA,LC,NA,NA,NA
Alternanthera reinekii,SP_oficial,NA,NA,NA,VU,NA,NA,NA,NA,NA
Alternanthera sessilis,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Alternanthera tenella,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Altoparadisium chapadense,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Amaioua guianensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Amaioua monteiroi,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Amaranthus rosengurtii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Amazona brasiliensis,UICN_API,NA,NA,NA,NA,NA,NA,NT,NA,NA
Ambrosia maritima,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Amburana acreana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Amburana cearensis,cncflora_web-UICN_API,NA,NA,NA,NA,NA,NT,EN,NA,NA
Amburana erythrosperma,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Amphilophium crucigerum,sima,NA,NE,NA,NA,NA,NA,NA,NA,NA
Amphirrhox longifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Anacardium humile,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Anagallis alternifolia,cncflora_web,NA,NA,NA,NA,NA,EN,NA,NA,NA
Anagallis barbata,SP_oficial-cncflora_web,NA,NA,NA,EN,NA,EN,NA,NA,NA
Ananas fritzmuelleri,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Anathallis adenochila,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
