especie_iucn,nome_correto_flora,scientific.name,notes,taxon.status,cat_ameaca_iucn,threat.status
Behuria insignis,Huberia insignis,Huberia insignis (Cham.) Bochorny & R.Goldenb.,replaced synonym,accepted,NT,NA
Brachiaria mutica,Urochloa mutica,Urochloa mutica (Forssk.) T.Q.Nguyen,replaced synonym,accepted,LC,NA
Calliandra tweediei,Calliandra tweedii,Calliandra tweedii Benth.,replaced synonym,accepted,LC,NA
Calycorectes acutatus,Eugenia acutata,Eugenia acutata Miq.,replaced synonym,accepted,LC,NA
Calyptranthes grandifolia,Myrcia loranthifolia,Myrcia loranthifolia (DC.) G.P.Burton & E.Lucas,replaced synonym,accepted,LC,NA
Calyptranthes strigipes,Myrcia strigosa,Myrcia strigosa A.R.Lourenço & E.Lucas,replaced synonym,accepted,LC,NA
Calyptranthes widgreniana,Myrcia glomerata,Myrcia glomerata (Cambess.) G.P.Burton & E.Lucas,replaced synonym,accepted,LC,NA
Cestrum schlechtendahlii,Cestrum schlechtendalii,Cestrum schlechtendalii G.Don,was misspelled,accepted,LC,NA
Chaetocalyx scandens,Nissolia vincentina,Nissolia vincentina (Ker Gawl.) T.M.Moura & Fort.-Perez,replaced synonym,accepted,LC,NA
Chomelia randioides,Chomelia obtusa,Chomelia obtusa Cham. & Schltdl.,replaced synonym,accepted,EN,NA
Cleistes ionoglossa,Cleistes rodriguesii,Cleistes rodriguesii (Cogn.) Campacci,replaced synonym,accepted,LC,LC
Coelorachis aurita,Mnesithea aurita,Mnesithea aurita (Steud.) de Koning & Sosef,replaced synonym,accepted,LC,NA
Cyperus mundii,Cyperus mundtii,Cyperus mundtii (Nees) Kunth,was misspelled,accepted,LC,NA
Cyphomandra diploconos,Solanum diploconos,Solanum diploconos (Mart.) Bohs,replaced synonym,accepted,LR/nt,LC
Dimerostemma asperatum,Dimerostemma lippioides,Dimerostemma lippioides (Baker) S.F.Blake,replaced synonym,accepted,LC,NA
Ditassa fontellae,Ditassa bicolor,Ditassa bicolor Decne.,replaced synonym,accepted,DD,NA
Eremocaulon setosum,Aulonemia setosa,Aulonemia setosa (Londoño & L. G. Clark) P. L. Viana & Filg.,replaced synonym,accepted,VU,NA
Erythrina dominguezii,Erythrina mulungu,Erythrina mulungu Mart.,replaced synonym,accepted,LC,NA
Erythroxylum gonoclados,Erythroxylum gonocladum,Erythroxylum gonocladum (Mart.) O.E.Schulz,was misspelled,accepted,LC,NA
Eugenia capitulifera,Eugenia viridiflora,Eugenia viridiflora Cambess.,replaced synonym,accepted,LC,NA
Eugenia cyclophylla,Eugenia astringens,Eugenia astringens Cambess.,replaced synonym,accepted,LC,NA
Eugenia microcarpa,Eugenia pisiformis,Eugenia pisiformis Cambess.,replaced synonym,accepted,VU,LC
Eugenia neoglomerata,Eugenia subglomerata,Eugenia subglomerata (Kuntze) Sobral,replaced synonym,accepted,LC,NA
Eugenia oblongata,Eugenia disperma,Eugenia disperma Vell.,replaced synonym,accepted,LC,VU
Eugenia piloesis,Eugenia piloensis,Eugenia piloensis Cambess.,was misspelled,accepted,LC,NA
Eugenia psidiiflora,Eugenia subterminalis,Eugenia subterminalis DC.,replaced synonym,accepted,LC,LC
Faramea nigrescens,Faramea marginata,Faramea marginata Cham.,replaced synonym,accepted,LC,NA
Genipa spruceana,Genipa americana,Genipa americana L.,replaced synonym,accepted,LC,LC
Gomesa sessilis,Gomesa recurva,Gomesa recurva R.Br.,replaced synonym,accepted,LC,NA
Grandiphyllum schunkeanum,Grandiphyllum auricula,Grandiphyllum auricula (Vell.) Docha Neto,replaced synonym,accepted,CR,NA
Hatiora epiphylloides,Schlumbergera lutea,Schlumbergera lutea Calvente & Zappi,replaced synonym,accepted,EN,NA
Holochilus brasiliensis,Holocheilus brasiliensis,Holocheilus brasiliensis (L.) Cabrera,was misspelled,accepted,LC,NA
Hylocereus setaceus,Selenicereus setaceus,Selenicereus setaceus (Salm-Dyck) Berg,replaced synonym,accepted,LC,NA
Hylocereus undatus,Selenicereus undatus,Selenicereus undatus (Haw.) D.R. Hunt,replaced synonym,accepted,DD,NA
Ipomoea grandifolia,Ipomoea triloba,Ipomoea triloba L.,replaced synonym,accepted,LC,NA
Kyllinga brevifolia,Cyperus brevifolius,Cyperus brevifolius (Rottb.) Endl. ex Hassk.,replaced synonym,accepted,LC,NA
Lankesterella gnomus,Lankesterella gnoma,Lankesterella gnoma (Kraenzl.) Hoehne,was misspelled,accepted,NT,NA
Leandra lancifolia,Leandra aurea,Leandra aurea (Cham.) Cogn.,replaced synonym,accepted,LC,NA
Leandra purpureo-villosa,Leandra purpureovillosa,Leandra purpureovillosa Hoehne,was misspelled,accepted,LC,NA
Licania gardneri,Leptobalanus gardneri,Leptobalanus gardneri (Hook.f.) Sothers & Prance,replaced synonym,accepted,LC,NA
Licania octandra,Leptobalanus octandrus,Leptobalanus octandrus (Hoffmanns. ex Roem. & Schult.) Sothers & Prance,replaced synonym,accepted,LC,NA
Lonchocarpus heptaphyllus,Lonchocarpus latifolius,Lonchocarpus latifolius (Willd.) DC.,replaced synonym,accepted,LC,NA
Machaerium pilosum,Machaerium hirtum,Machaerium hirtum (Vell.) Stellfeld,replaced synonym,accepted,LC,NA
Marlierea clausseniana,Myrcia multipunctata,Myrcia multipunctata Mazine,replaced synonym,accepted,LC,NA
Maytenus aquifolia,Monteverdia aquifolia,Monteverdia aquifolia (Mart.) Biral,replaced synonym,accepted,LC,LC
Miconia argyraea,Miconia willdenowii,Miconia willdenowii Klotzsch ex Naudin,replaced synonym,accepted,DD,LC
Miconia budlejoides,Miconia buddlejoides,Miconia buddlejoides Triana,replaced synonym,accepted,LC,NA
Miconia jucunda,Miconia staminea,Miconia staminea (Desr.) DC.,replaced synonym,accepted,LC,NA
Miconia lagunensis,Miconia cinerascens,Miconia cinerascens Miq.,replaced synonym,accepted,EN,NA
Mimosa nuda,Mimosa debilis var. debilis,Mimosa debilis Humb. & Bonpl. ex Willd. var. debilis,replaced synonym,accepted,LC,NA
Myrcia grandiflora,Myrcia pubipetala,Myrcia pubipetala Miq.,replaced synonym,accepted,VU,LC
Myrcia laruotteana,Myrcia selloi,Myrcia selloi (Spreng.) N.Silveira,replaced synonym,accepted,LC,NA
Myrcia neobrasiliensis,Myrcia loranthifolia,Myrcia loranthifolia (DC.) G.P.Burton & E.Lucas,replaced synonym,accepted,LC,NA
Nasturtium officinale,Rorippa nasturtium-aquaticum,Rorippa nasturtium-aquaticum (L.) Hayek,replaced synonym,accepted,LC,NA
Ocotea cantareirae,Ocotea lancifolia,Ocotea lancifolia (Schott) Mez,replaced synonym,accepted,CR,LC
Ocotea pretiosa,Ocotea odorifera,Ocotea odorifera (Vell.) Rohwer,replaced synonym,accepted,VU,EN
Ossaea angustifolia,Leandra angustifolia,Leandra angustifolia DC.,replaced synonym,accepted,LC,NA
Paspalum riparium,Paspalum melanospermum,Paspalum melanospermum Desv. ex Poir.,replaced synonym,accepted,LC,NA
Pelexia sceptrum,Pachygenium sceptrum,Pachygenium sceptrum (Schltr.) Szlach. et al.,replaced synonym,accepted,DD,NA
Persea pyrifolia,Persea willdenovii,Persea willdenovii Kosterm.,replaced synonym,accepted,LR/lc,LC
Persicaria hydropiperoides,Polygonum hydropiperoides,Polygonum hydropiperoides Michx.,replaced synonym,accepted,LC,NA
Pleurothallis carinifera,Pabstiella carinifera,Pabstiella carinifera (Barb.Rodr.) Luer,replaced synonym,accepted,LC,VU
Pleurothallis miniatolineolata,Pabstiella miniatolineolata,Pabstiella miniatolineolata (Hoehne) Luer,replaced synonym,accepted,DD,NA
Plinia cauliflora,Plinia peruviana,Plinia peruviana (Poir.) Govaerts,replaced synonym,accepted,LC,NA
Pouteria reticulata subsp. surinamensis,Pouteria reticulata,Pouteria reticulata (Engl.) Eyma,replaced synonym,accepted,LR/lc,LC
Psidium cinereum,Psidium grandifolium,Psidium grandifolium Mart. ex DC.,replaced synonym,accepted,LR/nt,LC
Psychotria mapourioides,Psychotria pedunculosa,Psychotria pedunculosa Rich.,replaced synonym,accepted,LC,NA
Roupala longipetiolata,Roupala montana var. paraensis,Roupala montana var. paraensis (Sleumer) K.S.Edwards,replaced synonym,accepted,LC,NA
Rudgea tomentosa,Rudgea viburnoides subsp. viburnoides,Rudgea viburnoides (Cham.) Benth. subsp. viburnoides,replaced synonym,accepted,LC,NA
Sauroglossum nitidum,Buchtienia nitida,Buchtienia nitida (Vell.) Fraga & Meneguzzo,replaced synonym,accepted,LC,NA
Schefflera angustissima,Didymopanax angustissimus,Didymopanax angustissimus Marchal,replaced synonym,accepted,LC,NA
Schefflera macrocarpa,Didymopanax macrocarpus,Didymopanax macrocarpus (Cham. & Schltdl.) Seem.,replaced synonym,accepted,LC,NA
Schefflera morototoni,Didymopanax morototoni,Didymopanax morototoni (Aubl.) Decne. & Planch.,replaced synonym,accepted,LC,NA
Schefflera vinosa,Didymopanax vinosus,Didymopanax vinosus (Cham. & Schltdl.) Marchal,replaced synonym,accepted,LC,NA
Scleria muehlenbergii,Scleria reticularis,Scleria reticularis Michx.,replaced synonym,accepted,LC,NA
Sclerolobium denudatum,Tachigali denudata,Tachigali denudata (Vogel) Oliveira-Filho,replaced synonym,accepted,LR/nt,NT
Sebastiania klotzschiana,Gymnanthes klotzschiana,Gymnanthes klotzschiana Müll.Arg.,replaced synonym,accepted,LC,NA
Sebastiania schottiana,Gymnanthes schottiana,Gymnanthes schottiana Müll.Arg.,replaced synonym,accepted,LC,NA
Simira pilosa,Simira hexandra,Simira hexandra (S.Moore) Steyerm.,replaced synonym,accepted,DD,NA
Siphoneugenia densiflora,Siphoneugena densiflora,Siphoneugena densiflora O.Berg,was misspelled,accepted,VU,LC
Solanum granuloso-leprosum,Solanum granulosoleprosum,Solanum granulosoleprosum Dunal,was misspelled,accepted,LC,LC
Solanum inaequale,Solanum pseudoquina,Solanum pseudoquina A.St.-Hil.,replaced synonym,accepted,LR/cd,LC
Sorghum arundinaceum,Sorghum bicolor subsp. arundinaceum,Sorghum bicolor subsp. arundinaceum (Desv.) de Wet & J.R.Harlan,replaced synonym,accepted,LC,NA
Stelis itatiayae,Stelis argentata,Stelis argentata Lindl.,replaced synonym,accepted,NT,NA
Symplocos glanduloso-marginata,Symplocos glandulosomarginata,Symplocos glandulosomarginata Hoehne,was misspelled,accepted,LC,NA
Thelypteris tetragona,Goniopteris tetragona,Goniopteris tetragona (Sw.) C. Presl,replaced synonym,accepted,LC,NA
Tibouchina clavata,Pleroma clavatum,Pleroma clavatum (Pers.) P.J.F.Guim. & Michelang.,replaced synonym,accepted,LC,NA
Tibouchina estrellensis,Pleroma estrellense,Pleroma estrellense (Raddi) P.J.F.Guim. & Michelang.,replaced synonym,accepted,LC,NA
Tibouchina regnellii,Pleroma andersregnellii,Pleroma andersregnellii P.J.F.Guim. & Michelang.,replaced synonym,accepted,LC,NA
Tibouchina reitzii,Pleroma reitzii,Pleroma reitzii (Brade) P.J.F.Guim. & Michelang.,replaced synonym,accepted,LC,NA
Tibouchina sellowiana,Pleroma sellowianum,Pleroma sellowianum (Cham.) P.J.F.Guim. & Michelang.,replaced synonym,accepted,LC,NA
Tillandsia pseudomontana,Tillandsia tenuifolia,Tillandsia tenuifolia L.,replaced synonym,accepted,EN,LC
Tournefortia bicolor,Heliotropium funkiae,Heliotropium funkiae Feuillet,replaced synonym,accepted,LC,NA
Vandellia diffusa,Lindernia diffusa,Lindernia diffusa (L.) Wettst.,replaced synonym,accepted,LC,NA
Vigna adenantha,Leptospron adenanthum,Leptospron adenanthum (G.Mey.) A.Delgado,replaced synonym,accepted,LC,NA
