especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br,id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,occurrence,genus,specific.epiteth,infra.epiteth,name.status
Acianthera heringeri,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,11015,Acianthera heringeri (Hoehne) F.Barros,NA,Orchidaceae,species,accepted,Acianthera heringeri,CR,,Acianthera heringeri,BR-ES|BR-MG|BR-RJ,Acianthera,heringeri,NA,correct
Acianthera karlii,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA,11021,Acianthera karlii (Pabst) C.N.Gonç. & Waechter,NA,Orchidaceae,species,accepted,Acianthera karlii,LC,,Acianthera karlii,BR-PR|BR-RJ|BR-RS,Acianthera,karlii,NA,correct
Acianthera langeana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,37186,Acianthera langeana (Kraenzl.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera langeana,EN,,Acianthera langeana,BR-PR,Acianthera,langeana,NA,correct
Acianthera ophiantha,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,37191,Acianthera ophiantha (Cogn.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera ophiantha,DD,,Acianthera ophiantha,BR-MG,Acianthera,ophiantha,NA,correct
Acianthera papillosa,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU,11041,Acianthera papillosa (Lindl.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera papillosa,VU,,Acianthera papillosa,BR-BA|BR-CE|BR-ES|BR-MG|BR-PE|BR-RS|BR-SP,Acianthera,papillosa,NA,correct
Acianthera pectinata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11043,Acianthera pectinata (Lindl.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera pectinata,LC,,Acianthera pectinata,BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Acianthera,pectinata,NA,correct
Acianthera pernambucensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,19971,Acianthera pernambucensis (Rolfe) F.Barros,NA,Orchidaceae,species,accepted,Acianthera pernambucensis,DD,,Acianthera pernambucensis,BR-PE,Acianthera,pernambucensis,NA,correct
Acianthera saundersiana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,11051,Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera saundersiana,NA,,Acianthera saundersiana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Acianthera,saundersiana,NA,correct
Acianthera saurocephala,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11052,Acianthera saurocephala (Lodd.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera saurocephala,LC,,Acianthera saurocephala,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Acianthera,saurocephala,NA,correct
Acianthera strupifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11056,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera strupifolia,LC,,Acianthera strupifolia,BR-ES|BR-PR|BR-RJ|BR-SC|BR-SP,Acianthera,strupifolia,NA,correct
Acianthera translucida,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11058,Acianthera translucida (Barb.Rodr.) Luer,NA,Orchidaceae,species,accepted,Acianthera translucida,LC,,Acianthera translucida,BR-ES|BR-RJ|BR-SC|BR-SP,Acianthera,translucida,NA,correct
Acianthera tricarinata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA,11059,Acianthera tricarinata (Poepp. & Endl.) Pridgeon & M.W.Chase,NA,Orchidaceae,species,accepted,Acianthera tricarinata,LC,,Acianthera tricarinata,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP,Acianthera,tricarinata,NA,correct
Acicarpha tribuloides,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA,101533,Acicarpha tribuloides Juss.,NA,Calyceraceae,species,accepted,Acicarpha tribuloides,LC,,Acicarpha tribuloides,BR-PR|BR-RS|BR-SC|BR-SP,Acicarpha,tribuloides,NA,correct
Acmella pusilla,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,103228,Acmella pusilla (Hook. & Arn.) R.K.Jansen,NA,Asteraceae,species,accepted,Acmella pusilla,EN,,Acmella pusilla,BR-PR|BR-RS,Acmella,pusilla,NA,correct
Acmella uliginosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,15915,Acmella uliginosa (Sw.) Cass.,NA,Asteraceae,species,accepted,Acmella uliginosa,NA,,Acmella uliginosa,BR-AL|BR-BA|BR-CE|BR-GO|BR-MA|BR-MG|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-SP|BR-TO,Acmella,uliginosa,NA,correct
Acritopappus catolesensis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU,15917,Acritopappus catolesensis D.J.N.Hind & Bautista,NA,Asteraceae,species,accepted,Acritopappus catolesensis,VU,,Acritopappus catolesensis,BR-BA,Acritopappus,catolesensis,NA,correct
Acritopappus connatifolius,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,15919,Acritopappus connatifolius (Soar.Nunes) R.M.King & H.Rob.,NA,Asteraceae,species,accepted,Acritopappus connatifolius,EN,,Acritopappus connatifolius,BR-BA,Acritopappus,connatifolius,NA,correct
Acritopappus irwinii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU,25204,Acritopappus irwinii R.M.King & H.Rob.,NA,Asteraceae,species,accepted,Acritopappus irwinii,VU,,Acritopappus irwinii,BR-MG,Acritopappus,irwinii,NA,correct
Acritopappus pintoi,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,15926,Acritopappus pintoi Bautista & D.J.N.Hind,NA,Asteraceae,species,accepted,Acritopappus pintoi,CR,,Acritopappus pintoi,BR-BA,Acritopappus,pintoi,NA,correct
Acroceras excavatum,sima-SP_oficial-cncflora_web,NA,DD,VU,VU,NA,DD,NA,NA,NA,12942,Acroceras excavatum (Henrard) Zuloaga & Morrone,NA,Poaceae,species,accepted,Acroceras excavatum,DD,,Acroceras excavatum,BR-BA|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Acroceras,excavatum,NA,correct
Acroceras zizanioides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,12943,Acroceras zizanioides (Kunth) Dandy,NA,Poaceae,species,accepted,Acroceras zizanioides,NA,,Acroceras zizanioides,BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO,Acroceras,zizanioides,NA,correct
Acrocomia emensis,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU,121836,Acrocomia emensis (Toledo) Lorenzi,NA,Arecaceae,species,accepted,Acrocomia emensis,VU,,Acrocomia emensis,BR-GO|BR-MG|BR-MS|BR-PR|BR-SP,Acrocomia,emensis,NA,correct
Acrocomia hassleri,sima-SP_oficial,NA,LC,EN,EN,NA,NA,NA,NA,NA,15664,Acrocomia hassleri (Barb.Rodr.) W.J.Hahn,NA,Arecaceae,species,accepted,Acrocomia hassleri,LC,,Acrocomia hassleri,BR-MS,Acrocomia,hassleri,NA,correct
Acrostichum aureum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,91795,Acrostichum aureum L.,NA,Pteridaceae,species,accepted,Acrostichum aureum,NA,,Acrostichum aureum,BR-AL|BR-AP|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-SC|BR-SE|BR-SP,Acrostichum,aureum,NA,correct
Acrostichum danaeifolium,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,91796,Acrostichum danaeifolium Langsd. & Fisch.,NA,Pteridaceae,species,accepted,Acrostichum danaeifolium,NA,,Acrostichum danaeifolium,BR-AL|BR-AP|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-MS|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP,Acrostichum,danaeifolium,NA,correct
Actinocephalus cabralensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,28660,Actinocephalus cabralensis (Silveira) Sano,NA,Eriocaulaceae,species,accepted,Actinocephalus cabralensis,DD,,Actinocephalus cabralensis,BR-MG,Actinocephalus,cabralensis,NA,correct
Actinocephalus ciliatus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,35366,Actinocephalus ciliatus (Bong.) Sano,NA,Eriocaulaceae,species,accepted,Actinocephalus ciliatus,DD,,Actinocephalus ciliatus,BR-MG,Actinocephalus,ciliatus,NA,correct
Actinocephalus cipoensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,28661,Actinocephalus cipoensis (Silveira) Sano,NA,Eriocaulaceae,species,accepted,Actinocephalus cipoensis,CR,,Actinocephalus cipoensis,BR-MG,Actinocephalus,cipoensis,NA,correct
Actinocephalus claussenianus,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU,28662,Actinocephalus claussenianus (Körn.) Sano,NA,Eriocaulaceae,species,accepted,Actinocephalus claussenianus,VU,,Actinocephalus claussenianus,BR-MG,Actinocephalus,claussenianus,NA,correct
Actinocephalus heterotrichus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,28669,Actinocephalus heterotrichus (Silveira) Sano,NA,Eriocaulaceae,species,accepted,Actinocephalus heterotrichus,DD,,Actinocephalus heterotrichus,BR-MG,Actinocephalus,heterotrichus,NA,correct
Actinocephalus rhizomatosus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,130398,Actinocephalus rhizomatosus (Silveira) F. N.Costa,NA,Eriocaulaceae,species,accepted,Actinocephalus rhizomatosus,DD,,Actinocephalus rhizomatosus,BR-MG,Actinocephalus,rhizomatosus,NA,correct
Actinocephalus scytophyllus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,130399,Actinocephalus scytophyllus (Ruhland) F.N.Costa,NA,Eriocaulaceae,species,accepted,Actinocephalus scytophyllus,DD,,Actinocephalus scytophyllus,BR-MG,Actinocephalus,scytophyllus,NA,correct
Actinostemon concolor,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,17448,Actinostemon concolor (Spreng.) Müll.Arg.,NA,Euphorbiaceae,species,accepted,Actinostemon concolor,NA,,Actinostemon concolor,BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-MG|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,Actinostemon,concolor,NA,correct
Actinostemon klotzschii,sima-UICN_API,NA,DD,NA,NA,NA,NA,LC,NA,NA,25459,Actinostemon klotzschii (Didr.) Pax,NA,Euphorbiaceae,species,accepted,Actinostemon klotzschii,NA,,Actinostemon klotzschii,BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PA|BR-PR|BR-RJ|BR-SP,Actinostemon,klotzschii,NA,correct
Actinostemon verticillatus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA,17451,Actinostemon verticillatus (Klotzsch) Baill.,NA,Euphorbiaceae,species,accepted,Actinostemon verticillatus,NA,,Actinostemon verticillatus,BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-RJ|BR-SP,Actinostemon,verticillatus,NA,correct
Adamantinia miltonioides,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,25903,Adamantinia miltonioides van den Berg & C.N.Gonç.,NA,Orchidaceae,species,accepted,Adamantinia miltonioides,CR,,Adamantinia miltonioides,BR-BA,Adamantinia,miltonioides,NA,correct
Adelothecium bogotense,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,95864,Adelothecium bogotense (Hampe) Mitt.,NA,Adelotheciaceae,species,accepted,Adelothecium bogotense,LC,,Adelothecium bogotense,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Adelothecium,bogotense,NA,correct
Adenocalymma dichilum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,112345,Adenocalymma dichilum A.H.Gentry,NA,Bignoniaceae,species,accepted,Adenocalymma dichilum,EN,,Adenocalymma dichilum,BR-BA|BR-MG|BR-PI,Adenocalymma,dichilum,NA,correct
Adenocalymma fruticosum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,112370,Adenocalymma hypostictum Bureau & K.Schum.,NA,Bignoniaceae,species,accepted,Adenocalymma hypostictum,EN,replaced synonym,Adenocalymma fruticosum,BR-BA|BR-MG,Adenocalymma,hypostictum,NA,correct
Adenocalymma magnoalatum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,112346,Adenocalymma divaricatum Miers,NA,Bignoniaceae,species,accepted,Adenocalymma divaricatum,EN,replaced synonym,Adenocalymma magnoalatum,BR-BA|BR-CE|BR-ES|BR-MG|BR-PI,Adenocalymma,divaricatum,NA,correct
Adenocalymma paulistarum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA,112407,Adenocalymma paulistarum Bureau & K.Schum.,NA,Bignoniaceae,species,accepted,Adenocalymma paulistarum,LC,,Adenocalymma paulistarum,BR-MG|BR-PR|BR-SP,Adenocalymma,paulistarum,NA,correct
Adenocalymma ubatubense,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,NA,CR,NA,NA,CR,112447,Adenocalymma ubatubense Assis & Semir,NA,Bignoniaceae,species,accepted,Adenocalymma ubatubense,CR,,Adenocalymma ubatubense,BR-RJ|BR-SP,Adenocalymma,ubatubense,NA,correct
Adenophaedra cearensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,35646,Adenophaedra cearensis Secco,NA,Euphorbiaceae,species,accepted,Adenophaedra cearensis,CR,,Adenophaedra cearensis,BR-CE,Adenophaedra,cearensis,NA,correct
Adesmia paranensis,sima,NA,NT,NA,NA,NA,NA,NA,NA,NA,101033,Adesmia paranensis Burkart,NA,Fabaceae,species,accepted,Adesmia paranensis,NT,,Adesmia paranensis,BR-PR|BR-SC,Adesmia,paranensis,NA,correct
Adiantum diphyllum,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,91820,Adiantum diphyllum (Fée) Maxon,NA,Pteridaceae,species,accepted,Adiantum diphyllum,CR,,Adiantum diphyllum,BR-BA,Adiantum,diphyllum,NA,correct
Adiantum discolor,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,91821,Adiantum discolor J.Prado,NA,Pteridaceae,species,accepted,Adiantum discolor,EN,,Adiantum discolor,BR-BA,Adiantum,discolor,NA,correct
Adiantum mynsseniae,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,91835,Adiantum mynsseniae J.Prado,NA,Pteridaceae,species,accepted,Adiantum mynsseniae,EN,,Adiantum mynsseniae,BR-BA|BR-MG|BR-RJ|BR-SP,Adiantum,mynsseniae,NA,correct
Adiantum papillosum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,91839,Adiantum papillosum Handro,NA,Pteridaceae,species,accepted,Adiantum papillosum,EN,,Adiantum papillosum,BR-ES|BR-MG|BR-RJ,Adiantum,papillosum,NA,correct
Adiantum tetragonum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,91859,Adiantum tetragonum Schrad.,NA,Pteridaceae,species,accepted,Adiantum tetragonum,EN,,Adiantum tetragonum,BR-BA|BR-MG,Adiantum,tetragonum,NA,correct
Aechmea alopecurus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5755,Aechmea alopecurus Mez,NA,Bromeliaceae,species,accepted,Aechmea alopecurus,EN,,Aechmea alopecurus,BR-BA|BR-MG,Aechmea,alopecurus,NA,correct
