"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","infraspecificEpithet"
"27","2019-11-21 14:41:37-03","UFJF","CESJ","11683","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","E.F.Guimarães","U.C. Câmara","s.n.","1972","04",NA,"América do Sul","Brasil","Rio de Janeiro",NA,"Parque Nacional de Itatiaia",NA,NA,NA,NA,NA,"Na encosta, lugares úmidos. Pedra, beira de córrego.","CESJ011683",NA,NA,NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 14:41:37-03","UFJF","CESJ","23549","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","D. Monteiro","L. Krieger; et al.","CESJ23549","1989","04","02","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Vale Verde. 1200m.s.m.",NA,NA,NA,NA,NA,"Na pedreira, em terreno humoso, aberto. Flores verdes.","CESJ023549","CESJ023549",NA,NA,NA,"2008","08",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 14:41:37-03","UFJF","CESJ","32860","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","D. Monteiro","F.R.G. Salimena; P.H. Nobre","s.n.","2001","05","01","América do Sul","Brasil","Minas Gerais","Maringá de Minas","Cachoeira da Saudade",NA,NA,NA,NA,NA,"Erva suculenta, rupícola, em local sombreado, inflorescências jovens.","CESJ032860",NA,NA,NA,NA,"2008","08",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 14:41:37-03","UFJF","CESJ","42008","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","D. Monteiro","J.P. Braga","115","2002","06","01","América do Sul","Brasil","Minas Gerais","Pedralva","Serra da Pedra Branca.","-45.4658012390137","-22.2427997589111",NA,NA,NA,"Erva, cerca de 30 cm., rupícola.","CESJ042008",NA,NA,"10929","auto","2010","07",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-21 14:41:37-03","UFJF","CESJ","33054","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"R.C. Mota","209","2000","04","15","América do Sul","Brasil","Minas Gerais","Catas Altas","Serra do Caraça, Entre frestas de rochas, perto da trilha que leva à gruta do Padre Caio.","-43.4075012207031","-20.0746994018555",NA,NA,NA,"Erva.","CESJ033054",NA,NA,"11966","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 14:41:37-03","UFJF","CESJ","47706","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","E.F.Guimarães","L. Menini Neto; F.R.G. Salimena; et al.","208","2006","06","10","América do Sul","Brasil","Minas Gerais","Felício dos Santos","Serra do Isidoro, Seera do Gavião","-43.246898651123","-18.0771999359131",NA,NA,NA,"Planta saxícola, em afloramento de quartzito, no campo rupestre. Folhas e inflorescência verde-escuras. Aromática.","CESJ047706",NA,NA,"21878","auto","2008","09","23",NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 14:41:37-03","UFJF","CESJ","11639","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","D. Monteiro","Marilene","s.n.","1972","04",NA,"América do Sul","Brasil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia",NA,NA,NA,NA,NA,"Rupícola, em local muito úmido.","CESJ011639",NA,NA,NA,NA,"2008","08",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 14:41:37-03","UFJF","CESJ","42480","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","D. Monteiro","J.P. Braga","215","2004","06","05","América do Sul","Brasil","Minas Gerais","Pedralva","Serra da Pedra Branca.","-45.4658012390137","-22.2427997589111",NA,NA,NA,"Erva rupícola ca de 40 cm, inflorescência verde-claro, local sombreado.","CESJ042480",NA,NA,"10929","auto","2010","07",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-01 16:37:49-03","UNICAMP","UEC","188302","S","Plantae","Magnoliopsida",NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"Verdi, M; Souza, NL; Klemz, G; Klettenberg, DH","4555","2010","04","30",NA,"Brazil","Santa Catarina","Paulo Lopes",NA,"-48.766667","-28.066667","126","126",NA,"rupicola; floresta ombrofila densa","UEC101084","UEC101084",NA,NA,NA,NA,NA,NA,NA,NA,"-48.766667","-28.066667",NA,NA,NA
"36","2020-10-14 10:04:41-03","FURB","FURB","25853","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Guimarães, EF","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.","2111","2010","05","10",NA,"Brasil","Santa Catarina","São Bento do Sul","Braço esquerdo.","-49.2355555","-26.365","417","417",NA,"Epífita IFFSC e993b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita;","FURB38406","FURB38406",NA,NA,NA,"2011",NA,NA,NA,NA,"-49.2355555","-26.3650000",NA,NA,NA
"37","2020-10-14 10:04:41-03","FURB","FURB","25919","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Guimarães, EF","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1978","2010","05","06",NA,"Brasil","Santa Catarina","Joinville","Serra Dona Francisca.","-49.0477777","-26.1925","576","576",NA,"Epífita IFFSC e1048b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita;","FURB02996","FURB02996",NA,NA,NA,"2011",NA,NA,NA,NA,"-49.0477777","-26.1925000",NA,NA,NA
"38","2020-10-14 10:04:41-03","FURB","FURB","25961","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Guimarães, EF","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4555","2010","04","30",NA,"Brasil","Santa Catarina","Paulo Lopes","Laranjal.","-48.78","-28.08","126","126",NA,"Florística IFFSC 174 (Rupícola) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: rupícola;","FURB38409","FURB38409",NA,NA,NA,"2011",NA,NA,NA,NA,"-48.7800000","-28.0800000",NA,NA,NA
"39","2020-10-14 10:04:41-03","FURB","FURB","25966","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Guimarães, EF","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4523","2010","04","28",NA,"Brasil","Santa Catarina","Garopaba","Morro da Ressacada.","-48.69","-28.08","147","147",NA,"Florística IFFSC 175 (Rupícola) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: rupícola;","FURB38408","FURB38408",NA,NA,NA,"2011",NA,NA,NA,NA,"-48.6900000","-28.0800000",NA,NA,NA
"40","2020-10-14 10:04:41-03","FURB","FURB","26004","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Guimarães, EF","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2062","2010","04","27",NA,"Brasil","Santa Catarina","Praia Grande","Trilha do Rio do Boi.","-50.0744445","-29.205","330","330",NA,"Epífita IFFSC e01a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto infrutescência verde;","FURB38411","FURB38411",NA,NA,NA,"2011",NA,NA,NA,NA,"-50.0744445","-29.2050000",NA,NA,NA
"41","2020-12-21 16:39:35-03","MBM","MBM","420784","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","3973","2018","11","18","Southern America","Brazil","Minas Gerais","Mariana",NA,"-43.306389","-20.263333","598","598",NA,"Erva rupícola, crescendo às margens do córrego.; Vegetação secundária média/avançada","MBM420784",NA,NA,NA,NA,"2018","12","01",NA,NA,"-43.306389","-20.263333",NA,NA,NA
"42","2020-12-21 16:39:35-03","MBM","MBM","254454","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Garces, L.A.","Sano, P.T.","14574",NA,NA,NA,"Southern America","Brazil","Bahia","Abaíra","Serra do Barbado","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"MBM254454","MBM254454",NA,"26531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:39:35-03","MBM","MBM","25336","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.","Callejas, R.","Hatschbach, G.; et al.; et al.","31455",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caparaó","Vale Verde","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"MBM025336","MBM025336",NA,"15056","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2015-09-03 18:40:34-03","MNHN","RECOLNAT_MNHN_P","P01644521","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","nuda","Peperomia nuda","C.DC.",NA,"Mosén",NA,"1874","2","25",NA,"Brasil",NA,NA,"Province de S. Paulo.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01644521' target='other'> <mi>dwc_moreinfo</mi></a>","P01644521","P01644521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1671",NA,NA
"45","2015-09-22 16:33:28-03","MNHN","RECOLNAT_MNHN_P","P00463578","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"Sellow, F.",NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,"hb","Vu par Casimir De Candolle <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00463578' target='other'> <mi>dwc_moreinfo</mi></a>","P00463578","P00463578_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2015-09-03 18:40:15-03","MNHN","RECOLNAT_MNHN_P","P01633775","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","velloziana","Peperomia velloziana","Miq.",NA,"Irwin, H.S.|Santos, R.R.|Souza, R.",NA,"1965","12","16",NA,"Brasil","Distrito Federal",NA,"Ca. 20 km N of Brasília.",NA,NA,"950",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01633775' target='other'> <mi>dwc_moreinfo</mi></a>","P01633775","P01633775_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11336",NA,NA
