"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","recordNumber","phylum","order","individualCount","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","fieldNumber","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","4104341","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"J. M. Schunke-Vigo","1972","02","02","Peru","Huánuco","Leoncio Prado",NA,NA,NA,NA,"NY04104341","NY04104341_01","Al este de Tingo María",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424714' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"5218","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4104338","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"E. Gudiño","1990","09","01","Ecuador","Pastaza","Pastaza","-76.82","-1.72",NA,NA,"NY04104338","NY04104338_01","Pozo Petrolero Corrientes de UNOCAL. 35 km al sur-sureste de Curarau","300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424711' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"760","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","04104328","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"R. L. Liesner","1980","03","13","Venezuela","Táchira",NA,"-71.7797","7.7967",NA,NA,"NY04104328",NA,"on Rio San Buena, 10 km W of La Fundacion","700","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424693' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"9602","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4104329","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"H. H. Rusby","1886","04",NA,"Bolivia","La Paz",NA,NA,NA,NA,NA,"NY04104329",NA,"Mapiri.","1524",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424700' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"2859","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4104332","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"J. S. de la Cruz","1923","03","23","Guyana",NA,"North West District","-60","8.17",NA,NA,"NY04104332",NA,"Amakura River",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424705' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"3568","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4104330","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"E. P. Killip","1929","08","28","Peru","Loreto",NA,"-76.560802","5.829872",NA,NA,"NY04104330","NY04104330_01","Balsapuerto (lower Río Huallaga basin)","150","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424701' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"28603","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","4104333","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"E. P. Killip","1929","05","07","Peru","Piura","Ayabaca","-73.860914","-12.664916",NA,NA,"NY04104333","NY04104333_01","Aina, between Huanta and Río Apurimac","750","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424706' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"23201","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","4104339","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"E. Gudiño","1990","10","04","Ecuador","Pastaza","Pastaza","-77.42","-1.57",NA,NA,"NY04104339","NY04104339_01","Pozo petrolero Moretecocha de ARCO. 75 km al este de Puyo","580",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424712' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"973","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","4104335","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"J. L. Jaramillo","1980","06","29","Ecuador","Napo",NA,NA,NA,NA,NA,"NY04104335","NY04104335_01","Nuevo desvío de carretera que empalma Río Aguarico con vieja carretera Coca, pasando por Coca, pasando por Comunidad Sarayacu, colecciones en borde del carretero y bosque, zona tropical húmeda. Aprox. 5 Kms.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424708' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"2591","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1721876","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"S. Tsugaru","1987","08","13","Brazil","Amazonas",NA,NA,NA,NA,NA,"NY01721876","NY01721876_01","River side and small islets of Rio Negro within 100km upper-stream from Manaus. Collected by boat.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044146' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"B-978","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","4104337","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"I. G. Vargas Caballero","1993","05","20","Bolivia","Santa Cruz","Ichilo","-64.25","-17.4",NA,NA,"NY04104337",NA,"Parque Nacional Amboro. Rio Ichilo. Alrededores del campamento en el Río Ichilo (1 km al E de la desembocadura del Rio Ichilo a la llanura)","375",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424710' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"2502","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","04104331","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","conferta","Maxillaria conferta","(Griseb.) C.Schweinf. ex León",NA,NA,NA,NA,"S. A. Mori","1989","09","07","French Guiana","Cayenne","Saül","-53.2","3.62",NA,NA,"NY04104331","NY04104331_01","Eaux Claires","250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424702' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"20839","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1721083","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"G. T. Prance","1966","09","24","Brazil","Amazonas",NA,"-67.3855877","-8.7589514",NA,NA,"NY01721083","NY01721083_02","Varzea forest, km. 1-5 road Boca do Acre to Rio Branco",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036564' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"2527","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","505104","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"G. T. Prance","1973","12","05","Brazil","Roraima",NA,NA,NA,NA,NA,"NY00505104","NY00505104_02","Auraris Mission, Rio Auraris","792.5","792.5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753024' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"20019","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","505103","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"J. E. L. S. Ribeiro","1993","06","05","Brazil","Amazonas",NA,"-59.97","-2.883333",NA,NA,"NY00505103","NY00505103_01","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarape da Bolivia. Sentido Bairro Sabia",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753026' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"863","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","4013572","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"J. A. Steyermark","1945","04","17","Venezuela","Monagas",NA,NA,NA,NA,NA,"NY04013572","NY04013572_01","in coffee hacienda of Intendente de Tierras y Bosque, on north side of Río Caripe, Caripe","850",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4328173' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"62158a","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"27","2016-09-30 03:34:00-03","NY","NYBG","01207164","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora",NA,"E. A. Christenson",NA,NA,NA,"M. A. Baker","1985","04","13","Ecuador","Napo",NA,"-76.8318353","-0.3389723",NA,NA,"NY01207164",NA,"5k SE of Las Sachas","300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1496790' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"5985","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","85109","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"B. C. Bennett","1988","08","25","Ecuador","Morona-Santiago",NA,"-78.15","-2.52",NA,NA,"NY00085109","NY00085109_01","Centro Shuar Yukutais. 10km S Sucua, Rio Upano, chacra of Domingo Antich",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270243' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"3313","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","60192","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Fawc.) Garay","G. Carnevali Fernández-Concha",NA,NA,NA,"N. L. Britton","1920","04","18","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY00060192","NY00060192_01","Trinidad. Base of Mount Tanama",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=573397' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1967","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","813697","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay","G. Carnevali Fernández-Concha",NA,NA,NA,"P. K. H. Dusén","1911","02","24","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00813697","NY00813697_01","Porto Dom Pedro II",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806623' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"11548","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","4013576","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"M. J. Jansen-Jacobs","1989","09","30","Guyana",NA,NA,"-58.63","1.65",NA,NA,"NY04013576","NY04013576_01","Gunn's, Essequibo River. Near airstrip","240","260","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4328177' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"nr1908","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","4013571","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"K. M. Redden","2007","03","26","Guyana","Cuyuni-Mazaruni",NA,"-60.43142","6.24786",NA,NA,"NY04013571",NA,"Meamu River near falls and coming. downriver. Mora dominant on upper banks.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4328168' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"5940","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","813698","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay","G. Carnevali Fernández-Concha",NA,NA,NA,"S. A. Mori","1990","06","09","Brazil","Amazonas",NA,"-60.8158493","-2.6292723",NA,NA,"NY00813698","NY00813698_01","Rio Negro, near Ponto de Pagodão in the Paraná de Anavilhanas.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806633' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"21225","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","505105","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"G. T. Prance","1973","12","06","Brazil","Roraima",NA,NA,NA,NA,NA,"NY00505105","NY00505105_01","Auraris Mission, Rio Auraris","792.5","792.5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753025' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"20069","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","4013573","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"A. L. Bernardi","1956","11","27","Venezuela","Miranda",NA,NA,NA,NA,NA,"NY04013573",NA,"Selvas pluviales del Guatopo","400","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4328174' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"s.n.","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","4013574","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"E. A. Christenson","1994","06","11","Guyana","Potaro-Siparuni",NA,"-59.4833","5.1667",NA,NA,"NY04013574",NA,"Kaieteur Falls National Park; on Tukeit trail.","300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4328175' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1932","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","505106","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","(Poepp. & Endl.) Garay",NA,NA,NA,NA,"W. Steward","1973","11",NA,"Brazil","Amazonas",NA,"-59.9158287","-2.7556471",NA,NA,"NY00505106","NY00505106_02","CEPLAC, cocoa research station, Manaus-Itacoatiara Road, Km 31",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753023' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P17667","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","04104589","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","purpurea","Maxillaria purpurea","(Wight) Beer",NA,NA,NA,NA,"J. A. Steyermark","1961","11","23","Venezuela","Miranda",NA,NA,NA,NA,NA,"NY04104589",NA,"Parque Nacional de Guatopo: on steep slopes bordering Río Santa Cruz, between Santa Teresa and Altagracia de Orituco, 14.5 kms. from Los Alpes, 12 kms. from Ranchería Mi Querencia","520",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4425115' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"89983","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","04104587","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","purpurea","Maxillaria purpurea","(Wight) Beer",NA,NA,NA,NA,"J. A. Steyermark","1967","03","17","Venezuela","Bolívar",NA,NA,NA,NA,NA,"NY04104587",NA,"selva de galería y sabana a lo largo del Río Kanarakuni, norte y noroeste de la Misión de Campamento Sanidad del Río Kanarakuni","400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4425113' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"97829","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","04104588","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","purpurea","Maxillaria purpurea","(Wight) Beer",NA,NA,NA,NA,"J. A. Steyermark","1960","10","31","Venezuela","Delta Amacuro",NA,NA,NA,NA,NA,"NY04104588",NA,"Rio Amacuro, Venezuela-British Guiana frontier. Sierra Imataca. San Victor","65","80","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4425114' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"87131","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1721894","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","purpurea","Maxillaria purpurea","(Spreng.) Ames",NA,NA,NA,NA,"J. M. Pires","1961","07","28","Brazil","Amapá",NA,NA,NA,NA,NA,"NY01721894","NY01721894_02","Rio Araguari; 4 km. north of dining and recreation area of ICOMI on Serra do Navio. On Rio Amapari",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044211' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"50271","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1721893","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","purpurea","Maxillaria purpurea","(Spreng.) Ames",NA,NA,NA,NA,"L. Y. T. Westra","1960","10","02","French Guiana",NA,NA,"-52.32","3.17",NA,NA,"NY01721893","NY01721893_01","Rio Oiapoque. Cachoeira Camaraua, about 3 km. south of mouth of Riv. Camopi",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044209' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"48551","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","1721892","PreservedSpecimen","Plantae","Orchidaceae","Maxillaria","purpurea","Maxillaria purpurea","(Spreng.) Ames",NA,NA,NA,NA,"H. S. Irwin","1960","08","23","Brazil","Amapá",NA,"-52.37","2.88",NA,NA,"NY01721892","NY01721892_01","Rio Oiapoque: near first cachoeira on Rio Iaue, 0.5 km E of confluence with Rio Oiapoque",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044207' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"47762","Magnoliophyta","Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
