"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","infraspecificEpithet","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","637264","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama","T. M. Koyama",NA,NA,NA,"A. Krapovickas","28753","1976","01","14","Argentina","Misiones","San Ignacio","San Ignacio, Peñón Reina Victoria.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637264",NA,"Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","636749","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama","T. M. Koyama",NA,NA,NA,"G. G. Hatschbach","24178","1970","04","20","Brazil","Paraná",NA,"Rio Iguaçu, 1 km. acima de Salto Osório (Laranjeiras do Sul).","-52.999179","-25.537005",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636749","NY00636749_01","Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","636748","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia foliosa","(Nees) T.Koyama","T. M. Koyama",NA,NA,NA,"G. G. Hatschbach","13895","1966","02","14","Brazil","Paraná",NA,"Rio Iguaçu, Salto Grande (Porto Vitoria).",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636748","NY00636748_01","Magnoliophyta","Poales","foliosa","South America","sheet",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01091826","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","C. F. S. Muniz",NA,NA,NA,"C. F. S. Muniz","357","1981","03","15","Brazil","São Paulo","Gália","Parque Estadual de Caetetus.","-49.7","-22.383",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264306' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091826","NY01091826_01","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01091828","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","C. F. S. Muniz",NA,NA,NA,"T. Sendulsky","952","1968","08","06","Brazil","São Paulo",NA,"Capital, Jardim Botânico e Parque do Estado","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264310' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091828","NY01091828_01","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","686001","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","E. L. Core",NA,NA,NA,"J. C. Solomon","7838","1982","05","27","Bolivia","El Beni",NA,"3 km E of Riberalta on road to Guayaramerín, then 2 km SE on side road.","-66.08","-11",NA,NA,"230","230","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686001",NA,"Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","685904","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","C. F. S. Muniz",NA,NA,NA,"M. R. F. Melo","478","1983","06","08","Brazil","São Paulo","Cananéia","Ilha do Cardoso, restinga do sítio Trapandé","-47.955786","-25.08333",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685904","NY00685904_01","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"18","2020-11-13 09:19:32-03","UFRJ","RFA","24713","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Marcus Alves","2000","07","18","Flávio de Britto Pereira","mai-19","2000","07","01","Brasil","Rio de Janeiro","Sapucaia","3º Distrito, Fazenda Selo Verde","-42.9143981933594","-21.9950008392334","42º50'88''W","22º3'81''S","812","812","Trepadeira, folha verde, flor avermelhada, abundante no local.","RFA37111",NA,NA,NA,NA,NA,NA,"27567","auto",NA,NA,NA,NA
"19","2020-02-08 10:15:03-03","NBC","NL-BOTANY","L.1404928","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1960","12","20","Brazil",NA,NA,"Plantas de SANTA CATARINA - BRASIL. Monte Crista, Garuva, Sao Francisco do Sul.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1404928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1404928","NL-L1404928",NA,"Poales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"20","2020-02-08 10:15:03-03","NBC","NL-BOTANY","L.1404929","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","07","11","Brazil",NA,NA,"Plantas de SANTA CATARINA - BRASIL. Pirao Frio, Sombrio.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1404929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1404929","NL-L1404929",NA,"Poales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"21","2020-02-08 10:15:03-03","NBC","NL-BOTANY","L.1404930","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1958","07","14","Brazil",NA,NA,"Plantas de SANTA CATARINA - BRASIL. Pinhal da Companhia, Lauro Muller-Urussanga.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1404930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1404930","NL-L1404930",NA,"Poales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"22","2020-02-08 10:15:03-03","NBC","NL-BOTANY","L.3759115","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.",NA,NA,NA,NA,"Pedersen TM",NA,"1986","10","21","Paraguay",NA,NA,"near Lorito. Dep. Amambay.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3759115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3759115","NL-L3759115",NA,"Poales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"23","2020-02-08 10:15:03-03","NBC","NL-BOTANY","U.1286514","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Muniz CFS","1990","06","01","Fiuza de Melo MMR; Wanderley MGL; Barros F de",NA,"1983","06","08","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1286514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1286514","NL-U1286514",NA,"Poales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae","U 0114016",NA,NA
"24","2020-11-04 11:05:57-03","ESALQ","ESA","71929","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Muniz, C.F.S.",NA,NA,NA,"Sampaio, D. et al.","152.0","1999","01","11","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA071929","ESA071929","Magnoliophyta",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA
"25","2020-11-04 11:05:57-03","ESALQ","ESA","34406","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Muniz, C.F.S.",NA,NA,NA,"Souza, V.C. et al.","12254.0","1994","10","01","Brasil","São Paulo","Paulo de Faria",NA,"-49.3800010681152","-20.0300006866455",NA,NA,NA,NA,NA,"ESA034406","ESA034406","Magnoliophyta",NA,NA,NA,NA,"29574","auto",NA,NA,NA,NA
"26","2020-11-04 11:05:57-03","ESALQ","ESA","23726","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Muniz, C.F.S.",NA,NA,NA,"Souza, V.C.; Souza, J.P. et al.","9231.0","1995","10","08","Brasil","São Paulo","Itanhaém","Fazenda São Luís. Mata Atlântica.","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,"Erva, até 1,2 m alt.; espiguetas vinho; frutos alvos. Beira de cachoeira.","ESA023726","ESA023726","Magnoliophyta",NA,NA,NA,NA,"26998","auto",NA,NA,NA,NA
"27","2020-11-04 11:05:57-03","ESALQ","ESA","21281","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Muniz, C.F.S.",NA,NA,NA,"Moncaio, E. et al.","118.0","1994","09","05","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA021281","ESA021281","Magnoliophyta",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA
"28","2020-11-19 10:23:23-03","CPAP","CPAP","9362","PreserverdSpecimen","Plantae","Cyperaceae","Scleria","plusiophyla","Scleria plusiophyla","Steud.",NA,NA,NA,NA,"Salis, S. M.","601","1992","03","26","Brasil","MS","Aquidauana","Fazenda Fazendinha, Pantanal - invernada São Bento, baía da régua","-56.383333","-19.483333","56°23' W","19°29' S","90","90","Erva cespitosa. FLOR: não vista. FRUTO: branco. INTERESSE: Levantamento florístico. FREQUÊNCIA: Frequente. AMBIENTE: Margem de lagoa permanente (baía). SUBSTRATO: arenoso com matéria orgânica. RELEVO: plano. <ll>dwc_commonname:</ll> Capim-Navalha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-07 11:42:58-03","UFMS","CGMS","20997","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","A. Guglieri; F.J.M. Caporal",NA,NA,NA,"F.J.M. Caporal","412","2007","06",NA,"Brasil","Mato Grosso","Campo Novo do Parecis - Sapezal.",NA,NA,NA,NA,NA,NA,NA,NA,"CGMS1050409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-07 11:42:58-03","UFMS","CGMS","38748","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","R.H.Silva","2013","03","01","R.H. Silva; J.P. Souza; E.L. Siqueira; G. Guimarães","841","2013","03","01","Brasil","Mato Grosso do Sul","Corumbá","Morro Grande.","-57.55","-19.2472222","-57,55","-19,2472222","809","809","Flor ausente. Fruto marrom-escuro. Habitat: Campo Sujo de Cerrado.Transição campo rupestre para Cerrado. Litólico e rico em Fe. Habito: Erva. 0,90m de altura.","CGMS1068140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-10 17:48:51-03","UNICAMP","UEC","151619","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Costa, ACM","2010","01",NA,"Costa, ACM","195","2009","08","06","Brazil","São Paulo","Valinhos","Clube de Campo Valinhos, mata ciliar","-46.931944","-22.956667","-46.931944","-22.956667","955","955","Arbusto ca 0,7m, frutos marrons e brancos. Borda da trilha.","UEC075821","UEC075821","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:19:44-03","UNICAMP","UEC","156266","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Silva, AM","2007","12","17","Silva, AM; Francener, A; Oliveira, AV","6256","2007","11","15","Brazil","Goiás","Niquelândia","Mineradora Anglo American Brasil Ltda, Antiga CODEMIN - 40 Km norte da cidade. Localidade: Cava Fruto de Lobo. ca. 6 Km da Sede. Morro seco. Relevo inclinado. Vegetação: cerrado em encosta rochosa.","-48.348889","-14.128889","-48.348889","-14.128889",NA,NA,"Erva escandente ca. 1,20 m altura. Inflorescência amarronzada. Frutos muricados verde-claros. Folhas levemente discolores verdes. Folha: SD-22-Z-B.","UEC062157","UEC062157","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-10 17:48:51-03","UNICAMP","UEC","86844","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","2000","07",NA,"Proença, C","867","1993","07","18","Brazil","Distrito Federal","Brasília","Estrada para Unaí. Cabeceira de mata., (Com nascente no centro) isolada no meio de plantação de soja.","-47.3","-16.333333","-47.3","-16.333333",NA,NA,"Arbusto no interior da mata, próximo à nascente, ramificado partindo da raiz; páleas rosado-marrons; anteras cremes; estigma plumoso alvo, trifido; caules levemente avermelhados.","UEC075816","UEC075816","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-12 10:02:13-03","UNICAMP","UEC","38796","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","2000","07",NA,"Mendonça, RC","241","1983","11","19","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Margem da mata. Chácara II.","-47.895278","-15.968333","-47.895278","-15.968333",NA,NA,"Inflorescência com raquis de cor vinho.","UEC075818","UEC075818","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-10 17:48:51-03","UNICAMP","UEC","77162","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","1999","06",NA,"Assis, MA; Furlan, A; Carneiro, CE; Farinaccio, MA; Cavalcanti, DC; Scudeller, VV","290","1994","08","27","Brazil","São Paulo","Ubatuba","Trilha e estrada da Almada, Mata Atlântica.","-44.866667","-23.35","-44.866667","-23.35",NA,NA,"Erva, dentro da mata. Frutos verde claro, brilhantes.","UEC075820","UEC075820","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-10 17:48:51-03","UNICAMP","UEC","77270","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","1999","06",NA,"Assis, MA; Furlan, A; Carneiro, CE; Farinaccio, MA; Cavalcanti, DC; Scudeller, VV","310","1994","08","27","Brazil","São Paulo","Ubatuba","Trilha e estrada da Almada, Mata Atlântica.","-44.866667","-23.35","-44.866667","-23.35",NA,NA,"Erva, dentro da mata. Frutos brancos quando maduros, cálice castanho vináceo.","UEC075822","UEC075822","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-10 17:48:51-03","UNICAMP","UEC","28840","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","1999","06",NA,"Vieira, AOS; Rocha, DMS; Souza, TM","13023","1981","09","25","Brazil","São Paulo","Campinas","Cidade Universitária Zeferino Vaz","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"Erca de quase 2,0m.","UEC075817","UEC075817","Liliopsida",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA
"38","2020-02-10 17:48:51-03","UNICAMP","UEC","76524","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","1999","06",NA,"Souza, VC; Souza, JP; et al.","9231","1995","10","08","Brazil","São Paulo","Itanhaém","Fazenda São Luís. Mata Atlântica.","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,"Erva, até 1,2 m alt.; espiguetas vinho; frutos alvos. Beira de cachoeira.","UEC075815","UEC075815","Liliopsida",NA,NA,NA,NA,"26998","auto",NA,NA,NA,NA
"39","2020-02-10 17:48:51-03","UNICAMP","UEC","16598","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","1983","02",NA,"Leitão Filho, HF; Kinoshita, LS; Taroda, N","3240","1976","10","08","Brazil","São Paulo","Jundiaí","Serra do Japí, Ca. 10 km S.W. de Jundiaí. Mata úmida.","-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,"Herbáceo. Fores brancas.","UEC075814","UEC075814","Liliopsida",NA,NA,NA,NA,"17840","auto",NA,NA,NA,NA
"40","2020-02-10 17:48:51-03","UNICAMP","UEC","82035","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","1999","06",NA,"Simão-Bianchini, R; Ferreira, GMP; Garcia, RJF; Neves, LF","868","1996","01","17","Brazil","São Paulo","São Paulo","Cipó - 496-2565.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Erva em touceiras, solo brejoso. Inflorescências verde-claros; frutos maduros castanhos.","UEC075819","UEC075819","Liliopsida",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"41","2020-02-10 17:48:51-03","UNICAMP","UEC","16599","S","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steub.","Muniz, CFS","1983","02",NA,"Davis, PH; Sendulsky, T","D .60393","1976","09","01","Brazil","São Paulo","São Paulo","Instituto Botânico reserve., Near São Paulo. Edge of semi-deciduous forest.","-46.6300010681152","-23.5400009155273",NA,NA,"750","750","Tufted perennial with 3-angled stems. Fruit green.","UEC075813","UEC075813","Liliopsida",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"42","2020-10-14 10:01:01-03","FURB","FURB","12429","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Affonso, R","2012","02","19","Gasper, A.L. de; Verdi, M.","2135","2009","05","22","Brasil","Santa Catarina","Orleans","Rio Hipólito - Parque Nacional de São Joaquim.","-49.4994444","-28.2602778","-49.4994444","-28.2602778","646","646","Florística IFFSC 117(Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; encosta Habito: herbácea; Fruto branco;","FURB23458","FURB23458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-10-14 10:01:01-03","FURB","FURB","12651","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Affonso, R","2011","02","19","Verdi, M.; Korte, A. & Hasckel, R.P.","2239","2009","05","26","Brasil","Santa Catarina","Orleans","Três Barras, Parque Nacional de São Joaquim.","-49.4958333","-28.1722223","-49.4958333","-28.1722223","928","928","Florística IFFSC 141(Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: herbácea; Fruto branco;","FURB23455","FURB23455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-10-14 10:01:01-03","FURB","FURB","15046","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Affonso, R","2011","06","23","Korte, A.; Kruger, A.","61","2009","09","14","Brasil","Santa Catarina","Vidal Ramos","Mulungu.","-49.32","-27.45","-49.3200000","-27.4500000","761","761","Florística IFFSC 383 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: erva terrícola; Fruto branco;","FURB23459","FURB23459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-10-14 10:01:01-03","FURB","FURB","17157","PreservedSpecimen","Plantae","Cyperaceae","Scleria","plusiophylla","Scleria plusiophylla","Steud.","Affonso, R","2011","02","19","Korte, A.; Kniess, A.","1085","2009","11","28","Brasil","Santa Catarina","Alfredo Wagner","Soldadinho.","-49.4108333","-27.6291667","-49.4108333","-27.6291667","772","772","Florística IFFSC 310 (Erva Terrícola) Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração Habito: erva terrícola;","FURB23462","FURB23462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
