"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","stateProvince","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","01090885","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","rigida","Mimosa dolens rigida","(Benth.) Barneby","R. C. Barneby","M. M. N. Braga","s.n.","1988","07","29","Brazil","Ouro Branco","Serra de Ouro Branco","-43.6917","-20.5208",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226346' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090885","NY01090885_01","South America","sheet",NA,"Magnoliophyta","Fabales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01345562","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","anisitsii","Mimosa dolens anisitsii","(Lindm.) Barneby","R. C. Barneby","F. J. Fernández Casas","4048","1980","10","04","Paraguay",NA,"Parque Nacional de Cerro Corá, cerca de la casa forestal",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1613666' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345562","NY01345562_01","South America","sheet",NA,"Magnoliophyta","Fabales","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","419307","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","foliolosa","Mimosa dolens foliolosa","(Benth.) Barneby","R. C. Barneby","Collector info in notes",NA,NA,NA,NA,"Brazil","Matao","Instituto de Pesquisas IRI, procedente do municipio de Matao","-48.36","-21.6003",NA,NA,NA,NA,"No collector name on label <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=508899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419307","NY00419307_01","South America","sheet",NA,"Magnoliophyta","Fabales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01345565","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","anisitsii","Mimosa dolens anisitsii","(Lindm.) Barneby","R. C. Barneby","R. Callejas Posada","1952","1983","12","15","Paraguay",NA,"Pedro Juan Caballero (Ponta Pora), 30 km O de Pedro Juan Caballero",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1613682' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345565",NA,"South America","sheet",NA,"Magnoliophyta","Fabales","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01090877","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","latifolia","Mimosa dolens latifolia","(Benth.) Barneby","R. C. Barneby","G. G. Hatschbach","23569","1970","02","15","Brazil","Bataguassu","Corrego Feio","-52.4219","-21.7144",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226324' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090877","NY01090877_01","South America","sheet",NA,"Magnoliophyta","Fabales","Mato Grosso do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","419326","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","rudis","Mimosa dolens rudis","(Benth.) Barneby","R. C. Barneby","S. M. de Campos","158","1960","01","21","Brazil","Itapetininga","4km NNW da cid. de Itapetininga, em linha reta, 12km pelo rodovia","-48.05","-23.58",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419326","NY00419326_01","South America","sheet",NA,"Magnoliophyta","Fabales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01345590","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","latifolia","Mimosa dolens latifolia","(Benth.) Barneby","R. C. Barneby","A. L. Woolston","625","1955","12","02","Paraguay","San Pedro","Primavera",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1614250' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345590",NA,"South America","sheet",NA,"Magnoliophyta","Fabales","Alto Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","419267","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby","R. C. Barneby","R. Kummrow","900","1975","02","14","Brazil","Colombo","Ressaca","-49.2242","-25.2919",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419267","NY00419267_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00933017","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","anisitsii","Mimosa dolens anisitsii","(Lindm.) Barneby","R. C. Barneby","G. G. Hatschbach","47264","1983","12","15","Paraguay",NA,"Fda. El Buracom, 30 km O de Pedro Juan Cabalero",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933017",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-27 19:50:00-03","NY","NYBG","419292","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby","R. C. Barneby","S. G. Beck","6763","1981","03","23","Bolivia","Florida","Santa Cruz 110kms. hacia Cochabamba, alrededor de las ruinas de Samaipata",NA,NA,NA,NA,"1550","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419292","NY00419292_01","South America","sheet",NA,"Magnoliophyta","Fabales","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00933222","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","dolens","Mimosa dolens dolens","Vell.","R. C. Barneby","W. R. Anderson","35338","1972","02","04","Brazil",NA,"Serra do Espinhaço, ca. 8 km N of Gouveia on road to Diamantina","-43.6836","-18.41575",NA,NA,"1220","1220","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933222","NY00933222_01","South America","sheet",NA,"Magnoliophyta","Fabales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","419319","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","foliolosa","Mimosa dolens foliolosa","(Benth.) Barneby","R. C. Barneby","J. E. Montes","14743","1955","02","14","Argentina","Cainguás","Puerto Rico",NA,NA,NA,NA,"205","205","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=508904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419319",NA,"South America","sheet",NA,"Magnoliophyta","Fabales","Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01090882","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","rigida","Mimosa dolens rigida","(Benth.) Barneby","R. C. Barneby","J. A. Lombardi","853","1995","07","06","Brazil",NA,"Furnas, cerrado próximo às eclusas, pela estrada Belo Horizonte- Furnas",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090882","NY01090882_01","South America","sheet",NA,"Magnoliophyta","Fabales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","419261","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby","R. C. Barneby","O. dos S. Ribas","1637","1997","02","08","Brazil","Jaguariaíva","Fazenda Barros","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419261","NY00419261_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","419328","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","rudis","Mimosa dolens rudis","(Benth.) Barneby","R. C. Barneby","J. M. Silva","1225","1992","01","15","Brazil","Palmeira","Recanto dos Papagaios","-50.0064","-25.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419328","NY00419328_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","419285","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby","R. C. Barneby","A. Butzke","11313","1995","11","16","Brazil","Erechim","Quatro Irmaos","-52.2739","-27.6344",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419285","NY00419285_01","South America","sheet",NA,"Magnoliophyta","Fabales","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00980685","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","rudis","Mimosa dolens rudis","(Benth.) Barneby","L. S. B. Jordão","J. C. Lindeman","4548","1967","01","27","Brazil",NA,"10 km NW of Vila Velha","-50.0831082","-25.1710401",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980685","NY00980685_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","419317","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","foliolosa","Mimosa dolens foliolosa","(Benth.) Barneby","R. C. Barneby","G. G. Hatschbach","52566","1989","01","12","Brazil","Guarapuava","Rod. BR-373, prox. entrada para Santa Clara","-51.4581","-25.3956",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=508891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419317","NY00419317_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","418852","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby",NA,"W. Hoehne","s.n.","1945","03","02","Brazil",NA,"Caieiras","-46.740798","-23.374672",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1563924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418852","NY00418852_01","South America","sheet",NA,"Magnoliophyta","Fabales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01345570","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","anisitsii","Mimosa dolens anisitsii","(Lindm.) Barneby","G. J. Seijo","A. Schinini","33285","1997","12","03","Paraguay",NA,"Reserva Natural del Bosque Mbaracayú. 13 km S de Ipé-Hú, Nandurocai",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1613835' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345570",NA,"South America","sheet",NA,"Magnoliophyta","Fabales","Canindeyú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","419331","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","rigescens","Mimosa dolens rigescens","(Benth.) Barneby","R. C. Barneby","M. H. Nee","40744","1991","06","03","Bolivia","Florida","Archeological site El Fuerte, ca. 6km E of the town of Samaipata","-63.83","-18.18",NA,NA,"1800","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419331","NY00419331_01","South America","sheet",NA,"Magnoliophyta","Fabales","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01345588","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","latifolia","Mimosa dolens latifolia","(Benth.) Barneby","R. C. Barneby","F. J. Fernández Casas","5921","1982","02","04","Paraguay",NA,"Entre Curuguaty e Ype-Hú, cerca de Villa Igatymi",NA,NA,NA,NA,"280",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1614239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345588",NA,"South America","sheet",NA,"Magnoliophyta","Fabales","Canindeyú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00933115","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby","R. C. Barneby","H. S. Irwin","22134","1969","01","17","Brazil",NA,"Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933115","NY00933115_01","South America","sheet",NA,"Magnoliophyta","Fabales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00933218","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","dolens","Mimosa dolens dolens","Vell.","R. C. Barneby","Martii Herbar. Florae Brasil.","1090",NA,NA,NA,"Brazil",NA,"Brasil",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933218","NY00933218_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00933215","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","dolens","Mimosa dolens dolens","Vell.","R. C. Barneby","H. S. Irwin","20082","1968","02","14","Brazil",NA,"Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933215","NY00933215_01","South America","sheet",NA,"Magnoliophyta","Fabales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","2781","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","pangloea","Mimosa dolens pangloea","Barneby",NA,"G. P. Lewis","1391","1985","01","28","Brazil",NA,"BR 376, 3-5 km along road to Curitiba from turning to Villa Velha. Alt. 900 m.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=627254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002781","NY00002781_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-10-28 14:42:00-02","NY","NYBG","00933116","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby","R. C. Barneby","O. dos S. Ribas","2619","1998","02","08","Brazil","Iguatemi","Rod. MS-295, 30 km O de Iguatemi","-54.5608","-23.6806",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933116","NY00933116_01","South America","sheet",NA,"Magnoliophyta","Fabales","Mato Grosso do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","419315","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","foliolosa","Mimosa dolens foliolosa","(Benth.) Barneby","R. C. Barneby","G. G. Hatschbach","35479","1974","11","14","Brazil","Castro","Carambei","-50.0117","-24.7911",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=508902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419315","NY00419315_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","419262","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","acerba","Mimosa dolens acerba","(Benth.) Barneby","R. C. Barneby","O. dos S. Ribas","1651","1997","02","08","Brazil","Jaguariaíva","Fazenda Barros","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419262","NY00419262_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-09-27 19:50:00-03","NY","NYBG","01345567","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","anisitsii","Mimosa dolens anisitsii","(Lindm.) Barneby",NA,"S. L. Ginzbarg","561","1987","02","16","Paraguay",NA,"Pq. Nacional Cerro Corá. 1 km al O de la rotonda y ca. 2 km al SE de Ruta 5. Entrada a Aceite'i, Cancha Cue","-56.03","-22.67",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1613828' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345567","NY01345567_01","South America","sheet",NA,"Magnoliophyta","Fabales","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","419336","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","rigescens","Mimosa dolens rigescens","(Benth.) Barneby","R. C. Barneby","J. M. Silva","1858","1996","12","18","Brazil","Tibagi","Estrada para o Salto Santa Rosa, Barreiro","-50.4133","-24.5094",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419336","NY00419336_01","South America","sheet",NA,"Magnoliophyta","Fabales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00933217","PreservedSpecimen","Plantae","Fabaceae","Mimosa","dolens","dolens","Mimosa dolens dolens","Vell.","R. C. Barneby","J. B. E. Pohl","553",NA,NA,NA,"Brazil",NA,"Ad S. Joao Baptista",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933217","NY00933217_01","South America","sheet",NA,"Magnoliophyta","Fabales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
