"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"11","2020-02-08 10:13:57-03","NBC","NL-BOTANY","U.1296057","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth",NA,NA,NA,NA,"Monetti L","1913","10","20","Argentina",NA,NA,"Provincia Tucuman, dep G Bueligasta, Yacuchire.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1296057 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1296057","NL-U1296057",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"12","2020-02-08 10:13:57-03","NBC","NL-BOTANY","U.1296058","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth",NA,NA,NA,NA,"Monetti L","1913","10","13","Argentina",NA,NA,"Provincia Tucuman, dep Leales, localidad Los Herreras.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1296058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1296058","NL-U1296058",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"13","2021-01-14 15:27:39-03","MN","R","230457","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"Lourenço, A.R.",NA,NA,NA,"Brasil","Minas Gerais","Ponte Nova","BR 120, entre Ponte Nova e Rosário do Pontal. Haras Três Corações","-42.9085998535156","-20.4164009094238",NA,NA,NA,"R010017047",NA,NA,NA,"137",NA,NA,NA,NA,"16921","auto",NA,NA,NA
"14","2019-08-27 13:25:33-03","IAP","PACA-AGP","51835","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","R. Trevisan","2004","01","08","Rambo, B.","1952","01","14","Brasil","RS","Bom Jesus","Passo da Guarda","-50.4166984558105","-28.6678009033203",NA,NA,"Habitat: In paludosis. Fenofase: flor e fruto","PACA051835",NA,"Magnoliophyta","Cyperales",NA,NA,NA,NA,NA,"55856","auto","Liliatae",NA,NA
"15","2019-08-27 13:25:33-03","IAP","PACA-AGP","57665","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Emrich-Rambo","1957","05","13","J. Pivetta","1953","11","20","Brasil","RS","Ijuí","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,NA,"SEM MATERIAL Habitat: in paludosis Fenofase: flor","PACA057665",NA,"Magnoliophyta","Cyperales","748",NA,NA,NA,NA,"36807","auto","Liliatae",NA,NA
"16","2019-08-20 09:59:50-03","UNICAMP","UEC","93621","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Faria, AD","1998","01",NA,"Faria, AD; Matsumoto, K; Aona, LYS; Galvão, JC; Belinello, R","1996","07","10","Brazil","São Paulo","Ouro Verde","SP 563, km 113, Perto da ponte sobre o Rio do Peixe (Ponte Nova).","-51.7000007629395","-21.4799995422363",NA,NA,NA,"UEC025492","UEC025492","Liliopsida",NA,"96138",NA,NA,NA,NA,"17733","auto",NA,NA,NA
"17","2020-10-21 17:16:36-03","PUCRS","MPUC","22510","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.)Kunth",NA,NA,NA,NA,NA,"1999","03","05","Brasil","RS","Uruguaiana","Guará; Pedras","-57.0882987976074","-29.7546997070312",NA,NA,"Encosta.",NA,NA,NA,"Poales",NA,"South America",NA,NA,NA,"93142","auto","Liliopsida","1",NA
"18","2019-01-17 11:23:08-02","PUCRS","MPUC","18016","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.)Kunth",NA,NA,NA,NA,NA,"1998","11","25","Brasil","RS","Cambará do Sul","Lajeado das Margaridas","-50.1444444","-29.0477778","-50.1444444000","-29.0477778000",NA,NA,NA,NA,"Poales",NA,"South America",NA,NA,NA,NA,NA,"Liliopsida","1",NA
"19","2019-08-16 08:39:06-03","UTFPR","HCF","8592","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","R. Trevisan","2013","06","05","M.G. Caxambu","2010","03","04","Brasil","PR","Luiziana","Estação Ecológica Luiziana","-52.437917","-24.533528","52°26'16,5 W","24°32'00,7 S","erva heliófita, ca. 0,05 m, reófila, próxima a cachoeira.",NA,NA,NA,NA,"3041",NA,"598","598",NA,NA,NA,NA,NA,NA
"20","2019-08-16 08:39:06-03","UTFPR","HCF","6009","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","R. Trevisan","2008","05",NA,"M.G. Caxambu","2007","10","05","Brasil","PR","Campo Mourão","Parque Estadual Lago Azul (PELA)","-52.331944","-24.103333","52°19'55'' W","24°06'12'' S","Erva reófila, heliófita, abaixo do Salto Belo.",NA,NA,NA,NA,"1720",NA,"568","568",NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:22:16-03","MBM","MBM","287883","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Strong, M.T.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","2003","10","18","Brazil","Mato Grosso do Sul","Bela Vista","Estrada entre a Rod. BR-060 e Santo Antônio","-56.5210990905762","-22.1089000701904",NA,NA,NA,"MBM287883","MBM287883",NA,NA,"76498","Southern America",NA,NA,NA,"66197","auto",NA,NA,NA
"22","2020-12-21 16:22:16-03","MBM","MBM","280420","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","López, M.G.",NA,NA,NA,"Keller, H.","2001","12","08","Argentina",NA,NA,"Misiones",NA,NA,NA,NA,NA,"MBM280420","MBM280420",NA,NA,"1465","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231660","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Dombey, J.",NA,NA,NA,"[Pérou]",NA,NA,"Lima",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231660' target='other'> <mi>dwc_moreinfo</mi></a>","P00231660","P00231660_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"24","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231654","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Mandon, G.","1857","9",NA,"Bolivie",NA,NA,"Larecaja, vicinis Sorata",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231654' target='other'> <mi>dwc_moreinfo</mi></a>","P00231654","P00231654_01",NA,NA,NA,NA,"2650",NA,"hb",NA,NA,NA,NA,"1413 bis"
"25","2018-01-19 14:56:22-02","MNHN","RECOLNAT_MNHN_P","P00231655","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Mandon, G.","1858",NA,NA,"Bolivie",NA,NA,"Prov. Larecaja, vicinis Sorata",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231655' target='other'> <mi>dwc_moreinfo</mi></a>","P00231655","P00231655_01",NA,NA,NA,NA,"3100",NA,"hb",NA,NA,NA,NA,"1413"
"26","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231656","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Jameson, W.",NA,NA,NA,"Equateur",NA,NA,"Andium Quitensium",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231656' target='other'> <mi>dwc_moreinfo</mi></a>","P00231656","P00231656_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"639"
"27","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231657","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Spruce, R.","1861",NA,NA,"Equateur",NA,NA,"in Andibus",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231657' target='other'> <mi>dwc_moreinfo</mi></a>","P00231657","P00231657_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"5206"
"28","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231658","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Spruce, R.","1861",NA,NA,"Equateur",NA,NA,"in Andibus",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231658' target='other'> <mi>dwc_moreinfo</mi></a>","P00231658","P00231658_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"5206"
"29","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231661","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Dombey, J.",NA,NA,NA,"Perou",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231661' target='other'> <mi>dwc_moreinfo</mi></a>","P00231661","P00231661_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"30","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231662","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Weddell, H.A.","1848",NA,NA,"Pérou",NA,NA,"Aux environs du Lac Titicaca",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231662' target='other'> <mi>dwc_moreinfo</mi></a>","P00231662","P00231662_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"4422"
"31","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231663","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Dombey, J.",NA,NA,NA,"Pérou",NA,NA,"Lima",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231663' target='other'> <mi>dwc_moreinfo</mi></a>","P00231663","P00231663_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"32","2017-05-22 11:07:18-03","MNHN","RECOLNAT_MNHN_P","P00231664","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,NA,NA,"Brésil",NA,NA,"Prov. Saint Paul",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231664' target='other'> <mi>dwc_moreinfo</mi></a>","P00231664","P00231664_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"1221"
"33","2015-09-04 03:58:03-03","MNHN","RECOLNAT_MNHN_P","P00231665","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth","Raynal",NA,NA,NA,"Puiggari, J.I.","1886","11",NA,"Brésil",NA,NA,"Prov. de Sao Paulo, Apiahy",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231665' target='other'> <mi>dwc_moreinfo</mi></a>","P00231665","P00231665_01 P00231665_02",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"3250"
"34","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231666","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Bonpland, A.J.A.",NA,NA,NA,"Argentine",NA,NA,"Corrientes",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231666' target='other'> <mi>dwc_moreinfo</mi></a>","P00231666","P00231666_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"35","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231667","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Hieronymus, G.","1877","2","21","Argentine",NA,NA,"Prov. Cordoba, Sierra Achala",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231667' target='other'> <mi>dwc_moreinfo</mi></a>","P00231667","P00231667_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"130"
"36","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231668","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Pedersen, T.M.","1954","10","22","Argentine",NA,NA,"Corrientes, Dep. Santo Tomé, estancia Garruchos",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231668' target='other'> <mi>dwc_moreinfo</mi></a>","P00231668","P00231668_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"2935"
"37","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231669","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Pedersen, T.M.","1952","11","9","Argentine",NA,NA,"Corrientes, Dep. Mburucuya, estancia Santa Teresa",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231669' target='other'> <mi>dwc_moreinfo</mi></a>","P00231669","P00231669_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"1894"
"38","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231670","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Savatier, P.A.L.","1877","3","5","Chili",NA,NA,"Lota",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231670' target='other'> <mi>dwc_moreinfo</mi></a>","P00231670","P00231670_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"292"
"39","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231671","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Savatier, P.A.L.","1877","3","5","Chili",NA,NA,"Lota",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231671' target='other'> <mi>dwc_moreinfo</mi></a>","P00231671","P00231671_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"292"
"40","2015-09-03 21:28:46-03","MNHN","RECOLNAT_MNHN_P","P00231672","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Gay, C.",NA,NA,NA,"Chili",NA,NA,"St Yago à Odessa",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231672' target='other'> <mi>dwc_moreinfo</mi></a>","P00231672","P00231672_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"41","2015-09-03 21:28:47-03","MNHN","RECOLNAT_MNHN_P","P00231673","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Gay, C.","1828","9",NA,"Chili",NA,NA,"Santiago",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231673' target='other'> <mi>dwc_moreinfo</mi></a>","P00231673","P00231673_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"42","2015-09-04 03:59:15-03","MNHN","RECOLNAT_MNHN_P","P00231674","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"s.c.","1842",NA,NA,"Chili",NA,NA,"Rancagua",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231674' target='other'> <mi>dwc_moreinfo</mi></a>","P00231674","P00231674_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"43","2015-09-03 21:28:47-03","MNHN","RECOLNAT_MNHN_P","P00231675","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Bertero, C.L.G.",NA,NA,NA,"Chili",NA,NA,"Tagua Tagua",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231675' target='other'> <mi>dwc_moreinfo</mi></a>","P00231675","P00231675_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"609"
"44","2015-09-04 12:55:37-03","MNHN","RECOLNAT_MNHN_P","P00231676","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Gay, C.","1829","11",NA,"Chili",NA,NA,"Prov. Santiago",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00231676' target='other'> <mi>dwc_moreinfo</mi></a>","P00231676","P00231676_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,"503"
"45","2015-09-03 22:14:35-03","MNHN","RECOLNAT_MNHN_P","P01707270","PreservedSpecimen",NA,"Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(A.Dietr.) Kunth",NA,NA,NA,NA,"Smith, L.B.|Reitz, R.","1965","1","5","Brasil","Santa Catarina","São Joaquim","Bog near Encruzilhada de Boava, 8 km south of São Joaquim. São Joaquim, Santa Catarina, Sul, Brasil, América do Sul","-49.93333","-28.33333",NA,NA,". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01707270' target='other'> <mi>dwc_moreinfo</mi></a>","P01707270","P01707270_01",NA,NA,NA,NA,"1300",NA,"hb",NA,NA,NA,NA,"14269"
"46","2021-02-11 17:18:41-03","UFPR","UPCB","49969","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Trevisan, R.","2005","05","18","Bona, C.","2005","02","22","Brasil","Paraná","General Carneiro","Banhado do Curicaca","-51.315601348877","-26.4274997711182",NA,NA,"Herbácea do brejo..",NA,NA,NA,NA,"263",NA,NA,NA,NA,"33284","auto",NA,NA,NA
"47","2021-02-11 17:18:41-03","UFPR","UPCB","64963","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Araújo, A.C.","2007","09",NA,"Cervi, A.C.","2004","10","30","Brasil","Paraná","General Carneiro","Fazenda São Pedro, Filtro Três.","-51.315601348877","-26.4274997711182",NA,NA,"Brejo da lagoa..",NA,NA,NA,NA,"8667",NA,NA,NA,NA,"33284","auto",NA,NA,NA
"48","2021-02-11 17:18:41-03","UFPR","UPCB","64951","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Trevisan, R.","2015","09","25","Bona, C.","2007","01","13","Brasil","Paraná","General Carneiro","Sede da Fazenda Santa Cândida, tanques.","-51.315601348877","-26.4274997711182",NA,NA,"Planta emergente. Herbácea..",NA,NA,NA,NA,"355",NA,NA,NA,NA,"33284","auto",NA,NA,NA
"49","2009-06-01 08:49:00-03","MO","MOBOT","100191388","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","S. Torres R.",NA,NA,NA,"S. Torres Robles|P. Simon|N. González","2004","10","29","Argentina","Buenos Aires","Mar Chiquita","Estancia Nahuel Rucá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Torres Robles 1929","South America",NA,NA,NA,NA,NA,NA,"1",NA
