"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","geoFlag","class"
"11","2019-11-13 11:22:22-03","USP","SPF","111994","PreservedSpecimen","Plantae","Leguminosae","Harpalyce","lanata","Harpalyce lanata","Ganev, W","2674","1993","12","15",NA,"Brasil",NA,NA,NA,"SPF00111994",NA,NA,"L.P.Queiroz","São-Mateus, WMB","Bahia","Abaíra",NA,"-41.85","-13.333333","1300","1420",NA,"paratype","2017","10","-41.85","-13.333333",NA,NA,NA,NA
"12","2019-11-13 11:22:22-03","USP","SPF","113775","PreservedSpecimen","Plantae","Leguminosae","Harpalyce","lanata","Harpalyce lanata","Ganev, W","2654","1993","12","15",NA,"Brasil",NA,NA,NA,"SPF00113775",NA,NA,"L.P.Queiroz","Queiroz, LP","Bahia","Abaíra","Serra do Sumbaré","-41.866667","-13.3","1200","1400",NA,NA,"1996","12","-41.866667","-13.3",NA,NA,NA,NA
"13","2019-11-13 11:22:22-03","USP","SPF","87120","PreservedSpecimen","Plantae","Leguminosae","Harpalyce","lanata","Harpalyce lanata","Ganev, W","714","1992","07","25",NA,"Brasil",NA,NA,NA,"SPF00087120",NA,NA,"L.P.Queiroz","São-Mateus, WMB","Bahia","Abaíra",NA,"-41.85","-13.316667","1600","1600",NA,"paratype","2017","10","-41.85","-13.316667",NA,NA,NA,NA
"14","2019-11-13 11:22:22-03","USP","SPF","88234","PreservedSpecimen","Plantae","Leguminosae","Harpalyce","lanata","Harpalyce lanata","Ganev, W","160","1992","04","21",NA,"Brasil",NA,NA,NA,"SPF00088234",NA,NA,"L.P.Queiroz","São-Mateus, WMB","Bahia","Abaíra","Catolés","-41.85","-13.333333","1400","1400",NA,"paratype","2017","10","-41.85","-13.333333",NA,NA,NA,NA
"15","2019-11-13 11:22:22-03","USP","SPF","88631","PreservedSpecimen","Plantae","Leguminosae","Harpalyce","lanata","Harpalyce lanata","Ganev, W","1659","1992","12","16",NA,"Brasil",NA,NA,NA,"SPF00088631",NA,NA,"L.P.Queiroz","Queiroz, LP","Bahia","Abaíra","Catolés","-41.75","-13.366667","850","850",NA,"isotype","1998",NA,"-41.75","-13.366667",NA,NA,NA,NA
"16","2020-05-08 11:12:36-03","UEFS","HUEFS","12924","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Ganev, W.","1659","1992","12","16",NA,"Brasil",NA,NA,NA,"HUEFS0012924","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra",NA,"-41.75","-13.366667","850","850","HUEFS0012924 HUEFS0012924_01","Holótipo",NA,NA,"41W45'","13S22'",NA,NA,NA,"Rosanae"
"17","2020-05-08 11:12:36-03","UEFS","HUEFS","16252","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Ganev, W.","2654","1993","12","15",NA,"Brasil",NA,NA,NA,"HUEFS0016252","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra",NA,"-41.866667","-13.3","1200","1400","HUEFS0016252","Parátipo",NA,NA,"41W52'","13S18'",NA,NA,NA,"Rosanae"
"18","2020-05-08 11:12:36-03","UEFS","HUEFS","187196","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Conceição, A.A.","4156","2012","07","05",NA,"Brasil",NA,NA,NA,"HUEFS0187196","Angiospermae","Fabales","L.P.Queiroz","W.São-Mateus","Bahia","Ibicoara","Gerais do Macho Bonho.","-41.266667","-13.216667","1050","1050",NA,NA,"2018","10","41W16'","13S13'",NA,NA,NA,"Rosanae"
"19","2020-05-08 11:12:36-03","UEFS","HUEFS","10603","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Ganev, W.","160","1992","04","21",NA,"Brasil",NA,NA,NA,"HUEFS0010603","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra",NA,"-41.85","-13.333333","1400","1400","HUEFS0010603 HUEFS0010603_01","Parátipo",NA,NA,"41W51'","13S20'",NA,NA,NA,"Rosanae"
"20","2020-05-08 11:12:36-03","UEFS","HUEFS","11157","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Ganev, W.","714","1992","12","25",NA,"Brasil",NA,NA,NA,"HUEFS0011157","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra",NA,"-41.85","-13.316667","1600","1600","HUEFS0011157","Parátipo",NA,NA,"41W51'","13S19'",NA,NA,NA,"Rosanae"
"21","2020-05-08 11:12:36-03","UEFS","HUEFS","113665","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Cardoso, D.","1393","2006","09","16",NA,"Brasil",NA,NA,"Campo rupestre.","HUEFS0113665","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Mucugê","Serra do Gobira.","-41.366667","-13.083333",NA,NA,NA,NA,"2006","09","41W22'","13S5'",NA,NA,NA,"Rosanae"
"22","2020-05-08 11:12:36-03","UEFS","HUEFS","16272","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Ganev, W.","2674","1993","12","15",NA,"Brasil",NA,NA,NA,"HUEFS0016272","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra",NA,"-41.85","-13.333333","1300","1420","HUEFS0016272 HUEFS0016272_01","Parátipo",NA,NA,"41W51'","13S20'",NA,NA,NA,"Rosanae"
"23","2020-05-08 11:12:36-03","UEFS","HUEFS","17172","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Ganev, W.","3129","1994","04","26",NA,"Brasil",NA,NA,NA,"HUEFS0017172","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra",NA,"-41.85","-13.333333","1220","1450","HUEFS0017172 HUEFS0017172_01","Parátipo",NA,NA,"41W51'","13S20'",NA,NA,NA,"Rosanae"
"24","2020-05-08 11:12:36-03","UEFS","HUEFS","18168","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Ganev, W.","3423","1994","07","23",NA,"Brasil",NA,NA,NA,"HUEFS0018168","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra",NA,"-41.85","-13.316667","1200","1400","HUEFS0018168","Parátipo",NA,NA,"41W51'","13S19'",NA,NA,NA,"Rosanae"
"25","2020-05-08 11:12:36-03","UEFS","HUEFS","213877","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","São-Mateus, W.M.B.","327","2015","01","25",NA,"Brasil",NA,NA,NA,"HUEFS0213877","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Mucugê","Serra do Gobira, acesso pela BA-142 sentido Mucugê-Ibicoara, ramal da Fazenda Caríba em direção a comunidade capão do correio.","-41.359722","-13.095278","1247","1247",NA,NA,NA,NA,"41W21'35''","13S5'43''",NA,NA,NA,"Rosanae"
"26","2020-05-08 11:12:36-03","UEFS","HUEFS","213878","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","São-Mateus, W.M.B.","328","2015","01","25",NA,"Brasil",NA,NA,NA,"HUEFS0213878","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Mucugê","Serra do Gobira, acesso pela BA-142 sentido Mucugê-Ibicoara, ramal da Fazenda Caríba em direção a comunidade capão do correio.","-41.359722","-13.095278","1247","1247",NA,NA,NA,NA,"41W21'35''","13S5'43''",NA,NA,NA,"Rosanae"
"27","2020-05-08 11:12:36-03","UEFS","HUEFS","239038","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Cardoso, D.","3660","2015","01","25",NA,"Brasil",NA,NA,NA,"HUEFS0239038","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Mucugê","Serra do Gobira, acesso pela BA-142, sentido Mucugê-Ibicoara, ramal da Fazenda Caraíba em direção à Comunidade Capão do Correia.","-41.359444","-13.095278","1247","1247",NA,NA,NA,NA,"41W21'34''","13S5'43''",NA,NA,NA,"Rosanae"
"28","2020-05-08 11:12:36-03","UEFS","HUEFS","245975","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Cardoso, D.","4450","2018","03","12",NA,"Brasil",NA,NA,"Campo rupestre na beira da cachoeira.","HUEFS0245975","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra","Catolés, Chachoeira Samambaia.","-41.854444","-13.306111","1162","1162",NA,NA,NA,NA,"41W51'16''","13S18'22''",NA,NA,NA,"Rosanae"
"29","2020-05-08 11:12:36-03","UEFS","HUEFS","74144","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Andrade, M.J.G.","359","2003","05","31",NA,"Brasil",NA,NA,"Campo Rupestre.","HUEFS0074144","Angiospermae","Fabales","L.P.Queiroz","L.P.de Queiroz","Bahia","Abaíra","Catolés, no Morro do Vira-saia, Chapada Diamantina.","-41.85","-13.316667",NA,NA,"HUEFS0074144",NA,"2005","06","41W51'","13S19'",NA,NA,NA,"Rosanae"
"30","2020-05-08 11:12:36-03","UEFS","HUEFS","20270","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","França, F.","1310","1995","07","09",NA,"Brasil",NA,NA,NA,"HUEFS0020270","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra","Catolés Caminho Boa Vista para Bicota.","-41.6636009216309","-13.2496995925903","1200","1600","HUEFS0020270","Parátipo",NA,NA,NA,NA,"26531",NA,"auto","Rosanae"
"31","2020-05-08 11:12:36-03","UEFS","HUEFS","159489","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Harpalyce","lanata","Harpalyce lanata","Moraes, P.L.R.de","3013","2009","12","12",NA,"Brasil",NA,NA,NA,"HUEFS0159489","Angiospermae","Fabales","L.P.Queiroz",NA,"Bahia","Abaíra","Catolés - Guarda-Mor","-41.6636009216309","-13.2496995925903",NA,NA,"HUEFS0159489",NA,NA,NA,NA,NA,"26531",NA,"auto","Rosanae"
