"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","occurrenceRemarks","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","preparationType","verbatimLongitude","verbatimLatitude","class","order","individualCount","fieldNumber","sex"
"11","2020-12-11 11:43:36-03","UFMG","BHCB","190497","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Barata, IM","s.n.","Southern America","Brasil","BHCB190497","2018","02","27","Minas Gerais","Itamarandiba","-42.8588981628418","-17.8572006225586","39586","auto",NA,NA,NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:43:36-03","UFMG","BHCB","190498","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Barata, IM","s.n.","Southern America","Brasil","BHCB190498","2018","02","27","Minas Gerais","Itamarandiba","-42.8588981628418","-17.8572006225586","39586","auto",NA,NA,NA,"Parque Estadual da Serra Negra","1550","1550",NA,"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2012-05-17 05:02:00-03","MO","MOBOT","3020173","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Carl Schwacke","Schwacke 9209","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","1900572","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","monacorum","Vriesea monacorum","L.B. Sm.","M. B. Foster & R. C. Foster","693","South America - Neotropics","Brazil","US00091198","1940","7","22","Minas Gerais","Santa Barbara","-43.4152984619141","-19.959400177002","33136","auto","Isotype",NA,"US00091198_01","Seminario de Caraca.","1500","1500",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA
"15","2020-09-12 05:00:02-03","US","US","1952941","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","M. B. Foster","[1948]","South America - Neotropics","Brazil","US01914141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US01914141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA
"16","2020-09-12 05:00:02-03","US","US","2235386","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","S.C.","s.n.","South America - Neotropics","Brazil","US01914139","1956","3","6",NA,NA,NA,NA,NA,NA,NA,NA,"US01914139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","1952940","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","M. B. Foster","s.n.","South America - Neotropics","Brazil","US01914140","1905","5","1",NA,NA,NA,NA,NA,NA,NA,NA,"US01914140_01","Cult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","3557317","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","R. M. Harley, A. Fierro, E. Nic Lughadha & A. Fierro","50726","South America - Neotropics","Brazil","US01914138","1992","1","10","Bahia","Abaíra","-41.9","-13.25",NA,NA,NA,NA,"US01914138_01","Campo de Ouro Fino","1600","1700",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA
"19","2019-09-04 19:45:27-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana",NA,"C. A. W. Schwacke","9209","South America","Brazil",NA,"1893","2","14",NA,NA,"-52.8731","-10.8339",NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
"20","2019-11-01 15:13:22-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae","Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Irwin, HS; Harley, RM; Onishi, E","29197","Southern America","Brasil","UB0003008","1971","01","26","Minas Gerais",NA,NA,NA,NA,NA,NA,"Inflorescence to ca. 1 m tall. Bracts red, apically yellow; Depressions in rock surface. Upper slopes","UB0003008","Serra da Caraça","1750","1950","Versieux, L","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:02:55-03","IBt","SP","159198","S","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Pires, AS","s.n.",NA,"Brasil","SP053500","1978","11","12","São Paulo","Itapecerica da Serra","-46.8400001525879","-23.7099990844727","12011","auto",NA,NA,"SP053500",NA,NA,NA,"Costa, A","1992","04","28",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:02:55-03","IBt","SP","498089","S","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Lopes, IM","s.n.",NA,"Brasil","SP053504","2018","07","04","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,"SP053504","Parque Natural Municipal Nascentes de Paranapiacaba. Estrada do Taquarussu x estrada do tanque do Gustavo",NA,NA,"Martins, SE","2018","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:02:55-03","IBt","SP","498089a","Extra","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Lopes, IM","s.n.",NA,"Brasil","SP053505","2018","07","04","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,"SP053505","Parque Natural Municipal Nascentes de Paranapiacaba. Estrada do Taquarussu x estrada do tanque do Gustavo",NA,NA,"Martins, SE","2018","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:02:55-03","IBt","SP","32160","S","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Hoehne, FC","s.n.",NA,"Brasil","SP053503","1934","11","03","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,"SP053503","Parque do Estado",NA,NA,"Smith, LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:02:55-03","IBt","SP","41821","S","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Gehrt, A","s.n.",NA,"Brasil","SP053501","1939","11","10","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,"SP053501","Pirajussara",NA,NA,"Smith, LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:02:55-03","IBt","SP","41821a","Extra","Plantae",NA,"Bromeliaceae","Vriesea","schwackeana","Vriesea schwackeana","Mez","Gehrt, A","s.n.",NA,"Brasil","SP053502","1939","11","10","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,"SP053502","Pirajussara",NA,NA,"Smith, LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-04-29 13:44:00-03","GH","HU-HERB","GH 00029516","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","monacorum","Vriesea monacorum","L. B. Smith","M. B. Foster & R. Foster","693","South America","Brazil",NA,"1940","7","22","Minas Gerais",NA,NA,NA,NA,NA,"Holotype",NA,NA,"Caraca Monastery, Mun. Santa Barbara","1500",NA,NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,"693","undetermined"
"28","2019-04-29 13:47:53-03","GH","HU-HERB","GH 00029517","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","monacorum","Vriesea monacorum","L. B. Smith","M. B. Foster & R. Foster","693","South America","Brazil",NA,"1940","7","22","Minas Gerais",NA,NA,NA,NA,NA,"Holotype",NA,NA,"Caraca Monastery, Mun. Santa Barbara, alt. 1500 m",NA,NA,NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,"693","undetermined"
