"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","infraspecificEpithet","fieldNumber","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","monthIdentified","dayIdentified"
"11","2015-09-03 20:51:05-03","MNHN","RECOLNAT_MNHN_P","P00720986","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Epling","Glaziou, A.",NA,"1895","1","5",NA,"Brésil",NA,NA,"Cachoeira de Vargem Grande",NA,NA,NA,NA,"hb","Donné par Mme. Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720986' target='other'> <mi>dwc_moreinfo</mi></a>","P00720986","P00720986_01",NA,NA,NA,"21925",NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-27 06:20:20-03","MNHN","RECOLNAT_MNHN_P","P00720987","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Harley","Glaziou, A.",NA,"1895","1","5",NA,"Brésil",NA,NA,"Cachoeira de Vargem Grande",NA,NA,NA,NA,"hb","Donné par Mme. Simard, sa fille, en 1907. Erreur d'étiquette de numérotation ? <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720987' target='other'> <mi>dwc_moreinfo</mi></a>","P00720987","P00720987_01",NA,NA,NA,"21925",NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-04 08:52:56-03","MNHN","RECOLNAT_MNHN_P","P04147867","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"Glaziou, A.",NA,"1895","1","9",NA,"Brasil","Goiás",NA,"Goyaz, Chapadão dos Veadeiros.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04147867' target='other'> <mi>dwc_moreinfo</mi></a>","P04147867","P04147867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-10-01 14:21:49-03","JBB","HEPH","14285","S","Plantae","Dicotyledon","Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Munhoz, CBR","Munhoz, CBR; Oliveira, MS","672","1998","04","24","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria próximo a Sede","-47.509167","-14.0725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998","-47.509167","-14.0725",NA,NA,NA,NA,NA
"15","2020-10-01 14:21:49-03","JBB","HEPH","8058","S","Plantae","Dicotyledon","Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Paiva, VF","Lima, IV","90","1993","05","24","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,"Glabra, flores apicais.",NA,NA,NA,NA,NA,NA,"2005",NA,NA,"44724","auto",NA,NA,NA
"16","2015-08-13 05:50:00-03","MO","MOBOT","2905544","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 32131","1971","3","18","South America","Brazil",NA,NA,"Near boulders, on drier ground than H. cruciformis. Wet campo and adjacent gallery forest, ca. 20 km N. of Alto do Paraiso.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-08-13 05:50:00-03","MO","MOBOT","2905603","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","R.M. Harley","Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 32122","1971","3","18","South America","Brazil",NA,NA,"Wet campo and adjacent gallery forest, ca. 20 km N. of Alto do Paraiso.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-08-13 05:50:00-03","MO","MOBOT","2905661","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","R.M. Harley","Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 32932","1971","3","22","South America","Brazil",NA,NA,"In Shade of tree among rocks separating small marsh from banks of riacho. Untidy irregularly branched shrub to 70 cm. Stems bare below. Anthers dark purple. Cerrado on outcrops and adjacent wet campo, ca 20 km N. of Alto do Paraiso.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-08-31 08:59:09-03","INPA","INPA","233409","S","Plantae","Dicotyledon Asterids","Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Caires, CS","Soares e Silva, LH","1094","2001","06","15","Southern America","Brasil","Goiás","Alto Paraíso","Camping Pesqueiro. Mata ciliar.","-47.627778","-14.1775","1154","1154",NA,NA,"INPA0233409","INPA0233409 INPA0233409_e",NA,NA,NA,NA,"2002","-47.627778","-14.1775",NA,NA,NA,NA,NA
"20","2019-12-19 11:19:09-03","UFG","UFG","16918","S","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Harley, R.M.","Ratter, J.A.; Bridgewater, S.; Cardoso, E.; Filho, J.F. & Paixão, J.F.","7240","1994","05","27",NA,"Brasil","Goiás","Alto Paraíso","34km from Alto Paraíso de Goiás on the road to Teresina de Goiás. In the band of low vegetation in the very damp area bordering swampy gallery florest.","-47.416667","-14",NA,NA,NA,"Wiry herb growing in big clumps to 60 cm tall. Corollas pale lilac.","UFG016918",NA,NA,NA,NA,NA,"1996","-47.416667","-14",NA,NA,NA,NA,NA
"21","2019-12-19 11:19:09-03","UFG","UFG","30704","S","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"Ferreira, H.D.; et al.","4537","2006","09","10",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,"Subarbusto 60 cm de altura, campo úmido, solo escuro, próxima à mata galeria, corola lilás.","UFG0030704","UFG0030704",NA,NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","1706182","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"A. F. M. Glaziou","21925",NA,NA,NA,"South America - Neotropics","Brazil","Goiás","Alto Paraiso","Chapadas do Veadeiros.",NA,NA,NA,NA,NA,NA,"US00121877","US00121877_01","Isotype","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"23","2020-09-12 05:00:02-03","US","US","2755310","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"W. R. Anderson, M. T. Kalin Arroyo, S. R. Hill, R. Reis dos Santos & R. Souza","6767","1973","3","9","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros. 20 km by road N of Alto Paraíso.",NA,NA,"1600",NA,NA,NA,"US02885375","US02885375_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"24","2020-09-12 05:00:02-03","US","US","2839430","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"G. Hatschbach","36846","1975","5","25","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros (mun. Alto Paraiso).",NA,NA,NA,NA,NA,NA,"US02885374","US02885374_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2020-09-02 16:30:04-03","Cenargen","CEN","98067","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"José Rubens Pirani","1788","1987","02","08",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Chapada do Veadeiros - Rodovia GO 118. 41 Km ao Norte de Alto Paraíso de Goiás.","-47.5099983215332","-14.1324996948242",NA,NA,"Exsicatas","Campo brejoso e mata ciliar com buritis (Mauritia). Arbusto até ca. 2,0 m alt. Folhas rígidas. Folhas concentradas na parte superior do caule. Inflorescências secas. Doação Departamento de Botânica - Universidade de São Paulo.","CEN00098067","CEN00098067",NA,NA,NA,NA,NA,NA,NA,"44724","auto","1",NA,NA
"26","2019-11-13 11:20:45-03","USP","SPF","49508","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Harley, RM","Pirani, JR","1788","1987","02","08",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.3","-13.866667",NA,NA,NA,NA,"SPF00049508","SPF00049508",NA,NA,NA,NA,NA,"-47.3","-13.866667",NA,NA,NA,NA,NA
"27","2019-11-13 11:20:45-03","USP","SPF","40436","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis pachyphylla","Epling","Harley, RM","Irwin, HS","32131","1971","03","18",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242","1250","1250",NA,NA,"SPF00040436","SPF00040436",NA,NA,"pachyphylla",NA,"1985",NA,NA,"44724","auto",NA,"02",NA
"28","2019-11-13 11:20:45-03","USP","SPF","40463","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Harley, RM","Irwin, HS","32122","1971","03","18",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242","1250","1250",NA,NA,"SPF00040463","SPF00040463",NA,NA,NA,NA,"1985",NA,NA,"44724","auto",NA,"02",NA
"29","2019-10-07 09:16:14-03","UEFS","HUEFS","117620","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","R.M.Harley","Pastore, J.F.B.","1803","2007","03","12",NA,"Brasil","Goiás","Alto Paraíso de Goiás","GO 118 entre Alto Paraíso de Goiás e Terezina.","-47.504444","-14.0575","1443","1443",NA,NA,"HUEFS0117620","HUEFS0117620",NA,"Asteranae",NA,NA,"2007","47W30'16''","14S3'27''",NA,NA,NA,"06",NA
"30","2018-04-04 16:36:30-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis",NA,"RRC ID Flag","W. R. Anderson","6767",NA,NA,NA,"South America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"6767",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-01-23 11:44:08-02","F","FMNH-SEEDPLANTS","V0093650F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis",NA,"RRC ID Flag","A. Glaziou","21925","1895","1","1","South America","Brazil","Goiás",NA,"Cachoeira de Vargem",NA,NA,NA,NA,NA,NA,"V0093650F","V0093650F_01 V0093650F_02","Isotype","Dicotyledoneae",NA,"21925",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-23 13:22:36-03","MN","R-TIPOS","11412","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling",NA,"Glaziou, A.F.M.","21925","1895","01","05",NA,"Brasil","Goiás","Vargem Grande",NA,NA,NA,NA,NA,NA,NA,"R000011412","R000011412_001","Isotypus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2014-09-23 10:58:01-03","G","G","G00437911","S","Plantae",NA,NA,"Lamiaceae","Hyptis","cruciformis","Hyptis cruciformis","Epling","Harley, R. M.","Glaziou, A. F. M.","21925","1894",NA,"00","AMERIQUE DU SUD","Brazil","Goias",NA,NA,"-49.56972222","-15.81194444",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00437911",NA,"ISOTYPUS of Hyptis cruciformis Epling",NA,NA,NA,"1982","-49.56972222","-15.81194444",NA,NA,NA,"01","01"
