"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1039675","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","M. L. Brotto","M. L. Brotto","2010","05","17","Brazil","Paraná","Morretes","Candonga, estrada de Canavieiras.","-48.8161","-25.5944",NA,NA,"245",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488769' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039675","NY01039675_01",NA,"451","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","469258","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","I. de Vattimo","J. G. Kuhlmann","1934","05","14","Brazil","Espírito Santo","Colatina","Colatina, estrada do Pancas","-40.6306","-19.5394",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469258","NY00469258_01",NA,"339","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","469265","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","A. F. C. P. Saint-Hilaire","1816",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469265","NY00469265_01",NA,"480","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","469262","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","J. Mattos","1961","05","01","Brazil","São Paulo","Ubatuba","Ubatuba, Horto Florestal","-45.0697","-23.4303",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469262","NY00469262_01",NA,"8937","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","469268","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","R. P. Belém","1966","11","10","Brazil","Bahia","Itapebi","Itapebí","-39.5339","-15.9508",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469268",NA,NA,"2875","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01194904","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","N. T. da Silva","1965","12","15","Brazil","Amazonas",NA,"Rio Negro, Rio Cauaburí, Rio Maturacá, slopes of Pico da Neblina, slopes above Igarapé Anta.",NA,NA,NA,NA,"1400","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409574' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194904","NY01194904_01",NA,"60643","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","469263","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","A. F. M. Glaziou","1871","06","09","Brazil","Rio de Janeiro","Itatiaia","Rezenda a Campo Bello","-44.61807","-22.433227",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469263","NY00469263_01",NA,"4906","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","469274","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"J. C. Solomon","1982","11","12","Bolivia","La Paz","Nor Yungas","4.6km below Yolosa, then 19.1km on road up the Rio Huarinilla","-67.88","-16.2",NA,NA,"1700","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469274",NA,NA,"8796","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","469266","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469266","NY00469266_01 NY00469266_02 NY00469266_03",NA,"482","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","469264","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","A. F. M. Glaziou","1871","06","09","Brazil","Rio de Janeiro","Itatiaia","Rezenda a Campo Bello","-44.61807","-22.433227",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469264","NY00469264_01",NA,"4906","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","469257","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","G. G. Hatschbach","1996","07","07","Brazil","Espírito Santo","Castelo","Limoeiro","-41.1844","-20.6036",NA,NA,"600","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469257","NY00469257_01",NA,"65264","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","469267","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","P. K. H. Dusén","1915","08","12","Brazil","Paraná","Jaguariaíva","Jacarahy","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469267","NY00469267_01",NA,"17121","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01196009","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","H. H. van der Werff","P. Fiaschi","2005","03","17","Brazil","Bahia","Arataca","Serra das Lontras, ca. de 7 km no ramal que liga o povoado de Itatiguí à Serra das Lontras","-39.4081","-15.2028",NA,NA,"600","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104063' target='other'> <mi>dwc_moreinfo</mi></a>","NY01196009","NY01196009_01",NA,"2835","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00469270","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","E. P. Heringer","1939","04","05","Brazil","Minas Gerais","Lavras","Lavras","-44.99889","-21.24635",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469270","NY00469270_01",NA,"195","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","469260","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","Martii Herbar. Florae Brasil.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469260","NY00469260_01",NA,"169","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-29 12:26:00-03","NY","NYBG","469273","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata",NA,"H. H. van der Werff","B. A. Stein","1985","05","13","Ecuador","Zamora-Chinchipe",NA,"Road from Zumba to Valladolid, between Palanuma and Palanda","-79.13","-4.67",NA,NA,"1150","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469273",NA,NA,"2778","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00918284","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","C. F. P. von Martius",NA,NA,NA,"Brazil",NA,NA,"Brésil.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918284","NY00918284_01",NA,"169","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","469259","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","H. H. van der Werff","G. G. Hatschbach","1968","04","10","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469259","NY00469259_01",NA,"19008","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-29 12:26:00-03","NY","NYBG","469272","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata",NA,"H. H. van der Werff","B. M. Boom","1992","03","19","Venezuela","Bolívar","Cedeño","Along Rio Mawela, tributary of the Erebato","-64.93","5.13",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469272",NA,NA,"10605","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01194903","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","N. T. da Silva","1965","12","15","Brazil","Amazonas",NA,"Rio Negro, Rio Cauaburí, Rio Maturacá, slopes of Pico da Neblina, slopes above Igarapé Anta.",NA,NA,NA,NA,"1400","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409572' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194903","NY01194903_01",NA,"60643","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","50504","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","H. H. van der Werff","S. A. Mori","1995","09","23","French Guiana","Saint-Laurent-du-Maroni",NA,"Saül and vicinity. Route de Bélizon, between Eaux Claires and entrance to Grand Bouef Mort Trail.","-53.2","3.62",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00050504",NA,NA,"24188","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","469271","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","A. F. C. P. Saint-Hilaire","1816",NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"[no. 339 also appears on label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469271","NY00469271_01",NA,"602","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-30 08:37:00-03","NY","NYBG","1691984","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata",NA,NA,"M. A. Baker","1986","11","06","Ecuador","Morona-Santiago",NA,"Bomboiza; Mision Salesiana","-78.53","-3.47",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1897328' target='other'> <mi>dwc_moreinfo</mi></a>","NY01691984",NA,NA,"7234","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02103703","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","H. H. van der Werff","R. A. X. Borges","2007","01","22","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917",NA,NA,"835",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2157330' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103703","NY02103703_01",NA,"662","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","469261","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","Martii Herbar. Florae Brasil.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469261","NY00469261_01 NY00469261_02",NA,"169","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","469269","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","J. G. Rohwer","G. F. J. Pabst","1963","04","12","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, estrada do Redentor, pr. Alto da Boa Vista","-43.245505","-22.956326",NA,NA,"250","250","Although the collectors are designated as B. Maguire & G. Pabst 7353, this is a Pabst coll. no. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469269","NY00469269_01",NA,"7353","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-02-08 11:09:07-03","UNESP-IBB","BOTU","23620","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Ferreira, R.C.C.","1998","04","15","Brasil","São Paulo","Botucatu",NA,"-49.733333","-22.816667","49° 44' w","22°49's",NA,NA,"Árvore 7m, flores brancas em cachos.","BOTU023620",NA,NA,"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-18 09:29:57-03","UNESP-IBB","BOTU","25713","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Moreira, M.P.","1994","08","18","Brasil","São Paulo","Botucatu","Mata do Hospital Psiquiátrico",NA,NA,"9999","9999",NA,NA,"<ll>dwc_commonname:</ll> canela ferrugem","BOTU025713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-18 09:29:57-03","UNESP-IBB","BOTU","19406","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Grombone, M.T.","1986","03","18","Brasil","São Paulo","Botucatu","Jardim Botânico, Unesp - distrito de Rubião Júnior",NA,NA,"9999","9999",NA,NA,NA,"BOTU019406",NA,NA,"P7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-08 11:09:07-03","UNESP-IBB","BOTU","30012","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,NA,"1994","02","22","Brasil","São Paulo","Botucatu",NA,"-48.434167","-22.872222","48°26'3w","22°52'20s",NA,NA,"Árvore; Coleção: Jardim Botânico UNESP Botucatu","BOTU030012",NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-02-08 11:09:07-03","UNESP-IBB","BOTU","23619","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Ferreira, R.C.C.","1998","01","13","Brasil","São Paulo","Botucatu",NA,"-49.733333","-22.816667","49° 44' w","22°49's",NA,NA,"Flores brancas com odor forte.","BOTU023619",NA,NA,"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-06-29 11:31:01-03","UFRJ","RFA","28019","PreservedSpecimen","Plantae","Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees","Cristiane M.B. Correia","C.M.B. Correia","1993","07","27","Brasil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, trilha do Pau Preto","-42.25","-22.5","42º15'W","22º30'S",NA,NA,"Árvore ca. 10 m de altura. frutos imaturos de cor verde e maduros com cálice persistente vináceo. Frutos visitados por pássaros","RFA19862",NA,NA,"331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-06-29 11:31:01-03","UFRJ","RFA","20311","PreservedSpecimen","Plantae","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","Lert","Luis Ruiz Terán","1962","09","30","Venezuela",NA,"Venezuela","Bosque de San Eusebio, climax de selva nublada, Distrito Campo Elias, estado Mérida",NA,NA,NA,NA,"2100","2100","Árbol inerme, aromática 12 - 15 m. tronco cilíndrico, generalmente erecto 45-50cm DAP. Copa hemisférica. Corteza gris-pardusca, conspicuamente lenticeladas, áspera; superfície interna lisa, verde. ramitas jovenes comprimidas, verde-pard","RFA17064",NA,NA,"1068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
