"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","fieldNumber","individualCount","class","typeStatus"
"25","2020-11-04 11:13:06-03","ESALQ","ESA","18679","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Barreto, K.D. et al.","1994","01","25","Brasil","São Paulo","Iporanga",NA,"-48.5900001525879","-24.5799999237061","38740",NA,"ESA018679","auto","Magnoliophyta",NA,"1864.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:13:06-03","ESALQ","ESA","65199","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Saka, M.N.",NA,NA,NA,"Sampaio, D. et al.","1999","01","05","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727","17990",NA,"ESA065199","auto","Magnoliophyta",NA,"21.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:13:06-03","ESALQ","ESA","28858","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Ivanauskas, N.M.","1995","12","20","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727","17990",NA,"ESA028858","auto","Magnoliophyta",NA,"662.0",NA,NA,"ESA028858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:13:06-03","ESALQ","ESA","11328","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Souza, V.C.","1988","12","11","Brasil","São Paulo","Peruíbe",NA,"-46.9900016784668","-24.3199996948242","21922",NA,"ESA011328","auto","Magnoliophyta",NA,"463.0",NA,NA,"ESA011328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:13:06-03","ESALQ","ESA","12823","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Souza, V.C. ; Abbud, V.","1988","11","06","Brasil","São Paulo","Peruíbe",NA,"-46.9900016784668","-24.3199996948242","21922",NA,"ESA012823","auto","Magnoliophyta",NA,"335.0",NA,NA,"ESA012823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:13:06-03","ESALQ","ESA","17422","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Moraes, P.L.R. et al.","1995","01","18","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334","27904",NA,"ESA017422","auto","Magnoliophyta",NA,"1132.0",NA,NA,"ESA017422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:13:06-03","ESALQ","ESA","92748","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Saka, M.N.",NA,NA,NA,"Zipparro, V.B.","1999","12","14","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666","34059",NA,"ESA092748","auto","Magnoliophyta",NA,NA,NA,NA,"ESA092748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:13:06-03","ESALQ","ESA","61913","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.","2013",NA,NA,"Kozera, C. et al.","1999","01","12","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666","34059",NA,"ESA061913","auto","Magnoliophyta",NA,"859.0",NA,NA,"ESA061913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:13:06-03","ESALQ","ESA","116040","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla",NA,"Saka, M.N.","2013",NA,NA,"Vieira, S.",NA,NA,NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758","34265",NA,"ESA116040","auto","Magnoliophyta",NA,"101.0",NA,NA,"ESA116040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:13:06-03","ESALQ","ESA","22123","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Souza, J.P.; Miyagi, P.H.; Zandoval, J.A.","1995","02","14","Brasil","São Paulo","Barra do Turvo","10km de Barra do Turvo em direção a Pariquera-açú.","-48.5046997070312","-24.7563991546631","38172","Erva até 1,0m. Flores brancas.","ESA022123","auto","Magnoliophyta",NA,"91.0",NA,NA,"ESA022123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2015-07-02 14:42:37-03","JBP","HPL","12298","S","Plantae","Marantaceae","Calathea","aff. monophylla","Calathea aff. monophylla",NA,NA,NA,NA,NA,"H. Lorenzi, M. Peixoto & M. Virmond","2010","02","04","Brasil","PR","Antonina","Coletado na Reserva da Usina Gov. Parigot de Souza, na estrada da cota 800, em mata atlântica. Inflorescências elipsoides, densas, sobre escapo da metade da altura da planta.","-48.777167","-25.256361",NA,NA,NA,NA,NA,NA,"7007",NA,NA,NA,"700","700","48° 46' 37,8 W","25° 15' 22,9 S",NA,NA,NA,NA,NA,NA
"36","2015-07-02 14:55:33-03","JBP","HPL","12274","S","Plantae","Marantaceae","Calathea","aff. monophylla","Calathea aff. monophylla","Körn.","D.S. Gissi","2012","01","27","S. Vieira, H. Lorenzi, E. Jacques & M. Peixoto","2010","12","13","Brasil",NA,"Santa Teresa","Coletado na Reserva Biológica Augusto Ruschi, na beira da trilha, meia sombra.","-40.552444","-19.913194",NA,NA,NA,NA,NA,NA,"453",NA,NA,NA,"794","794","40° 33' 8,8 W","19° 54' 47,5 S",NA,NA,NA,NA,NA,NA
"37","2015-07-02 14:02:47-03","JBP","HPL","12066","S","Plantae","Marantaceae","Calathea","aff. monophylla","Calathea aff. monophylla","(Vell.) Körn.","S. Vieira","2010","11","15","S. Vieira","2010","11","15","Brasil","SP","Nova Odessa","Coletado e cultivado no Jardim Botânico Plantarum; crescendo no bosque dos abacateiros, na sombra.","-47.29","-22.77","8440",NA,NA,"auto",NA,NA,"420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2015-07-02 14:42:38-03","JBP","HPL","12775","S","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","(Vell.) Körn.","D.S. Gissi","2012","03","05","H. Lorenzi, M. Peixoto & M. Virmond","2011","02","04","Brasil","PR","Antonina","Coletado na Reserva da Usina Gov. Parigot de Souza, na estrada para a cota 800, em mata Atlântica.","-48.777167","-25.256361",NA,NA,NA,NA,NA,NA,"7010",NA,NA,NA,"500","500","48° 46' 37,8 W","25° 15' 22,9 S",NA,NA,NA,NA,NA,NA
"39","2015-07-02 14:02:48-03","JBP","HPL","5005","S","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","Körn.","D.S. Gissi","2012","01","17","E.R. Salviani & H. Lorenzi","2000","01","13","Brasil","RJ","Rio de Janeiro","Coletada no Sítio R. Burle Marx.","-43.2075","-22.9028","57442",NA,NA,"auto",NA,NA,"896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-07-02 14:55:33-03","JBP","HPL","12163","S","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","(Vell.) Körn.","D.S. Gissi","2012","01","27","S. Vieira, H. Lorenzi, L. Kohlmann & M. Peixoto","2010","12","07","Brasil","BA","Itamaraju","Coletado na fazenda Novo Horizonte, em local úmido e sombrio; população a beira de um riacho.","-39.5311","-17.0392","55932",NA,NA,"auto",NA,NA,"432",NA,NA,NA,"82","82","39° 34' 66 W","16° 58' 98 S",NA,NA,NA,NA,NA,NA
"41","2015-07-02 14:02:48-03","JBP","HPL","5006","S","Plantae","Marantaceae","Calathea","monophylla","Calathea monophylla","Körn.","D.S. Gissi","2012","01","27","E.R. Salviani & H. Lorenzi","2000","01","13","Brasil","RJ","Rio de Janeiro","Coletado no Sítio R. Burle Marx.","-43.2075","-22.9028","57442",NA,NA,"auto",NA,NA,"910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2015-07-02 14:02:52-03","JBP","HPL","11424","S","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borhs & S. Suaréz","M.N. Saka","2013","07","01","S. Vieira & K. Soares","2009","11","11","Brasil","SP","Nova Odessa","Coletado e cultivado no Jardim Botânico Plantarum, no Bosque dos Abacateiros, próximo ao viveiro de pássaros.","-47.29","-22.77","8440",NA,NA,"auto",NA,NA,"336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-19 08:08:12-03","FPS","FPS","3866","MachineObservation","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S.Suárez","Medeiros, A.","2019","01","12","Schwirkowski, P.","2019","01","12","Brasil","Santa Catarina","São Bento do Sul","Sertãozinho. Rio dos Bugres","-49.351963","-26.313134",NA,NA,"FPS03866,FURB63510",NA,NA,NA,"3293",NA,NA,"FPS03866_v01 FPS03866_v02 FPS03866_v03 FPS03866_v04 FPS03866_v05 FURB63510",NA,NA,"-49.351963","-26.313134","voucher","FURB 63510",NA,NA,NA,NA
"44","2019-12-19 08:08:12-03","FPS","FPS","1183","MachineObservation","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S.Suárez","Schwirkowski, P.","2010","12","19","Schwirkowski, P.","2010","12","19","Brasil","Santa Catarina","Jaraguá do Sul","Trilha em mata na ARSEPUM","-49.10142","-26.470793",NA,NA,"FPS01183",NA,NA,NA,NA,NA,NA,"FPS01183_v01 FPS01183_v02 FPS01183_v03 FPS01183_v04 FPS01183_v05",NA,NA,"-49.10142","-26.470793",NA,NA,NA,NA,NA,NA
"45","2019-12-19 08:08:12-03","FPS","FPS","3870","MachineObservation","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S.Suárez","Medeiros, A.","2019","01","12","Schwirkowski, P.","2019","01","12","Brasil","Santa Catarina","São Bento do Sul","Sertãozinho. Rio dos Bugres","-49.351963","-26.313134",NA,NA,"FPS03870,FURB63513",NA,NA,NA,"3297",NA,NA,"FPS03870_v01 FPS03870_v02 FPS03870_v03 FPS03870_v04 FPS03870_v05 FURB63513",NA,NA,"-49.351963","-26.313134","voucher","FURB 63513",NA,NA,NA,NA
"46","2019-12-19 08:08:12-03","FPS","FPS","1481","MachineObservation","Plantae","Marantaceae","Goeppertia","monophylla","Goeppertia monophylla","(Vell.) Borchs. & S.Suárez","Saka, M.N.","2016","12","28","Schwirkowski, P.","2016","01","01","Brasil","Santa Catarina","Joinville","Serra Dona Francisca. Trilha do Castelo dos Bugres.","-49.054899","-26.224838",NA,NA,"FPS01481,FURB49506",NA,NA,NA,"1438",NA,NA,"FPS01481_v01 FPS01481_v02 FPS01481_v03 FPS01481_v04 FPS01481_v05 FPS01481_v06 FPS01481_v07 FURB49506",NA,NA,"-49.054899","-26.224838","voucher","FURB 49506",NA,NA,NA,NA
"47","2020-10-20 14:17:44-03","UFOPA","HSTM","5562","PreservedSpecimen","Plantae","Marantaceae","Calathea","communis","Calathea communis","Wand. & S. Vieira","Vieira, S.","1999","04","01","Sampaio, P.S.P.; Magenta, M.; Martins, S.E.","1998","11","26","Brasil","São Paulo","Bertioga","Trilha da captação, praia Guaratuba. Restinga.","-45.969167","-23.779167",NA,NA,"HSTM005562",NA,NA,NA,"137",NA,NA,"HSTM005562",NA,NA,"45º58'9''W","23º46'45''S",NA,NA,NA,NA,NA,NA
"48","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0014443","PreservedSpecimen","Plantae","Marantaceae","Calathea","communis","Calathea communis","Wand. & S.Vieira","S. Vieira",NA,NA,NA,"G. Hatschbach; D. Guimaraes",NA,NA,NA,"Brazil","Paraná",NA,"Rio Bananal (Mun. Guaraquecaba)","-48.317037","-25.287364",NA,"Flor alvacenta.",NA,NA,"Magnoliophyta","Zingiberales","54892",NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA
