"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"14","2020-11-04 11:13:06-03","ESALQ","ESA","71580","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S. Suárez","Saka, M.N.",NA,NA,"1970","02","08",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"ESA071580","ESA071580",NA,NA,"2013",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:13:06-03","ESALQ","ESA","88069","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula",NA,"Saka, M.N.","Barbosa, E.","41.0","1997","01","14",NA,"Brasil","Santa Catarina","Garuva",NA,"-48.8549995422363","-26.0266990661621",NA,NA,"ESA088069","ESA088069",NA,NA,NA,NA,NA,"22441","auto",NA,NA,NA,NA,NA,NA
"16","2015-07-02 14:02:47-03","JBP","HPL","5038","S","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn","S. Vieira","E.R. Salviani & H. Lorenzi","534","1999","10","27",NA,"Brasil","RJ","Rio de Janeiro","Coletada na estrada para Grumari.","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"2011","01","10","57442","auto",NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:02:47-03","JBP","HPL","6997","S","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","S. Vieira","R. Tsuji, H. Lorenzi et al.","1577","2007","01","28",NA,"Brasil","MG","Açucena","Coletado em beira de rodovia, próximo a cidade.","-42.5464","-19.0731",NA,NA,NA,NA,NA,NA,"2008","11","05","35235","auto",NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:55:33-03","JBP","HPL","12265","S","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn","D.S. Gissi","H. Lorenzi, I, Gonçalves, M. Peixoto & E.L.Jacques","6964","2010","12","15",NA,"Brasil","RJ","Cardoso Moreira","Coletado em mata higrófila, na localidade de Quimbira.","-41.593972","-21.458889",NA,NA,NA,NA,"104","104","2012","01","10",NA,NA,"41° 35' 38,3 W","21° 27' 32 S",NA,NA,NA,NA
"19","2015-07-02 14:02:47-03","JBP","HPL","5032","S","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","V.L.C.R. Uliana & S. Vieira","E.R. Salviani & H. Lorenzi","911","2000","01","12",NA,"Brasil","RJ","Rio de Janeiro","Coletado no Sítio R. Burle Marx.","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"2000","01","12","57442","auto",NA,NA,NA,NA,NA,NA
"20","2015-07-02 14:02:47-03","JBP","HPL","12157","S","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","S. Vieira","S. Vieira & A. Campos Rocha","461","2010","11","18",NA,"Brasil","SP","Nova Odessa","Coletado e cultivado no Jardim Botânico Plantarum, Bosque das Helicônias.","-47.29","-22.77",NA,NA,NA,NA,NA,NA,"2010","11","18","8440","auto",NA,NA,NA,NA,NA,NA
"21","2021-04-07 11:46:01-03","UFMS","CGMS","67667","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S. Suárez",NA,"A. Pott","13791","2005","12","10",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","Fazenda Harmonia, rio Perdido.","-57.8824996948242","-21.6989002227783",NA,"Flor esbranquiçado. Fruto não observado. Brácteas daInflorescência verde-claras e 'infladas'. Habitat: Floresta ripária. Relevo vale. Ocasional. Habito: Erva ereta","CGMS1100626",NA,NA,NA,"2020",NA,NA,"185577","auto",NA,NA,NA,NA,NA,NA
"22","2020-10-14 10:02:40-03","FURB","FURB","862","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S. Suárez","Saka, MN","Barbosa, E.; Silva, J.M.",NA,"1997","01","14",NA,"Brasil","Santa Catarina","Garuva","Fazenda do Rio do Meio.","-48.8549995422363","-26.0266990661621",NA,NA,"FURB02184","FURB02184",NA,NA,"2013","11",NA,"22441","auto",NA,NA,NA,NA,NA,NA
"23","2020-04-27 16:10:29-03","UFES","VIES","20428","S","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","Braga, J.M.A.","Oliveira, R.N.","434","1993","03","02",NA,"Brasil","Espírito Santo","Aracruz","Coqueiral.","-40.2733001708984","-19.8202991485596",NA,NA,"VIES020428","VIES020428",NA,NA,"2011","07","19","37987","auto",NA,NA,NA,NA,NA,NA
"24","2020-04-27 16:10:29-03","UFES","VIES","34080","S","Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S. Suárez","Zorzanelli, J.P.F.","Zorzanelli, R.F.; Entringer, D.L.; Silva, A.E.; Delarmelina, W.M.; Gomes, D. & Castro, K.C.","5","2013","03","09",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","RPPN Cafundó.","-41.1128005981445","-20.8488998413086",NA,NA,"VIES034080","VIES034080","100","100","2015","01","29","35694","auto",NA,NA,NA,NA,NA,NA
"25","2020-04-27 16:10:29-03","UFES","VIES","30579","S","Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S. Suárez","Zorzanelli, J.P.F.","Zorzanelli, J.P.F.; Pereira, C.","1160","2015","01","11",NA,"Brasil","Espírito Santo","Iúna","Serra do Valentim.","-41.5358009338379","-20.3458003997803",NA,NA,"VIES030579","VIES030579","1176","1176","2015","01","14","32198","auto",NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:33:48-03","MBM","MBM","108566","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Anderson, L.; et al.; et al.","1532","1986","01","06","Southern America","Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,"MBM108566","MBM108566",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:33:48-03","MBM","MBM","342496","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Caxambú, M.G.","1496","2007","04","27","Southern America","Brazil","Paraná","Campo Mourão","Parque Estadual do Lago Azul (PELA)","-52.3830986022949","-24.0456008911133",NA,"Erva ciófila ca. 0,50 m de altura. Flores brancas em inflorescências axilares. relevo suave-ondulado.","MBM342496","MBM342496","570","570","2010","06","18","28572","auto",NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:33:48-03","MBM","MBM","269354","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Silva, J.M.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","3582","2002","03","20","Southern America","Brazil","Paraná","Guaratuba","Colônia Parati","-48.5746994018555","-25.8827991485596",NA,NA,"MBM269354","MBM269354",NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:33:48-03","MBM","MBM","142962","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Cordeiro, J.; Silva, J.M.; Silva, J.M.","731","1991","01","03","Southern America","Brazil","Paraná","Morretes","Rio Bromado","-48.834400177002","-25.476900100708",NA,NA,"MBM142962","MBM142962",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:33:48-03","MBM","MBM","99270","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Hatschbach, G.; Zelma, F.J.; Zelma, F.J.","48900","1985","02","12","Southern America","Brazil","Paraná","Morretes","Rio Bromado","-48.834400177002","-25.476900100708",NA,NA,"MBM099270","MBM099270",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:33:48-03","MBM","MBM","29073","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Hatschbach, G.","33455","1973","12","06","Southern America","Brazil","Paraná","Morretes","Rio Sagrado","-48.834400177002","-25.476900100708",NA,NA,"MBM029073","MBM029073",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:33:48-03","MBM","MBM","108561","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Anderson, L.; et al.; et al.","1538","1986","01","07","Southern America","Brazil","Paraná","Antonina","3km da Rod. PR-405, Cacatu - Guaraqueçaba","-48.7118988037109","-25.4286003112793",NA,NA,"MBM108561","MBM108561",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:33:48-03","MBM","MBM","74240","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Hatschbach, G.","43648","1981","02","26","Southern America","Brazil","Paraná","Antonina","Cabeceira do Rio Faisqueira","-48.7118988037109","-25.4286003112793",NA,NA,"MBM074240","MBM074240",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:33:48-03","MBM","MBM","25915","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Hatschbach, G.","31763","1973","03","13","Southern America","Brazil","Paraná","Antonina","Caixa da Água","-48.7118988037109","-25.4286003112793",NA,NA,"MBM025915","MBM025915",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:33:48-03","MBM","MBM","29069","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Hatschbach, G.","33656","1974","01","10","Southern America","Brazil","Paraná","Antonina","Rio Pequeno","-48.7118988037109","-25.4286003112793",NA,NA,"MBM029069","MBM029069",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:33:48-03","MBM","MBM","238356","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Carneiro, J.","668","1999","04","28","Southern America","Brazil","Paraná","Curitiba","Curitiba","-49.2731018066406","-25.4277992248535",NA,"Cultivada","MBM238356","MBM238356",NA,NA,"2010","06","18","25180","auto",NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:33:48-03","MBM","MBM","276852","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Carneiro, J.","1267","2002","01","03","Southern America","Brazil","Paraná","Jundiaí do Sul","Fazenda das Acácias","-50.247501373291","-23.4367008209229",NA,"Erva, 1m, flor alvacenta. Floresta. Unicata","MBM276852","MBM276852",NA,NA,"2010","06","18","17300","auto",NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:33:48-03","MBM","MBM","29066","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Hatschbach, G.","33706","1974","01","22","Southern America","Brazil","Paraná","Morretes","Anhaia","-48.834400177002","-25.476900100708",NA,NA,"MBM029066","MBM029066",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:33:48-03","MBM","MBM","74955","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Hatschbach, G.","1648","1949","12","11","Southern America","Brazil","Paraná","Morretes","Porto de Cima","-48.834400177002","-25.476900100708",NA,NA,"MBM074955","MBM074955",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:33:48-03","MBM","MBM","38806","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Dziewa, A.","143","1975","01","04","Southern America","Brazil","Paraná","Morretes","Porto de Cima","-48.834400177002","-25.476900100708",NA,NA,"MBM038806","MBM038806",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:33:48-03","MBM","MBM","62918","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Hatschbach, G.","41952","1979","01","24","Southern America","Brazil","Paraná","Morretes","Rio Bromado","-48.834400177002","-25.476900100708",NA,NA,"MBM062918","MBM062918",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:33:48-03","MBM","MBM","17162","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Hatschbach, G.","22867","1969","11","11","Southern America","Brazil","Paraná","Paranaguá","Pico Torto, encosta oriental","-48.5092010498047","-25.5200004577637",NA,NA,"MBM017162","MBM017162",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:33:48-03","MBM","MBM","234170","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Hatschbach, G.; Barboza, E.; Ferreira, L.A.; Barboza, E.; Ferreira, L.A.","68905","1999","02","08","Southern America","Brazil","Paraná","Paranaguá","Quintilha","-48.5092010498047","-25.5200004577637",NA,NA,"MBM234170","MBM234170",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:33:48-03","MBM","MBM","10759","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Andersson, L.","Hatschbach, G.","21252","1969","03","12","Southern America","Brazil","Paraná","Paranaguá","Rio das Pombas","-48.5092010498047","-25.5200004577637",NA,NA,"MBM010759","MBM010759",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:33:48-03","MBM","MBM","293426","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Ribas, O.S.; Straube, F.C.; Urben-Filho, A.; Straube, F.C.; Urben-Filho, A.","5654","2003","12","18","Southern America","Brazil","Paraná","São Pedro do Ivaí","Fazenda Barbacena","-51.8563995361328","-23.8652992248535",NA,"Herbácea, 1m, flor lilás. Floresta Estacional Semidecidual. Unicata","MBM293426","MBM293426",NA,NA,"2010","06","18","16604","auto",NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:33:48-03","MBM","MBM","297687","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Braga, J.M.A.","Braga, J.M.A.; et al.; et al.","7417","2004","03","23","Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Botânico","-43.2075004577637","-22.9027996063232",NA,NA,"MBM297687","MBM297687",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:33:48-03","MBM","MBM","207182","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Koern.","Vieira, S.","Barboza, E.; Silva, J.M.; Silva, J.M.","41","1997","01","14","Southern America","Brazil","Santa Catarina","Garuva","Fazenda Rio do Melo","-48.8549995422363","-26.0266990661621",NA,NA,"MBM207182","MBM207182",NA,NA,NA,NA,NA,"22441","auto",NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:33:49-03","MBM","MBM","402242","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeperttia","aemula","Goeperttia aemula","(Körn.) Borchs. & S. Suárez","Ariati, V.","Ariati, V.; Bonaldi, R.A.; Bonaldi, R.A.","1193","2013",NA,NA,"Southern America","Brazil","Paraná","Paranaguá","Parque Nacional Saint-Hilaire/Lange, Salto das Andorinhas","-48.5092010498047","-25.5200004577637",NA,"Terrícola.; Floresta Ombrófila Densa Submontana.","MBM402242","MBM402242",NA,NA,"2013",NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"49","2020-12-21 16:33:49-03","MBM","MBM","429142","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S. Suárez","Saka, M.N.","Lozano, E.D.; Bonaldi, R.A.; Völtz, R.R.; Bonaldi, R.A.; Völtz, R.R.","3501","2016","12","16","Southern America","Brazil","Paraná","Paranaguá","Tinguçú, Trilha para o Espigão do Feiticeiro","-48.532278","-25.418583",NA,"Herbácea, 30 cm, flores alvas, interior da mata.; Floresta Ombrófila Densa Submontana.","MBM429142",NA,NA,NA,"2016",NA,NA,NA,NA,"-48.532278","-25.418583",NA,NA,NA,NA
"50","2020-12-21 16:33:49-03","MBM","MBM","408207","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S. Suárez","Saka, M.N.","Saka, M.N.","172","2012","11","29","Southern America","Brazil","Paraná","Guaratuba","Parque Nacional Saint-Hilaire/Lange, Trilha após o restaurante Toca da Ostra","-48.5746994018555","-25.8827991485596",NA,"Erva rosulada, base do pecíolo vináceo, folhas papiráceas, verdes discolores. Escapo amarelo-esverdeado, inflorescência esbranquiçada na base, brácteas verdes, cálice verde, pétalas brancas; estaminódios caloso, cululado e petalóide","MBM408207","MBM408207",NA,NA,"2015","11",NA,"41937","auto",NA,NA,NA,NA,NA,NA
"51","2019-11-01 15:28:25-03","PUC-RIO","FCAB","1837","PreservedSpecimen","Plantae",NA,"Angiospermae","Marantaceae","Calathea","aemula","Calathea aemula","Körn.",NA,"P. Capell S.J.","s.n.","1950","11",NA,NA,"Brasil","Rio de Janeiro",NA,"Colégio Santo Inácio",NA,NA,NA,NA,"001837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-08-15 09:04:37-03","UESC","UESC","3287","S","Plantae","Angiospermae","Florideophycidae","Marantaceae","Calathea","aemula","Calathea aemula","Koern.",NA,"L.A.Mattos Silva","3882","1998","11","20",NA,"Brasil","Bahia","Ilhéus",NA,"-39.166667","-14.8",NA,"Herbácea, aproximadamente 60cm de altura.; Ornamental.","UESC0003287",NA,"40","40",NA,NA,NA,NA,NA,"39W10'","14S48'","Monocotyledoneae",NA,NA,NA
"53","2016-01-11 11:52:19-02","MNHN","RECOLNAT_MNHN_P","P02199038","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","Saka","Glaziou, A.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02199038' target='other'> <mi>dwc_moreinfo</mi></a>","P02199038","P02199038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17275",NA
