"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","year","month","day","verbatimLongitude","occurrenceRemarks","barcode","phylum","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","verbatimLatitude","preparationType","class","order","individualCount"
"15","2020-12-21 16:31:10-03","MBM","MBM","409899","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Brotto, M.L.","2017","2537","2017","12","01","-48.419167","Árvore com 25 metros de altura; estéril. Tronco com ritidoma bege, desprendendo em placas que deixam cicatrizes mais claras, com muitas lenticelas grandes, lembrando o ritidoma de Aniba firmula.; Floresta Ombrófila Densa das Terras B","MBM409899",NA,"12","01","Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","Brazil","Paraná","Guaraqueçaba","-48.419167","-25.199722",NA,"MBM409899",NA,NA,"10","10",NA,"Southern America","-25.199722",NA,NA,NA,NA
"16","2020-12-21 16:31:10-03","MBM","MBM","409931","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Brotto, M.L.","2017","2569","2017","12","16","-48.553083","Árvore com 17 metros de altura; frutos maduros negros assentados sobre cúpulas vermelhas.; Floresta Ombrófila Densa das Terras Baixas.","MBM409931",NA,"12","18","Brotto, M.L.; Völtz, R.R.; Völtz, R.R.","Brazil","Paraná","Paranaguá","-48.553083","-25.589333",NA,"MBM409931",NA,"Parque Estadual do Palmito","23","23",NA,"Southern America","-25.589333",NA,NA,NA,NA
"17","2015-09-30 07:49:18-03","MNHN","RECOLNAT_MNHN_P","P00756983","PreservedSpecimen",NA,"Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.","Coe-Teixeira",NA,NA,"1934","7","23",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00756983' target='other'> <mi>dwc_moreinfo</mi></a>","P00756983",NA,NA,NA,"Gehrt, A.","Brésil",NA,NA,NA,NA,NA,"P00756983_01",NA,"Estado de Sao Paulo: Sao Paulo (Capital), Pinheiros",NA,NA,"isotype",NA,NA,"hb",NA,NA,NA
"18","2021-02-11 17:19:20-03","UFPR","UPCB","65849","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Brotto, M.L.","2018","381","2009","03","19","-48.555833","Árvore de 5 m de alt., estéril. Floresta Ombrófila Densa das Terras Baixas..",NA,NA,"02","05","Brotto, M.L.","Brasil","Paraná","Paranaguá","-48.555833","-25.590278",NA,NA,NA,"Floresta Estadual do Palmito.","17","17",NA,NA,"-25.590278",NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","2458815","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.",NA,NA,"GEHRT s.n.","1934","7","23",NA,NA,NA,NA,NA,NA,"GEHRT","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"São Paulo, Pinheiros",NA,NA,NA,"South America",NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2678603","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.",NA,NA,"Herb. Sao Paulo 33526","1934","7","23",NA,NA,"US00051064",NA,NA,NA,"A. Gehrt","Brazil","São Paulo",NA,NA,NA,NA,"US00051064_01",NA,"Sao Paulo, Pinheiros.",NA,NA,"Isotype","South America - Neotropics",NA,NA,"Dicotyledonae","Laurales","1"
"21","2019-12-09 17:30:08-03","UFPR","EFC","16267","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Brotto, M.L.","2017","2569","2017","12","16","-48.5531","Árvore com 17 metros de altura; frutos maduros negros assentados sobre cúpulas vermelhas.Floresta Ombrófila Densa das Terras Baixas","EFC016267",NA,"12","18","Brotto, M.L.","Brasil","Paraná","Paranaguá","-48.5531","-25.5894",NA,NA,NA,"Parque Estadual do Palmito","23","23",NA,NA,"-25.5894",NA,NA,NA,NA
"22","2019-12-09 17:30:08-03","UFPR","EFC","18299","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Souza, I.; Brotto, M.L.","2019","474","2019","04","13","-48.574833","Árvore 10 m, DAP 11 cm, indivíduo estéril. Ritidoma aspero, acinzentado. Casca viva beje com pontuações marrons, oxidação rápida de cor marrom-alaranjada, odor agradável. Espodossolo, lençol próximo da superfície.","EFC018299",NA,"04","25","Souza, I.; Batista, R. L. M.","Brasil","Paraná","Paranaguá","-48.574833","-25.568361",NA,NA,NA,"Parque Agari","16","16",NA,NA,"-25.568361",NA,NA,NA,NA
"23","2019-11-13 11:21:13-03","USP","SPF","13109","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Baitello, JB","1997","695","1941","08",NA,NA,NA,"SPF00013109",NA,"03","10","Hoehne, W","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,"auto","Cidade Jardim.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-13 11:21:13-03","USP","SPF","115383","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Baitello, JB","1997","678","1985","08","23",NA,NA,"SPF00115383",NA,"09","02","Coelho, JCR","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,"auto","Parque Morumbi.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-13 11:21:13-03","USP","SPF","13111","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Baitello, JB","1997","s.n.","1934","07","23",NA,NA,"SPF00013111",NA,"12","10","Gehrt, A","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,"auto","Pinheiros.",NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"26","2019-10-07 09:23:02-03","UEFS","HUEFS","163910","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.",NA,NA,"91","1985","11","25",NA,"Mata de Tabuleiro.","HUEFS0163910","Angiospermae",NA,NA,"Farias, G.L.","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","HUEFS0163910","auto","Reserva natural vale.",NA,NA,NA,NA,NA,NA,"Magnolianae","Laurales",NA
"27","2019-10-07 09:23:00-03","UEFS","HUEFS","163338","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.",NA,NA,"375","2007","12","14",NA,NA,"HUEFS0163338","Angiospermae",NA,NA,"Siqueira, G.S.","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","HUEFS0163338","auto","Reserva Natural Vale. Estrada Municipal do MME",NA,NA,NA,NA,NA,NA,"Magnolianae","Laurales",NA
"28","2019-11-22 16:08:21-03","UEFS","HUEFS","165133","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.",NA,NA,"5860","2008","02","10",NA,"Mata de Tabuleiro","HUEFS0165133","Angiospermae",NA,NA,NA,"Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","HUEFS0165133","auto","Reserva Natural Vale. Estrada Municipal do MME",NA,NA,NA,NA,NA,NA,"Magnolianae","Laurales",NA
"29","2019-11-22 16:08:21-03","UEFS","HUEFS","165134","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.",NA,NA,"491","1984","01","20",NA,"Mata de Tabuleiro","HUEFS0165134","Angiospermae",NA,NA,NA,"Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","HUEFS0165134","auto","Reserva Natural Vale. Estrada Parajú",NA,NA,NA,NA,NA,NA,"Magnolianae","Laurales",NA
"30","2015-03-07 08:33:46-03","F","FMNH-SEEDPLANTS","V0158538F","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"V0158538F","Spermatophyta",NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,"V0158538F_01",NA,NA,NA,NA,NA,"South America",NA,NA,"Dicotyledoneae",NA,NA
"31","2015-03-07 08:33:46-03","F","FMNH-SEEDPLANTS","V0158539F","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"V0158539F","Spermatophyta",NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,"V0158539F_01",NA,NA,NA,NA,NA,"South America",NA,NA,"Dicotyledoneae",NA,NA
"32","2019-01-25 15:41:52-02","IAC","IAC","56797","S","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","M.L. Brotto","2017","2569","2017","12","16","-48.5530556","Coordenadas do material: 25º35#?#22S, 48º33#?#11W",NA,NA,"12","18","M.L. Brotto & R.R. Völtz","Brasil","Paraná","Paranaguá","-48.5530556","-25.5894444",NA,NA,NA,"Parque Estadual do Palmito",NA,NA,NA,NA,"-25.5894444",NA,NA,NA,NA
"33","2021-03-04 15:44:14-03","IF","SPSF","35370","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii",NA,"J.B.Baitello","2007","1787","2005","09","30",NA,"COLETA: XLS: SPSFNovo; Árvore frondosa; GEOGRAFIA: estrada interna&nf;;",NA,"Magnoliophyta","09","05","J.B.Baitello & N.M.Ivanauskas & G.A.D.C.Francfo","Brasil","SP","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904",NA,"auto","P.E.Carlos Botelho",NA,NA,NA,"América do Sul",NA,NA,"Magnoliopsida","Laurales",NA
"34","2021-03-04 15:44:14-03","IF","SPSF","45730","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","J.B.Baitello","2012","1560","1995","06","29",NA,"COLETA: Floresta Estacional Semidecidual&nf;Árvore 15m altura; flores brancas.;",NA,"Magnoliophyta","06","30","F.G.Arbocz","Brasil","SP","Santo Antonio da Posse",NA,NA,NA,NA,NA,"fazenda Palmital",NA,NA,NA,"América do Sul",NA,NA,"Magnoliopsida","Laurales",NA
"35","2021-03-04 15:44:14-03","IF","SPSF","22912","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","J.B.Baitello","1998","571","1994","10","07",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore 15m altura; flores cor amarelo-alaranjada.;",NA,"Magnoliophyta","08","15","S.Aragaki & J.A.Correa","Brasil","SP","São Paulo","-46.7","-23.583333",NA,NA,NA,"parque municipal Alfredo Volpi",NA,NA,NA,"América do Sul",NA,NA,"Magnoliopsida","Laurales",NA
"36","2021-03-04 15:44:14-03","IF","SPSF","46831","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","J.B.Baitello","2012","915f","1995","12","30",NA,"COLETA: Árvore de 10m. Material vegetativo. Indivíduo 97 D do levantamento fitossociólogico.;",NA,"Magnoliophyta","12","20","N.M.Ivanauskas","Brasil","SP","Pariquera Açu","-47.876944","-24.675833",NA,NA,NA,"Propriedade de Antonio Povinski",NA,NA,NA,"América do Sul",NA,NA,"Magnoliopsida","Laurales",NA
"37","2021-03-04 15:44:14-03","IF","SPSF","13173","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","J.B.Baitello","2014","28","1988","08","16",NA,"COLETA: Árvore da terra firme, solo argiloso, mata primária, casca grossa c/ 1,5cm de espessura, estriada, fruto vermelho (maduro), uma semente, bipartido valvular.; GEOGRAFIA: Ramal Mutum - hm 06 - margem esquerda;",NA,"Magnoliophyta","06","02","J.M.Alves de Souza","Brasil","AC","Rio Branco","-67.8099975585938","-9.9747200012207","178770",NA,"auto","P.A.D.Humaitá",NA,NA,NA,"América do Sul",NA,NA,"Magnoliopsida","Laurales",NA
"38","2021-03-04 15:44:14-03","IF","SPSF","40980","PreservedSpecimen","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","J.B.Baitello","2008","2118","2007","09","05",NA,"COLETA: Árvore 20m, copa pouco globosa, flores esverdeadas.;",NA,"Magnoliophyta","12","08","R.Tsuji","Brasil","SP","Cesário Lange","-47.9500007629395","-23.2199993133545","15381",NA,"auto","proximidades do Município",NA,NA,NA,"América do Sul",NA,NA,"Magnoliopsida","Laurales",NA
"39","2020-08-26 10:49:22-03","MCN-FZBRS","HAS","87615","PreservedSpecimen","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.",NA,NA,"s.n.","1934","07",NA,NA,"Árvore grande, flores alvacentas. SP33526","HAS0087615","Magnoliophyta",NA,NA,"Gehrt, A.","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,"auto","Pinheiros",NA,NA,"Isotypus",NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:07:28-03","IBt","SP","22595","S","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.","Coe Teixeira, B","1962","s.n.","1928","08","05",NA,"Árvore grande com flores alvas","SP000839",NA,"08","16","Gehrt, A","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","SP000839","auto","Butantã",NA,NA,"Paratype",NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:07:28-03","IBt","SP","33526","S","Plantae","Lauraceae","Ocotea","conferta","Ocotea conferta","Coe-Teix.","Coe Teixeira, B",NA,"s.n.","1934","07","23",NA,"Árvore grande, flores alvascentas","SP000838",NA,NA,NA,"Gehrt, A","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","SP000838","auto","Pinheiros",NA,NA,"Holotype",NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:07:32-03","IBt","SP","81317","S","Plantae","Lauraceae","Ocotea","mosenii","Ocotea mosenii","Mez","Baitello, JB","1999","695","1941","08",NA,NA,NA,"SP055219",NA,"08","05","Hoehne, W","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","SP055219","auto","Cidade Jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA
