"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","00987960","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","S. R. Lowrie","468","1980","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987960","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Acre",NA,"65 Km from Rio Branco on Rio Branco-Brasiléia road",NA,NA,NA,NA,"NY00987960_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00987883","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","M. B. Silva","2441","1969","08","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1311143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987883","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Pará","Santarém","Km 35 da estrada do Palhão, arredores do Acampamento do Igarapé Curupira.","-54.7083","-2.44306",NA,NA,"NY00987883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00987964","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","S. R. Lowrie","277","1980","09","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987964","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Acre",NA,"8 Km from Rio Branco on Rio Branco-porto Velho road","-67.8138185","-10.0188861",NA,NA,"NY00987964_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00987934","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","P. B. Cavalcante","2930",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987934","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Pará",NA,NA,NA,NA,NA,NA,"NY00987934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3677812","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","A. L. Monteagudo Mendoza","10924","2005","10","20","South America","Peru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3914461' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677812","Magnoliophyta","Myrtales","(Sm.) Triana","F. A. Michelangeli","Pasco","Oxapampa","Dist. Palcazú. Comunidad Nativa Lomalinda-Laguna. Sector Nueva Aldea.","-75.08305","-10.38","420","430","NY03677812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02137311","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","J. Revilla Cardenas","2695","1977",NA,NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2283222' target='other'> <mi>dwc_moreinfo</mi></a>","NY02137311","Magnoliophyta","Myrtales","(Sm.) Triana","F. Almeda; F. A. Michelangeli","Loreto","Maynas","Vicinity of Iquitos.","-73.24722","-3.74805",NA,NA,"NY02137311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00987890","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","W. A. Egler","46701",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987890","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Amapá",NA,NA,NA,NA,NA,NA,"NY00987890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","521904","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","J. S. Miller","1704","1984","07","04","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521904","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Amazonas","Mun. Río Negro","Neblina Base Camp on Rio Mawarinuma","-66.25","0.83","140","140","NY00521904_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02675906","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","K. Ruokolainen","5643","1992","10","08","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2940671' target='other'> <mi>dwc_moreinfo</mi></a>","NY02675906","Magnoliophyta","Myrtales","(Sm.) Triana","K. Ruokolainen","Loreto","Maynas","Rio sucusari, an afluent of Napo, station of Explorama tourist enterprise","-72.87","-3.17","100","200","NY02675906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00925169","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","J. A. Ratter","R.43","1967","07","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925169","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Mato Grosso","Nova Xavantina","2 km. North of Xavantina.","-52.33","-14.73",NA,NA,"NY00925169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00987903","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","T. C. Plowman","12142","1982","12","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987903","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Amazonas","Maraã","Rio Japurá. Sítio Cuiú-cuiú","-65.05","-2.466667",NA,NA,"NY00987903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00987942","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","G. T. Prance","P26540","1980","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987942","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Pará",NA,"Genipapo trail. Basin of Rio Xingu, Gleba Bacaja, lote 88, just below mouth of Rio Bacaja.","-51.7328","-3.535",NA,NA,"NY00987942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00987950","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","P. B. Cavalcante","642","1959","02","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987950","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Amazonas",NA,"Rio Negro, Ilha da Flores","-67.3019055","0.076046",NA,NA,"NY00987950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00925159","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","E. P. Heringer","17332","1978","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925159","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Goiás","Luziânia","Margem da Rodovia BR","-47.9503","-16.2528",NA,NA,"NY00925159_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1653506","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","N. Marshall","240","1987","08","30","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653506","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Saint-Laurent-du-Maroni","Saül","In vicinity of village and airport.","-53.2","3.62","200","250","NY01653506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00987947","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","H. T. Beck","292","1987","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987947","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Pará",NA,"Cuantã do Anajás. Rio Anajás, between Anajás Vista Alegre. Terra firme forest.","-49.8258036","-0.9555302",NA,NA,"NY00987947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","3677840","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","R. D. Rojas Gonzales","1363","2003","09","02","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3945722' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677840","Magnoliophyta","Myrtales","(Sm.) Triana","F. A. Michelangeli","Pasco","Oxapampa","Distrito Palcazu. Sector Iscozacin. Remante de bosque, borde de carretera","-75.15","-10.18333","290","290","NY03677840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00987937","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","G. T. Prance","7316","1968","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987937","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Acre","Tarauacá","Road Tarauacá to Feijó, Km 18","-70.7656","-8.1617",NA,NA,"NY00987937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-27 14:07:00-03","NY","NYBG","01855454","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","P. Acevedo-Rodríguez","10005","1997","09","28","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2083114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01855454","Magnoliophyta","Myrtales",NA,"R. Goldenberg","Cusco",NA,"Distrito Camisea; Campamento Segakiato, 5 km down river from Comunity Segakiato. Vicinity of SI-MAB plots.","-72.8839","-11.81","400",NA,"NY01855454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1580443","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","P. Pedraza-Peñalosa","2400","2011","07","26","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1646360' target='other'> <mi>dwc_moreinfo</mi></a>","NY01580443","Magnoliophyta","Myrtales","(Sm.) Triana","F. A. Michelangeli","Antioquia","Frontino","Parque Nacional Natural Las Orquídeas; sector Venados, vereda Venados Abajo. Sitio Arenales","-76.31075","6.54033","950","1000","NY01580443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00987970","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","B. V. Rabelo","3674","1987","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987970","Magnoliophyta","Myrtales","(Sm.) Triana","J. F. Ramos","Pará",NA,"Ilha do Marajó, Rio Anajás","-49.8","-0.98",NA,NA,"NY00987970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00925163","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","J. H. Kirkbride Jr.","4347","1981","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925163","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Distrito Federal","Brasília","Córrego Palmeira.","-47.65","-16.03","880","880","NY00925163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00924934","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","J. A. Ratter","R.3591","1976","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924934","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Distrito Federal","Brasília","Fazenda Água Limpa (University of Brasília Field Station), near Vargem Bonita, c. 18 km SSW of Brasília TV Tower.","-47.9294","-15.7797",NA,NA,"NY00924934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00987940","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","C. A. Cid Ferreira","1091","1980","06","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987940","Magnoliophyta","Myrtales","(Sm.) Triana","S. S. Renner; J. J. Wurdack","Pará","Oriximiná","A 200m da margem esquerda da estrada da cachoeira Porteira paralela ao rio Trombetas km 23","-56.9363505","-0.9314151",NA,NA,"NY00987940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1653505","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","W. J. Hahn","5646","1989","03","13","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1456766' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653505","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Potaro-Siparuni",NA,"Approximately 1-3 km SW of Paramakatoi","-59.8","4.7","650","650","NY01653505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00987921","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","C. A. Cid Ferreira","80","1979","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987921","Magnoliophyta","Myrtales","(Sm.) Triana","S. S. Renner; J. J. Wurdack","Amazonas",NA,"Estrada Manaus-Caracaraí (BR 174) base do canteiro de obra da Hidroelétrica de Balbina, ramal à esquerda","-59.4734144","-1.9155557",NA,NA,"NY00987921_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00987975","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","G. T. Prance","10220","1969","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987975","Magnoliophyta","Myrtales","(Sm.) Triana","J. J. Wurdack","Amazonas",NA,"Basin of Rio Demeni, vicinity of Tototobí","-63.5471213","1.576736",NA,NA,"NY00987975_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00987988","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","R. S. Cowan","38511",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987988","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Amapá",NA,NA,NA,NA,NA,NA,"NY00987988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","684560","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","W. W. Thomas","13154","2002","11","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=67646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684560","Magnoliophyta","Myrtales","(Sm.) Triana","F. A. Michelangeli","Alagoas","Flexeiras","Serra das Aguas Belas. 18.5 km N of jct. BR 101 and road to Maceió, then 2 - 3 km W on cobblestone road","-35.78158","-9.242217","400","400","NY00684560_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1075388","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","P. Fiaschi","3286","2008","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233617' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075388","Magnoliophyta","Myrtales","(Sm.) Triana","F. A. Michelangeli","Acre","Mâncio Lima","PARNA Serra do Divisor. Trilha para a Cachoeira Formosa.","-73.65761","-7.4465","225","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00987992","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","J. J. Pipoly","6632","1984","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987992","Magnoliophyta","Myrtales","(Sm.) Triana","R. Goldenberg","Amazonas",NA,"0-3 Km N of 211 of Perimetral N Hwy; Pico Rondon.","-62.8","1.53",NA,NA,"NY00987992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00925166","PreservedSpecimen","Plantae","Melastomataceae","Miconia","nervosa","Miconia nervosa","R. M. Harley","10561","1968","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925166","Magnoliophyta","Myrtales","(Sm.) Triana",NA,"Mato Grosso",NA,"By Expedition Base Camp.","-51.77","-12.82",NA,NA,"NY00925166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
