"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","sex"
"11","2020-11-04 11:14:56-03","ESALQ","ESA","118671","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Baitello, J.B.",NA,"1981","11","01",NA,"Brasil","São Paulo","Cananeia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA118671",NA,NA,NA,"2016","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:14:56-03","ESALQ","ESA","22375","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Ferreira, V.F.; Sanches, C.D.; Bastos, E.B.; Gorenstein, M.R.; Hoffmann, J.R.",NA,"1994","09","06",NA,"Brasil","São Paulo","Cananéia","Estrada Cananéia - Pariquera-açú (via ponte) , ca. 19 Km de cananéia. Extensa área de transição mata de restinga - mata atlântica. 24°54'02,9S, 47°50'30,3W.","-47.9199981689453","-25.0100002288818",NA,"Árvore, ca. 8 m alt., botões verde-creme.","ESA022375",NA,NA,NA,"2016","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:14:56-03","ESALQ","ESA","87915","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Lucas, E.J. et al.","192.0","2003","11","08",NA,"Brasil","Paraná","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,"ESA087915",NA,NA,NA,"2016","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:14:56-03","ESALQ","ESA","98191","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Cordeiro, J.","2353.0","2006","08","31",NA,"Brasil","Paraná","Pontal do Paraná",NA,"-48.511100769043","-25.6735992431641",NA,NA,"ESA098191","ESA098191",NA,NA,"2016","19508","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:14:56-03","ESALQ","ESA","4737","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Jaramillo, C.B.J. ; Bagalhi, E.","3.0","1985","11","08",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,"ESA004737","ESA004737",NA,NA,"2016","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:14:56-03","ESALQ","ESA","82500","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lima, D.F.","Mazine, F.F.; Sampaio, D.; Forster, W.; Salmazo, P.B. ; Ribeiro Jr., E.","758.0","2002","12","08",NA,"Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso. Mata de Restinga.","-47.9199981689453","-25.0100002288818",NA,"Árvore ca. 7m. Frutos negros e avermelhados.","ESA082500","ESA082500",NA,NA,"2016","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-24 17:09:34-03","UFES","SAMES","4058","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Souza,M.C.;Giaretta,A.","Broggio,I.S.; Giaretta,A.O.;Ribeiro,M.","185","2011","01","25",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Floresta alta de tabuleiro, mata da água limpa.","-40.2132987976074","-18.3703002929688",NA,"Árvore de 8m, com frutos avermelhados a vinosos quando maduros e verdes quando jovens.","SAMES04058",NA,NA,NA,"2011","28525","auto","01","09","-401625000.0","-183661111.0",NA,NA,NA,NA,NA
"18","2021-03-01 16:36:40-03","UNICAMP","UEC","132882","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Sobral, M","Urbanetz, C; Lindenberg, MF; Lelo; Domingos","112","2003","08","21",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga","-24.883333","-47.916667",NA,"Árvore 20m, frutos verdes.","UEC103455","UEC103455",NA,NA,NA,NA,NA,NA,NA,"-24.883333","-47.916667","100","100",NA,NA,NA
"19","2021-03-01 16:36:40-03","UNICAMP","UEC","132856","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto",NA,"Urbanetz, C; Mariuza; Domingos; Lelo","36","2003","07","01",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga","-47.916667","-24.883333",NA,"Arbusto de 1.80, frutos verde-claro.","UEC103454","UEC103454",NA,NA,NA,NA,NA,NA,NA,"-47.916667","-24.883333","100","100",NA,NA,NA
"20","2021-03-01 16:36:40-03","UNICAMP","UEC","132882","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Sobral, M","Urbanetz, C; Lindenberg, MF; Lelo; Domingos","112","2003","08","21",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga","-24.883333","-47.916667",NA,"Árvore 20m, frutos verdes.","UEC103455","UEC103455",NA,NA,NA,NA,NA,NA,NA,"-24.883333","-47.916667","100","100",NA,NA,NA
"21","2021-03-01 16:36:40-03","UNICAMP","UEC","133718","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto",NA,"Urbanetz, C; Mariuza; Domingos; Lelo","36","2003","07","01",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga","-47.916667","-24.883333",NA,"Arbusto de 1.80, frutos verde-claro.","UEC103456","UEC103456",NA,NA,NA,NA,NA,NA,NA,"-47.916667","-24.883333","100","100",NA,NA,NA
"22","2021-03-01 16:36:40-03","UNICAMP","UEC","21252","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima, DF","Hatschbach, G","35484","1974","11","19",NA,"Brazil","Paraná","Guaraqueçaba","Carpoteca","-48.3288993835449","-25.3066997528076",NA,"Arbusto 4m, frutos maduros pretos.; Restinga","UEC065243","UEC065243",NA,NA,"2016","37295","auto","06",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:36:40-03","UNICAMP","UEC","75694","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima, DF","Silva, SM; et al.","UPCB24270","1992","10","17",NA,"Brazil","Paraná","Paranaguá","Estação Ecológica. Ilha do Mel","-48.5092010498047","-25.5200004577637",NA,"Árvore de 8 m, flores brancas, ferrugíneas.; Local úmido de Floresta de Restinga","UEC065240","UEC065240",NA,NA,"2016","24916","auto","06",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:36:40-03","UNICAMP","UEC","87813","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima, DF","Britez, RM","24820","1987","09","26",NA,"Brazil","Paraná","Paranaguá","Morro Bento Alves","-48.5092010498047","-25.5200004577637",NA,"Árvore de 8 m, flores brancas; Na base do morro em local úmido.","UEC065242","UEC065242",NA,NA,"2016","24916","auto","06",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:36:40-03","UNICAMP","UEC","90474","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima, DF","Silva, SM; et al.","UPCB24922","1988","07","22",NA,"Brazil","Paraná","Paranaguá","Reserva Ecológica","-48.5092010498047","-25.5200004577637",NA,"Árvore de7,5m, cap= 21 cm, com botões ferruginosos e flores brancas; Floresta paludosa. Planície Litorânea.","UEC065239","UEC065239",NA,NA,"2016","24916","auto","06",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:36:40-03","UNICAMP","UEC","12077","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima, DF","Hatschbach, G; Kaspar, A","41578","1978","10","05",NA,"Brazil","Paraná","Paranaguá","Rio da Vila. Xiloteca","-48.5092010498047","-25.5200004577637",NA,"Arbusto de 3m, flor alva.; Mata Pluvial. Planície Litorânea.","UEC065241","UEC065241",NA,NA,"2016","24916","auto","06",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:36:40-03","UNICAMP","UEC","133487","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Sobral, M","Urbanetz, C","367","2004","03","17",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga. Trilha Kaá-pozanga.","-47.9199981689453","-25.0100002288818",NA,"Arvoreta de 4m.","UEC103457","UEC103457",NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:36:40-03","UNICAMP","UEC","11995","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Lima, DF","Yano, O","820","1977","08","30",NA,"Brazil","São Paulo","Cananéia","Ilha do Cardoso, Perto da Cachoeira, +/- 3 km da base da Ilha do Cardoso.","-47.9199981689453","-25.0100002288818",NA,"Árvore com flores brancas; Na Mata.","UEC065237","UEC065237",NA,NA,"2016","37574","auto","06",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-19 14:08:32-03","UFRPE","PEUFR","41230","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","cf. isaiana","Myrcia cf. isaiana","G.M. Barroso & Peixoto",NA,"M. Correia","214","1995","05","30",NA,"Brasil","Pernambuco","Pesqueira",NA,"-36.696111","-8.357778",NA,"Árvore com cerca de 8m; frutos imaturos verdes; coodenadas geográficas do município.","PEUFR041230",NA,NA,NA,NA,NA,NA,NA,NA,"36º41'46W","08º21'28S",NA,NA,NA,NA,NA
"30","2019-11-19 14:08:33-03","UFRPE","PEUFR","54537","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","G.M. Barroso","G.L. Farias","349","1989","12","14",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale; 50m após o córrego; estrada Aceiro com LASA","-40.072222","-19.391111",NA,"Porte arbóreo; terrestre; altura total 14m; diâmetro da copa 3m; fuste cilíndrico com altura de 9m; cap do fuste 76,97cm; superfície da casca áspera; descamação em ripas; exudação seiva rosa; fruto maduro rosa.","PEUFR054537",NA,NA,NA,"1990",NA,NA,"02","24","40º04'20W","19º23'28S",NA,NA,"Isotype",NA,NA
"31","2019-11-19 14:08:33-03","UFRPE","PEUFR","54538","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso","G.M. Barroso","I.A. Silva","21","1978","09","15",NA,"Brasil","Esspírito Santo","Linhares","Reserva Natural Vale; Mata de Tabuleiro; Orelha de Onça.","-40.072222","-19.391111",NA,"Porte Arbóreo; Terrestre; altura total 14m; diâmetro da copa 4m; fuste cilíndrico; altura do fuste 9m; cap fuste 97,39cm; descamação em ripas; superficie da casca áspera; exudação seiva incolor; botão verde claro; flor verde claro.","PEUFR054538",NA,NA,NA,"1990",NA,NA,"02","21","40º04'20W","19º23'28S","370","370","Holotype",NA,NA
"32","2021-03-26 10:43:29-03","UDESC","LUSC","7181","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","SOBRAL, M.","J.B.Baitello",NA,"1981","11","11",NA,"Brasil","São Paulo","Cananéia","Parque estadual da Ilha do Cardoso, mata de restinga, beira do caminho.","-47.9199981689453","-25.0100002288818",NA,NA,"LUSC008668","LUSC008668",NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-10-14 10:03:32-03","FURB","FURB","9774","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","Sobral, M","Cervi, A.C.; Silva, J.M. & Campos, A.R.","9054","2007","10","02",NA,"Brasil","Paraná","Paranaguá","Floresta Estadual do Palmito.","-48.5092010498047","-25.5200004577637",NA,NA,"FURB02540","FURB02540",NA,NA,"2009","24916","auto","07","17",NA,NA,NA,NA,NA,NA,NA
"34","2021-01-18 18:18:06-03","UFES","VIES","47098","S","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","L.L. Santos","Scheidegger, A.F.A.; Nichio-Amaral, R.; Dutra, S.C.; Oliveira, R.M.; Nepomuceno, A.","113","2019","10","17",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha da Sede Abandonada. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,"VIES047098","VIES047098",NA,NA,"2020","41644","auto","11","03",NA,NA,NA,NA,NA,NA,NA
"35","2019-11-26 13:10:39-03","UTFPR","HCF","29763","S","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","R.R. Völtz","R.R. Völtz","1787","2018","09","27",NA,"Brasil","PR","Guaratuba","Balneário Brejatuba","-48","-25",NA,"arvoreta, 5 m alt. Botões florais e flores alvacentas. No subosque.",NA,NA,NA,NA,"2018",NA,NA,"10","02","48°00'00 W","25°00'00 S","15","15",NA,NA,NA
"36","2019-11-19 17:39:12-03","UTFPR","HCF","29753","S","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","F. Marinero","A.C. Cervi","8742","2004","11","04",NA,"Brasil","PR","Guaratuba","Barra do Saí","-48.5746994018555","-25.8827991485596",NA,"arvoreta com flores alvas e frutos jovens.",NA,NA,NA,NA,"2016","41937","auto","07",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-08-16 08:40:15-03","UTFPR","HCF","6861","S","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","D.F. Lima","M.G. Caxambu","2217","2008","05","22",NA,"Brasil","SC","Bombinhas","Praia de Mariscal","-48.5169982910156","-27.1380004882812",NA,"arvoreta ca. 5 m de altura. Frutos iamturos verdes.",NA,NA,NA,NA,"2011","11943","auto","08","25",NA,NA,NA,NA,NA,NA,NA
"38","2020-06-29 09:31:34-03","UFRRJ","RBR","37723","S","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","A.L. Peixoto","I.A. Silva","21","1978","09","15",NA,"Brasil","Espírito Santo","Linhares","Estrada orelha-de-onça, antiga 143-A6, Km 0,37, lado direito.","-40.0722007751465","-19.3910999298096",NA,NA,"RBR00037723","RBR00037723 RBR00037723_1",NA,NA,"1990","48094","auto","08",NA,NA,NA,NA,NA,"Isotipo",NA,NA
"39","2020-06-29 09:31:34-03","UFRRJ","RBR","43623","S","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","M.C. Souza","N.E. Oliveira","293","2014","09","09",NA,"Brasil","Bahia","Santa Inês",NA,"-39.780278","-13.319722",NA,NA,"RBR00043623","RBR00043623",NA,NA,"2017",NA,NA,"03","29","39º46'49''W","13º19'11''S",NA,NA,NA,NA,NA
"40","2020-06-29 09:31:34-03","UFRRJ","RBR","44176","S","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","M.C. Souza","N.E. Oliveira","708","2014","12","02",NA,"Brasil","Bahia","Santa Cruz Cabrália","Conglomerado BA_1379-2-7-22","-39.060278","-16.199444",NA,NA,"RBR00044176","RBR00044176",NA,NA,"2017",NA,NA,"03","29","39º3'37''W","16º11'58''S",NA,NA,NA,NA,NA
"41","2020-06-18 10:58:10-03","UFRRJ","RBR","36759","S","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M.Barroso & Peixoto","M.C. Souza","I.A. Silva","150","1980","02","25",NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da CRVD, Estrada x-2, km 0,495 lado esquerdo.","-40.0722007751465","-19.3910999298096",NA,NA,"RBR00036759","RBR00036759",NA,NA,"2019","48094","auto","05","27",NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:37:16-03","MBM","MBM","415193","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Völtz, R.R.","Völtz, R.R.; Vieira, R.S.; Vieira, R.S.","1787","2018","09","27","Southern America","Brazil","Paraná","Guaratuba","Balneário Brejatuba","-48","-25",NA,"Arvoreta 5 m alt.; botões florais e flores alvacentas; sub-bosque de Floresta Ombrófila Densa das Terras Baixas.; Floresta Ombrófila Densa das Terras Baixas.","MBM415193","MBM415193",NA,NA,"2018",NA,NA,"10","02","-48","-25","15","15",NA,NA,NA
"43","2020-12-21 16:37:14-03","MBM","MBM","409115","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Brotto, M.L.","Barboza, E.; Silva, J.M.; Brotto, M.L.; Silva, J.M.; Brotto, M.L.","4576","2017","04","19","Southern America","Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas, trilha das cachoeiras","-48.666389","-24.848611",NA,"Arvoreta com 5 m de altura; frutos vermelhos.; Floresta Ombrófila Densa Montana.","MBM409115","MBM409115",NA,NA,"2017",NA,NA,"05","25","-48.666389","-24.848611","800","800",NA,NA,NA
"44","2020-12-21 16:37:14-03","MBM","MBM","320235","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Marinero, F.","Ziller, R.S.; Curcio, G.; Curcio, G.","643","1994","10","02","Southern America","Brazil","Paraná","Guaraqueçaba","Próximo ao aeroporto","-48.3288993835449","-25.3066997528076",NA,"Formações Pioneiras de Influência Marinha. Restinga.","MBM320235","MBM320235",NA,NA,"2016","37295","auto","07",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:37:14-03","MBM","MBM","410153","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Sobral, M.","Scarponi, T.M.; Nascimento, L.S.; Ammon, R.A.; Hottz, D.; Nascimento, L.S.; Ammon, R.A.; Hottz, D.","s.n.","2014","07","09","Southern America","Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano. Conglomerado 193-2-2-8R. UTM do Ponto Central: E (196157m) N (7578656m). Fuso do GPS (24K).","-42.0080986022949","-21.9552993774414",NA,"Arbusto com 3,0 m de altura. Base reta.; Floresta Ombrófila Densa Montana, ao longo do Rio Macapá.","MBM410153","MBM410153",NA,NA,"2017","30526","auto","06","23",NA,NA,"860","860",NA,NA,NA
"46","2020-12-21 16:37:14-03","MBM","MBM","126241","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lannoy, L.C.","Silva, J.M.","545","1988","12","04","Southern America","Brazil","Paraná","Guaratuba","Brejatuba","-48.5746994018555","-25.8827991485596",NA,"Arbusto 2 m, frutos rufescentes.; Mata pluvial da planície litorânea.","MBM126241","MBM126241",NA,NA,"2018","41937","auto","12",NA,NA,NA,"2","5",NA,NA,NA
"47","2020-12-21 16:37:16-03","MBM","MBM","49497","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Lannoy, L.C.","Hatschbach, G.","12755","1965","09","12","Southern America","Brazil","Paraná","Pontal do Paraná","Pontal do Sul","-48.511100769043","-25.6735992431641",NA,"Arvoreta, flor alva.; Mata pluvial da planície litorânea.","MBM049497","MBM049497",NA,NA,"2018","19508","auto","12",NA,NA,NA,"3","5",NA,NA,NA
"48","2020-12-21 16:37:14-03","MBM","MBM","320236","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","isaiana","Myrcia isaiana","G.M. Barroso & Peixoto","Silva, J.M.","Silva, J.M.","5023","2006","09","07","Southern America","Brazil","Paraná","Guaratuba","Balneário Nereidas","-48.5746994018555","-25.8827991485596",NA,"Árvore, 5m, flor alva.; Restinga.","MBM320236","MBM320236",NA,NA,"2006","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
