"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","day","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","typeStatus","relatedCatalogItem","previousCatalogNumber"
"11","2020-02-08 09:56:26-03","NBC","NL-BOTANY","U.1475907","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.",NA,NA,NA,"Brantjes NBM","1978","03","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475907 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"23","Southern America","Botucatu, SP. Brasil, Rubião Junior.",NA,NA,NA,"NL-U1475907","NL-U1475907",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"12","2020-11-04 12:17:55-03","ESALQ","ESA","37268","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mastres","Leoni, L.S.",NA,NA,"Souza, J.P.; Souza, V.C.; Leoni, L.S.; Elias, S.I.","1998","02","Brasil","Minas Gerais","Alto Caparaó","-41.8",NA,NA,NA,"Trepadeira, flores alvo-esverdeadas, frutos imaturos verdes",NA,"2100.0","12",NA,"Parque Nacional do Caparaó. Trilha para o Pico da Bandeira. Campo de altitude.","1790","1790",NA,"ESA037268",NA,"-41.8","-20,416,667",NA,NA,NA,NA,NA,NA
"13","2020-11-04 12:17:55-03","ESALQ","ESA","73154","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii",NA,NA,NA,NA,"Hoehne, F.C.","1917","06","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,NA,"auto",NA,"21",NA,NA,NA,NA,NA,"ESA073154","ESA073154",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 12:17:55-03","ESALQ","ESA","61836","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii",NA,NA,NA,NA,"Souza, J.P. et al.","1998","02","Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,NA,"auto","2100.0","12",NA,NA,NA,NA,NA,"ESA061836","ESA061836",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 12:17:55-03","ESALQ","ESA","64849","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","M.Milward-de-Azevedo","2008","03","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","2000","02","Brasil","Espírito Santo","Alegre","-417.353",NA,NA,NA,"Trepadeira; botões verdes",NA,"23701.0","22",NA,"Parque Nacional do Caparaó. Núcleo Pedra Roxa. Mata ciliar do Rio Pedra Roxa.","970","970",NA,"ESA064849","ESA064849","-417,353","-2,039,675","24",NA,NA,NA,NA,NA
"16","2015-07-02 14:55:40-03","JBP","HPL","4059","S","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast,","H. Lorenzi","2005","03","H. Lorenzi","2005","03","Brasil","MG","Caeté","-43.649778","-19.914556",NA,NA,NA,NA,"5108","03",NA,"Coletada na estrada para o Riacho Novo.","1007","1007",NA,NA,NA,"43° 38' 59,2 W","19° 54' 52,4 S","03",NA,NA,NA,NA,NA
"17","2020-12-20 21:18:48-03","UFV","VIC","26707","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart",NA,NA,NA,"Garcia, F.C.P.","2002","09","Brasil","Minas Gerais","Marliéria","-42.7322006225586","-19.7122001647949","28215",NA,"Trepadeira de flores roxas,folhas roxas em face inferior.","auto","999","23",NA,"PERD",NA,NA,NA,"VIC026707","VIC026707",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-07-02 18:55:48-03","UFJF","CESJ","10052","PreservedSpecimen","Plantae","Angiosperma",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.","A.C. Cervi","1990","03","L. Krieger","1971","02","Brasil","Minas Gerais","Santana do Pirapama",NA,NA,NA,NA,"Na beira da mata, escandente, flores em botão.",NA,"CESJ10052","16","América do Sul","NULL",NA,NA,NA,"CESJ010052",NA,NA,NA,"25",NA,NA,NA,NA,NA
"19","2020-07-02 18:55:48-03","UFJF","CESJ","66034","PreservedSpecimen","Plantae","Angiosperma",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.","M.A. Milward-de-Azevedo","2015","01","A.M. Moraes; M.A. Milward-de-Azevedo; N.B.G. Fernandes; H. Nunes; D.R. Gonzaga","2015","01","Brasil","Minas Gerais","Araponga","-42.451306","-20.660583",NA,NA,"Trepadeira glabra. Folhas simples. Peciolo e face abaxial das folhas vinacea. Botao pequeno verde. Área de regeneração inicial.",NA,"330","16","América do Sul","Área de Proteção Ambiental de Araponga, Inicio da trilha do Pico do Boné. Há 200 metros da área do PESB.","1150","1150",NA,"CESJ066034",NA,"-42.451306","-20.660583","16",NA,NA,NA,NA,NA
"20","2019-11-21 14:41:17-03","UFJF","CESJ","71859","PreservedSpecimen","Plantae","Angiosperma",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.","A.C. Mezzonato","2016","11","D.E.F. Barbosa; G.A. Basilio; H.R. Pereira Filho","2016","11","Brasil","Minas Gerais","Descoberto","-42.935833","-21.387778",NA,NA,"Liana. Flores brancas, corona branca e roxa. Borda de floresta.",NA,"344","19","América do Sul","Serra do Relógio, Floresta semidecidual montana","1200","1200",NA,"CESJ071859",NA,"-42.935833","-21.387778","23",NA,NA,NA,NA,NA
"21","2020-07-02 18:55:48-03","UFJF","CESJ","40084","PreservedSpecimen","Plantae","Angiosperma",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.","D.S. Pifano","2004","02","D.S. Pifano; R.M. Castro; A.S.M. Valente","2003","04","Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144",NA,"Liana na borda da mata. Planta heliófila.","auto","518","08","América do Sul","Morro do Imperador, NULL",NA,NA,NA,"CESJ040084",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-02 18:55:48-03","UFJF","CESJ","20733","PreservedSpecimen","Plantae","Angiosperma",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.","A.C. Cervi","1990","03","L. Krieger; R. Melo-Silva; J.L.R. Oliveira","1985","02","Brasil","Minas Gerais","São João Del Rei","-44.2616996765137","-21.1355991363525","39093",NA,"Cipó escandente. Flores brancas com corona rajada. Frutos oblongos, submaturos.","auto","CESJ20733","16","América do Sul","NULL",NA,NA,NA,"CESJ020733",NA,NA,NA,"25",NA,NA,NA,NA,NA
"23","2020-07-02 18:55:48-03","UFJF","CESJ","836B","PreservedSpecimen","Plantae","Angiosperma",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.","OH.IB.SP.",NA,NA,"L. Krieger; L. Roth","1942","03","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,"Corola branco-roxa. Frutos ovais.","auto","CESJ836","02","América do Sul","Santo Amaro, NULL",NA,NA,NA,"CESJ00836B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-02 18:55:48-03","UFJF","CESJ","39850","PreservedSpecimen","Plantae","Angiosperma",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.","F.C. Campos Neto",NA,NA,"F.C. Campos Neto","2002","05","Brasil","Minas Gerais","Marliéria","-42.7322006225586","-19.7122001647949","28215",NA,"Mata Atlântica.","auto","s.n.","05","América do Sul","Parque Estadual do Rio Doce, NULL",NA,NA,NA,"CESJ039850",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-07 11:46:57-03","UFMS","CGMS","55322","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","P.I.Martins","2016","01","A.L.S.Fachardo; P.I.Martins; G.M.Shiroma; G.A. Damasceno","2015","11","Brasil","Mato Grosso do Sul","Alcinópolis","-53.3052778","-18.2380555",NA,NA,"Flor amarela Habitat: Floresta Estacional Semidecidual, solo areno Habito: Erva",NA,"78","19",NA,"Parque Estadual das Nascentes do Rio Taquari.","752","752",NA,"CGMS1085288",NA,"-53,3052778","-18,2380555","05",NA,NA,NA,NA,NA
"26","2019-11-27 13:51:20-03","UFS","ASE","2924","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mart.","Cervi, AC","1992","01","Carneiro, EM","1983","01","Brasil","Sergipe","Areia Branca","-37.315","-10.758056",NA,NA,"Trepadeira. Com gavinhas, flores esverdeadas em botão, folhas simples e alternas.; Trepadeira. Com gavinhas, flores esverdeadas em botão, folhas simples e alternas.; Mata de altitude",NA,"476","27","Southern America","Topo da serra de Itabaiana",NA,NA,NA,"ASE0014631","ASE0014631","-37.315","-10.758056","18",NA,NA,NA,NA,NA
"27","2021-03-01 16:37:36-03","UNICAMP","UEC","103148","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Tozzi, AMGA; Filliettaz, AM; Mendonça Filho, CV; Galvão, JC; Moreira, JLA","1998","12","Brazil","São Paulo","Votorantim","-47.4","-23.65",NA,NA,"Trepadeira. Folhas rubras, botões esverdeados.",NA,"98199","02",NA,"Serra de São Francisco","880","880",NA,"UEC143901","UEC143901","-47.4","-23.65","21",NA,NA,NA,NA,NA
"28","2021-03-01 16:37:36-03","UNICAMP","UEC","12691","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.",NA,NA,NA,"Leitão Filho, HF; Gianotti, E; Toledo Filho, DV; Bertoni, JEA","1977","04","Brazil",NA,NA,NA,NA,NA,NA,"Trepadeira; flores liláses,com leves tons róseos.",NA,"4673","06",NA,NA,NA,NA,NA,"UEC143908","UEC143908",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:37:36-03","UNICAMP","UEC","99177","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Kinoshita, LS; Martins, AB",NA,NA,"Brazil","São Paulo",NA,"-47.136667","-22.254167",NA,NA,"Coletada na borda da mata, possue gavinhas, estípulas, liana.",NA,"s.n.",NA,NA,"Reserva Biologica De Mogi Guaçu",NA,NA,NA,"UEC143900","UEC143900","-47.136667","-22.254167","21",NA,NA,NA,NA,NA
"30","2021-03-01 16:37:36-03","UNICAMP","UEC","135116","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Milward-de-Azevedo, MA","2008","09","Kinoshita, LS; Simões, AO; Endress, PK; Endress, ME","2000","02","Brazil","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605","21143",NA,"Liana, pétalas verde-esbranquiçadas, corona com estrias roxas.","auto","200040","17",NA,"estrada Carrancas-Mindur, mata.",NA,NA,NA,"UEC143905","UEC143905",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:37:36-03","UNICAMP","UEC","126319","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","2002","04","Rodrigues, RS; Flores, A; Simões, AO; Rio, MCE","2001","10","Brazil","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605","21143",NA,"Em beira de mata. Trepadeira, corola esverdeada.","auto","1238","14",NA,"Estrada para Serra de Bicas, ca. 1 km da saída da cidade.",NA,NA,NA,"UEC143903","UEC143903",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:37:36-03","UNICAMP","UEC","135828","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Milward-de-Azevedo, MA","2007","03","Simões, AO; Jannini, AW; Singer, RB","1999","03","Brazil","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605","21143",NA,"Liana, pétalas brancas, sépalas verdes, corona roxa.","auto","744","14",NA,"Serra de Bicas, mata na subida da Serra.",NA,NA,NA,"UEC143893","UEC143893",NA,NA,"29",NA,NA,NA,NA,NA
"33","2021-03-01 16:37:36-03","UNICAMP","UEC","135824","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Milward-de-Azevedo, MA","2007","03","Simões, AO; Singer, RB; Lopes, AC","1998","09","Brazil","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605","21143",NA,"Liana, folhas discolores. Em beira de mata.","auto","298","21",NA,"Serra de Bicas, propriedade do Sr. Toninho, mata em paredão da Serra.",NA,NA,NA,"UEC143892","UEC143892",NA,NA,"29",NA,NA,NA,NA,NA
"34","2021-03-01 16:37:36-03","UNICAMP","UEC","23003","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Pessoa, SVA","1985","04","Leitão Filho, HF; Shepherd, GJ; Martins, FR","1980","12","Brazil","Minas Gerais","Lavras","-44.999698638916","-21.2453002929688","20044",NA,"Com frutos e botões florais. Trepadeira.; em cerrado.","auto","11716","09",NA,"próximo à cidade.",NA,NA,NA,"UEC143899","UEC143899",NA,NA,"08",NA,NA,NA,NA,NA
"35","2021-03-01 16:37:36-03","UNICAMP","UEC","12689","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Brantjes, NBM","1978","03","Brazil","São Paulo","Botucatu","-48.439998626709","-22.8799991607666","40412",NA,"Pétalas branca, pelo azul. Fruto alongado.; Beira mata fechada.","auto","702406","23",NA,"Rubião Junior",NA,NA,NA,"UEC143891","UEC143891",NA,NA,"21",NA,NA,NA,NA,NA
"36","2021-03-01 16:37:36-03","UNICAMP","UEC","60177","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Sciamarelli, A; Coffani-Nunes, JV","1990","03","Brazil","São Paulo","Cajuru","-47.2999992370605","-21.2700004577637","21243",NA,"Flor branca, estaminódios branco e roxo, estigma e estiletes verdes. Anteras verdes com pintas marrons.; Cerrado","auto","543","17",NA,"Fazenda Santa Carlota",NA,NA,NA,"UEC143896","UEC143896",NA,NA,"21",NA,NA,NA,NA,NA
"37","2019-08-20 10:22:29-03","UNICAMP","UEC","12690","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Brown Jr, KS","1975","02","Brazil","São Paulo","Campinas","-47.060001373291","-22.8999996185303","23900",NA,NA,"auto","s.n.","22",NA,NA,NA,NA,NA,"UEC143907","UEC143907",NA,NA,"21",NA,NA,NA,NA,NA
"38","2021-03-01 16:37:36-03","UNICAMP","UEC","12693","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Kirszenzaft, SL","1977","04","Brazil","São Paulo","Campinas","-47.060001373291","-22.8999996185303","23900",NA,"Trepadeiras, flores brancas e verdes, corona com base arroxeada.","auto","4982","06",NA,"distrito de Barão Geraldo, Fazenda Santa Genebra.",NA,NA,NA,"UEC143910","UEC143910",NA,NA,"21",NA,NA,NA,NA,NA
"39","2021-03-01 16:37:36-03","UNICAMP","UEC","71303","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Koschnitzke, C","1992","04","Brazil","São Paulo","Campinas","-47.060001373291","-22.8999996185303","23900",NA,"Liana, flores púrpura, perfume.","auto","27273","01",NA,"Mata de Santa Genebra",NA,NA,NA,"UEC143904","UEC143904",NA,NA,"21",NA,NA,NA,NA,NA
"40","2021-03-01 16:37:36-03","UNICAMP","UEC","79995","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Sartori, ALB; et al.","1993","11","Brazil","São Paulo","Cerqueira César","-49.1599998474121","-23.0300006866455","25405",NA,"Beira da mata, rasteira, sobre vegetação.","auto","28979","09",NA,"Posto Tolluca, Castelo Branco 265 Km.",NA,NA,NA,"UEC143897","UEC143897",NA,NA,"21",NA,NA,NA,NA,NA
"41","2021-03-01 16:37:36-03","UNICAMP","UEC","68040","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Tamashiro, JY; Galvão, JC","1994","02","Brazil","São Paulo","Itirapina","-47.8199996948242","-22.25","22843",NA,"Trepadeira, pétalas verdes, estames amarelos.","auto","T357","01",NA,"Cerrado do Pedregulho",NA,NA,NA,"UEC143895","UEC143895",NA,NA,"02",NA,NA,NA,NA,NA
"42","2021-03-01 16:37:36-03","UNICAMP","UEC","53310","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Egler, SG","1989","10","Brazil","São Paulo","Jaguariúna","-46.9799995422363","-22.7000007629395","12963",NA,"Liana. Flor roxa.; Mata seundária. Beira de estrada. solo argiloso.","auto","22147","08",NA,NA,NA,NA,NA,"UEC143894","UEC143894",NA,NA,"21",NA,NA,NA,NA,NA
"43","2021-03-01 16:37:36-03","UNICAMP","UEC","12688","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Gibbs, PE; Leitão Filho, HF","1977","01","Brazil","São Paulo","Mogi Guaçu","-46.9421997070312","-22.372200012207","39309",NA,"Mata de planalto. Trepadeira de até 2m; flores de coloração branco-lilás (pétalas); corona azul e branca em estrias.","auto","4325","25",NA,"Estação Experimental de Mogi-Guaçú",NA,NA,NA,"UEC143890","UEC143890",NA,NA,"21",NA,NA,NA,NA,NA
"44","2021-03-01 16:37:36-03","UNICAMP","UEC","20585","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Forero, E","1980","09","Brazil","São Paulo","Mogi Guaçu","-46.9421997070312","-22.372200012207","39309",NA,"Trepadeira. Cálice verde, corola branca e lilás, estame e pistilos verdes.","auto","8371","24",NA,"Fazenda Campininha",NA,NA,NA,"UEC143898","UEC143898",NA,NA,"21",NA,NA,NA,NA,NA
"45","2021-03-01 16:37:36-03","UNICAMP","UEC","58050","S","Plantae","Magnoliopsida",NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Bernacci, LC","1999","01","Ferreira, MAP","1989","05","Brazil","São Paulo","Mogi Mirim","-46.9500007629395","-22.4300003051758","19575",NA,"Trepadeira, flores com corola branca; fruto jovem.","auto","21952","03",NA,"Horto Florestal",NA,NA,NA,"UEC143911","UEC143911",NA,NA,"21",NA,NA,NA,NA,NA
"46","2020-04-22 16:22:51-03","UFPB","JPB","47243","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Passifloraceae-Pass.","Passiflora","miersii","Passiflora miersii","Mast.",NA,NA,NA,"Cruz, A; Santos, E","1999","05","Brasil","Sergipe","Japaratuba","-36.940299987793","-10.5932998657227","22401",NA,"; DESC: Presença de flores amareladas e apenas um botão (verde), apresenta gavinhas.","auto","112","31","Southern America","Área de Mata",NA,NA,NA,"JPB0047243",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-06 09:56:57-03","UFOP","OUPR","11348","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.",NA,NA,NA,"Schwacke, C.A.W.","1891",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Trepadeira",NA,"7427",NA,NA,"José Corrêa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-10-14 10:04:30-03","FURB","FURB","17772","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","T.S.Nunes","2020","05","Cadorin, T.J.","2009","09","Brasil","Santa Catarina","Botuverá","-49.0286111","-27.2641667",NA,NA,"Habitat: Floresta Ombrófila Densa Alto Montana; Habito: liana; flor sépalas rosas",NA,"75","26",NA,"RPPN Prima Luna - Monte Barão.","1090","1090",NA,"FURB36826","FURB36826","-49.0286111","-27.2641667","08",NA,NA,NA,NA,NA
"49","2019-12-06 19:30:05-03","UFES","VIES","34981","S","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.",NA,NA,NA,"D.A.T. Ferreira","2014","05","Brasil","São Paulo","Mogi das Cruzes","-46.183333","-23.516667",NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,"VIES034981","VIES034981","46º11'W","23º31'0''S",NA,NA,NA,NA,NA,NA
"50","2020-04-27 16:11:00-03","UFES","VIES","2707","S","Plantae",NA,NA,"Passifloraceae","Passiflora","miersii","Passiflora miersii","Mast.","Pessoa, S.A. de","1988","06","Pereira, O.J.","1986","10","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190",NA,NA,"auto","698","26",NA,"Parque Furnas do Catete.",NA,NA,NA,"VIES002707","VIES002707",NA,NA,"02",NA,NA,NA,NA,NA
