"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00979981","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","G. G. Hatschbach","66371","1997","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979981","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Minas Gerais","Juramento","Rod. Montes Claros a Itacambira, Serra do Catuni","-43.5867","-16.8483",NA,NA,"NY00979981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00980007","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","H. S. Irwin","22980","1969","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980007","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","Minas Gerais",NA,"Serra do Espinhaço, ca. 30 km N.E. of Francisco Sá, on road to Salinas","-43.2679","-16.4288","1100","1100","NY00980007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","582708","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","A. M. V. de Carvalho","4052","1992","06","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582708","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Barreiras","Estrada para a Aeroporto de Barreiras. Coletas entre 5 a 15 km a partir da sede do município","-44.99","-12.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","582691","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","G. T. Prance","25056","1977","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582691","Magnoliophyta","Fabales",NA,"(Nees & Mart.) H.S.Irwin & Barneby",NA,"Pará",NA,"Km 854; Serra do Cachimbo. BR 163, Cuiabá-Santarém Highway","-54.9773937","-8.9826696","490","490","NY00582691_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","582730","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","H. da S. Brito","321","1991","06","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582730","Magnoliophyta","Fabales",NA,"(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Barreiras","Coleta efetuada a 6 km depis de Barreiras, entrada a direita. 4 km na estrada do aeroposto","-44.99","-12.15",NA,NA,"NY00582730_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","582776","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana pilosula","G. M. Magalhaes","15263","1959","03","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582776","Magnoliophyta","Fabales","pilosula","H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","Minas Gerais","Medina","5 km. S. de Aguas Vermelhas","-41.4767","-16.2225",NA,NA,"NY00582776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","02681499","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","R. M. Harley","14240","1994","02","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957414' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681499","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby",NA,"Bahia","Palmeiras","Estrada entre Palmeiras e Mucugé, ca. 1 km de Guiné de Baixo","-41.5642","-12.6542","1200","1200","NY02681499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00979907","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","G. G. Hatschbach","65033","1966","04","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979907","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Minas Gerais","Monte Azul","Serra do Espinhaço, subida via Montividiu.","-42.8744","-15.155","1000","1100","NY00979907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","777506","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana phyllostegia","W. Ganev","2808","1994","01","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777506","Magnoliophyta","Fabales","phyllostegia","H.S.Irwin & Barneby","G. P. Lewis","Bahia","Abaíra","Mendonça de Daniel Abreu","-41.83","-13.27","900","900","NY00777506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","582745","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","L. R. Noblick","2891","1983","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582745","Magnoliophyta","Fabales",NA,"(Nees & Mart.) H.S.Irwin & Barneby","R. S. Cowan","Bahia","Mucugê","Estrada entre Andaraí e Mucugê. Comum na beira da estrada","-41.3706","-13.0056",NA,NA,"NY00582745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","777505","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana hypoleuca","W. Ganev","2577","1993","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777505","Magnoliophyta","Fabales","hypoleuca","(Benth.) H.S.Irwin & Barneby","G. P. Lewis","Bahia","Abaíra","Agua Limpa","-41.87","-13.3","1200","1200","NY00777505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-27 19:42:00-03","NY","NYBG","01067322","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","E. T. Neto","2479","1997","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210986' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067322","Magnoliophyta","Fabales",NA,NA,"R. C. Barneby","Minas Gerais","Coronel Murta","Coronel Murta. UHE Murta. Serra da Lagoa Nova","-42.1819","-16.6192",NA,NA,"NY01067322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","582763","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana hypoleuca","P. von Luetzelburg","12265","1914",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582763","Magnoliophyta","Fabales","hypoleuca","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","Bahia","Rio de Contas",NA,"-41.8114","-13.5792",NA,NA,"NY00582763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00979932","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","G. G. Hatschbach","54183","1990","06","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979932","Magnoliophyta","Fabales",NA,"(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Minas Gerais","Claro dos Poçoes","Rod. BR-365","-44.2083","-17.0797",NA,NA,"NY00979932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","777507","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana phyllostegia","P. T. Sano","s.n.","1994","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777507","Magnoliophyta","Fabales","phyllostegia","H.S.Irwin & Barneby","G. P. Lewis","Bahia","Abaíra","Estrada Abaíra-Catolés, próximo ao Distrito de Curralinho","-41.7506","-13.3072","800","800","NY00777507_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00979910","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","H. C. de Lima","957","1979","05","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979910","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Minas Gerais","Grão Mogol","a 14 km de Francisco Sá","-42.8894","-16.5594",NA,NA,"NY00979910_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","582755","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana hypoleuca","R. C. Forzza","1158","1999","04","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582755","Magnoliophyta","Fabales","hypoleuca","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Rio de Contas","Pico das Almas","-41.8114","-13.5792",NA,NA,"NY00582755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","582741","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","L. P. de Queiroz","3361","1993","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582741","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","L. P. de Queiroz","Bahia","Seabra","Ca. 2 km SW de Lagoa da Boa Vista, na encosta da Serra do Bebedor","-41.8158","-12.2842",NA,NA,"NY00582741_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00979931","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","G. G. Hatschbach","40882","1978","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979931","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Minas Gerais","Diamantina","Lavrinha","-43.6003","-18.2494",NA,NA,"NY00979931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1738072","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","L.A. Gomes","230","2011","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1965168' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738072","Magnoliophyta","Fabales",NA,"(Nees & Mart.) H.S.Irwin & Barneby","L.A. Gomes","Sergipe",NA,"RVS Mata do Junco. Margem da estrada principal.",NA,NA,NA,NA,"NY01738072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","582712","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","R. M. Harley","21252","1980","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582712","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Caetité","1.5 km. S of Brehinhos das Ametistas. G5","-42.48","-14.15","900","900","NY00582712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","4846","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana calva","R. M. Harley","21056","1980","03","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004846","Magnoliophyta","Fabales","calva","H.S.Irwin & Barneby",NA,"Bahia",NA,"Serra do Sincorá, 3 km SW of Mucugé on the cascavel road. Alt. 900 m.",NA,NA,NA,NA,"NY00004846_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","582690","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","L. Coradin","5772","1983","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582690","Magnoliophyta","Fabales",NA,"(Nees & Mart.) H.S.Irwin & Barneby",NA,"Bahia","Formosa do Rio Preto","Estrada Barreiras-Correntes Km. 150","-45.23","-10.98","670","670","NY00582690_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","582768","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana phyllostegia","G. Martinelli","6656","1980","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582768","Magnoliophyta","Fabales","phyllostegia","H.S.Irwin & Barneby",NA,"Bahia","Maracás","Estrada para Contendas do Sincorá, 6 km SW de Maracás","-40.4306","-13.4411","900","900","NY00582768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","582695","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","R. M. Harley","15994","1974","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582695","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","Bahia","Mucugê","By Rio Cumbuca, about 3 km. N of Mucugé on the Andarái road","-41.38","-13","850","850","NY00582695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","582758","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana hypoleuca","G. G. Hatschbach","46407","1983","05","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582758","Magnoliophyta","Fabales","hypoleuca","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Rio de Contas","Arredores","-41.812","-13.58415",NA,NA,"NY00582758_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01241118","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana phyllostegia","A. M. V. de Carvalho","7059","2002","03","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1486067' target='other'> <mi>dwc_moreinfo</mi></a>","NY01241118","Magnoliophyta","Fabales","phyllostegia","H.S.Irwin & Barneby","J. G. Rando","Bahia","Andaraí","Ca. 20 km na estrada Andaraí/Mucuge.","-41.33","-12.8",NA,NA,"NY01241118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00979982","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana cana","M. L. Kawasaki","1081","1999","03","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979982","Magnoliophyta","Fabales","cana","(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Minas Gerais","Riacho dos Machados","Serra da Bocaina. BR-251 para Barrocão, km 400","-43.0492","-16.0061",NA,NA,"NY00979982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","582707","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana","L. R. Noblick","3492","1984","11","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582707","Magnoliophyta","Fabales",NA,"(Nees & Mart.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Morro do Chapéu","1-2 km sul da cidade na estrada para Utinga","-41.15","-11.55",NA,NA,"NY00582707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00980035","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana pilosula","A. E. Brina","s.n.","1996","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980035","Magnoliophyta","Fabales","pilosula","H.S.Irwin & Barneby","R. C. Barneby","Minas Gerais",NA,"Medina, vale do Jequitinhonha",NA,NA,NA,NA,"NY00980035_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","582759","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana hypoleuca","S. A. Mori","13375","1980","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582759","Magnoliophyta","Fabales","hypoleuca","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","Bahia","Piata","A 10 km ao N de Piatã","-41.7728","-13.1519","1100","1100","NY00582759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00979959","PreservedSpecimen","Plantae","Fabaceae","Senna","cana","Senna cana hypoleuca","G. G. Hatschbach","54751","1990","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979959","Magnoliophyta","Fabales","hypoleuca","(Benth.) H.S.Irwin & Barneby","J. P. Santos","Goiás","Alto Paraíso de Goiás","Parque Nacional Chapada dos Veadeiros, próx. a São João","-47.5097","-14.1325",NA,NA,"NY00979959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
