"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","individualCount","typeStatus"
"11","2020-12-21 16:18:03-03","MBM","MBM","289567","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmscher","Smith, S.F.","Carneiro, J.","1418","2003","03","05","Southern America","Brazil","Paraná","Ribeirão do Pinhal","Sítio Pedra Amarela","-50.3567008972168","-23.4074993133545",NA,NA,"MBM289567","MBM289567",NA,NA,NA,NA,NA,"21709",NA,NA,"auto",NA,NA,NA
"12","2020-12-21 16:18:03-03","MBM","MBM","174097","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmscher","Smith, S.F.","Hatschbach, G.","14447","1966","06","22","Southern America","Brazil","Paraná","Santo Antônio do Caiuá","Rio Paranapanema, Porto da Areia","-52.3422012329102","-22.7346992492676",NA,NA,"MBM174097","MBM174097",NA,NA,NA,NA,NA,"15782",NA,NA,"auto",NA,NA,NA
"13","2021-02-11 17:18:15-03","UFPR","UPCB","59467","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Jaramillo, J.C.","Kaehler, M.","225","2008","09","19",NA,"Brasil","Paraná","Telêmaco Borba","Bota Fora Dois. Mata na margem direita da futura barragem da UH Mauá.","-50.7","-24.033333",NA,"Erva em fruto..","UPCB0004961","UPCB0004961","2017","06","29","-50.7","-24.033333",NA,"680","680",NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2739786","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.",NA,"G. Eiten, L. T. Eiten & I. Mimura","5996","1965","2","9","South America - Neotropics","Brazil","São Paulo",NA,"Iepe, fazenda c.a.p.i.",NA,NA,NA,NA,"US00447485","US00447485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"15","2020-09-12 05:00:02-03","US","US","2564071A","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.",NA,"G. Hatschbach","14447","1966","6","22","South America","Brazil","Paraná",NA,"San antonio do caiua mun. (?), rio paranapanema, porto da areia",NA,NA,NA,NA,"US00314465","US00314465_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"16","2020-09-12 05:00:02-03","US","US","3341011","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.",NA,"G. Hatschbach, S. Ziller & J. M. Silva","64436","1996","2","22","South America","Brazil","Paraná",NA,"Vale do rio iguacu, corrego estrito, pinhao, mun.",NA,NA,NA,NA,"US00529996","US00529996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"17","2020-09-12 05:00:02-03","US","US","3459791","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Smith, S. F., (US), NMNH","J. A. Carneiro","1418","2003","3","5","South America","Brazil","Paraná","Ribeirao do Pinhal","Sitio Pedra Amarela.","-50.3567008972168","-23.4074993133545",NA,NA,"US00765058","US00765058_01",NA,NA,NA,NA,NA,"21709",NA,NA,"auto","Dicotyledonae","1",NA
"18","2020-09-12 05:00:02-03","US","US","2564076","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.",NA,"G. Hatschbach","14447","1966","6","22","South America","Brazil","Paraná",NA,"Sao antonio do caiua mun. (?), rio paranapanema, porto da areia",NA,NA,NA,NA,"US00314466","US00314466_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"19","2020-09-12 05:00:02-03","US","US","3370890","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.",NA,"O. S. Ribas & L. B. Pereira","1675","1997","2","9","South America","Brazil","Paraná",NA,"Fazenda barros, jaguariaiva",NA,NA,NA,NA,"US00616706","US00616706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"20","2020-09-12 05:00:02-03","US","US","2739785","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.",NA,"G. Eiten, L. T. Eiten & I. Mimura","5996","1965","2","9","South America - Neotropics","Brazil","São Paulo","Iepê","Fazenda c.a.p.i., ca. 5 km e of porto alvorada along rio paranapanema","-51.0699996948242","-22.6599998474121",NA,NA,"US00314488","US00314488_01",NA,NA,NA,NA,NA,"21350","280","280","auto","Dicotyledonae","1",NA
"21","2020-09-12 05:00:02-03","US","US","3668176","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Smith, S. F., (US), NMNH","J. M. Silva, O. S. Ribas, E. Cunha & A. S. Costa","4024","2004","5","1","South America","Brazil","Paraná",NA,"Fazenda Capivari (Mun. Bocaiuva do Sul).",NA,NA,NA,NA,"US01234922","US01234922_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"22","2020-09-12 05:00:02-03","US","US","3451235","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.",NA,"J. A. Carneiro","1271","2002","1","26","South America","Brazil","Paraná","Jundiai","Fazenda Ibiti.",NA,NA,NA,NA,"US00765197","US00765197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"23","2020-11-12 16:59:00-03","UEL","FUEL","42635","PreservedSpecimen","Plantae","Tracheophyta","Cucurbitales","Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Kollmann, L","T.I.N. de Azevedo; S.I. de Azevedo","598","2006","10","31",NA,"Brasil","Paraná","Telêmaco Borba","Fazenda Monte Alegre, beira do ribeirão Varanal","-50.58975","-24.337056",NA,NA,"FUEL001810",NA,"2016","11","28","-50.58975","-24.337056",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:01:54-03","IBt","SP","18006","S","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Irmscher, F","Luederwaldt, H","s.n.","1915","04",NA,NA,"Brasil","São Paulo",NA,"Alto da Serra, Cult. no Horto Botânico (Ipiranga, SP)",NA,NA,NA,NA,"SP000095","SP000095","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isosyntype"
"25","2019-11-21 10:01:54-03","IBt","SP","8785","S","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Irmscher, F","Luederwaldt, H","s.n.",NA,NA,NA,NA,"Brasil","São Paulo",NA,"Alto da Serra, Cult. no Horto botânico do Museu Paulista, Ipiranga, São Paulo",NA,NA,NA,NA,"SP000094","SP000094","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isosyntype"
"26","2019-11-21 10:01:54-03","IBt","SP","441417","S","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Jacques, EL","Gomes da Silva, SJ; Kirizawa, M; Wanderley, MGL","351","1992","08","23",NA,"Brasil","São Paulo","Capão Bonito","Fazenda Intervales, Estrada da Bocaina","-48.3400001525879","-24",NA,NA,NA,NA,"2011","07","20",NA,NA,"39505",NA,NA,"auto",NA,NA,NA
"27","2019-11-21 10:01:54-03","IBt","SP","8781","S","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Gomes da Silva, SJ","Loefgren, A; Edwall, G","CGG2640","1894","09","24",NA,"Brasil","São Paulo","Iguape","Mata do morro","-47.5499992370605","-24.7000007629395",NA,"Herb. folha lucida, dorso rubra","SP000093","SP000093","2000",NA,NA,NA,NA,"55628",NA,NA,"auto",NA,NA,"Lectotype"
"28","2019-11-21 10:01:54-03","IBt","SP","297943","S","Plantae",NA,NA,"Begoniaceae","Begonia","vicina","Begonia vicina","Irmsch.","Jacques, EL","Costa, CB; Prado, J; Proença, SL; Hoch, AM; Corrêa, MA; Silva, E; Galante, O","243","1996","05","23",NA,"Brasil","São Paulo","Iporanga","Fazenda Intervales. Trilha da Gruta da Mãozinha","-48.5900001525879","-24.5799999237061",NA,NA,NA,NA,"2011","07","20",NA,NA,"38740",NA,NA,"auto",NA,NA,NA
