"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","relatedCatalogItem","sex"
"21","2021-03-21 19:39:57-03","UFC","EAC","51824","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Castro, A.S.F.","Castro, A.S.F.","2599","2012","01","12","Southern America","Brasil","Ceará","Tianguá","Covão","-40.99169921875","-3.7322199344635",NA,"Erva, flor branca; Mata estacional","EAC0051824","EAC0051824","2012","01",NA,"36695","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-21 19:39:57-03","UFC","EAC","31292","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Dutilh, J.H.A.","Castro, A.S.F.","1131","2001","12","08","Southern America","Brasil","Piauí","São Miguel do Tapuio","Sobradinho, 11km p/ Pimenteiras","-41.323299407959","-5.50361013412476",NA,"Erva, flor branca; Carrasco","EAC0031292","EAC0031292","2015","08","27","93464","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-21 19:39:57-03","UFC","EAC","44927","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Dutilh, J.","Moro, M.F.; Menezes, M.O.T.; et al.","702","2009","01","26","Southern America","Brasil","Ceará","Quixeré","Ch. Apodi, Solo vermelho e argiloso, na beira de uma estr. de terra, na faixa não desmatada entre a estr. e a cerca de uma plantação","-37.961667","-5.143333",NA,"Erva, geófita, antese notruna, flor branca","EAC0044927","EAC0044927","2009","02","11",NA,NA,"-37.961667","-5.143333","187","187",NA,NA,NA,NA
"24","2021-03-21 19:39:57-03","UFC","EAC","33289","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Dutilh, J.H.A.","Araújo, F.S.; Lima, J.R.","1330","2002","02","26","Southern America","Brasil","Ceará","Crateús","RPPN Serra das Almas","-40.6775016784668","-5.1783299446106",NA,"Erva, geófita com fruto; Mata seca","EAC0033289","EAC0033289","2015","08","27","43216","auto",NA,NA,"650","650",NA,NA,NA,NA
"25","2021-03-21 19:39:57-03","UFC","EAC","35306","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Dutilh, J.H.A.","Lima-Verde, L.W.; et al.","1134","2000","02","22","Southern America","Brasil","Ceará","Crateús","Serra das Almas","-40.6775016784668","-5.1783299446106",NA,NA,"EAC0035306","EAC0035306","2015","08","27","43216","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-21 19:39:57-03","UFC","EAC","35307","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Dutilh, J.H.A.","Lima-Verde, L.W.; et al.","1133","2000","02","22","Southern America","Brasil","Ceará","Crateús","Serra das Almas","-40.6775016784668","-5.1783299446106",NA,NA,"EAC0035307","EAC0035307","2015","08","27","43216","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-21 19:39:57-03","UFC","EAC","54496","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Castro, A.S.F.","Castro, A.S.F.","2702","2013","03","10","Southern America","Brasil","Ceará","Icapuí","Peroba., Substrato arenoso.","-37.3553009033203","-4.71305990219116",NA,"Erva.; Tabuleiro litorâneo.","EAC0054496","EAC0054496","2013","03","10","22463","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:11:33-03","MBM","MBM","100679","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Campos-Rocha, A.","Hatschbach, G.","48132","1984","09","13","Southern America","Brazil","Minas Gerais","Itaobim","Arredores","-41.5032997131348","-16.5617008209229",NA,"Flor alva.; Caatinga.","MBM100679","MBM100679","2016","02","16","19493","auto",NA,NA,NA,NA,"HOLOTYPE",NA,NA,NA
"29","2020-12-21 16:11:33-03","MBM","MBM","300541","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","Capos Rocha, A.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","78463","2004","11","22","Southern America","Brazil","Minas Gerais","Espinosa","Arredores","-42.8191986083984","-14.9260997772217",NA,"Terrícola, for creme-pálida.; Carrascal, beira do rio.","MBM300541","MBM300541","2016","02",NA,"70658","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-08-15 09:04:23-03","UESC","UESC","5113","S","Plantae","Angiospermae","Florideophycidae","Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","Herb.",NA,"Bautista, H.P.","PCD4534","1996","11","21",NA,"Brasil","Bahia","Jussiape",NA,"-41.580556","-13.478333",NA,"Caatinga arbórea.; Erva ereta, com bulbo bem desenvolvido.; Frequente.","UESC0005113",NA,NA,NA,NA,NA,NA,"41W34'50''","13S28'42''","580","580",NA,"Monocotyledoneae",NA,NA
