"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","infraspecificEpithet"
"19","2016-11-01 12:32:00-02","NY","NYBG","459084","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"R. C. Barneby",NA,NA,NA,"M. A. Carvalhaes","35","1991","04","25","Brazil","São Paulo","Iguape","Estaçao Ecologica Jureia-Itatins, Serra da Jureia, margens do Rio Verde em direçao a foz","-47.5497","-24.7003",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459084","NY00459084_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-11-01 12:32:00-02","NY","NYBG","459116","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"R. C. Barneby",NA,NA,NA,"V. P. de Oliveira","35","1990","01","28","Brazil","Paraná","Guapirama","Sitio JP","-50.0394","-23.5161",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459116","NY00459116_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","459090","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. E. Burkart",NA,NA,NA,"R. Reitz","8641","1959","03","14","Brazil","Santa Catarina","Rio do Sul","Salto do Pilao, Lontras","-49.6431","-27.2144",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459090","NY00459090_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","459108","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","R. C. Barneby",NA,NA,NA,"G. G. Hatschbach","16559","1967","06","17","Brazil","Paraná","Matelândia","Ceu Azul. ca bacio do Rio Paraná","-53.9964","-25.2408",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459108","NY00459108_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","459095","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. E. Burkart",NA,NA,NA,"R. Reitz","2644","1956","02","05","Brazil","Santa Catarina","Ibirama",NA,"-49.5178","-27.0569",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459095","NY00459095_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","459093","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. E. Burkart",NA,NA,NA,"L. B. Smith","11907","1957","02","27","Brazil","Santa Catarina","Joaçaba","12km south of Joaçaba on the west bank of the Rio do Peixe","-51.5044","-27.1783",NA,NA,"450","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459093","NY00459093_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","459089","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. E. Burkart",NA,NA,NA,"E. Pereira","5917","1961","10","13","Brazil","São Paulo","Piracicaba","Piracicaba, Escola Luiz de Queiroz","-47.6397","-22.72",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459089","NY00459089_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","459086","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. E. Burkart",NA,NA,NA,"F. C. Hoehne",NA,"1936","11","10","Brazil","São Paulo","Jarinu","Campo Largo","-46.72","-23.1003",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459086","NY00459086_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00935508","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","G. G. Hatschbach",NA,NA,NA,"J. M. Silva","2218","1997","10","16","Brazil","Paraná","Nova Prata do Iguaçu","Rodovia Nova Prata a Cruzeiro do Iguaçu, Rio Jaracatiá","-53.3467","-25.6325",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935508","NY00935508_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","459096","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. E. Burkart",NA,NA,NA,"R. Reitz","6160","1958","12","31","Brazil","Santa Catarina","Rio do Sul",NA,"-49.6431","-27.2144",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459096","NY00459096_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","459105","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan",NA,NA,NA,NA,"G. G. Hatschbach","20534","1968","12","07","Brazil","Paraná","Sao Jorge d'Oeste","Rio Iguaça, Salto Osorio","-53.008927","-25.537385",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459105","NY00459105_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-11-01 12:32:00-02","NY","NYBG","459114","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"R. C. Barneby",NA,NA,NA,"J. M. Silva","1890","1997","03","23","Brazil","Paraná","Londrina","Rio Tibagi, Fazenda Sao Joao do Remansinho","-51.1628","-23.3106",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459114","NY00459114_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-11-01 12:32:00-02","NY","NYBG","459088","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"F. C. Hoehne",NA,NA,NA,"G. Edwall","1616","1918","05","24","Brazil","São Paulo","Oleo","Ex. Herv. Com. Geogr. e Geol. de Sao Paulo no. 4003","-49.34","-22.9403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459088","NY00459088_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00935507","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","R. C. Barneby",NA,NA,NA,"G. G. Hatschbach","48543","1984","10","16","Brazil","Mato Grosso do Sul","Antônio João","Antonio Joao, 5 km O.","-55.949819","-22.19",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935507","NY00935507_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-11-01 12:32:00-02","NY","NYBG","459119","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1646","1966","06","19","Brazil","Paraná","Xambrê","N. of Xambre","-53.49","-23.7361",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459119","NY00459119_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-11-01 12:32:00-02","NY","NYBG","459087","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,NA,NA,NA,NA,"E. Pereira","5917","1961","10","13","Brazil","São Paulo","Piracicaba","Piracicaba, Escola Luiz de Queiroz","-47.6397","-22.72",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459087","NY00459087_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-11-01 12:32:00-02","NY","NYBG","459115","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"R. C. Barneby",NA,NA,NA,"E. Pereira","7675","1963","11","05","Brazil","Paraná","Prudentópolis","Guaramirando","-50.9778","-25.2133",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459115","NY00459115_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-11-01 12:32:00-02","NY","NYBG","459118","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","3311","1966","11","19","Brazil","Paraná",NA,"Fazenda Aranha between Jardinopolis and Pinheirinho",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459118","NY00459118_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-11-01 12:32:00-02","NY","NYBG","459117","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","593","1966","03","17","Brazil","Paraná","Terra Boa","Forest reserve S of the Rio Ivai ca. 30km E of Cianorte","-52.4442","-23.7683",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459117","NY00459117_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-11-01 12:32:00-02","NY","NYBG","459113","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"R. C. Barneby",NA,NA,NA,"J. M. Silva","891","1990","11","25","Brazil","Paraná","Curitiba","Bairro do Boqueirao","-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459113","NY00459113_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","459091","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. E. Burkart",NA,NA,NA,"L. B. Smith","13954","1964","12","15","Brazil","Santa Catarina","Catanduvas","Vargem Bonita, 39km west of Joaçaba","-51.75","-27.03",NA,NA,"700","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459091","NY00459091_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","459094","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","A. E. Burkart",NA,NA,NA,"R. Reitz","14672","1963","04","11","Brazil","Santa Catarina","Campos Novos","Tupitinga","-51.2247","-27.4019",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459094","NY00459094_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","459102","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","R. C. Barneby",NA,NA,NA,"A. F. Fuentes","948","1995","07","08","Bolivia","Santa Cruz","Ñuflo de Chávez","Estancia San Miguelito, 200km NE de la ciudad de Santa Cruz; campamento Pascana WCS; 4km al E del campamento","-61.78","-17.075",NA,NA,"270","270","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459102",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-09-29 18:11:00-03","NY","NYBG","459103","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"E. L. Ekman",NA,NA,NA,"E. L. Ekman","1645","1907","02","20","Paraguay","Alto Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459103",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","459107","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","21534","1969","05","16","Brazil","Paraná","Terra Boa","Fda. Boa ESperança, da Bacia do Rio Paraná","-52.4442","-23.7683",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459107","NY00459107_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","459110","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida","(Benth.) Brenan","R. S. Cowan",NA,NA,NA,"R. Reitz","17711","1965","12","15","Brazil","Paraná","Guarapuava","Rio Cavernoso","-51.4581","-25.3956",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459110","NY00459110_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2016-11-01 12:32:00-02","NY","NYBG","459111","PreservedSpecimen","Plantae","Fabaceae","Parapiptadenia","rigida","Parapiptadenia rigida",NA,"M. C. Dias; C. Medri",NA,NA,NA,"E. M. Francisco","26328","1999","11","04","Brazil","Paraná","Assaí","Assai, Torre","-50.8414","-23.3733",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459111","NY00459111_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
