"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","sex"
"11","2020-12-21 16:24:05-03","MBM","MBM","23381","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Muell. Arg.","Cordeiro, I.","Hatschbach, G.","30174","1972","08","11","Southern America","Brazil","Minas Gerais","Biri-Biri","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"MBM023381","MBM023381","Diamantina",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:24:05-03","MBM","MBM","33306","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Muell. Arg.","Cordeiro, I.","Hatschbach, G.; et al.; et al.","36413","1975","02","23","Southern America","Brazil","Minas Gerais","Rod. BR-359, subida para Serra do Espinhaço","-43.7407989501953","-18.4543991088867",NA,NA,NA,NA,"MBM033306","MBM033306","Gouveia",NA,NA,NA,"37970","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:24:05-03","MBM","MBM","20967","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Muell. Arg.","Cordeiro, I.","Hatschbach, G.; et al.; et al.","28674","1972","01","17","Southern America","Brazil","Minas Gerais","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"MBM020967","MBM020967","Jaboticatubas",NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-11-12 14:46:56-03","IFGoiano","IFRV","790","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Juan Fernando Carrión","Valdinéa Casagrande Dalvi; Alex Batista Moreira Rios",NA,"2017","01","28",NA,"Brasil","Minas Gerais","Estrada sentido Serra do Cipó para Conceição do Mato Dentro, primeiro mirante",NA,NA,NA,NA,NA,NA,"IFRV00000729",NA,"Minas Gerais",NA,"-435380555.0","-193669445.0",NA,NA,"2017","08","21",NA,NA,NA,NA
"15","2013-09-04 16:57:56-03","MNHN","RECOLNAT_MNHN_P","P00635030","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Müller Argoviensis","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00635030' target='other'> <mi>dwc_moreinfo</mi></a>","P00635030","P00635030_01",NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-09-24 23:21:18-03","MNHN","RECOLNAT_MNHN_P","P00635031","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00635031' target='other'> <mi>dwc_moreinfo</mi></a>","P00635031","P00635031_01",NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-05 09:08:44-03","MNHN","RECOLNAT_MNHN_P","P05564480","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Glaziou, A.",NA,"1892","4","4",NA,"Brasil","Minas Gerais","Serra dos Cristais, prés Diamantina.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05564480' target='other'> <mi>dwc_moreinfo</mi></a>","P05564480","P05564480_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19849",NA,NA,NA
"18","2015-09-05 09:08:44-03","MNHN","RECOLNAT_MNHN_P","P05564481","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Glaziou",NA,"1892","4","4",NA,"Brasil","Minas Gerais","Serra dos Cristãos; prox. Diamantina.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05564481' target='other'> <mi>dwc_moreinfo</mi></a>","P05564481","P05564481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19849",NA,NA,NA
"19","2015-09-05 09:08:44-03","MNHN","RECOLNAT_MNHN_P","P05564482","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Glaziou",NA,"1892","4","4",NA,"Brasil","Minas Gerais","Serra dos Cristaes, prés Diamantina.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05564482' target='other'> <mi>dwc_moreinfo</mi></a>","P05564482","P05564482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19849",NA,NA,NA
"20","2020-12-11 11:35:14-03","UFMG","BHCB","194243","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Oliveira, DMG; Perillo, LN; Stehmann, JR; Paucar, JOA; Tabosa, FRS","288","2017","12","14","Southern America","Brasil","Minas Gerais","Parque Estadual Caminho dos Gerais","-43.018889","-15.084167","1088","1088",NA,"Indivíduo macho.; Arbusto 70cm alt.; Flores amarelas esverdeadas ou amarelo claro.; Solo arenoso.","BHCB194243",NA,"Monte Azul",NA,"-43.018889","-15.084167",NA,NA,"2018","09","24",NA,NA,NA,NA
"21","2020-12-11 11:35:14-03","UFMG","BHCB","194263","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Oliveira, DMG; Perillo, LN; Stehmann, JR; Paucar, JOA; Tabosa, FRS","311","2017","12","14","Southern America","Brasil","Minas Gerais","Parque Estadual Caminho dos Gerais","-43.018889","-15.084167","1088","1088",NA,"Indivíduo fêmea.; Arbusto 70cm alt.; Fruto verde piloso.; Campo pedregoso.","BHCB194263",NA,"Monte Azul",NA,"-43.018889","-15.084167",NA,NA,"2018","09","24",NA,NA,NA,NA
"22","2020-12-11 11:35:14-03","UFMG","BHCB","116744","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Souza, VC de; Zappi, DC; Hind, DJN; Paula-Souza, J; Jennings, L; Romão, GO; Rando, JG; Ferrei","32512","2007","02","17","Southern America","Brasil","Minas Gerais","Serra do Cipó., Serra da Lapa, Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó.","-43.756944","-19.005556","680","680",NA,"Arbusto, ca. 60 cm altura, botões e flores creme.; Campo rupestre com afloramentos e árvores esparsas","BHCB039005",NA,"Santana de Pirapama",NA,"-43.756944","-19.005556",NA,NA,"2016","09","27",NA,NA,NA,NA
"23","2020-12-11 11:35:14-03","UFMG","BHCB","46955","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:35:14-03","UFMG","BHCB","78097","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Lombardi, JA; Salino, A; Mota, RC da; Carvalho, FA","5116","2003","02","20","Southern America","Brasil","Minas Gerais","Fazenda Cristalina","-40.058083","-16.063194","148","148",NA,"Arbusto, ca. 2.5 m, folhas cartáceas, inflorescências verdes.; Mata secundária.","BHCB039010",NA,"Salto da Divisa",NA,"-40.058083","-16.063194",NA,NA,"2016","09","27",NA,NA,NA,NA
"25","2020-12-11 11:35:14-03","UFMG","BHCB","78470","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Melo, PHA de; Versieux, LM","203","2002","11","16","Southern America","Brasil","Minas Gerais","Fazenda Faroeste. Rio São Miguel.","-45.669167","-20.256389",NA,NA,NA,"Arbusto terrestre, inflorecencia esverdeada, frutos imatutos verdes.; Sobre afloramento calcáreo","BHCB039011",NA,"Iguatama",NA,"-45.669167","-20.256389",NA,NA,"2016","09","27",NA,NA,NA,NA
"26","2021-02-11 17:18:50-03","UFPR","UPCB","41465","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Cordeiro, I.","Hatschbach, G.","69767","1999","10","26",NA,"Brasil","Minas Gerais","Córrego do Tigre","-43.7407989501953","-18.4543991088867",NA,NA,NA,"Sublenhosa 1m, flor creme. Campo rupestre, solo rochoso..",NA,NA,"Gouveia",NA,NA,NA,"37970","auto","2009","04",NA,NA,NA,NA,NA
"27","2017-02-19 20:04:00-03","MO","MOBOT","100526422","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll. Arg.","Angélica Cervantes Maldonado","Ludwig Riedel","Riedel s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"28","2014-08-23 05:36:00-03","MO","MOBOT","100526606","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll. Arg.","Angélica Cervantes Maldonado","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 22866","1969","1","29","South America","Brazil","Minas Gerais","Ca. 17 km NE of Diamantina, road to Mendanha.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"29","2012-09-21 10:28:00-03","MO","MOBOT","100526607","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll. Arg.","Angélica Cervantes Maldonado","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 20419","1968","2","18","South America","Brazil","Minas Gerais","Serra do Cipó, Minas, ca. km 109 (ca. 134 km N of Belo Horizonte).",NA,NA,"1150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"30","2020-06-15 15:30:24-03","UNESP-RC","HRCB","16088","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Faria, G.M.","s.n.","1990","02",NA,NA,"Brasil","Minas Gerais","Serra do Cipó","-43.6","-19.283333",NA,NA,NA,"Semi-arbustivo (cerca de 50 cm) a arbustivo. Ocorre em diferentes tipos de solo. Floresce o ano todo, principalmente outubro a novembro",NA,NA,NA,NA,"43º36'W","19º17'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 11:54:49-03","UFPE","UFP","7471","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll. Arg.","Cordeiro, I","Henrique, MC; Sajo, MG; Pirani, JR; Castro, NM; Cordeiro, I; L.Rossi","UFP7471","1981","01","09",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,"Subarbusto 80cm. Flores masculinas alvas. Flores femininas verdes.; Subarbusto 80cm. Flores masculinas alvas. Flores femininas verdes.","UFP007471",NA,"Santana do Riacho",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"32","2020-09-12 05:00:02-03","US","US","2700801","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll. Arg.",NA,"L. B. Smith, E. S. Ayensu & G. Hatschbach","28674","1972","1","17","South America","Brazil","Parana",NA,NA,NA,NA,NA,NA,"Transcribed by digital volunteers","US01255371","US01255371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"33","2020-09-12 05:00:02-03","US","US","2438488","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll. Arg.",NA,"A. Duarte","6422","1961","10","26","South America - Neotropics","Brazil","Minas Gerais","Rio de Janeiro, Serra do Cipo, acima do Chapeo de Sol.",NA,NA,NA,NA,NA,"Transcribed by digital volunteers","US01255372","US01255372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"34","2020-09-02 16:24:27-03","Cenargen","CEN","11079","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","J. F. Carrión","Antônio Costa Allem","3383","1986","02","18",NA,"Brasil","MG","34 km a sudoeste de Gouvêa, ao longo da rodovia BR- 259 rumo a Curvelo.",NA,NA,"1050","1050","Exsicatas","Erva perene, dióica, folhas algo cordiformes, sésseis, tomentosas. Exemplar masculino. Inflorescência em fascículos axilares.","CEN00011079","CEN00011079","GOUVEA",NA,"-4400000.0","-1863333.0",NA,NA,"2017","04",NA,NA,"3",NA,NA
"35","2020-09-02 16:24:27-03","Cenargen","CEN","11080","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","J. F. Carrión","Antônio Costa Allem","3384","1986","02","18",NA,"Brasil","MG","34 km a sudoeste de Gouvêa, ao longo da rodovia BR- 259 rumo a Curvelo.",NA,NA,"1050","1050","Exsicatas","Erva perene, dióica, folhas sésseis, tomentosas com glândulas na face dorsal. Exemplar feminino. Inflorescência terminal.","CEN00011080","CEN00011080","GOUVEA",NA,"-4400000.0","-1863333.0",NA,NA,"2017","04",NA,NA,"2",NA,NA
"36","2020-09-02 16:24:27-03","Cenargen","CEN","11081","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","J. F. Carrión","Antônio Costa Allem","3385","1986","02","18",NA,"Brasil","MG","34 km a sudoeste de Gouvêa, ao longo da rodovia BR- 259 rumo a Curvelo.",NA,NA,"1050","1050","Exsicatas","Erva perene, monóica. No restante tudo igual a Allem3383 e 3384. Este indivíduo é monóico e não dióico. Talvez a espécie produza racemos floríferos ora unisexuais ora bisexuais. Fruto tomentoso.","CEN00011081","CEN00011081","GOUVEA",NA,"-4400000.0","-1863333.0",NA,NA,"2017","04",NA,NA,"4",NA,NA
"37","2020-09-02 16:24:27-03","Cenargen","CEN","8774","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","G. L. Webster","Antônio Costa Allem","3095","1984","11","21",NA,"Brasil","GO","18 km ao sul de Cavalcante, rumo a Alto Paraíso.","-47.4583015441895","-13.7974996566772","1020","1020","Exsicatas","Arbusto dióico. Exemplar masculino. Flores em fascículos. Solo com afloramento rochoso. Campo cerrado em encosta de morro - rochas escuras.","CEN00008774","CEN00008774","CAVALCANTE",NA,"-4750000.0","-1391667.0","92497","auto","1987","11",NA,NA,"5",NA,NA
"38","2020-09-02 16:24:27-03","Cenargen","CEN","4444","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","B. M. T. Walter","Antônio Costa Allem","2672","1980","04","17",NA,"Brasil","GO","Km 12 da GO- 080, Niquelândia - Dois Irmãos - Corumbá de Goiás.","-48.4597015380859","-14.4738998413086",NA,NA,"Exsicatas","Dióico. Exemplar masculino. Inflorescência glomérulos. Pubescente.","CEN00004444","CEN00004444","NIQUELANDIA",NA,NA,NA,"74171","auto","2007","02",NA,NA,"1",NA,NA
"39","2021-03-15 18:26:52-03","USP","SPF","164162","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Carrión, JF","Riina, R","1344","2004","01","21",NA,"Brasil","Minas Gerais",NA,"-43.682222","-18.634444","1025","1025",NA,"Vársea dos Bastos, 600 m norte da Várzea dos Bastos na estrada para Datas. Elevação com solo areno-pedregoso ao lado da estrada.; Subarbusto 20-30 cm alt., semi-prostrado, flores estaminadas creme; frutos verdes. Freqüentes em solos","SPF00164162","SPF00164162","Datas",NA,"-43.682222","-18.634444",NA,NA,"2016","08",NA,NA,NA,NA,NA
"40","2021-03-15 18:26:52-03","USP","SPF","182833","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Cordeiro, I","Souza, VC","32512","2007","02","17",NA,"Brasil","Minas Gerais","Serra do Cipó, (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó.","-43.756944","-19.005556","680","680",NA,"ARbusto, ca. 60 cm alt.; botões e flroes creme.; Campo rupestre com afloramentos e árvores esparsas.","SPF00182833","SPF00182833","Santana de Pirapama",NA,"-43.756944","-19.005556",NA,NA,"2008","03",NA,NA,NA,NA,NA
"41","2021-03-15 18:26:52-03","USP","SPF","210192","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Zappi, DC","Milliken, W","4306","2011","03","19",NA,"Brasil","Minas Gerais","Serra do Cipó, Estrada da Captação da Faz Toucan Cipó","-43.758465","-19.005168","854","854",NA,"Arbusto 30 cm alt., folhas claras, flores creme-amareladas; campo arenoso com Vellozia","SPF00210192","SPF00210192","Santana de Pirapama",NA,"-43.758465","-19.005168",NA,NA,"2011","03",NA,NA,NA,NA,NA
"42","2021-03-15 18:26:52-03","USP","SPF","210199","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Cordeiro, I","Zappi, DC","1716","2009","03","05",NA,"Brasil","Minas Gerais","Serra do Cipó, Serra do Cipó, estrada de terra ligando Capela de São José a Santana do Riacho.","-43.765198","-18.996419",NA,NA,NA,"Arbusto não ramificado, folhas prateadas, frutos verdes; Cerrado rupestre. com afloramentos areníticos em solo arenoso.","SPF00210199","SPF00210199","Santana de Pirapama",NA,"-43.765198","-18.996419",NA,NA,"2009","07",NA,NA,NA,NA,NA
"43","2021-03-15 18:26:52-03","USP","SPF","86630","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Anônimo","Faria, GM","33","1990","02",NA,NA,"Brasil","Minas Gerais","Serra do Cipó, Rod. Belo Horizonte - Conceição do Mato Dentro, km 106. Área de 1 hectare, em ecossistema de campo rupestre.","-46.6","-19.283333",NA,NA,NA,"Indivíduos com ca. 50 cm, semi-arbustivo a arbustivo. Floresce o ano todo, principalmente outubro e novembro.","SPF00086630","SPF00086630","Santana do Riacho",NA,"-46.6","-19.283333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 18:26:52-03","USP","SPF","44283","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Carrión, JF","Furlan, A","CFSC8322","1982","04","20",NA,"Brasil","Minas Gerais","Serra do Cipó, Estr. Congonhas Gouveia, a 9 km de Congonhas.","-43.733333","-18.766667",NA,NA,NA,"Subarbusto 50 cm entre rochas, sem látex. Frutos verdes.","SPF00044283","SPF00044283","Congonhas do Norte",NA,"-43.733333","-18.766667",NA,NA,"2016","08",NA,NA,NA,NA,NA
"45","2021-03-15 18:26:52-03","USP","SPF","44285","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","Cordeiro, I","Pirani, JR","CFSC7997","1982","03","20",NA,"Brasil","Minas Gerais","Serra do Cipó, Fazenda Inhame.","-43.9","-18.916667",NA,NA,NA,"Subarbusto de flores verdes, bastante freqüente.","SPF00044285","SPF00044285","Santana de Pirapama",NA,"-43.9","-18.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA
