"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","stateProvince","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","typeStatus","relationshipType","individualCount","fieldNumber"
"16","2021-04-05 14:25:34-03","UNESC","CRI","12234","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Verdi, M","2009","11","07","Verdi, M; Tomazi, AL & Klemz, G",NA,"2009","11","07","Brasil","Nova Veneza","São Bonifácio.","-49.588611","-28.708056","49º35'19''W","28º42'29''S","124","124","Flor branca. Doação Herbário FURB (16767) Habito: Arbustivo","CRI010415",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:33:42-03","UNESC","CRI","11894","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Jean Gabriel Cemim, Marciel Fernandes & Kleber Emerick","2009","08","04","Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30",NA,"CRI004715","CRI004715","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:33:44-03","UNESC","CRI","8416","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini-Zanette","2007",NA,NA,"Mainara F. Cascaes",NA,"2007","11","22","Brasil","Maracajá",NA,"-49.454444","-28.848056","49º27'16''W","28º50'53''S",NA,NA,NA,"CRI004718","CRI004718","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:25:34-03","UNESC","CRI","12233","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Verdi, M","2010","05","29","Verdi, M; Souza, NL de; Klemz, G & Klettenberg, DH",NA,"2010","05","29","Brasil","Santa Rosa de Lima","Rio dos Índios","-49.230833","-27.989722","49º13'51''W","27º59'23''S","588","588","Fruto bordô. Doação Herbário FURB (26615) Habito: Arbustivo","CRI010414",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:33:42-03","UNESC","CRI","15278","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Aline Votri Guislon","2020","05","11","Aline V. Guislon; Renato Colares; Felipe Seron & Iara Z. Zanoni",NA,"2018","09","25","Brasil","Criciúma","APA Morro Albino e Esteves. Bairro Dagostim. Área L5.","-49.35","-28.749444","49º21'0''W","28º44'58''S","170","170","Habito: Arbóreo","CRI014695",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:25:34-03","UNESC","CRI","3236","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1859","1993","04","29","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004704","CRI004704","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:25:34-03","UNESC","CRI","1168","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette",NA,NA,NA,"Clair Maria Martinello; Robson dos Santos & Aurélio José de Aguiar",NA,"1992","07","22","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001566","CRI001566","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:33:44-03","UNESC","CRI","897","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","V. C. Zanette",NA,NA,NA,"Vanilde Citadini Zanette; F. M. Bastos","788","1987","12","21","Brasil","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30",NA,"CRI004517","CRI004517","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:25:34-03","UNESC","CRI","6553","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Dolores Bosa","1999","10","17","Dolores Bosa; Magali Romagna",NA,"1999","10","17","Brasil","Morro Grande","Nova Roma.","-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"Habitat: Floresta Ombrófila Densa Habito: árvore","CRI004631","CRI004631","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-05 14:33:42-03","UNESC","CRI","3950","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1604","1990","01","02","Brasil","Barra do Ribeiro","Mata de Galeria do Riacho Douradilho Ribeiro.","-51.301389","-30.291667","51º18'5''W","30º17'30''S","5","5","Habito: arvoreta","CRI004710","CRI004710","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-05 14:33:42-03","UNESC","CRI","12058","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha",NA,"2016","07","28","Brasil","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","450","450","Habito: Arbóreo","CRI010236","CRI010236","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-04-05 14:33:42-03","UNESC","CRI","1256","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Raquel Rejane Bonatto Negrelle",NA,NA,NA,"V. Citadini-Zanette; et al.","1500","1992","07","31","Brasil","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habitat: Floresta Ombrófila Densa Habito: árvore","CRI004711","CRI004711","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-05 14:33:44-03","UNESC","CRI","9195","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Jader Lima Pereira","2006","07","03","Ricardo Vicente",NA,"2006","07","03","Brasil","Siderópolis","Malha II leste.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI004717","CRI004717","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-05 14:25:34-03","UNESC","CRI","11449","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Condorce Aranha","2000","12","19","Emir Dias","144","2000","12","13","Brasil","Joinville","Estrada dos Morros, Piraí.","-48.845","-26.283333","48º50'42''W","26º17'0''S",NA,NA,NA,"CRI004705","CRI004705","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-05 14:33:44-03","UNESC","CRI","8484","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde C. Zanette",NA,NA,NA,"Kleber Haileê Emerich",NA,"2008","01","01","Brasil","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","Habitat: mata ciliar","CRI004712","CRI004712","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-04-05 14:25:34-03","UNESC","CRI","715","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1065","1990","08","02","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004515","CRI004515","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-04-05 14:25:34-03","UNESC","CRI","1226","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1471","1992","10","15","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004630","CRI004630","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-04-05 14:25:34-03","UNESC","CRI","2109","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","R. M. Klein",NA,NA,NA,"R. M. Klein","7812","1968","07","20","Brasil","Nova Erechim","Rio Chapecó.","-52.906111","-26.903056","52º54'22''W","26º54'11''S",NA,NA,"Habito: arbustiva","CRI004701","CRI004701","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-04-05 14:25:34-03","UNESC","CRI","1213","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos","1458","1992","10","15","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004629","CRI004629","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-04-05 14:25:34-03","UNESC","CRI","14212","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Stival-Santos, A","2010","04","05","Stival-Santos, A.; Legal, E. & Silveira, S.","2090","2010","03","13","Brasil","Florianópolis","Rua: Servidão Marcelino Antônio Nunes, Bairro Vargem do Bom Jesus. Rua: Servidão Marcelino Antônio Nunes, Bairro Vargem do Bom Jesus.","-48.419722","-27.451389","48º25'11''W","27º27'5''S","147","147","Florística IFFSC 392 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Inicial; interior do fragmento Habito: arbórea; Fruto roxa; flor branca","CRI013368","CRI013368","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-05 14:33:42-03","UNESC","CRI","8374","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette","2007",NA,NA,"Aline Costa Brum Figueiró Leandro; Rosimar Tertuliano da Silva",NA,"2006",NA,NA,"Brasil","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S",NA,NA,NA,"CRI004699","CRI004699","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-05 14:33:42-03","UNESC","CRI","6138","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette","2477","1996","08","20","Brasil","Criciúma","Morro Casa Grande.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI004516","CRI004516","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-05 14:33:42-03","UNESC","CRI","7584","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Marcelo R. Pasetto","2007","10","05","Marcelo Romagna Pasetto",NA,"2007","10","05","Brasil","Siderópolis","Jordão/São Pedro.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habitat: mata","CRI004618","CRI004618","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-04-05 14:25:34-03","UNESC","CRI","14814","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Alecsandro Shardosim Klein","2002","07","16","Alecsandro Shardosim Klein; Elisio A. O.",NA,"2002","07","16","Brasil","Siderópolis","Barragem","-49.425278","-28.598889","49º25'31''W","28º35'56''S","179","179","Frutos vermelho. Habito: Arbóreo","CRI014139",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-04-05 14:33:44-03","UNESC","CRI","8376","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette","2007",NA,NA,"Aline Costa Brum Figueiró Leandro",NA,"2007",NA,NA,"Brasil","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S",NA,NA,NA,"CRI004634","CRI004634","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-04-05 14:33:44-03","UNESC","CRI","8934","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Ronaldo dos Santos Junior","2011","07","15","Ronaldo dos Santos Junior",NA,"2011","07","15","Brasil","Terra de Areia","Interior da mata, Norte da lagoa do Quadros.","-50.071111","-29.585833","50º4'16''W","29º35'9''S","14","14","Floresta Paludosa","CRI004706","CRI004706","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-05 14:25:34-03","UNESC","CRI","3235","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1858","1993","04","13","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004703","CRI004703","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-05 14:33:42-03","UNESC","CRI","7873","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2007","09","28","Brasil","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30",NA,"CRI004632","CRI004632","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-04-05 14:25:34-03","UNESC","CRI","11577","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","A. Stival-Santos","2009","11","17","A. Stival-Santos; E. Legal & S. Silveira","1217","2009","11","17","Brasil","Brusque","Barracão.","-48.869722","-27.005556","48º52'11''W","27º0'20''S","45","45","Floresta Ombrófila Densa","CRI008622","CRI008622","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-04-05 14:25:34-03","UNESC","CRI","12497","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Aline Votri Guislon & Peterson T. Padilha","2017","07","25","Alexandre Medeiros",NA,"2017","05","22","Brasil","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Habito: Arbóreo","CRI010704",NA,"Santa Catarina","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-04-05 14:25:34-03","UNESC","CRI","12335","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Aline Votri Guislon & Peterson T. Padilha","2017","05","19","Alexandre Medeiros",NA,"2017","04","29","Brasil","Balneário Camboriú","Praia do Estaleiro.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 243 Habito: Arbóreo","CRI010519",NA,"Santa Catarina","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-09-23 10:41:33-03","E","E","226794","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla",NA,NA,NA,NA,NA,"Elsa Zardini","6011","1988","07","23","PY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00226794 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00226794",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:240502",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-09-23 10:41:33-03","E","E","226257","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla",NA,NA,NA,NA,NA,"E.Zardini & E.Velázquez","13219","1989","06","24","PY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00226257 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00226257",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:236142",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-09-23 10:41:33-03","E","E","283811","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla",NA,NA,NA,NA,NA,"Odia, E.V., Cordeiro, J.","50","1996","02","08","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00283811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283811",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:295415",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-09-23 10:41:33-03","E","E","226258","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla",NA,NA,NA,NA,NA,"E.Zardini & E.Velázquez","21667","1990","06","23","PY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00226258 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00226258",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:236143",NA,NA,NA,NA,NA,NA,NA,NA,NA
