"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus"
"13","2020-12-21 16:19:25-03","MBM","MBM","294826","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Varotto, R.","5","2003","11","01","Southern America","Brazil","Paraná","Piraquara","Morro do Vigia","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"MBM294826","MBM294826","Hatschbach, G.",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:19:25-03","MBM","MBM","180492","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Imaguire, N.","s.n.","1967","10","08","Southern America","Brazil","Paraná",NA,"Morro do Siririca",NA,NA,NA,NA,NA,"Terrícola.","MBM180492","MBM180492","Smith, L.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:19:25-03","MBM","MBM","386426","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Barboza, E.; Cordeiro, J.; Silva, J.M.; Motta, J.T.; Cordeiro, J.; Silva, J.M.; Motta, J.T.","4074","2013","10","30","Southern America","Brazil","Santa Catarina","Garuva","Campos do Quiriri","-48.979083","-26.032306","1350","1350",NA,"Planta rupícola, inflorescência alaranjada.; Refúgio Vegetacional Altomontano (campo de altitude).","MBM386426","MBM386426","Barboza, E.","2013",NA,NA,"12","03","-48.979083","-26.032306",NA,NA,NA
"16","2020-12-21 16:19:25-03","MBM","MBM","386426","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Barboza, E.; Cordeiro, J.; Silva, J.M.; Motta, J.T.; Cordeiro, J.; Silva, J.M.; Motta, J.T.","4074","2013","10","30","Southern America","Brazil","Santa Catarina","Garuva","Campos do Quiriri","-48.979083","-26.032306","1350","1350",NA,"Planta rupícola, inflorescência alaranjada.; Refúgio Vegetacional Altomontano (campo de altitude).","MBM386426","MBM386426","Barboza, E.","2013",NA,NA,"12","03","-48.979083","-26.032306",NA,NA,NA
"17","2020-12-21 16:19:25-03","MBM","MBM","398982","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Savarais, M.","374","2014","07","31","Southern America","Brazil","Paraná","Campina Grande do Sul","Morro Camapuã","-48.856708","-25.255514","1580","1580",NA,NA,"MBM398982","MBM398982","Barboza, E.","2015",NA,NA,"07","20","-48.856708","-25.255514",NA,NA,NA
"18","2020-12-21 16:19:25-03","MBM","MBM","232385","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Silva, J.M.; Barboza, E.; Cruz, J.M.; Barboza, E.; Cruz, J.M.","2640","1998","12","01","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM232385","MBM232385","Hatschbach, G.",NA,"41937","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:19:25-03","MBM","MBM","15552","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Hatschbach, G.","24941","1970","10","14","Southern America","Brazil","Paraná","Piraquara","Serra do Embioque","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Terrícola.","MBM015552","MBM015552","Smith, L.B.",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:43:31-03","UFMG","BHCB","71255","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii",NA,"Cordeiro, J","1764",NA,NA,NA,"Southern America","Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"21","2018-06-22 05:25:00-03","MO","MOBOT","2453099","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Pe. Raulino Reitz","Reitz 2690","1948","12","21","South America","Brazil","Santa Catarina",NA,"Campo dos Padres","-49.51666","-27.8","1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-03-29 10:41:16-03","UFSM","HDCF","6500","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L. B. Im.","Büneker, H. M.; Witeck, L.; Pontes, R.",NA,"2012","06","10","América","Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,"Em frutificação",NA,NA,"Büneker, H. M.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","2485229","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","R. Reitz & D. Klein","7797","1958","12","11","South America - Neotropics","Brazil","Santa Catarina","São Joaquim","Curral Falso, Bom Jardim","-49.9317016601562","-28.2938995361328","1500",NA,NA,NA,"US01935440","US01935440_01",NA,NA,"48290","auto",NA,NA,NA,NA,"Monocotyledonae","1",NA
"24","2020-09-12 05:00:02-03","US","US","1954695","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","R. Reitz","2690","1948","12","21","South America","Brazil","Santa Catarina",NA,"Campo dos Padres.",NA,NA,"1800","1800",NA,NA,"US00089081","US00089081_01",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1","Holotype"
"25","2020-09-12 05:00:02-03","US","US","2572038","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","R. Reitz & D. Klein","7157","1958","9","18","South America - Neotropics","Brazil","Santa Catarina",NA,"Serra do Oratório, Bom Jardim, São Joaquim",NA,NA,"1500",NA,NA,NA,"US01935439","US01935439_01",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"26","2020-09-12 05:00:02-03","US","US","2485228","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","R. Reitz & D. Klein","7690","1958","1","9","South America - Neotropics","Brazil","Santa Catarina","São Joaquim","Serra do Oratório, Bom Jardim, S. Joaquim","-49.9317016601562","-28.2938995361328","1500",NA,NA,NA,"US01935438","US01935438_01",NA,NA,"48290","auto",NA,NA,NA,NA,"Monocotyledonae","1",NA
"27","2019-12-09 17:29:36-03","UFPR","EFC","15130","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Völtz, R.R. et al.","922","2016","04","22",NA,"Brasil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, Pico Ciririca","-48.8335","-25.2789","1525","1525",NA,"Erva rosulada, folhas espinescentes, crescendo em campo de Refúgio Vegetacional Altomontano; inflorescência com escapo de 0,5m alt; flores alaranjadas. __COMMOM_NAME__: Gravatá","EFC015130",NA,"Völtz, R.R.","2016",NA,NA,"04","22","-48.8335","-25.2789",NA,NA,NA
"28","2019-12-09 17:29:36-03","UFPR","EFC","2527","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Roderjan, C.V.; Tramujas, A.P.","946","1991","07","04",NA,"Brasil","Paraná","Campina Grande do Sul","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"EFC002527",NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"29","2014-04-04 18:26:51-03","PNFM","IRAI","812","S","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Cansi, L.S.","026","2009","08","12",NA,"Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.004444","-25.387083","1340","1340",NA,"Folha com espinho, flor laranja","IRAI00000812",NA,"Cordeiro, J.; Martin, V.C.","2010",NA,NA,"01","01","-49.004444","-25.387083",NA,NA,NA
"30","2021-02-08 12:50:44-03","UFRGS","ICN","121095","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Jarenkow, JA; Sobral, M","2711","1995","08","19","América do Sul","Brasil","RS","Morrinhos do Sul","Tajuva","-49.934700012207","-29.3649997711182","800","800",NA,"Espécie ameaçada de extinção (Vulnerável).; Erva rosetada na encosta e porção superior da Serra Geral. Flores alaranjadas. Abundante.","ICN00030014",NA,"Sobral, M",NA,"12766","auto",NA,NA,NA,NA,NA,NA,NA
"31","2021-02-08 12:50:44-03","UFRGS","ICN","032430","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Waechter, JL","318","1976","09","15","América do Sul","Brasil","RS","Cambará do Sul","Fortaleza para Cambará do Sul","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Flores laranjas.; Beira do Canyon.","ICN00030013",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"32","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66169","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Strehl, T.","1354","1993","09",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0066169",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"33","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66173","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Strehl, T.","1344",NA,NA,NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,"Frutificou em out/91","HAS0066173",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"34","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","30570","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Strehl, T.","1345","1990","10",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0030570",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"35","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","30576","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Silveira, N.","8441","1989","12",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,"Flor laranja","HAS0030576",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-08-26 10:48:26-03","MCN-FZBRS","HAS","66182","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Mattos, N.","23362","1982","04",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","em Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Nos peraus da serra. Flores vermelho-alaranjadas.","HAS0066182",NA,"Mattos, J.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"37","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66181","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Mattos, J.","23362","1982","04",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Em Fortaleza.","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Na mata nebular e no campo. Nos peraus; Flores vermelho-alaranjadas.","HAS0066181",NA,"Mattos, J.","1985","30776","auto",NA,NA,NA,NA,NA,NA,NA
"38","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","30574","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Silveira, N.","7233","1989","11",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Nas pedras na beira dos perais","HAS0030574",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"39","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66172","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Strehl, T.","1346","1991","12",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Flor laranja, frutificou em jun/jul","HAS0066172",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"40","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","30569","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Silveira, N.","8440","1989","12",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Flor laranja; sobre pedra","HAS0030569",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","33953","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Strehl, T.","1353","1994","08",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0033953",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"42","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","31635","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Silveira, N.","8924","1990","07",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0031635",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"43","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","31633","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Silveira, N.","8934","1990","07",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0031633",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"44","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","30575","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Silveira, N.","7231","1989","11",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Nas pedras, na beira dos peraus. Frutos maduros.","HAS0030575",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"45","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","30571","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Strehl, T.","977","1989","12",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Hábito terrestre. Inflorescência simples de espiga. Flor laranja 91 - 29/09/1993. Te 153","HAS0030571",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"46","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","30565","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Smith","Strehl, T.","1347","1994","08",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0030565",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"47","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","30566","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Smith","Strehl, T.","974","1990","05",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Infl. Simples (9-12cm). Folha densa com roseta; cor vermelho.","HAS0030566",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"48","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","30568","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Smith","Strehl, T.","1348","1989","12",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Na parte de cima, sobre uma pedra, a margem das folhas com uma lista de escamas brancas. Flo jun/91; frutificou dez/91","HAS0030568",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"49","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66340","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Mazzitelli, S.M.","1182","1993","11",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","na Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Campo limpo, no topo. Herbácea com cerca de 1,20m de altura, fruto castanho escuro. Rara e dispersa.","HAS0066340",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"50","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66339","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Mazzitelli, S.M.","1181","1993","11",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","na Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Herbácea com 1,10m de altura, flores cor de laranja. Rara e dispersa.","HAS0066339",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"51","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","31634","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Silveira, N.","8929","1990","07",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Na Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0031634",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"52","2020-08-26 10:48:26-03","MCN-FZBRS","HAS","33947","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Strehl, T.","1343","1994","10",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","perto do Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0033947",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"53","2020-08-26 10:48:26-03","MCN-FZBRS","HAS","66170","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Strehl, T.","1350","1990","09",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","ponte abaixo da Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0066170",NA,"Strehl, T.",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"54","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","33959","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Hagelund, K.","16040","1986","10",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Praia Grande, em cima da Serra","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"HAS0033959",NA,NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
