"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber"
"11","2021-04-05 09:58:49-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","4715","S","Plantae","Tracheophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","André Santos & al.","261-A","1984","06","03","América do Sul","Brasil","São Paulo","Pindamonhangaba","São José dos Alpes, Três Pontas, Mata Nebular.","-45.4599990844727","-22.9200000762939",NA,"No solo inclinado do interior da mata nebular.",NA,NA,"Paulo Windisch",NA,NA,"(Fée & Glaz.) Copel.","Polypodiopsida","1984","06","03","24176","auto",NA,NA,NA,NA,NA
"12","2019-12-04 15:26:16-03","PUCPR","HUCP","21579","S","Plantae","Monilofita",NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Ariati, V; Lozano, E","419","2010","04","04",NA,"Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,"HUCP00016749","HUCP00016749","Pereira, JBS",NA,NA,"Copel.",NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA
"13","2020-11-04 12:18:19-03","ESALQ","ESA","55053","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Salino, A.","11984.0","2007","04","05",NA,"Brasil","Santa Catarina","Limite de município Painel / Urupema","Fazenda Farofa, trilha do rio Caveira. Vegetação Secundária de Floresta Ombrófila Mista Aluvial",NA,NA,NA,"Terrestre. Margem do rio.","ESA055053",NA,"Salino, A.","1360","1360","(Fée & Glaz.) Mett.",NA,"2007","04","05",NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:32:55-03","MN","R","237961","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Garcia, N.A. ; Pereira, V.G.",NA,"2019","09","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.71646","-22.36595",NA,NA,"R010071354","R010071354","Garcia, N.A. & Pereira, V.G.","2345","2345","(Fée & Glaz.) Copel.",NA,"2019","09","11",NA,NA,"-44.71646","-22.36595",NA,NA,NA
"15","2019-08-27 13:35:41-03","IAP","PACA-AGP","73910","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Sehnem, A.","7791","1961","01","17",NA,"Brasil","RS",NA,"Serra da Rocinha - Aparados da Serra",NA,NA,NA,"Habitat: herba in fruticeto","PACA073910",NA,"A. Sehnem SJ","1000","1000","(Fée & Glaz.) Copel.","Filicopsida","1961",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-27 13:35:41-03","IAP","PACA-AGP","73911","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Sehnem, A.","913","1942","01","14",NA,"Brasil","RS",NA,"Serra da Rocinha - Aparados da Serra",NA,NA,NA,"Habitat: in silva nebulari","PACA073911",NA,"J. E. Leite","1000","1000","(Fée & Glaz.) Copel.","Filicopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:35:41-03","IAP","PACA-AGP","77805","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Sehnem, A.","4336","1950","01","18",NA,"Brasil","RS",NA,"Aparados da Serra - Serra da Rocinha",NA,NA,NA,"HASU (HEDU) 3881 Habitat: in silvula nebulari","PACA077805",NA,"A. Sehnem SJ","1000","1000","(Fée & Glaz.) Copel.","Filicopsida","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:35:41-03","IAP","PACA-AGP","88059","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Sehnem, A.",NA,"1950","01","18",NA,"Brasil","RS","Aparados da Serra","Serra da Rocinha.",NA,NA,NA,"HASU 3881. Habitat: In silvula nebulari.","PACA088059",NA,"A. Sehnem SJ","1000","1000","(Fée & Glaz.) Copel.","Filicopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:35:41-03","IAP","PACA-AGP","73941","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Sehnem, A.","6952","1957","01","15",NA,"Brasil","SC","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676",NA,"Habitat: in silva","PACA073941",NA,"A. Sehnem SJ","1700","1700","(Fée & Glaz.) Copel.","Filicopsida",NA,NA,NA,"35974","auto",NA,NA,NA,NA,NA
"20","2019-08-27 13:35:41-03","IAP","PACA-AGP","73942","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Reitz, R.","3425","1948","12","17",NA,"Brasil","SC","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676",NA,"Plantas de Santa Catarina - 4133&nf;Provavelmente a ocorrência mais meridional.&nf;Altura 0,4 m Habitat: terrestre","PACA073942",NA,"A. C. Brade","1900","1900","(Fée & Glaz.) Copel.","Filicopsida","1949",NA,NA,"35974","auto",NA,NA,NA,NA,NA
"21","2019-08-27 13:35:41-03","IAP","PACA-AGP","91136","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Windisch, P. G.","8740","1997","04","27",NA,"Brasil","RS","São José dos Ausentes","Distrito Silveiras, Pico Montenegro, coxilhas com campo e formações de araucária.","-50.0657997131348","-28.7483005523682",NA,"HASU 7441. Habitat: terrestre na mata nebular","PACA091136",NA,"A. Salino","1300","1400","(Fée & Glaz.) Copel.","Filicopsida","2006","04",NA,"42598","auto",NA,NA,NA,NA,NA
"22","2020-12-20 21:18:52-03","UFV","VIC","040134","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Pereira, J.B.S.; Meyer, M.","148","2008","02","17",NA,"Brasil","Paraná","Campina Grande do Sul","Parque Estadual Pico do Paraná, Alt 1600m.","-49.0553016662598","-25.3055992126465",NA,"Terrestre de interior de mata, próximo a trilha. Floresta Ombrófila densa alatmontana.","VIC040134","VIC040134",NA,NA,NA,"(Fée & Glaz.) Copel",NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA
"23","2020-12-20 21:18:52-03","UFV","VIC","52533","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Gonzatti, F.","3137","2016","12","10",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Pico Montenegro","-49","-28",NA,"Erva rosetada.","VIC052533","VIC052533","Gonzatti, F.","1225","1225","Copel.",NA,"2018","05",NA,NA,NA,"-49","-28",NA,NA,NA
"24","2020-12-20 21:18:52-03","UFV","VIC","040085","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Pereira, J.B.S.; Schwartsburd, P.B.","567","2011","01","12",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,"Rupicola em local sombreado.","VIC040085","VIC040085",NA,NA,NA,"(Fée & Glaz.) Copel",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA
"25","2020-02-07 19:03:03-03","UFJF","CESJ","72471","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","F. Gonzatti","3137","2016","12","10","América do Sul","Brasil","Rio Grande do Sul","São José dos Ausentes",NA,"-49.957083","-28.654583",NA,"Erva rosetada, junto à arroio, mata nebular","CESJ072471",NA,"F. Gonzatti","1225","1225","(Fée & Glaz.) Copel.",NA,"2018","05",NA,NA,NA,"-49.957083","-28.654583",NA,NA,NA
"26","2019-11-21 14:53:04-03","UFJF","CESJ","24225","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","L. Krieger; et al.","FPNC1107","1989","04","30","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, próximo ao Terreirão, 2400msm",NA,NA,NA,"Terrestre, na margem do riacho, local sombreado. Campo montano.","CESJ024225",NA,"V.A.O. Dittrich",NA,NA,"(Fée & Glaz.) Copel.",NA,"2002","12",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-21 14:53:04-03","UFJF","CESJ","67560","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","A. Salino; et al.","11984","2007","04","05","América do Sul","Brasil","Santa Catarina",NA,"Fazenda Farofa, limete de municípios Painel/Urupema. Trilha do rio Caveiro.","-49.87","-27.918889",NA,"Vegetação secundária de Florestra Ombrófila Mista Aluvial. Terrestre. Margem do rio.","CESJ067560",NA,"A. Salino","1360","1360","(Fée & Glaz.) Copel.",NA,"2007","04","05",NA,NA,"-49.87","-27.918889",NA,NA,NA
"28","2019-11-21 14:53:04-03","UFJF","CESJ","59131","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","R.F. Novelino; P. Windisch; A. Santos; T.S.Oliveira","s.n.","1984","06","03","América do Sul","Brasil","São Paulo","Pindamonhangaba","São José dos Alpes-3 Pontes","-45.4599990844727","-22.9200000762939",NA,"Rara. Folhas em roseta. Folhas férteis diferentes das estéreis com soros cobrindo toda a folha fértil (ela se desloca através do seu rizoma ca. 2cm/ano). Única espécie da América do Sul.","CESJ059131",NA,"V.A.O. Dittrich",NA,NA,"(Fée & Glaz.) Copel.",NA,"2019","05",NA,"24176","auto",NA,NA,NA,NA,NA
"29","2021-03-01 16:43:48-03","UNICAMP","UEC","57636","S","Plantae","Pteridophyta",NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Salino, A; et al.","25832","1989","04","30",NA,"Brazil","Minas Gerais","Caparaó","Parque Nacional do Caparaó, Nas proximidades do Terreirão.","-41.9043998718262","-20.523099899292",NA,"Terrestre a margem do riacho, em campo de altitude.","UEC067637","UEC067637","Della, AP","2400","2400","Copel.",NA,"2018",NA,NA,"15056","auto",NA,NA,NA,NA,NA
"30","2021-03-01 16:43:48-03","UNICAMP","UEC","58425","S","Plantae","Pteridophyta",NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Salino, A","538","1988","10","01",NA,"Brazil","São Paulo","Campos do Jordão","Parque Estadual (Horto Florestal)","-45.5900001525879","-22.7299995422363",NA,"Terrestre em mata subtropical.","UEC067635","UEC067635","Della, AP","1950","1950","Copel.",NA,"2018",NA,NA,"21048","auto",NA,NA,NA,NA,NA
"31","2020-10-14 10:04:50-03","FURB","FURB","35515","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Salino, A.; Almeida, T.E. & Gasper, A.L. de","14741","2010","04","08",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Morro da Igreja.","-49.48","-28.1233334",NA,NA,"FURB00195","FURB00195","Salino, A",NA,NA,"(Fée & Glaz.) Copel.",NA,"2010","04","08",NA,NA,"-49.4800000","-28.1233334",NA,NA,NA
"32","2020-10-14 10:04:50-03","FURB","FURB","36738","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Gasper, A.L. de; Salino, A. & Meyer, L.","2980","2011","11","13",NA,"Brasil","Santa Catarina","Rio Fortuna","Campo dos Padres.","-49.3177778","-27.9838889",NA,"Caule ereto Coleta Extra IFFSC (Erva Terrícola) Habitat: Campos naturais; Estágio Avançado; matinha nebular Habito: erva terrícola;","FURB12456","FURB12456","Gasper, AL de","1606","1606","(Fée & Glaz.) Copel.",NA,"2011","11","13",NA,NA,"-49.3177778","-27.9838889",NA,NA,NA
"33","2020-10-14 10:04:50-03","FURB","FURB","62929","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Gonzatti, F.","3137","2016","12","10",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Pico Montenegro, matas de entorno.","-49.9572222","-28.6547222",NA,NA,"FURB62929","FURB62929","Gonzatti, F.","1225","1225","(Fée & Glaz.) Copel.",NA,"2018","05",NA,NA,NA,"-49.9572222","-28.6547222",NA,NA,NA
"34","2020-10-14 10:04:50-03","FURB","FURB","64396","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Funez, L.A.; Costa-Rezende, D.H., Ribeiro-Nardes, Oliveira, C.T.","8732","2019","02","24",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Próximo à parcela TS-4000 (PELD-PPBio). Parque Nacional de São Joaquim","-49.6327778","-28.1719445",NA,NA,"FURB64396","FURB64396","Gasper, A.L.","1640","1640","(Fée & Glaz.) Copel.",NA,"2019","02","24",NA,NA,"-49.6327778","-28.1719445",NA,NA,NA
"35","2021-03-31 19:17:48-03","UCS","HUCS","51596","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Gonzatti, F.","4010","2017","11","19",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.732778","-22.361111",NA,"Erva rosetada em vale com arroio. Interior da mata nebular. Transição com o campo rupestre. Subida para a sede.","HUCS007477",NA,"Gonzatti, F.","2200","2200","Copel.",NA,"2021","02",NA,NA,NA,"-44.732778","-22.361111",NA,NA,NA
"36","2021-03-16 17:56:15-03","UCS","HUCS","12375","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Sehnem, A.","7791","1961","01","17",NA,"Brasil","Rio Grande do Sul","Aparados da Serra","Serra da Rocinha",NA,NA,NA,"Herba in fruticeto","HUCS003500","HUCS003500","Sehnem, A.","1000","1000","Copel.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-16 17:56:15-03","UCS","HUCS","19122","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Sehnem, A.","7791","1961","01","17",NA,"Brasil","Rio Grande do Sul","Aparados da Serra","Serra da Rocinha",NA,NA,NA,"Herba in fruticeto","HUCS003643","HUCS003643","Sehnem, A.","1000","1000","Copel.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-16 17:56:15-03","UCS","HUCS","47764","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Gonzatti, F.","3137","2016","12","10",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Pico Montenegro, matas de entorno","-49.957083","-28.654583",NA,"Erva rosetada, junto à arroio, mata nebular","HUCS003506","HUCS003506","Gonzatti, F.","1225","1225","Copel.",NA,"2018","05",NA,NA,NA,"-49.957083","-28.654583",NA,NA,NA
"39","2021-03-16 17:56:15-03","UCS","HUCS","19121","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Sehnem, A.","4336","1950","01","18",NA,"Brasil","Rio Grande do Sul","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,"In silva","HUCS003644","HUCS003644","Sehnem, A.","1000","1000","Copel.",NA,NA,NA,NA,"55856","auto",NA,NA,NA,NA,NA
"40","2020-12-21 16:39:50-03","MBM","MBM","277075","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Krieger, L.; et al.; et al.","24225","1989","04","30","Southern America","Brazil","Minas Gerais","Caparaó","Parque Nacional do Caparaó","-41.9043998718262","-20.523099899292",NA,NA,"MBM277075","MBM277075","Dittrich, VA de O",NA,NA,"(Fée & Glaz.) Copel.",NA,NA,NA,NA,"15056","auto",NA,NA,NA,NA,NA
"41","2020-12-21 16:39:50-03","MBM","MBM","388392","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Labiak, P.H.; Pereira, J.B.S.; Marinero, F.; Pereira, J.B.S.; Marinero, F.","4787","2008","07","09","Southern America","Brazil","Paraná","Campina Grande do Sul","Parque Estadual Pico do Paraná","-48.833333","-25.25",NA,"Terrícola.; Ao lado de um barranco úmido.","MBM388392","MBM388392","Pereira, J.B.S.","1500","1876","(Fée & Glaz.) Copel.",NA,"2008",NA,NA,NA,NA,"-48.833333","-25.25",NA,NA,NA
"42","2020-12-21 16:39:50-03","MBM","MBM","429754","PreservedSpecimen","Plantae",NA,NA,"Plagyogiriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Canestraro, B.K.; Lozano, E.D.; Lozano, E.D.","1507","2019","01","25","Southern America","Brazil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão, final da trilha dos campos, próximo ao riacho","-45.473944","-22.691111",NA,"Terrícola, ciófita, margem do riacho.; Floresta Ombrófila Mista.","MBM429754",NA,"Canestraro, B.K.","1550","1550","(Fée & Glaz.) Copel.",NA,"2019","02",NA,NA,NA,"-45.473944","-22.691111",NA,NA,NA
"43","2020-12-21 16:39:50-03","MBM","MBM","393709","PreservedSpecimen","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Canestraro, B.K.; Pereira, J.; Matos, F.B.; Pereira, J.; Matos, F.B.","514","2013","02","11","Southern America","Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia, Parte Alta. Trilha para Agulhas Negras","-44.8699989318848","-22.283899307251",NA,"Terrícola, semiciófila, folhas dimórficas, caule ereto.; Campos de Altitude, em barranco.","MBM393709","MBM393709","Canestraro, B.K.",NA,NA,"(Fée & Glaz.) Copel.",NA,"2013","02","23","26914","auto",NA,NA,NA,NA,NA
"44","2019-11-01 15:28:46-03","PUC-RIO","FCAB","0300","PreservedSpecimen","Plantae",NA,"Pteridophyta","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","P.E. Leite S.J.","s.n.","1946","01",NA,NA,"Brasil","São Paulo","Campos do Jordão","Itapera","-45.5900001525879","-22.7299995422363",NA,NA,"000300",NA,NA,"2000","2000","(Fée & Glaz.) Copel.",NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"45","2017-12-25 18:57:44-02","MNHN","RECOLNAT_MNHN_P","P01537267","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Plagiogyria","fialhoi","Plagiogyria fialhoi","Schnell, R.",NA,"1958","8","16",NA,"Brasil","Rio de Janeiro",NA,"Serra dos Órgãos",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01537267' target='other'> <mi>dwc_moreinfo</mi></a>","P01537267","P01537267_01","Labiak",NA,NA,"(Fèe & Glaziou) Copel.",NA,NA,NA,NA,NA,NA,NA,NA,"8226",NA,NA
"46","2021-03-24 17:18:17-03","UFMA","MAR","2405","S","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","M.R Pereira Noronha",NA,"1983","03","25",NA,"Brasil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.59","-22.74",NA,NA,NA,NA,NA,NA,NA,"(Fée & Glaz.) Copel.",NA,NA,NA,NA,NA,NA,"45°35'24W","22°44'24S",NA,NA,NA
"47","2021-03-24 17:18:17-03","UFMA","MAR","2404","S","Plantae",NA,NA,"Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","M.R Pereira Noronha",NA,"1982","06","29",NA,"Brasil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.59","-22.74",NA,NA,NA,NA,NA,NA,NA,"(Fée & Glaz.) Copel.",NA,NA,NA,NA,NA,NA,"45°35'24W","22°44'24S",NA,NA,NA
