"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2016-09-29 13:54:00-03","NY","NYBG","636827","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","E. R. Guaglianone","2304","1988","12","16","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636827","Magnoliophyta","Poales",NA,"Formosa","Pilcomayo","Ea. Sta. Mónica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","622417","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","A. B. Joly","s.n.","1948","06","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622417","Magnoliophyta","Poales","E. R. Guaglianone","São Paulo",NA,"S.Paulo. Capital. Parque da Agua Branca.","-46.670221","-23.530494",NA,"(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-05-17 10:20:00-03","NY","NYBG","02610059","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","A. dos S. B. Gil","30",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916822' target='other'> <mi>dwc_moreinfo</mi></a>","NY02610059","Magnoliophyta","Poales",NA,"Rio de Janeiro","Maricá","Lagoa de Maricá. São José do Imbassai; à 4,2km da entrada para as Lagoas de Maricá(no km 20 da Rodovia Amaral Peixoto-Via Maricá).","-42.8185997009277","-22.9193992614746","NY02610059_01",NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","636826","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","M. H. Nee","39625","1990","10","31","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636826","Magnoliophyta","Poales","W. W. Thomas","Santa Cruz","Ichilo","7 km. N of Buena Vista, N end of Laguna Madrejon (Laguna Candelaria on topographic map).","-63.67","-17.38",NA,"(Roxb.) Schult.","295","295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","622840","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","R. Reitz","5097","1952","12","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622840","Magnoliophyta","Poales",NA,"Santa Catarina",NA,"Rio Tavares, Ilha S. Catarina.",NA,NA,NA,"(Roxb.) Schult.","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 13:54:00-03","NY","NYBG","636852","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","G. Davidse","4355","1973","11","22","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636852","Magnoliophyta","Poales","S. González; A. A. Reznicek","Bolívar",NA,"27 km SW of Caicara along Hwy. 19 to Ciudad Bolivar.",NA,NA,NA,NA,"70","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","622412","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","R. M. Harley","15506","1974","01","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622412","Magnoliophyta","Poales",NA,"Bahia",NA,"About 2 km. N. of the town of Rio de Contas in flood plain of the Rio Brumado, with riverine chiefly herbaceous weedy vegetation. Serra do Rio de Contas.","-41.83","-13.58",NA,"(Roxb.) Schult.","980","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 13:54:00-03","NY","NYBG","622838","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","J. C. Lindeman","4030","1967","01","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622838","Magnoliophyta","Poales",NA,"Paraná",NA,"5 km N. of Curitiba; artificial pool near chacara of Nowacki near Barreirinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","622839","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Charudatan","12","1995","11","21","South America","Brazil","sheet",NA,"CV 20. A,mostra Sueli 014 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622839","Magnoliophyta","Poales",NA,"Sergipe","Aracaju","Posto Paty. BR 101, ca. 40 km N de Aracaju.","-37.0717","-10.9111",NA,"(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","622841","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","fistulosa","Eleocharis fistulosa obtusetrigona","R. Reitz","7991","1958","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622841","Magnoliophyta","Poales",NA,"Santa Catarina",NA,"Serra do Oratório, Bom Jardim, S. Joaquim. Turfeira do campo.",NA,NA,"NY00622841_01","(Lindl. ex Nees) Barros","1400","1400",NA,NA,"obtusetrigona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-01-28 13:11:09-03","MCN-PUC-MINAS","HPUC-MG","ANG3671","S","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Gonçalves, A.P.S. & Santos, J.C.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Emergente.",NA,NA,NA,"Gonçalves, A.P.S.","Minas Gerais",NA,"Município de Resende Costa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-01-28 13:11:10-03","MCN-PUC-MINAS","HPUC-MG","ANG660","S","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Gonçalves, A. P. S. e Santos, J. C.",NA,"1996","10","29",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Gonçalves, A.P.S.","Minas Gerais","Resende Costa","Município de Resende Costa","-44.2374992370605","-20.9221992492676",NA,NA,NA,NA,"29517","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:30:00-03","UFRJ","RFA","38506","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","N. C. Machado; T. U. P. Konno","103","2010","05","21",NA,"Brasil",NA,NA,"Erva ca. de 40 cm de altura, inflorescência em espiga amarelada","RFA33501",NA,NA,NA,"Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba. Próximo a Lagoa Piri-piri. Poça 1 (depois da cerca, perto da barra, 'riachinho')","-41.241944","-22.103611",NA,"(Roxb.) Schult.",NA,NA,NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:30:00-03","UFRJ","RFA","38535","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","N. C. Machado; T. U. P. Konno","132","2010","08","26",NA,"Brasil",NA,NA,"Erva ca. de 50 cm de altura","RFA33530",NA,NA,NA,"Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba, próximo a Lagoa Catingosa. Poça 16","-41.241944","-22.103611",NA,"(Roxb.) Schult.",NA,NA,NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-09-10 21:42:40-03","UNEMAT","TANG","2996","S","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Abdo, MSA; França, RPA","557","2015","02","22",NA,"Brasil",NA,NA,NA,"TANG000002996",NA,NA,NA,"Mato Grosso","Tangara da Serra","Córrego São José, Primeira represa do Córrego São José, em uma fazenda de gado, com margem as margens laterais desmatadas","-57.431389","-14.664167",NA,"(Roxb.) Schult.","230","230",NA,NA,NA,"-57.431389","-14.664167",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-10-18 16:24:32-02","UNEMAT","TANG","1995","S","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Pereira, FS","12","2012","08","22",NA,"Brasil",NA,NA,NA,"TANG000001995",NA,NA,"Pereira, FS","Mato Grosso","Tangara da Serra","Fazenda Matinha, As represas amostradas do Córrego Estaca estão localizadas na Fazenda Matinha a 4,69 km da rodovia 358 (Anel Viário).","-57.454992","-14.685911",NA,"(Roxb.) Schult.",NA,NA,NA,NA,NA,"-57.454992","-14.685911","2012","09","10",NA,NA,NA,NA,NA,NA
"27","2019-09-10 21:42:40-03","UNEMAT","TANG","6786","S","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Nascimento, ML; Abdo, MSA; Teixeira, T","s.n.","2018","01","18",NA,"Brasil",NA,NA,NA,"TANG000006786",NA,NA,NA,"Mato Grosso","Nova Olímpia","Estância : São Rafael.","-57.2881011962891","-14.7972002029419",NA,"(Roxb.) Schult.",NA,NA,"51057","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-19 15:45:20-03","UNEB","HUNEB","10346","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Jesus, N.G.","2266","2007","08","28",NA,"Brasil",NA,NA,NA,"HUNEB0010346","Angiospermae","Florideophycidae",NA,"Bahia","Alagoinhas","Fazenda Cantewal, Vila Riacho do Mel, Lagoa da Barro.","-38.4192008972168","-12.1356000900269",NA,"(Roxb.) Schult.",NA,NA,"24621","auto",NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA
"29","2021-03-30 12:52:01-03","EAO","IAN","74099","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","fistulosa","Eleocharis fistulosa","Black, GA; Ledoux, PVD","14371","1952","05","02","Southern America","Brasil",NA,NA,"Inflorescência alongada.","IAN074099","Monocotiledônea",NA,"Eiten, LT","Pará",NA,"Rio Ararí, ilha do Marajó. Fazenda Tuiuiú; campo semi-inundado.",NA,NA,NA,"(Poir.) Link",NA,NA,NA,NA,NA,NA,NA,"1963",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:52:01-03","EAO","IAN","77966","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","fistulosa","Eleocharis fistulosa","Silva, JF da","270","1952","07","08","Southern America","Brasil",NA,NA,"Capim.","IAN077966","Monocotiledônea",NA,"Eiten, LT","Rondônia",NA,"Rio Abunã. Campo.",NA,NA,NA,"(Poir.) Link",NA,NA,NA,NA,NA,NA,NA,"1963",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:52:01-03","EAO","IAN","64258","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","fistulosa","Eleocharis fistulosa","Fróes, RL; Black, GA","27240","1951","07","05","Southern America","Brasil",NA,NA,NA,"IAN064258","Monocotiledônea",NA,"Eiten, LT","Amapá","Macapá","Rio Macacoarí.","-51.0663986206055","-0.366667002439499","IAN064258 IAN064258_e","(Poir.) Link",NA,NA,"225229","auto",NA,NA,NA,"1963",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:52:01-03","EAO","IAN","64249","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","fistulosa","Eleocharis fistulosa","Fróes, RL; Black, GA","27231","1951","07","05","Southern America","Brasil",NA,NA,NA,"IAN064249","Monocotiledônea",NA,"Eiten, LT","Amapá","Macapá","Rio Macacoarí. Em campo.","-51.0663986206055","-0.366667002439499","IAN064249 IAN064249_e","(Poir.) Link",NA,NA,"225229","auto",NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:52:01-03","EAO","IAN","54600","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","fistulosa","Eleocharis fistulosa","Black, GA; Lobato, JJ","9336","1950","03","21","Southern America","Brasil",NA,NA,"Perene, caule triangular.","IAN054600","Monocotiledônea",NA,"Eiten, LT","Pará","Soure","Fazenda Ritlândia; campo inundado, fazendo limites com a fazenda Santander.","-48.5233001708984","-0.716666996479034",NA,"(Poir.) Link",NA,NA,"69952","auto",NA,NA,NA,"1963",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-04 15:26:28-03","PUCPR","HUCP","25431","S","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Bona, C; Alves, SCS; Padial, AA","53","2012","01","31",NA,"Brasil",NA,NA,"Presente em banco de macrófitas. Hábitos de vida flutuante fixa.","HUCP00025431","Monocotiledonea",NA,"Cervi, AC","Parana","Curitiba","Reservatório Passauna","-49.2731018066406","-25.4277992248535","HUCP00025431","(Roxb.) Schult.",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-29 18:02:02-03","CPAN-UFMS","COR","15681","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Amaral, T. S.",NA,"2011","05","15",NA,"Brasil",NA,NA,"Erva, 40 cm de altura; flor marrom; banco de sementes Habito: Erva",NA,NA,NA,"Pott, V. J.","Mato Grosso do Sul","Corumbá","Pantanal; sub-região do Miranda-Abobral; fazenda São Bento","-57.017778","-19.480556",NA,"(Roxb.) Schult.","92","92",NA,NA,NA,"57º1'4''W","19º28'50''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-29 18:02:02-03","CPAN-UFMS","COR","8690","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Damasceno-Júnior, G. A.; Nakajima, J. N.; Romero, R. & Pott, V. J.","2913","2001","11","18",NA,"Brasil",NA,NA,"Erva aquática; 20 cm; flor creme Habito: Erva",NA,NA,NA,"Prata, A. P.","Mato Grosso do Sul","Corumbá","Fazenda Acurizal; área de inundação do córrego Retiro","-57.559444","-17.841944",NA,"(Roxb.) Schult.",NA,NA,NA,NA,NA,"57º33'34''W","17º50'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-26 18:07:45-03","CPAN-UFMS","COR","4402","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Pott, V.J.; Pott, A.; Bueno, N.C. & Arantes, A.","2940","1996","02","25",NA,"Brasil",NA,NA,"Com Flor: branca; Habito: Erva aquática emergente",NA,NA,NA,NA,"Mato Grosso do Sul","Coxim","23Km de Coxim, na estrada pantaneira.","-54.885278",NA,NA,"(Roxb.) Schult.","250","250",NA,NA,NA,"54º53'7''W","18º24'61''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:27:53-03","UFBA","ALCB","019798","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Noblick, LR","1858","1980","05","31","Southern America","Brasil",NA,NA,"caules grossos sem septos e redondos, base arroxeada. Lugares brejosos.","ALCB016223","Monocotyledon",NA,"Luceño, M","Bahia","Piritiba","Paraguaçu","-40.55","-11.716667","ALCB016223","(Roxb.) Schult.f.",NA,NA,NA,NA,NA,"-40.55","-11.716667","1996","02",NA,NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:27:53-03","UFBA","ALCB","040094","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Vanni, R; Guaglianone, R; Strittmatter, L; Dopchiz, L; Glibota, CS","4121","1997","11","25","Southern America","Argentina",NA,NA,"palustre. (Muestra 15)","ALCB016221","Monocotyledon",NA,"López, MG","Corrientes","Dep. Mburucuyá","Parque Nacional Mburucuy . Ea. Santa teresa, Potrero Nro. 6. En laguna",NA,NA,"ALCB016221","(Roxb.) Schult.f.",NA,NA,NA,NA,NA,NA,NA,"1998","03",NA,NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:27:53-03","UFBA","ALCB","109435","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Guedes, ML; Mattos Andrade, PE de; Leite, KRB; et al.","20635","2013","04","09","Southern America","Brasil",NA,NA,"Colmos triangulares, de faces convexas;gluma inferior fértil; aquênio com colo no ápice.","ALCB016222","Monocotyledon",NA,"Guedes, ML","Bahia","Umburanas","Piemonte da Diamantina, Povoado . Ponto 02","-40.093889","-11.998056","ALCB016222","(Roxb.) Schult.f.","335","335",NA,NA,NA,"-40.093889","-11.998056","2013","07",NA,NA,NA,NA,NA,NA,NA
"41","2020-02-08 10:13:50-03","NBC","NL-BOTANY","L.1379092","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Fiebrig K",NA,"1908","01","01","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1379092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1379092",NA,"Poales",NA,NA,NA,"N.Paraguay: Zwischen Rio Apa und Rio Aquidaban.",NA,NA,"NL-L1379092","(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"42","2020-02-08 10:13:50-03","NBC","NL-BOTANY","L.1379093","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Pedersen TM",NA,"1961","04","30","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1379093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1379093",NA,"Poales",NA,NA,NA,"Estancia,,La Soledad'', Santiago, Dep. Missiones.",NA,NA,"NL-L1379093","(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"43","2020-02-08 10:13:50-03","NBC","NL-BOTANY","L.3759082","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Pedersen TM",NA,"1985","02","19","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3759082 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3759082",NA,"Poales",NA,NA,NA,"Carambola (ca'Fortin del Ibera'). Dep. Concepción. Prov. Corrientes.",NA,NA,"NL-L3759082","(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"44","2020-02-08 10:13:50-03","NBC","NL-BOTANY","L.3759112","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Pedersen TM",NA,"1988","12","15","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3759112 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3759112",NA,"Poales",NA,NA,NA,"Estancia 'La Yela'. Dep. Empedrado. Prov. Corrientes.",NA,NA,"NL-L3759112","(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
