"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"20","2019-08-27 13:30:51-03","IAP","PACA-AGP","29535","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1945","09","05",NA,"Brasil","RS","ad montem Sapucaia",NA,"Habitat: In arenosis dumetosis Fenofase: flor","PACA029535",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"21","2019-08-27 13:30:51-03","IAP","PACA-AGP","37914","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1948","11","11",NA,"Brasil","RS","ad montem Sapucaia",NA,"Habitat: in dumetosis campestribus Fenofase: flor e fruto","PACA037914",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"22","2019-08-27 13:30:51-03","IAP","PACA-AGP","44274","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1949","11","05",NA,"Brasil","RS","ad montem Sapucaia",NA,"Habitat: In arenosis dumetosis Fenofase: flor","PACA044274",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"23","2019-08-27 13:30:51-03","IAP","PACA-AGP","40781","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1949","04","01",NA,"Brasil","RS","Ad montem Sapucaia",NA,"SEM MATERIAL Habitat: In campestribus dumetosis Fenofase: flor e fruto","PACA040781",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"24","2019-08-27 13:30:51-03","IAP","PACA-AGP","48703","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1950","09","07",NA,"Brasil","RS","ad montem Sapucia",NA,"Habitat: In dumetosis campestribus Fenofase: flor","PACA048703",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"25","2019-08-27 13:30:51-03","IAP","PACA-AGP","84735","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","M. Grings","Sehnem, A.",NA,"1969","04","21",NA,"Brasil","RS","Gravataí",NA,"Habitat: Erva in dumetis","PACA084735",NA,NA,"Itacolumi",NA,NA,NA,NA,"2010","04","13","Magnoliatae",NA,NA,NA,NA,NA,NA
"26","2019-08-27 13:30:51-03","IAP","PACA-AGP","43258","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1949","09","05",NA,"Brasil","RS","Estação Azevedo",NA,"SEM MATERIAL Habitat: In dumetosis secundariis Fenofase: flor e fruto","PACA043258",NA,NA,"Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,"1954","08","22","Magnoliatae","21601","auto",NA,NA,NA,NA
"27","2019-08-27 13:30:51-03","IAP","PACA-AGP","2792","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1935","12","21",NA,"Brasil","RS","Kappesberg",NA,"Habitat: in dumetosis secundariis Fenofase: flor","PACA002792",NA,NA,"Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,"1954","08","22","Magnoliatae","21601","auto",NA,NA,NA,NA
"28","2019-08-27 13:30:51-03","IAP","PACA-AGP","33469","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Henz, E.",NA,"1946","07","25",NA,"Brasil","RS",NA,NA,"Habitat: In campestribus dumetosis Fenofase: flor e fruto","PACA033469",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"29","2019-08-27 13:30:51-03","IAP","PACA-AGP","11661","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1943","09",NA,NA,"Brasil","RS","ad montem sapucaia",NA,"Habitat: In campestribus dumetosis Fenofase: flor","PACA011661",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"30","2019-08-27 13:30:51-03","IAP","PACA-AGP","42752","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1949","08","05",NA,"Brasil","RS","ad montem Sapucaia",NA,"SEM MATERIAL Habitat: In campestribus dumetosis Fenofase: flor e fruto","PACA042752",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"31","2019-08-27 13:30:51-03","IAP","PACA-AGP","202","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1933","06","17",NA,"Brasil","RS","ad montem Sapucaia",NA,"Habitat: In campestribus dumetosis Fenofase: flor e fruto","PACA000202",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"32","2019-08-27 13:30:51-03","IAP","PACA-AGP","37346","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1948","11","10",NA,"Brasil","RS","ad montem Sapucaia",NA,"Habitat: In campestribus dumetosis Fenofase: flor e fruto","PACA037346",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"33","2019-08-27 13:30:51-03","IAP","PACA-AGP","42078","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1949","06","18",NA,"Brasil","RS","ad montem Sapucaia",NA,"Habitat: In campestribus dumetosis Fenofase: flor e fruto","PACA042078",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
"34","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0035186","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.",NA,"G. Hatschbach; M. Hatschbach, O. S. Ribas","54934","1991","11","9",NA,"Brazil","Minas Gerais","Rod. BR-365, 10-15 km ao sul de Montes Claros.",NA,"Erva 1 m, Flor amarela.",NA,NA,NA,NA,"-43.866667","-16.716667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 14:38:49-03","UFJF","CESJ","40456","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Gaya","pilosa k. shum","Gaya pilosa k. shum",NA,"R.M. Castro","D.S. Pifano; R.O.Garcia; K. Antunes; A.S.M. Valente","505","2003","02","17","América do Sul","Brasil","Minas Gerais","Serra dos Núcleos - Fazenda Primavera",NA,"subarbusto ca.1m, no pasto em local de clareira. Flores de cálice verde e corola alaranjada.","CESJ040456",NA,NA,"São João Nepomuceno","-43.0106010437012","-21.5400009155273",NA,NA,"2003",NA,NA,NA,"20981","auto",NA,NA,NA,NA
"36","2021-04-07 11:45:48-03","UFMS","CGMS","38816","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","R.H.Silva","R.H. Silva; J.P. Souza; G. Guimarães; E.L. Siqueira","886","2013","03","15",NA,"Brasil","Mato Grosso do Sul","Afloramento rochoso.",NA,"Flor amarela. Fruto ausente. Habitat: Afloramento rochoso. Bancada laterítica. Relevo com elevações. Plano. Habito: Subarbustivo","CGMS1068207",NA,NA,"Corumbá","-57.5166667","-19.1522222","-57,5166667","-19,1522222","2013","03","15",NA,NA,NA,"204","204",NA,NA
"37","2019-11-27 13:50:06-03","UFS","ASE","21761","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","Donadio, CM","Donadio, CM","84","2010","09","19","Southern America","Brasil","Sergipe",NA,NA,"Arbusto. Flores brancas.; Arbusto. Flores brancas.; Caatinga / Povoado Lagoa da Entrada.","ASE0028110","ASE0028110",NA,"Porto da Folha","-37.278056","-9.917222","-37.278056","-9.917222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-08-20 10:17:48-03","UNICAMP","UEC","10047","S","Plantae","Magnoliopsida",NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","Esteves, GL","Semir, J; Freitas Filho, F; Vanuci, L","8718","1978","10","31",NA,"Brazil","São Paulo","Estrada d.Pedro I, Próximo da mata beira de estrada",NA,"Sub.arbusto 1,0 m. Flores amarelas",NA,NA,NA,NA,NA,NA,NA,NA,"1997","05",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-08-20 10:17:48-03","UNICAMP","UEC","149264","S","Plantae","Magnoliopsida",NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","Kinoshita, LS","Kinoshita, LS; Milward-de-Azevedo, MA; Eller, CB; Sarquis, JA; Rodrigues, MC; Sampaio, NMV","09-79","2009","05","14",NA,"Brazil","Minas Gerais","Serra do Lopo, Trilha Pedra das Flores",NA,"Arbusto, flor amarela vistosa.",NA,NA,NA,"Extrema","-46.331389","-22.892778","-46.331389","-22.892778","2009","05",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-06 09:56:16-03","UFOP","OUPR","9308","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.",NA,"Nogueira, R.E.","83","1999","09","20",NA,"Brasil","Minas Gerais","Serra da Brígida, APA da Cachoeira das Andorinhas.",NA,"Erva rastejante. Mata.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"41","2020-04-27 16:10:21-03","UFES","VIES","39632","S","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","Tuler, A.C.","Carrijo, T.T.; Luber, J.","2186","2015","03","17",NA,"Brasil","Espírito Santo","Parque Estadual de Mata das Flores.",NA,NA,"VIES039632","VIES039632",NA,"Castelo","-41.184700012207","-20.6035995483398",NA,NA,"2015","08","15",NA,"23588","auto",NA,NA,NA,NA
"42","2020-06-29 09:30:47-03","UFRRJ","RBR","13298","S","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","J. Eugênio","J. Eugênio","2104","1941","12",NA,NA,"Brasil",NA,"Perto do Morro Sapucaia",NA,NA,"RBR00013298",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-06-29 09:30:47-03","UFRRJ","RBR","28933","S","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","D.C. Caravalho","H.F. Baylão-Junior","203","2005","11","24",NA,"Brasil","Rio de Janeiro","Sítio Monumento, estrada para apiário2",NA,NA,"RBR00028933",NA,NA,"Piraí","-43.8981018066406","-22.6291999816895",NA,NA,"2005","11","24",NA,"20293","auto",NA,NA,NA,NA
"44","2020-12-21 16:33:09-03","MBM","MBM","304286","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Sá, K.L.V.R. de","Sá, K.L.V.R. de","384","2002","10","15","Southern America","Brazil","Paraná","Reserva Indígena São Jerônimo",NA,NA,"MBM304286","MBM304286",NA,"São Jerônimo da Serra","-50.7411003112793","-23.7275009155273",NA,NA,NA,NA,NA,NA,"30511","auto",NA,NA,NA,NA
"45","2020-12-21 16:33:09-03","MBM","MBM","27754","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.",NA,"Rambo, B.","42610","1949","07","18","Southern America","Brazil","Rio Grande do Sul","Caí",NA,NA,"MBM027754","MBM027754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:33:09-03","MBM","MBM","27777","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Schwindt, E.","Schwindt, E.","2260","1949","10","24","Southern America","Argentina",NA,"Misiones",NA,NA,"MBM027777","MBM027777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:33:09-03","MBM","MBM","32235","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.",NA,"Krapovickas, A.; et al.; et al.","23986",NA,NA,NA,"Southern America","Argentina",NA,NA,NA,NA,"MBM032235","MBM032235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:33:09-03","MBM","MBM","385365","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Selusniaki, M.","Diego","s.n.","2012","01","12",NA,"Brasil","Paraná","UHE Mauá",NA,"Resgate de flora da UHE Mauá","MBM385365","MBM385365",NA,"Ortigueira","-50.723333","-24.111389","-50.723333","-24.111389","2012","01","12",NA,NA,NA,"520","750",NA,NA
"49","2020-12-21 16:33:09-03","MBM","MBM","409365","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Barboza, E.","Caxambu, M.G.","6112","2015","04","24",NA,"Brasil","Minas Gerais","Estância Jo, Próximo à Serra da Canastra",NA,"Subarbusto ca. 0,50 m, heliófito, ereta. Flores amarelas.; Relevo: ondulado. Vegetação: Savana (campo sujo).","MBM409365","MBM409365",NA,"Delfinópolis","-46.902028","-20.298306","-46.902028","-20.298306","2016",NA,NA,NA,NA,NA,"666","666",NA,NA
"50","2020-12-21 16:33:09-03","MBM","MBM","409366","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Barboza, E.","Caxambu, M.G.","6123","2015","04","24",NA,"Brasil","Minas Gerais","Estância Jo, Próximo à Serra da Canastra",NA,"Arbusto ca. 0,60 m, heliófito. Flores alaranjadas com filetes alaranjados.; Relevo: ondulado. Vegetação: Savana (campo sujo).","MBM409366","MBM409366",NA,"Delfinópolis","-46.902194","-20.298222","-46.902194","-20.298222","2016",NA,NA,NA,NA,NA,"672","672",NA,NA
"51","2020-12-21 16:33:09-03","MBM","MBM","141146","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Krapovickas, A.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","54934","1991","02","09","Southern America","Brazil","Minas Gerais","Rod. BR-365,10-15km S de Montes Claros",NA,NA,"MBM141146",NA,NA,"Montes Claros","-43.8616981506348","-16.7350006103516",NA,NA,NA,NA,NA,NA,"72568","auto",NA,NA,NA,NA
"52","2015-09-04 19:15:19-03","MNHN","RECOLNAT_MNHN_P","P06726767","PreservedSpecimen",NA,NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.",NA,"Hassler, E.",NA,"1912","2","1",NA,"Paraguai",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06726767' target='other'> <mi>dwc_moreinfo</mi></a>","P06726767","P06726767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11008",NA
