"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","stateProvince","locality","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","infraspecificEpithet","relatedCatalogItem"
"11","2016-09-27 02:32:00-03","NY","NYBG","603485","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus",NA,"A. M. Planchuelo","T. S. Ibarrola","1945","10","15","Argentina","General Paz",NA,NA,NA,NA,NA,NA,"NY00603485",NA,"3523","Corrientes","General Paz (Pueblo)","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268347' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","607927","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"H. E. Strang","1966","12","30","Brazil",NA,"-44.678895","-22.385269",NA,NA,NA,NA,"NY00607927","NY00607927_01","768","Rio de Janeiro","Itatiaia Abrigo Rebouças","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268344' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","603480","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","R. Monteiro","G. Eiten","1965","11","05","Brazil","Resende","-44.4467010498047","-22.468900680542",NA,NA,"2300","2300","NY00603480","NY00603480_01","6614","Rio de Janeiro","Mt. Itatiáia, planalto. 150 m NW of shelter house, Abrigo Rebouças","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268348' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","603483","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","A. M. Planchuelo; D. B. Dunn","G. F. J. Pabst","1961","11","01","Brazil",NA,NA,NA,NA,NA,NA,NA,"NY00603483","NY00603483_01","6673","Rio Grande do Sul","Serra do Herval, próximo Pinheiro Machado","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268341' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-24 17:10:42-03","UTFPR","DVPR","1602","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P. Sm.","Cordeiro, J; Barboza, E","Caxambu, MG; Siqueira, EL","2009","10","16","Brasil","Ponta Grossa","-49.58104","-25.10354","-49.58104","-25.10354","866","866","DVPR001602","DVPR001602","2710","Paraná","Buraco do Padre","Arbusto heliófito, piloso, ca. 1,80 m. Frutos imaturos verdes, pilosos. Flores roxas, apresentando estandarte roxo com centro alvo.; Orla de Capão. Relevo: ondulado.Vegetação: Estepe (Campos Gerais).",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 17:41:48-03","EAO","IAN","88261","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Pennell, FW","1925","03","02","Peru",NA,NA,NA,NA,NA,NA,NA,"IAN088261",NA,"14160",NA,"Open grassy slopes.",NA,NA,"Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:25:12-03","PUCPR","HUCP","23288","S","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","Brotto, M","Silva, JM; Motta, JT","2014","10","07","Brasil","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00011660","HUCP00011660","8639","Paraná","Caminho Trentino",NA,NA,NA,NA,NA,"Eudicotiledonea",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:16:26-03","UFBA","ALCB","034128","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P. Smith","Hatschbach, G","Silva, JM; Poliquesi, CB","1995","10","05","Brasil","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"ALCB031382","ALCB031382","1546","Paraná","Itaiacoca","Flor lilás. 85,0cm de altura.; Beira de estrada.",NA,"Southern America",NA,NA,"Dicotyledon",NA,"46557","auto","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-10-09 11:16:26-03","UFBA","ALCB","92287","PreservedSpecimen","Plantae","Fabaceae","Lupinus","hilarianus","Lupinus hilarianus","Benth.","Schinini, A","Arbo, MM; Ferrucci, MS; González, AM; Schinini, A","2006","10","17","Argentina",NA,"-58.066667","-28.016667","-58.066667","-28.016667",NA,NA,"ALCB031383","ALCB031383","9277","Corrientes","Mburucuyá. Parque Nacional. Potrero Maizal","Palmar. Erguida, flores azul violaceo",NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 09:13:32-03","NBC","NL-BOTANY","WAG0253344","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","Hatschbach GG","Silva JM; Cordeiro J","1987","11","09","Brazil",NA,"-49.4","-25.583333","-49.4","-25.583333",NA,NA,"NL-WAG0253344",NA,NA,"Paraná","Recanto das Araucárias.","Borda de capão.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG0253344 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 09:13:32-03","NBC","NL-BOTANY","L.2047497","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","hilarianus","Lupinus hilarianus","Benth.",NA,"Wasum R; et al.","1991","10","02","Brazil",NA,NA,NA,NA,NA,NA,NA,"NL-L2047497","NL-L2047497",NA,NA,"RS - Caxias do Sul - estrada para Forqueta, em beira de estrada.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2047497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 09:13:32-03","NBC","NL-BOTANY","L.2047498","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","hilarianus","Lupinus hilarianus","Benth.",NA,"Pedersen TM","1964","10","08","Argentina",NA,NA,NA,NA,NA,NA,NA,"NL-L2047498","NL-L2047498",NA,NA,"Itatí, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2047498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-02-08 09:13:32-03","NBC","NL-BOTANY","U.1315925","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","hilarianus","Lupinus hilarianus","Benth.",NA,"Lillo M","1903","11","22","Argentina",NA,NA,NA,NA,NA,NA,NA,"NL-U1315925","NL-U1315925",NA,NA,"Prov. Tucuman, Dep. Monteros, Localidad Rio Romano.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1315925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:29:40-03","MN","R","121126","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Lutz, A.","1913","01","15","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"350","São Paulo",NA,"Herbarium Lutz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-01-14 15:29:40-03","MN","R","131010","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","Santos, M.P.","Santos, E.A.A.; Fromm-Trinta, E.; Trinta, Z.A.; Leane, N.; Santos, E.C. & Santos, E.C.","1971","10","10","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2783","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001",NA,"03",NA,NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:29:40-03","MN","R","187070","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Duarte, L.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2820","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996",NA,"01",NA,NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:29:40-03","MN","R","23632","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Sampaio, A.J.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"270 A","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-15 14:42:18-03","MN","R","66219","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Regnell, A.F.",NA,NA,NA,"Brasil","Caldas","-46.386100769043","-21.9235992431641",NA,NA,NA,NA,NA,NA,"II - 404","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"25710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-01-14 15:29:40-03","MN","R","192644","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Leoncini, O.","1964","08","06","Brasil","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,NA,NA,"87","Minas Gerais",NA,"Museu Nacional - Inst. Biofosica - USAEC. Contrato Nº AT (30-1) - 3273.",NA,NA,NA,NA,NA,NA,"23696","auto","1968",NA,"03",NA,NA,NA,NA,NA,NA,NA
"30","2021-01-14 15:29:40-03","MN","R","220461","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Roppa, O.A.","1965","08","11","Brasil","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,NA,NA,"657","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"23696","auto","1968",NA,"03",NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:29:40-03","MN","R","65722","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"s.col.",NA,NA,NA,"Brasil","Poços de Caldas.","-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-01-14 15:29:40-03","MN","R","66206","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Ule, E.H.G.","1895","12","28","Brasil","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,"s.n.","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-01-14 15:29:40-03","MN","R","131033","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Barcia, J.C.C.","1973","08","01","Brasil","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"2400","2400",NA,NA,"627","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-01-14 15:29:40-03","MN","R","66222","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Ule, E.H.G.","1894","02",NA,"Brasil","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"1900","1900",NA,NA,"s.n.","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-01-14 15:29:40-03","MN","R","66204","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Dusén, P.K.H.","1902","05","17","Brasil","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"2100","2100",NA,NA,"114","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-01-14 15:29:40-03","MN","R","130520","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"Smith, L.B.; Klein, R.M.","1964","12","07","Brasil","Campo Erê","-53.0780982971191","-26.3941993713379","5308W","2622S","900","900",NA,NA,"13796","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"24706","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-01-14 15:29:40-03","MN","R","8442","PreservedSpecimen","Plantae","Fabaceae","Lupinus","hilarianus","Lupinus hilarianus","Benth.",NA,"Glaziou, A.F.M.","1868","12","19","Brasil","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"R000008442","R000008442_001","8643","Rio de Janeiro",NA,"Plantas do Brasil Central",NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-02-22 11:46:45-03","IPA","IPA","12685","S","Plantae","Leguminosae-Pap.","Lupinus","hilarianus","Lupinus hilarianus","Benth.","Andrade-Lima","Andrade-Lima","1961",NA,NA,"Brasil",NA,NA,NA,NA,NA,"2100","2200","IPA0012685",NA,"61-3768","São Paulo","Itatiaia, Entre pedras, à margem da estrada para base das Agulhas Negras, margem rochosa","Erva 30 - 40 cm. flor mais ou menos indigo",NA,"Southern America",NA,NA,"Plantae",NA,NA,NA,"1970",NA,"04","30",NA,NA,NA,NA,NA,NA
"39","2019-02-22 11:46:45-03","IPA","IPA","19910","S","Plantae","Leguminosae-Pap.","Lupinus","hilarianus","Lupinus hilarianus","Benth.","Andrade-Lima","Atala, F.","1960","03","13","Brasil",NA,NA,NA,NA,NA,NA,NA,"IPA0019910",NA,"284","Rio de Janeiro","Itatiaia, Caminho Rebouças-Prateleiras",NA,NA,"Southern America",NA,NA,"Plantae",NA,NA,NA,"1970",NA,"04","30",NA,NA,NA,NA,NA,NA
"40","2019-02-22 11:46:45-03","IPA","IPA","46209","S","Plantae","Leguminosae-Pap.","Lupinus","hilarianus","Lupinus hilarianus","Benth.","Rita Pereira","Andrade-Lima","1975","01","30","Brasil",NA,NA,NA,NA,NA,NA,NA,"IPA0046209",NA,"8076","Rio de Janeiro","Itatiaia",NA,NA,"Southern America",NA,NA,"Plantae",NA,NA,NA,"1986",NA,"05","09",NA,NA,NA,NA,NA,NA
"41","2019-02-22 11:46:45-03","IPA","IPA","14942","S","Plantae","Leguminosae-Pap.","Lupinus","hilarianus","Lupinus hilarianus","Benth.","Andrade-Lima","Leoncini, O.","1964","08","06","Brasil","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"IPA0014942",NA,"87","Minas Gerais","Retiro Branco",NA,NA,"Southern America",NA,NA,"Plantae",NA,"23696","auto","1968",NA,"02","28",NA,NA,NA,NA,NA,NA
"42","2019-02-22 11:46:45-03","IPA","IPA","14941","S","Plantae","Leguminosae-Pap.","Lupinus","hilarianus","Lupinus hilarianus","Benth.","Andrade-Lima","Roppa, O.","1965","08","11","Brasil","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"IPA0014941",NA,"657","Minas Gerais","Retiro Branco",NA,NA,"Southern America",NA,NA,"Plantae",NA,"23696","auto","1968",NA,"02","28",NA,NA,NA,NA,NA,NA
"43","2019-08-27 13:29:33-03","IAP","PACA-AGP","11045","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C. P. Smith","M. Pinheiro dos Santos","Rambo, B.","1943",NA,NA,"Brasil","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"PACA011045",NA,NA,"RS","Vila Manresa","Habitat: in campestribus graminosis Fenofase: flor e fruto submaturo",NA,NA,NA,NA,"Magnoliophyta","Fagales","29946","auto","2001","Magnoliatae","03",NA,NA,NA,NA,NA,NA,NA
"44","2019-08-27 13:29:33-03","IAP","PACA-AGP","56987","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C. P. Smith","M. Pinheiro dos Santos","Rambo, B.","1955","11","04","Brasil","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"PACA056987",NA,NA,"RS","Vila Manresa","Habitat: in graminosis siccis Fenofase: flor e fruto",NA,NA,NA,NA,"Magnoliophyta","Fagales","29946","auto","2001","Magnoliatae","03",NA,NA,NA,NA,NA,NA,NA
"45","2019-08-27 13:29:33-03","IAP","PACA-AGP","86562","PreservedSpecimen","Plantae","Fabaceae","Lupinus","heptaphyllus","Lupinus heptaphyllus","(Vell.) Hassl.","R. Vanni","Sehnem, A.","1965","07","31","Brasil","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"150","150","PACA086562",NA,"8440","RS","ad montem Chapéu","Hábito: herba",NA,NA,NA,NA,"Magnoliophyta","Fagales","10287","auto","1985","Magnoliatae","08",NA,NA,NA,NA,NA,NA,NA
"46","2019-08-27 13:29:33-03","IAP","PACA-AGP","86563","PreservedSpecimen","Plantae","Fabaceae","Lupinus","heptaphyllus","Lupinus heptaphyllus","(Vell.) Hassl.","R. Vanni","Sehnem, A.","1965","11","01","Brasil","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"900","900","PACA086563",NA,"8501","RS",NA,"Habitat: in campo, prope urbem Hábito: herba",NA,NA,NA,NA,"Magnoliophyta","Fagales","76715","auto","1985","Magnoliatae","08",NA,NA,NA,NA,NA,NA,NA
"47","2019-08-27 13:29:33-03","IAP","PACA-AGP","48955","PreservedSpecimen","Plantae","Fabaceae","Lupinus","hilarianus","Lupinus hilarianus","Benth.","Emrich-Rambo","Rambo, B.","1950","10","11","Brasil","Itapoã",NA,NA,NA,NA,NA,NA,"PACA048955",NA,NA,"RS","Granja Neugebauer","Habitat: in arenosis dumetosis Fenofase: flore albo",NA,NA,NA,NA,"Magnoliophyta","Fagales",NA,NA,"1954","Magnoliatae","08","16",NA,NA,NA,NA,NA,NA
"48","2019-08-27 13:29:33-03","IAP","PACA-AGP","54154","PreservedSpecimen","Plantae","Fabaceae","Lupinus","hilarianus","Lupinus hilarianus","Benth.","sem det.","Campos Porto","1936","01","16","Brasil","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"PACA054154",NA,"2876","RJ","Serra Negra","Herb. Jardim Bot. Rio 28100. flor roxa Fenofase: flor",NA,NA,NA,NA,"Magnoliophyta","Fagales","19648","auto","1954","Magnoliatae","08","16",NA,NA,NA,NA,NA,NA
"49","2019-08-27 13:29:33-03","IAP","PACA-AGP","49330","PreservedSpecimen","Plantae","Fabaceae","Lupinus","hilarianus","Lupinus hilarianus","Benth.","Emrich-Rambo","Rambo, B.","1950","12","18","Brasil","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"PACA049330",NA,NA,"RS","Taimbesinho","SEM MATERIAL Habitat: in campestribus graminosis Fenofase: flor",NA,NA,NA,NA,"Magnoliophyta","Fagales","76715","auto","1955","Magnoliatae","12","18",NA,NA,NA,NA,NA,NA
