"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","class","yearIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"16","2020-12-21 16:36:43-03","MBM","MBM","154514","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G.; Kummrow, R.; Kummrow, R.","57110","1992","06","24","Southern America","Brazil",NA,NA,NA,"MBM154514",NA,NA,"Mattos","Paraná","Mato Preto","Cerro Azul","-49.261100769043","-24.823600769043","MBM154514","Sobral, M.",NA,NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:36:43-03","MBM","MBM","138271","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G.; Silva, J.M.; Silva, J.M.","54433","1990","09","05","Southern America","Brazil",NA,NA,NA,"MBM138271",NA,NA,"Mattos","Paraná","Mato Preto","Cerro Azul","-49.261100769043","-24.823600769043","MBM138271","Sobral, M.",NA,NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-02-05 16:46:53-02","MNHN","RECOLNAT_MNHN_P","P00966401","PreservedSpecimen",NA,"Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Almeida-Scabbia, R.J.|Silva, C.|Dias, R.|Capistrano, T.R.|Oliveira, T.R.",NA,"2007","11","13",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00966401' target='other'> <mi>dwc_moreinfo</mi></a>","P00966401",NA,NA,"Mattos","São Paulo","Subprefeitura de Paranapiacaba e Parque andreense, região administrativa da subprefeitura, Parque América, trilha travessa Marechal Rondon","Santo André","-46.40667","-23.77806","P00966401_01",NA,NA,NA,NA,NA,"5119",NA,NA,NA,NA,NA,NA,NA
"19","2015-11-07 07:15:56-02","MNHN","RECOLNAT_MNHN_P","P01902763","PreservedSpecimen",NA,"Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Blanchet, S.J.",NA,"1836",NA,NA,NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902763' target='other'> <mi>dwc_moreinfo</mi></a>","P01902763",NA,NA,"Mattos",NA,"La Jacobine",NA,NA,NA,"P01902763_01",NA,NA,NA,NA,NA,"2572",NA,NA,NA,NA,NA,NA,NA
"20","2015-11-07 07:16:03-02","MNHN","RECOLNAT_MNHN_P","P01902764","PreservedSpecimen",NA,"Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Blanchet, S.J.",NA,"1836",NA,NA,NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902764' target='other'> <mi>dwc_moreinfo</mi></a>","P01902764",NA,NA,"Mattos",NA,"La Jacobine",NA,NA,NA,"P01902764_01",NA,NA,NA,NA,NA,"2572",NA,NA,NA,NA,NA,NA,NA
"21","2015-09-04 22:54:06-03","MNHN","RECOLNAT_MNHN_P","P05322212","PreservedSpecimen",NA,"Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Gaudichaud",NA,"1833","1","1",NA,"Brasil","hb",NA,"Hérbier Impérial du Brésil, nº 710. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05322212' target='other'> <mi>dwc_moreinfo</mi></a>","P05322212",NA,NA,"Mattos",NA,"Brésil. Province de San-Paolo.",NA,NA,NA,"P05322212_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-09-04 22:54:06-03","MNHN","RECOLNAT_MNHN_P","P05322213","PreservedSpecimen",NA,"Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05322213' target='other'> <mi>dwc_moreinfo</mi></a>","P05322213",NA,NA,"Mattos",NA,NA,NA,NA,NA,"P05322213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2009-12-04 16:24:00-02","MO","MOBOT","3201134","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Gert G. Hatschbach|J.M. Silva","Hatschbach 54433","1990",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"Mattos","Paraná","Mato Preto ( mun. Cerro Azual).",NA,NA,NA,NA,"M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2011-06-17 17:02:00-03","MO","MOBOT","3428797","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","José Steinbach","Steinbach G. 6468",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,"Mattos","Santa Cruz","Near Rio Quimori","Sara",NA,NA,NA,"Foster's catalog note file",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"25","2011-06-17 17:02:00-03","MO","MOBOT","3428811","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","José Steinbach","Steinbach G. 7322",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,"Mattos","Santa Cruz","Near Rio Quimori","Sara",NA,NA,NA,"Foster's catalog note file",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"26","2013-08-23 04:12:00-03","MO","MOBOT","3197616","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stipularis","Eugenia stipularis","Dimitri Sucre","Sucre 7715","1971",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"(O. Berg) Mattos","Rio de Janeiro","Estado da Guanabara. Taquera de Tijuca, Sertao Entre 560-630.",NA,NA,NA,NA,"G.M. Barroso",NA,NA,NA,NA,NA,NA,"560.00000000","630.00000000",NA,NA,NA,NA
"27","2020-09-02 16:33:53-03","Cenargen","CEN","46444","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Gert Guenther Hatschbach","54433","1990","09","05",NA,"Brasil","Exsicatas",NA,"Flor alva. Doação da Prefeitura Municipal de Curitiba - Museu Botânico Municipal.","CEN00046444",NA,NA,"Mattos","PR","Mato Preto. Mata pluvial do vale do Rio Ribeira.","CERRO AZUL","-49.261100769043","-24.823600769043","CEN00046444","M. Sobral",NA,"1993","32006","auto",NA,"1",NA,NA,NA,NA,NA,NA
"28","2019-11-13 11:26:52-03","USP","SPF","104800","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G","54433","1990","09","05",NA,"Brasil",NA,NA,NA,"SPF00104800",NA,NA,"Mattos","Paraná",NA,"Cerro Azul","-49.261100769043","-24.823600769043",NA,"Sobral, M",NA,"1993","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-25 13:52:50-03","UNIVILLE","JOI","18672","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","F.C.S. Vieira","3070","2020","09","20",NA,"Brasil",NA,NA,NA,"JOI018672",NA,NA,"Mattos","Santa Catarina","Trilha para cachoeira do rio Gameleira","Garuva","-48.8549995422363","-26.0266990661621","JOI018672","F.C.S. Vieira",NA,"2020","22441","auto",NA,NA,NA,NA,"09","20",NA,NA
"30","2021-03-25 13:52:50-03","UNIVILLE","JOI","18675","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","F.C.S. Vieira","3075","2020","09","20",NA,"Brasil",NA,NA,NA,"JOI018675",NA,NA,"Mattos","Santa Catarina","Trilha para cachoeira do rio Gameleira","Garuva","-48.8549995422363","-26.0266990661621",NA,"F.C.S. Vieira",NA,"2020","22441","auto",NA,NA,NA,NA,"09","20",NA,NA
"31","2021-03-25 13:52:50-03","UNIVILLE","JOI","18674","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","F.C.S. Vieira","3072","2020","09","20",NA,"Brasil",NA,NA,NA,"JOI018674",NA,NA,"Mattos","Santa Catarina","Trilha para cachoeira do rio Gameleira","Garuva","-48.8549995422363","-26.0266990661621",NA,"F.C.S. Vieira",NA,"2020","22441","auto",NA,NA,NA,NA,"09","20",NA,NA
"32","2019-10-07 09:35:26-03","UEFS","HUEFS","16686","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G.","57110","1992","06","24",NA,"Brasil",NA,NA,NA,"HUEFS0016686","Angiospermae","Myrtales","Mattos","Paraná",NA,"Cerro Azul","-49.261100769043","-24.823600769043","HUEFS0016686",NA,"Rosanae",NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-04 11:17:34-03","UEFS","HUEFS","29404","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G.","54433","1990","09","05",NA,"Brasil",NA,NA,NA,"HUEFS0029404","Angiospermae","Myrtales","Mattos","Paraná","Mato Preto.","Cerro Azul","-49.261100769043","-24.823600769043","HUEFS0029404",NA,"Rosanae",NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-04 11:17:34-03","UEFS","HUEFS","234025","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Mattos, J.","15090","1967","10","18",NA,"Brasil",NA,NA,"Capoeira.","HUEFS0234025","Angiospermae","Myrtales","Mattos","São Paulo","Paranapiacaba, mais ou menos no Km 3 da rodovia Estação de Campo Grande Paranapiacaba.","Santo André","-46.5299987792969","-23.6599998474121",NA,"J.Mattos","Rosanae",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2015-03-07 08:59:45-03","F","FMNH-SEEDPLANTS","V0109622F","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stipularis","Eugenia stipularis",NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0109622F","Spermatophyta",NA,NA,NA,NA,NA,"-52.8731","-10.8339","V0109622F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-02-27 14:02:55-03","UFSJ","HUFSJ","2851","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Folli, DA","602","1986","09","03",NA,"Brasil",NA,NA,"Porte arbustivo, descamação em placas, fuste cilindrica, superficie da casca áspera, altura total 2m, altura da fuste 1m, diâmetro da copa 1m.","HUFSJ002851",NA,NA,"Mattos","Espírito Santo","Reserva Natural Vale.","Linhares","-40.0722007751465","-19.3910999298096",NA,"Folli, DA",NA,"2005","48094","auto",NA,NA,NA,NA,"11","30",NA,NA
"37","2019-02-27 14:02:55-03","UFSJ","HUFSJ","2854","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Siqueira, GS","441","2008","10","07",NA,"Brasil",NA,NA,"Porte arbóreo, botão verde, flor branca, fuste cilindrica, superficie da casca áspera, altura total 4m, altura da fuste 2m, diâmetro da copa 3m.","HUFSJ002854",NA,NA,"Mattos","Espírito Santo","Reserva Natural Vale.","Linhares","-40.0722007751465","-19.3910999298096",NA,"Siqueira, GS",NA,"2008","48094","auto",NA,NA,NA,NA,"10","13",NA,NA
"38","2019-02-27 14:02:55-03","UFSJ","HUFSJ","2853","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Siqueira, GS","63","2003","11","14",NA,"Brasil",NA,NA,"Porte arbutivo, fruto maduro vermelho, fruto imaturo verde, altura total 1,5m, altura da fuste 1m, diâmetro da copa 1m.","HUFSJ002853",NA,NA,"Mattos","Espírito Santo","Reserva Natural Vale.","Linhares","-40.0722007751465","-19.3910999298096",NA,"Souza, MC",NA,"2005","48094","auto",NA,NA,NA,NA,"11","16",NA,NA
"39","2019-02-27 14:02:55-03","UFSJ","HUFSJ","2852","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Folli, DA","4339","2002","08","30",NA,"Brasil",NA,NA,"Porte arbustivo, botão e flor branca.","HUFSJ002852",NA,NA,"Mattos","Espírito Santo","Reserva Natural Vale.","Linhares","-40.0722007751465","-19.3910999298096",NA,"Souza, MC",NA,"2005","48094","auto",NA,NA,NA,NA,"11","22",NA,NA
"40","2019-11-01 15:05:50-03","UnB","UB","130879","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G","57110","1992","06","24","Southern America","Brasil",NA,NA,"Flores alvas; fruto maduro, vermelho.; Árvore 12m.; Mata pluvial",NA,"Dicotyledoneae",NA,"Mattos","Paraná ","Mato Preto","Cerro Azul","-49.261100769043","-24.823600769043",NA,"Sobral, M",NA,"1993","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-01 15:05:50-03","UnB","UB","130878","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G","54433","1990","09","05","Southern America","Brasil",NA,NA,"Flor alva.; Árvore 12m.; Mata pluvial",NA,"Dicotyledoneae",NA,"Mattos","Paraná ","Mato Preto","Cerro Azul","-49.261100769043","-24.823600769043",NA,"Sobral, M",NA,"1993","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-04 15:45:26-03","IF","SPSF","17596","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","G. Hatschbach & R.Kummrow","57110","1992","06","24","América do Sul","Brasil",NA,NA,"COLETA: XLS: SPSFAntigo&nf;Árvore 12m de altura, flores alvas, fruto maduro, vermelho.; GEOGRAFIA: Mata pluvial.;",NA,"Magnoliophyta","Myrtales",NA,"PR","Mato Preto","Cerro Azul","-49.261100769043","-24.823600769043",NA,"M.Sobral","Magnoliopsida",NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:11:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Myrtaceae","Stenocalyx","stipularis","Stenocalyx stipularis","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"O.Berg",NA,"Brasilia meridionalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-08-26 10:50:01-03","MCN-FZBRS","HAS","74569","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stipularis","Eugenia stipularis","Matthes, L.A.","s.n.","1978","08",NA,NA,"Brasil",NA,NA,"Coleção Bosque dos Jequitibás. 23-E","HAS0074569","Magnoliophyta",NA,"(Berg) Mattos","São Paulo","Bosque dos Jequitibás","Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-08-26 10:50:01-03","MCN-FZBRS","HAS","74570","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stipularis","Eugenia stipularis","Shepherd, G.J.","5912","1977","10",NA,NA,"Brasil",NA,NA,"Em mata. Árvore pequena de 4m. Flores brancas","HAS0074570","Magnoliophyta",NA,"(Berg) Mattos","São Paulo","Serra do Japí","Jundiaí","-46.8800010681152","-23.1800003051758",NA,"Mattos, J.",NA,"1988","17840","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 10:11:45-03","IBt","SP","427020","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Almeida Scabbia, RJ; Silva, C; Oliveira, TR; Dias, R; Capistrano, TR","5119","2007","12","13",NA,"Brasil",NA,NA,NA,"SP057098",NA,NA,"Mattos","São Paulo","Subprefeitura de Paranapiacaba e Parque Andreense, região administrativa da Subprefeitura, Parque América, trilha travessa Marechal Rondon","Santo André","-46.410344","-23.776225","SP057098","Almeida Scabbia, RJ",NA,"2009",NA,NA,NA,NA,NA,NA,"10",NA,"-46.410344","-23.776225"
"47","2019-11-21 10:11:45-03","IBt","SP","312157","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G; Kummrow, R","57110","1992","06","24",NA,"Brasil",NA,NA,NA,"SP006909",NA,NA,"Mattos","Paraná","Mato Preto.","Cerro Azul","-49.261100769043","-24.823600769043","SP006909","Sobral, M",NA,"1993","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-21 10:11:45-03","IBt","SP","420","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Schwebel, E","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"Mattos","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Alto da Serra","Santo André","-46.5299987792969","-23.6599998474121",NA,"Sugiyama, M",NA,"1988","27258","auto",NA,NA,NA,NA,"11","16",NA,NA
"49","2019-11-21 10:11:45-03","IBt","SP","118354","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Mattos, J; Mattos, N","15090","1967","10","18",NA,"Brasil",NA,NA,"Numa capoeira, arbusto com 2m de alt.","SP057097",NA,NA,"Mattos","São Paulo","E.B. do Alto da Serra de Paranapiacaba, mais ou menos no Km 3 da rodovia Estação Campo Grande","Santo André","-46.5299987792969","-23.6599998474121","SP057097","Barroso, GM",NA,"1989","27258","auto",NA,NA,NA,NA,"10","02",NA,NA
