"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","fieldNumber","individualCount"
"21","2014-10-14 15:56:29-03","BS","M","M-0113305","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,"Brasilia Provinc. Sebastinopol. Serra do Mar.",NA,NA,NA,NA,"M0113305",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,"TYPE",NA,NA
"22","2019-06-27 10:24:12-03","UFES","VIES","21172","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Tuler, A.C.","104","2010","01","17",NA,"Brasil","Minas Gerais","São José da Figueira.","-41.7977981567383","-20.2033004760742",NA,NA,"VIES021172","VIES021172",NA,"Durandé","17816","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 09:29:40-03","UFRRJ","RBR","44458","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","M.E.F. Pinto","M.E.F. Pinto","07","2018","03","07",NA,"Brasil","Rio de Janeiro","Próximo ao poço da sibéria em São Pedro da Serra",NA,NA,NA,NA,"RBR00044458",NA,"2018","São Pedro da Serra",NA,NA,NA,"03","08",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 09:29:40-03","UFRRJ","RBR","35416","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","E.L. Jacques","E.L. Jacques","1823","2012","07","25",NA,"Brasil","Rio de Janeiro","'Subarbusto, crescendo na rocha em pleno sol, entre abaixo de vriessea bituminosa e Alcantarea (bromeliaceae) com acúmulo de substrato, crescendo na face norte e oeste, grande população, observando-se a visita de beija- flores nas bromélias e frutos'","-41.746898651123","-21.6460990905762",NA,NA,"RBR00035416",NA,NA,"São Fidélis","31178","auto",NA,NA,NA,NA,NA,"1022","1022",NA,NA,NA,NA
"25","2020-12-21 16:17:57-03","MBM","MBM","19969","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","Pereira, E.","Pabst, G.F.","5179","1959","10","04","Southern America","Brazil","Rio de Janeiro","Macaé de Cima",NA,NA,NA,NA,"MBM019969","MBM019969",NA,"Macaé de Cima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:17:57-03","MBM","MBM","347216","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","Cordeiro, J.","Caxambú, M.G.","2022","2008","02","13","Southern America","Brazil","Paraná",NA,"-52.3830986022949","-24.0456008911133",NA,"Erva ereta, heliófita, com frutos vermelhos, laxcos. Cultivada. relevo suave-ondulado","MBM347216","MBM347216","2008","Campo Mourão","28572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2015-09-05 09:32:33-03","MNHN","RECOLNAT_MNHN_P","P05586841","PreservedSpecimen",NA,NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Gaudichaud, C.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05586841' target='other'> <mi>dwc_moreinfo</mi></a>","P05586841","P05586841_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48",NA
"28","2015-09-05 09:32:33-03","MNHN","RECOLNAT_MNHN_P","P05586837","PreservedSpecimen",NA,NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Burchell",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05586837' target='other'> <mi>dwc_moreinfo</mi></a>","P05586837","P05586837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2194",NA
"29","2015-09-05 09:32:33-03","MNHN","RECOLNAT_MNHN_P","P05586838","PreservedSpecimen",NA,NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Brésil. (Rio de Janeiro).",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05586838' target='other'> <mi>dwc_moreinfo</mi></a>","P05586838","P05586838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4976",NA
"30","2015-09-05 09:32:33-03","MNHN","RECOLNAT_MNHN_P","P05586839","PreservedSpecimen",NA,NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Glaziou, A.",NA,"1871","10","8",NA,"Brasil","Rio de Janeiro","Brésil. Rio Janeiro. Corcovado à Paineiras.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05586839' target='other'> <mi>dwc_moreinfo</mi></a>","P05586839","P05586839_01",NA,"Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4187",NA
"31","2015-09-05 09:32:33-03","MNHN","RECOLNAT_MNHN_P","P05586840","PreservedSpecimen",NA,NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Schwacke",NA,"1874","9","1",NA,"Brasil","Minas Gerais","Serra do Henrique.","-43.125301361084","-21.4575004577637","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05586840' target='other'> <mi>dwc_moreinfo</mi></a>","P05586840","P05586840_01",NA,"Rio Novo","14119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11022",NA
"32","2020-12-11 11:33:48-03","UFMG","BHCB","131","PreservedSpecimen","Plantae","Dicotyledon",NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Grandi, TSM","s.n.","1979","10","01","Southern America","Brasil","Minas Gerais",NA,"-43.937801361084","-19.9207992553711",NA,"cultivada;arbustivo; flores róseas, ornamental",NA,NA,NA,"Belo Horizonte","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:33:48-03","UFMG","BHCB","171233","PreservedSpecimen","Plantae","Dicotyledon",NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Delfini, C; Rigon, J; Diaz, DC; Oliveira, DB; Souza, VC de; Rodrigues, RR; Tamashiro, JY; I","975","2013","04","02","Southern America","Brasil","Minas Gerais","UHE Serraria, trilha da Igrejinha","-46.0203018188477","-19.8878002166748",NA,"Erva robusta, até 2m de altura, flores e cápsulas jovens vermelhas, frutos marrom; Floresta ombrófila densa bem conservada","BHCB015774",NA,"2013","Tapiraí","32574","auto",NA,NA,NA,NA,NA,"29","29",NA,NA,NA,NA
"34","2021-02-11 17:18:13-03","UFPR","UPCB","64259","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Kollmann, L.","10627","2008","02","15",NA,"Brasil","Espírito Santo","BLOQUEADO",NA,NA,NA,"Epífita a 25m, no sol, frutos secos, folhas face abaxial com nervuras vermelhas, pecíolo vermelho. Floresta ombrófila densa montana..",NA,NA,NA,"Cariacica",NA,NA,NA,NA,NA,"9999","9999","609","609",NA,NA,NA,NA
"35","2018-06-22 05:25:00-03","MO","MOBOT","2454956","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Ruiz & Pav. ex Klotzsch",NA,"Pe. Raulino Reitz","Reitz s.n.2","1944","2","1","South America","Brazil","Santa Catarina","Meleiro. Meleiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","3146331","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Ruiz & Pav. ex Klotzsch",NA,"Boris A. Krukoff","Krukoff 10495","1939","7","1","South America","Bolivia","La Paz","Province of S. Yungas; basin of Rio Bopi, SanBartolome ( near Claisaya).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"750.00000000","900.00000000",NA,NA,NA,NA
"37","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","19065",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","W.J.Hooker","L. Kollmann/07-04-2003","R.R. Vervloet; et al","1581","2002","12","19",NA,"Brasil","Espírito Santo","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita, a 10m do solo, flores e frutos de cor vermelha.","MBML019065","MBML019065",NA,"Santa Teresa",NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA
"38","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","25396",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","W.J.Hooker","L. Kollmann/02-12-2005","L. Kollmann; et al","8511","2005","12","02",NA,"Brasil","Espírito Santo","Santo Henrique","-40.553889","-19.836389",NA,"Epífita a 7m de altura, muito luminoso. Inflorescência e flores vermelhas. Lado abaxial da folha avermelhada, estípula esbranquiçada.","MBML025396","MBML025396",NA,"Santa Teresa",NA,NA,NA,NA,NA,"40W33'14","19S50'11",NA,NA,NA,NA,NA,NA
"39","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","26086",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","B.S. Gregório/Abril-2013","L. Kollmann; et al","8989","2006","05","04",NA,"Brasil","Espírito Santo","Rio Saltinho","-40.506944","-19.936111",NA,"Subarbusto 3m na meia sombra. Rupestre. Flores rosas.","MBML026086","MBML026086",NA,"Santa Teresa",NA,NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA,NA,NA
"40","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","36636",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","L.Kollmann/15-2-2008","L. Kollmann; et al","10627","2008","02","15",NA,"Brasil","Espírito Santo","Reserva Biológica de Duas Bocas","-40.519444","-20.291389",NA,NA,"MBML036636","MBML036636",NA,"Cariacica",NA,NA,NA,NA,NA,"40W31'10","20S17'29",NA,NA,NA,NA,NA,NA
"41","2020-09-12 05:00:02-03","US","US","2708743","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"L. E. Ruíz-Terán & M. López Figueiras","599","1980","8","7","South America - Neotropics","Venezuela","Mérida","Mesa de Quintero gardens",NA,NA,NA,NA,NA,NA,NA,"Rivas Dávila",NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1650","1650",NA,NA,NA,"1"
"42","2020-09-12 05:00:02-03","US","US","3111290","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"H. C. Lima & G. L. Bromley","2296","1984","10","23","South America - Neotropics","Brazil","Rio de Janeiro","Paraiso, area do centro de primatologia do rio de janeiro","-43.040599822998","-22.6527996063232",NA,NA,"US00327588","US00327588_01",NA,"Majé","20531","auto","Dicotyledonae",NA,NA,NA,NA,"200","200",NA,NA,NA,"1"
"43","2020-09-12 05:00:02-03","US","US","61135","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Wilkes Explor. Exped.","s.n.",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro","Organ mountains",NA,NA,NA,NA,"US00314390","US00314390_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"44","2019-09-06 08:11:22-03","UFG","HJ","2671","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","Luzia Francisca de Souza","Gielf, F.S.","42","2008","06","21",NA,"Brasil","Goiás","Zona urbana, jardim.","-51.714444","-17.881389",NA,"ambiente cultivado","HJ00002671","HJ00002671","2018","Jataí",NA,NA,NA,"06","18","51º42'52''W","17º52'53''S","696","696",NA,NA,NA,NA
"45","2019-10-07 09:24:01-03","UEFS","HUEFS","190633","PreservedSpecimen","Plantae","Angiospermae","Cucurbitales","Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","B.S.Gregório","Kollmann, L.","8989","2006","05","04",NA,"Brasil","Espírito Santo","Rio Saltinho, terreno do Tranhago.","-40.6002998352051","-19.9356002807617",NA,NA,"HUEFS0190633","HUEFS0190633","2013","Santa Teresa","23813","auto","Rosanae","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-07-23 11:59:43-03","CEPLAC","CEPEC","129895","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea",NA,"L. Kollmann","L. Kollmann","10627",NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"-40.4199981689453","-20.2639007568359",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,"cariacica","18507","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2017-09-11 17:08:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Gardner, G","601",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in montibus Orgãos",NA,NA,NA,"in hb. Hook.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2017-09-11 17:08:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in summitatibus Serra do Mar, prope Rio",NA,NA,NA,"in hb. reg. Monac.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-10-04 16:06:50-03","MCN-FZBRS","HAS","37669","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook",NA,"Kem, L.","s.n.","2000","05",NA,NA,"Brasil","Santa Catarina","Lote 70-71","-51.771900177002","-27.4197006225586",NA,"Erva rara. Begônia.","HAS0037669",NA,NA,"Piratuba","13675","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
