"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","class","order","year","month","day","locality","occurrenceRemarks","imagecode","identifiedBy","stateProvince","relatedCatalogItem","infraspecificEpithet","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","individualCount","minimumElevationInMeters","typeStatus","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","sex"
"26","2011-12-22 05:01:00-02","MO","MOBOT","1002517","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Teodoro Rojas","Rojas 6860B","South America","Paraguay",NA,NA,NA,"1934","4",NA,"Pedro Juan Caballero, Sierra de Amambay.",NA,NA,NA,"Amambay",NA,NA,NA,NA,NA,"-55.61666","-22.56666",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","1059711","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Pedro Jörgensen","Jörgensen 3359","South America","Paraguay",NA,NA,NA,"1932","5",NA,"Itape.",NA,NA,NA,"Guairá",NA,NA,NA,NA,NA,"-56.61666","-25.25",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"28","2009-05-15 13:24:00-03","MO","MOBOT","3389513","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Pedro Jörgensen","Jörgensen 4904","South America","Paraguay",NA,NA,NA,"1932","4",NA,"Petals white.",NA,NA,"Dr. E. Hassler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2011-12-22 05:01:00-02","MO","MOBOT","1000765","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Teodoro Rojas","Rojas 5104","South America","Paraguay",NA,NA,NA,"1927","4",NA,"Estancia Primera, Caaguazú.",NA,NA,"A.L. Cabrera","Caaguazú",NA,NA,NA,NA,NA,"-55.83333","-25.33333",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"30","2011-12-22 05:01:00-02","MO","MOBOT","1002452","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Teodoro Rojas","Rojas 8569","South America","Paraguay",NA,NA,NA,"1939","4",NA,"Bernal-Cué.",NA,NA,"Cabrera","Cordillera",NA,NA,NA,NA,NA,"-57.31666","-25.26666",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"31","2011-12-22 05:01:00-02","MO","MOBOT","1002525","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Teodoro Rojas","Rojas 9563","South America","Paraguay",NA,NA,NA,"1943","5","17","Tucangua. Cordillera de Altos.",NA,NA,NA,"Paraguarí",NA,NA,NA,NA,NA,"-57.15","-25.51666",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"32","2014-03-29 22:00:00-03","MO","MOBOT","2490055","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","A.L. Woolston","Woolston 1105","South America","Paraguay",NA,NA,NA,"1959","6","5","Colonia Primavera",NA,NA,"Cabrera, A. L.","San Pedro",NA,NA,NA,NA,NA,"-56.51666","-24.63333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2009-07-17 07:39:00-03","MO","MOBOT","3389079","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Émile Hassler","Hassler 12154","South America","Paraguay",NA,NA,NA,NA,NA,NA,"Regio lacus Ypacaray.",NA,NA,NA,"Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2009-07-17 07:39:00-03","MO","MOBOT","3389164","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Émile Hassler","Hassler 9098","South America","Paraguay",NA,NA,NA,"1905",NA,NA,NA,NA,NA,NA,"Caaguazú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2009-07-10 17:58:00-03","MO","MOBOT","3389429","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","Troels M. Pedersen","Pedersen 15719","South America","Brazil",NA,NA,NA,"1991","3","15","Mun. São Pedro. About 15 km W of São Pedro do Sul, on road to Gral. vargas.",NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
