"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","locality","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","individualCount","relatedCatalogItem"
"19","2020-02-08 10:20:39-03","NBC","NL-BOTANY","WAG.1567409","PreservedSpecimen","Plantae","Gramineae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Silva JM; Cordeiro J","1987","11","12","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-WAG1567409","NL-WAG1567409",NA,"Parque Iguacu, Mini pantanal (mun. Curitiba) Parana.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1567409 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"20","2019-02-15 11:48:35-02","IPA","IPA","14056","S","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.",NA,NA,"Thomas, R.; Soderstrom; Russell, G.F.; Hage, J.; Soderstrom; Russell, G.F.; Hage, J.","1976","04","24","Brasil","Bahia","Valença","-39.0731010437012","-13.3703002929688",NA,NA,NA,NA,"IPA0014056",NA,"2160","Just west of the city of Valença, Rio Piau by the Fazenda Floresta.","Elevacão 5am. plantas growing thickly wuith tall sedges at edge of river in full sun 2-3m tall, only a few in flores. Base of plant with thick overlapping sheats as in Gynerium; the blades with midrib an saw-toothed edges that cut fie","Plantae",NA,"Southern America",NA,"43634","auto",NA,NA,NA,NA,NA
"21","2019-11-21 14:43:50-03","UFJF","CESJ","1324","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.","L. Krieger","1989","L. Krieger","1950",NA,NA,"Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,"CESJ001324",NA,"CESJ1324","Fazenda da Cachoeirinha",NA,"Angiosperma",NA,"América do Sul",NA,"36144","auto","04",NA,"25",NA,NA
"22","2019-11-21 14:43:50-03","UFJF","CESJ","46732","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.","P.L. Viana","2006","F.S. Souza; P.L. Viana; N.L. Abreu; L. Menini Neto; C.N. Matozinhos; T. Mota; T.U.P. Konno","2006","01","21","Brasil","Minas Gerais","Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"CESJ046732",NA,"139","Serra Negra, Fazenda da Tiririca.","Em beira de riacho. Planta rizomatosa. Prefoliação conduplicada.","Angiosperma",NA,"América do Sul",NA,"20815","auto","03",NA,NA,NA,NA
"23","2021-03-16 17:54:43-03","UCS","HUCS","5516","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Ness) Doell & Aschers","Renvoize, S.A.","1988","Silva, J.M.","1987","11","12","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,"388","Parque Iguaçú, mini Pantanal","toiceiras densas, a beira das cavas de areia","Angiospermae","Poales",NA,NA,"25180","auto",NA,NA,NA,NA,NA
"24","2020-12-21 16:41:08-03","MBM","MBM","253924","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Kozera, C.",NA,"Borgo, M.; et al.; et al.",NA,NA,NA,"Brazil","Paraná","Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"MBM253924","MBM253924","568","Rio Serra Negra",NA,NA,NA,"Southern America",NA,"37295","auto",NA,NA,NA,NA,NA
"25","2020-12-21 16:41:08-03","MBM","MBM","230902","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Hatschbach, G.",NA,"Hatschbach, G.; Spichiger, R.; Loizeau, P.A.; Spichiger, R.; Loizeau, P.A.",NA,NA,NA,"Brazil","Paraná","Palmas","-51.9906005859375","-26.4841995239258",NA,NA,NA,NA,"MBM230902","MBM230902","68735","Rod. BR-449, km 5-10",NA,NA,NA,"Southern America",NA,"46666","auto",NA,NA,NA,NA,NA
"26","2020-12-21 16:41:08-03","MBM","MBM","129596","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson",NA,NA,"Jaster, C.B.",NA,NA,NA,"Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"MBM129596","MBM129596","s.n.","Rio Tibagi, Fazenda Ipê",NA,NA,NA,"Southern America",NA,"46557","auto",NA,NA,NA,NA,NA
"27","2020-12-21 16:41:08-03","MBM","MBM","26308","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Parodi, L.R.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"MBM026308","MBM026308","3463","Foz do Rio Canas",NA,NA,NA,"Southern America",NA,"31353","auto",NA,NA,NA,NA,NA
"28","2020-12-21 16:41:08-03","MBM","MBM","26311","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Clayton, W.D.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","Tibagi","-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"MBM026311","MBM026311","12890","Rio Tibagi",NA,NA,NA,"Southern America",NA,"56988","auto",NA,NA,NA,NA,NA
"29","2020-12-21 16:41:08-03","MBM","MBM","602","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Clayton, W.D.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","Tibagi","-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"MBM000602","MBM000602","12890","Rio Tibagi",NA,NA,NA,"Southern America",NA,"56988","auto",NA,NA,NA,NA,NA
"30","2020-12-21 16:41:08-03","MBM","MBM","118739","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Renvoize, S.A.",NA,"Silva, J.M.; Cordeiro, J.; Cordeiro, J.",NA,NA,NA,"Brazil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM118739","MBM118739","388","Parque Iguaçu",NA,NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA
"31","2020-12-21 16:41:08-03","MBM","MBM","156498","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Hatschbach, G.",NA,"Silva, J.M.; Silva, I.S.; Silva, I.S.",NA,NA,NA,"Brazil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM156498","MBM156498","1189","Solitude",NA,NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA
"32","2020-12-21 16:41:08-03","MBM","MBM","209022","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Britez, R.M.",NA,"Britez, R.M.; et al.; et al.",NA,NA,NA,"Brazil","Paraná","São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"MBM209022",NA,"1234","Fazenda do Durgo",NA,NA,NA,"Southern America",NA,"31353","auto",NA,NA,NA,NA,NA
"33","2020-12-21 16:41:08-03","MBM","MBM","118715","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Britez, R.M.",NA,"Britez, R.M.; et al.; et al.",NA,NA,NA,"Brazil","Paraná","São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"MBM118715","MBM118715","1234","Fazenda do Durgo",NA,NA,NA,"Southern America",NA,"31353","auto",NA,NA,NA,NA,NA
"34","2020-12-21 16:41:08-03","MBM","MBM","26309","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Parodi, L.R.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","Tibagi","-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"MBM026309","MBM026309","2596","Rio Tibagi",NA,NA,NA,"Southern America",NA,"56988","auto",NA,NA,NA,NA,NA
"35","2020-12-21 16:41:08-03","MBM","MBM","26310","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Parodi, L.R.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","Tibagi","-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"MBM026310","MBM026310","2596","Rio Tibagi",NA,NA,NA,"Southern America",NA,"56988","auto",NA,NA,NA,NA,NA
"36","2020-12-21 16:41:08-03","MBM","MBM","19454","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Ascherson","Renvoize, S.A.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Santa Catarina","Porto União","-51.0783004760742","-26.2381000518799",NA,NA,NA,NA,"MBM019454","MBM019454 MBM019454_1","28427","Rio do Banhado",NA,NA,NA,"Southern America",NA,"41804","auto",NA,NA,NA,NA,NA
"37","2020-12-11 11:45:22-03","UFMG","BHCB","73044","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.",NA,NA,"Roth, L",NA,NA,NA,"Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,"Monocotyledon",NA,"Southern America",NA,"36144","auto",NA,NA,NA,NA,NA
"38","2009-07-09 17:05:00-03","MO","MOBOT","2481016","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","Renvoize, S. A.",NA,"Gert G. Hatschbach",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hatschbach 28427","Porto Vitória",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"39","2012-04-25 16:57:00-03","MO","MOBOT","2992755","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","P. O'Connor",NA,"Agnes Chase","1925","2","25","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"685.00000000",NA,NA,NA,"Chase 8635","Igrejinha, 19 km. northwest of Juiz de Fóra.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,"1",NA
"40","2009-07-17 17:34:00-03","MO","MOBOT","2992861","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","P. O'Connor",NA,"Per Dusén","1916","3","29","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dusén 18051","Casho ar ripam flum. Rio Yapó.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"41","2012-04-25 16:57:00-03","MO","MOBOT","2993191","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","P. O'Connor",NA,"Agnes Chase","1925","2","25","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chase 8635","19 km NW of Juiz de flora.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,"1",NA
"42","2020-08-31 09:21:45-03","INPA","INPA","2517","S","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.","Filgueiras, TS; Viana, PL","2014","Pires, JM","1949","09","29","?",NA,NA,NA,NA,NA,NA,NA,NA,"INPA0002517","INPA0002517 INPA0002517_e","1790",NA,NA,"Monocotyledon","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-09 17:30:41-03","UFPR","EFC","9329","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","Kozera, C.","2000","Borgo, M.; Reinert, B.L.; Bornschein, M.R.","1999","10","18","Brasil","Paraná","Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"EFC009329",NA,"568","Rio Serra Negra","Herbácea cespitosa com 2,2m, inflorescências verdes, em brejo.",NA,NA,NA,NA,"37295","auto","01",NA,"10",NA,NA
"44","2019-10-07 09:22:38-03","UEFS","HUEFS","14346","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.",NA,NA,"Silva, J.M.","1992","12","22","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"HUEFS0014346","HUEFS0014346","1189",NA,NA,"Angiospermae","Poales",NA,NA,"25180","auto",NA,"Lilianae",NA,NA,NA
"45","2020-07-23 12:19:04-03","CEPLAC","CEPEC","12803","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya",NA,"T. R. Soderstrom",NA,"T. R. Soderstrom","1976","04","24","Brasil","Bahia","VALENÇA","-39.0731010437012","-13.3703002929688","0W0'0","0S0'0",NA,NA,NA,NA,"2160","Ao W da cidade, Rio Piaú prox. a Faz. Floresta.",NA,NA,NA,NA,NA,"43634","auto",NA,NA,NA,NA,"30/12/1979"
"46","2020-08-20 20:41:45-03","UFSC","FLOR","24433","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","Smith, L.B.","1977","Klein, R.M.; Klein, M.M.","1975","10","18","Brasil","Santa Catarina","Navegantes","-48.6542015075684","-26.8988990783691",NA,NA,"15","15","FLOR0024433",NA,"11223",NA,NA,NA,"Poales",NA,NA,"24562","auto",NA,NA,NA,NA,NA
"47","2021-02-08 12:54:41-03","UFRGS","ICN","041398","S","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.","IBM","1976","Klein, RM; Klein, MM","1975","10","18","Brasil","SC","Navegantes","-48.6542015075684","-26.8988990783691",NA,NA,NA,NA,NA,NA,"11223",NA,"Beira de rio","Monocotyledon",NA,"América do Sul",NA,"24562","auto","08",NA,NA,NA,NA
"48","2021-02-08 12:54:41-03","UFRGS","ICN","014633","S","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Dutra, JR","1903","10","18","Brasil","RS","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,NA,NA,"633","Banhado do Portão",NA,"Monocotyledon",NA,"América do Sul",NA,"10287","auto",NA,NA,NA,NA,NA
"49","2021-02-08 12:54:41-03","UFRGS","ICN","050201","S","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.","Longhi-Wagner, HM",NA,"Goergem, J","1980","12","21","Brasil","RS","Tapes","-51.3958015441895","-30.6732997894287",NA,NA,NA,NA,NA,NA,"s.n.","Saco de Tapes, Lagoa dos Patos",NA,"Monocotyledon",NA,"América do Sul",NA,"25762","auto",NA,NA,NA,NA,NA
"50","2020-06-05 17:07:14-03","FEPAGRO","BLA","581","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","L. R. Parodi",NA,"I. L. Barreto",NA,NA,NA,"Brasil","Rio Grande do Sul","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"BLA000581",NA,NA,"Estrda para Aparados da Serra. A 25 Km da cidade.","Data de Coleta: 12/1954.Habitat: Banhado.","Spermatophyta",NA,NA,NA,"55856","auto",NA,NA,NA,NA,NA
"51","2019-11-21 10:17:13-03","IBt","SP","105982","S","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","Lerina; Longhi Wagner","1999","Kuhlmann, M","1954","11","26","Brasil","São Paulo","Juquiá","-47.6300010681152","-24.3199996948242",NA,NA,NA,NA,"SP039855","SP039855","3106","Varzea e brejos do Rio Juquiá.",NA,NA,NA,NA,NA,"32505","auto","07",NA,"30",NA,NA
