"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","barcode","geoFlag","monthIdentified","dayIdentified","locality","imagecode","continentOcean","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","class","order","typeStatus"
"11","2021-02-25 10:12:51-03","CVRD","CVRD","6539","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","André M. Amorim","2002","Costa, C.B.","327","2000","06","20","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","CVRD006539","auto","06","24",NA,"CVRD006539","América do Sul",NA,NA,"<ll>dwc_commonname:</ll> Cipó etero","Magnoliopsida","Malpighiales",NA
"12","2021-02-25 10:12:51-03","CVRD","CVRD","6750","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","André M. Amorim","2002","Folli, D.A.","3814","2001","01","25","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","CVRD006750","auto","06","24","RFL 01/80 Bloco 1","CVRD006750","América do Sul",NA,NA,"<ll>dwc_commonname:</ll> Cipó etero","Magnoliopsida","Malpighiales",NA
"13","2019-09-04 18:30:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis",NA,NA,NA,"J. S. Blanchet","1458",NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]"
"14","2019-09-04 18:16:41-03","F","FMNH-SEEDPLANTS","V0062689F","PreservedSpecimen","Plantae","Spermatophyta","Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis",NA,NA,NA,"J. S. Blanchet","1458","1834",NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0062689F",NA,NA,NA,NA,"V0062689F_01","South America",NA,NA,NA,"Dicotyledoneae",NA,"Isotype"
"15","2020-07-23 12:11:23-03","CEPLAC","CEPEC","124832","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis",NA,"Amorim, A. M.",NA,"L. Kollmann","10533",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA
"16","2020-07-23 12:11:23-03","CEPLAC","CEPEC","97928","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis",NA,"Amorim, A. M.",NA,"D.A. Folli","3814",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA
"17","2020-07-23 12:11:23-03","CEPLAC","CEPEC","97933","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis",NA,"Amorim, A. M.",NA,"L. Kollmann","4410",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA
"18","2020-07-23 12:11:23-03","CEPLAC","CEPEC","97932","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis",NA,"Amorim, A. M.",NA,"A. M. Amorim","3664","2002","06","24","Brasil","Espírito Santo","LINHARES","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"auto",NA,NA,"Reseva Florestal da Cia. Vale do Rio Doce. Estrada da Gávea, RFL 01/80, Bloco 1.",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-23 12:11:23-03","CEPLAC","CEPEC","146125","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis",NA,"A. M. Amorim",NA,"C. B. Costa","327","2000","06","20","Brasil","Espírito Santo","LINHARES","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"auto",NA,NA,"Reserva Florestal do Vale do Rio Doce. Estrada do Flamengo, KM 16,3.",NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA
"20","2020-07-23 12:11:23-03","CEPLAC","CEPEC","125693","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis",NA,"Amorim, A. M.",NA,"Amorim, A. M.","7173",NA,NA,NA,"Brasil","Espírito Santo","NOVA VENÉCIA","-40.4006004333496","-18.710599899292",NA,NA,"42400",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA
"21","2019-11-21 10:08:43-03","IBt","SP","447215","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Almeida, RF","2012","Almeida, RF; Hall, CF; Fajardo, F; Guimarães, L","522","2012","01","20","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"auto","09",NA,"Reserva Natural da CVRD, Aceiro Calimã",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:08:43-03","IBt","SP","445352A","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Amorim, AM","2002","Costa, CB","327","2000","06","20","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","SP030733","auto","06","24","Reserva Natural da Vale do Rio Doce, Estrada Flamengo","SP030733",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:08:43-03","IBt","SP","445353A","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Amorim, AM","2002","Folli, DA","3814","2001","01","25","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","SP030731","auto","06","24","Reserva Natural da Vale do Rio Doce, Estrada Gávea, RFL 01/80 Bloco 1","SP030731",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:08:43-03","IBt","SP","445351A","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Amorim, AM","2008","Kollmann, L; Magnago, L","11204","2008","05","28","Brasil","Espírito Santo","Pinheiros","-40.2132987976074","-18.3703002929688",NA,NA,"28525","SP030732","auto","05","28",NA,"SP030732",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:08:43-03","IBt","SP","446825","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Almeida, RF","2012","Kollmann, L; Magnago, L","10533","2008","02","01","Brasil","Espírito Santo","Pinheiros","-40.2132987976074","-18.3703002929688",NA,NA,"28525","SP030730","auto","09",NA,"Santa Rita","SP030730",NA,"130","130",NA,NA,NA,NA
"26","2014-09-23 10:58:32-03","G","G","G00353000","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","?",NA,"Blanchet, J. S.","1458",NA,NA,NA,"Brazil","Bahia",NA,"-41.9972222","-12.1830556","-41.9972222","-12.1830556",NA,"G00353000",NA,NA,NA,NA,NA,"AMERIQUE DU SUD",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site",NA,NA,"ISOTYPUS of Heteropterys bahiensis Nied."
"27","2014-09-23 10:58:32-03","G","G","G00353001","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","?",NA,"Blanchet, J. S.","1458",NA,NA,NA,"Brazil","Bahia",NA,"-41.9972222","-12.1830556","-41.9972222","-12.1830556",NA,"G00353001",NA,NA,NA,NA,NA,"AMERIQUE DU SUD",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site",NA,NA,"ISOTYPUS of Heteropterys bahiensis Nied."
"28","2014-09-23 10:58:32-03","G","G","G00352999","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Anderson, W. R.","1993","Blanchet, J. S.","1458",NA,NA,NA,"Brazil","Bahia",NA,"-41.9972222","-12.1830556","-41.9972222","-12.1830556",NA,"G00352999",NA,"01","01",NA,NA,"AMERIQUE DU SUD",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site",NA,NA,"ISOTYPUS of Heteropterys bahiensis Nied."
