"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"18","2021-03-15 16:37:00-03","NY","NYBG","1182551","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","J. E. Leite","213","1940",NA,NA,"Brazil","Rio Grande do Sul","São Leopoldo","-51.143791","-29.75136",NA,NA,"NY01182551","NY01182551_01",NA,NA,NA,"Vicinity of São Leopoldo.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406791' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01022639","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","S. F. Smith","V. Wasum","9538","1993","09",NA,"Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"NY01022639","NY01022639_01",NA,NA,NA,"Caxias do Sul - Jardim Botanico","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145657' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-27 15:09:00-03","NY","NYBG","17527","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa leptostachys","Chodat & Hassl.",NA,"E. Hassler","5040",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00017527","NY00017527_01",NA,NA,NA,"Iter ad Yerbales montium Sierra de Maracayú. In altoplanitie et decliviis Sierra de Maracayú.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164035' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet","leptostachys","type",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1462297","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","J. D. García-González","J. D. García-González","1180","2009","09","15","Brazil","Pernambuco","Igarassu","-35.0083","-7.8397",NA,NA,"NY01462297","NY01462297_01",NA,NA,NA,"Usina São José. Mata de Piedade, area protegida de propriedade de Usina São José.","109",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1740773' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1182261","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","P. K. H. Dusén","8492","1909","07","28","Brazil","Paraná","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,"NY01182261","NY01182261_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399527' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1182211","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","W. A. Archer","62","1936","09","04","Brazil","Mato Grosso",NA,NA,NA,NA,NA,"NY01182211","NY01182211_01",NA,NA,NA,"Lageado, Campo Grande.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399353' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01022636","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","M. C. Dias","A. T. G. Dias","s.n.","1995","10","02","Brazil","Paraná","Teixeira Soares","-50.4606","-25.3683",NA,NA,"NY01022636","NY01022636_01",NA,NA,NA,"Cidade: Teixeira Soares. Fazenda Capão Bonito.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145654' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1182552","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. Rossi","L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY01182552","NY01182552_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406792' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1182407","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","G. G. Hatschbach","R. Kummrow","1565","1981","09","17","Brazil","Paraná","Curitiba","-49.2731","-25.4278",NA,NA,"NY01182407","NY01182407_01",NA,NA,NA,"Umbará. Mata de galeria do Rio Iguaçu.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402161' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01022635","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","S. F. Smith","R. A. Wasum","3208","1987","09","12","Brazil","Rio Grande do Sul","Esmeralda","-51.1903","-28.0536",NA,NA,"NY01022635","NY01022635_01",NA,NA,NA,"Fazenda da Guabiroba.","850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145653' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1182448","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. Rossi","S. A. Mori","11408","1979","02","06","Brazil","Bahia","Maraú","-39.0144","-14.1033",NA,NA,"NY01182448","NY01182448_01",NA,NA,NA,"Estrada que liga Ponta do Mutá (Porto de Campinhos) a Maraú, a 8 km do Porto. Folha SD 24 (14-39b).",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402588' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","1182519","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","R. Reitz","16346a","1963","09","15","Brazil","Santa Catarina","Lajes","-50.3258","-27.8161",NA,NA,"NY01182519","NY01182519_01",NA,NA,NA,"Morro das Caveiras","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406489' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1419161","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. Rossi","A. M. Amorim","2334","1998","02","23","Brazil","Bahia","Jussari","-39.5286","-15.1581",NA,NA,"NY01419161","NY01419161_01",NA,NA,NA,"Rodovia Jussari-Plamira, Entrada ca 7.5 km de Jussari, FazendaTeimoso, RPPN Serra do Teimoso.","500",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395561' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00750060","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.",NA,"J. G. Jardim","149",NA,NA,NA,"Brazil","Bahia","Una","-39.0833","-15.15",NA,NA,"NY00750060",NA,NA,NA,NA,"Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50897' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","fluid-preserved",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01022634","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","S. F. Smith","R. A. Wasum","10122","1994","09","11","Brazil","Rio Grande do Sul",NA,"-49.735446","-29.359004",NA,NA,"NY01022634","NY01022634_01",NA,NA,NA,"Torres - Praia da Guarita.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145652' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1182395","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","R. M. Klein","5502","1964","08","26","Brazil","Santa Catarina","Irani","-51.9017","-27.0247",NA,NA,"NY01182395","NY01182395_01",NA,NA,NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402089' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1182513","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.",NA,"M. Rossato","4434","1988","09","17","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"NY01182513","NY01182513_01",NA,NA,NA,"Criuva - Ilhéus.","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406472' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1182422","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","G. G. Hatschbach","G. G. Hatschbach","32603","1973","09","28","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"NY01182422","NY01182422_01",NA,NA,NA,"Rio Miringuava",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402486' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1182416","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.",NA,"J. C. Lindeman","2642","1966","10","09","Brazil","Paraná",NA,NA,NA,NA,NA,"NY01182416","NY01182416_01",NA,NA,NA,"Vic. of Bigorrilho, N outskirts of Curitiba.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402478' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1182394","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","R. M. Klein","3051","1962","09","16","Brazil","Santa Catarina","Pôrto Uniao","-51.0781","-26.2383",NA,NA,"NY01182394","NY01182394_01",NA,NA,NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402088' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1182414","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.",NA,"J. C. Lindeman","2495","1966","09","18","Brazil","Paraná",NA,NA,NA,NA,NA,"NY01182414","NY01182414_01",NA,NA,NA,"20 km S.W. of Curitiba; várzea land of Rio Iguaçú near Araucaria","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402475' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1182213","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","A. A. Beetle","1965","1952","08","15","Brazil","Rio Grande do Sul","Sao Leopoldo","-51.1469","-29.7606",NA,NA,"NY01182213","NY01182213_01",NA,NA,NA,"San Leopoldo at Collegio Cristo Rei. Tree in tropical forest",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399355' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01022646","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. P. de Queiroz","L. P. de Queiroz","2813","1991","07","15","Brazil","São Paulo","Brotas","-48.1197","-22.2803",NA,NA,"NY01022646","NY01022646_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146021' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1182554","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","F. Sellow","4550",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY01182554","NY01182554_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406794' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01022640","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","S. F. Smith","R. A. Wasum","4577","1986","09","21","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914","-30.5122",NA,NA,"NY01022640","NY01022640_01",NA,NA,NA,"Caçapava do Sul - Fazenda da Taleira.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145658' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","1182415","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.",NA,"J. C. Lindeman","2495a","1966","09","18","Brazil","Paraná",NA,NA,NA,NA,NA,"NY01182415","NY01182415_01",NA,NA,NA,"20 km S.W. of Curitiba; várzea land of Rio Iguaçú near Araucaria","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402476' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
