"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","typeStatus","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber"
"11","2021-04-05 14:33:44-03","UNESC","CRI","8472","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Vanilde C. Zanette",NA,NA,NA,"Kleber Haileê Emerich","2008","01","01","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","Habitat: mata ciliar","CRI004650","CRI004650",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:35-03","UNESC","CRI","2120","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"R. Reitz; R. M. Klein","1958","01","14","Brasil","Santa Catarina","Jaraguá do Sul","Corupá.","-49.066944","-26.486667","49º4'1''W","26º29'12''S","Habito: arbustiva","CRI004652","CRI004652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:44-03","UNESC","CRI","8861","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Rafael Martins","1998","12","01","Clair M. Martinello; Zenaide P. Topanotti","1998","10","30","Brasil","Santa Catarina","Criciúma","Sítio do João Dagostim, Bairro Quarta Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,"CRI004651","CRI004651",NA,"58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:44-03","UNESC","CRI","11578","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","A. Korte","2010","05","28","A. Korte; A. Kniess","2010","05","07","Brasil","Santa Catarina","Pouso Redondo","Alto Pombinhas.","-50.041667","-27.270556","50º2'30''W","27º16'14''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI008619","CRI008619","3157","475","475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:33:44-03","UNESC","CRI","15277","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Aline Votri Guislon","2020","05","11","Aline V. Guislon; Iara Z. Zanoni; Altamir R. Antunes & Lucas Oliveira","2018","08","14","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Estevão. Bairro Dagostim. Área L3","-49.360556","-28.746667","49º21'38''W","28º44'48''S","Habito: Arbóreo","CRI014694",NA,NA,"140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 15:16:32-03","UNESC","CRI","14217","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Sobral, M","2010","01","10","Dreveck, S.; Carneiro, F.E.","2009","12","15","Brasil","Santa Catarina","Joinville","Serra Dona Francisca - SC-301. Serra Dona Francisca - SC-301.","-49.047778","-26.1925","49º2'52''W","26º11'33''S","Florística IFFSC 1048 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arvoreta; Fruto verde;","CRI013343","CRI013343","1335","27","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:33:44-03","UNESC","CRI","11891","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Jean Gabriel Cemim, Marciel Fernandes & Kleber Emerick","2009","08","04","Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S",NA,"CRI004655","CRI004655",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:35-03","UNESC","CRI","12411","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Verdi, M","2010","02","22","Verdi, M; Klettenberg, DH & Klemz, G","2010","02","22","Brasil","Santa Catarina","Orleans","Barra do Rio Novo","-49.319167","-28.348056","49º19'9''W","28º20'53''S","Doação Herbário FURB (21927) Habito: Arbustivo","CRI010618","CRI010618","3721","206","206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:25:35-03","UNESC","CRI","11575","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","M. Sobral","2010","01","25","A. Stival-Santos; E. Legal & S. Silveira","2009","11","05","Brasil","Santa Catarina","Botuverá","Lageado alto - recanto feliz.","-49.14","-27.18","49º8'24''W","27º10'48''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI008625","CRI008625","1154","307","307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:25:35-03","UNESC","CRI","12235","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Gasper, AL de","2010","05","24","Stival-Santos, A; Legal, E; Meyer, D & Silveira, S","2010","05","05","Brasil","Santa Catarina","Balneário Camboriú","Entorno do Parque Interpraias","-48.6","-27","48º36'W","27º0'S","Doação Herbário FURB (25304) Habito: Arbustivo","CRI010416",NA,"2701","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:33:44-03","UNESC","CRI","11747","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.",NA,NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,"CRI004654","CRI004654",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:33:44-03","UNESC","CRI","7580","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Marcelo Romagna Pasetto","2007","11","07","Marcelo Romagna Pasetto; Vanilde Citadini-Zanette","2007","11","07","Brasil","Santa Catarina","Siderópolis",NA,"-49.431944","-28.595833","49º25'55''W","28º35'45''S",NA,"CRI004653","CRI004653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:33:44-03","UNESC","CRI","11588","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","M. Verdi","2010","04","09","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","2010","04","09","Brasil","Santa Catarina","Rio Fortuna","Rio Indaiá.","-49.103611","-28.133889","49º6'13''W","28º8'2''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI008638","CRI008638","4281","142","142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:25:35-03","UNESC","CRI","12410","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Korte, A","2010","04","29","Korte, A; Kniess, A","2010","04","29","Brasil","Santa Catarina","Agrolândia","Vila dos Koch","-49.862222","-27.450833","49º51'44''W","27º27'3''S","Habito: Arbustivo","CRI010617","CRI010617","2938","544","544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-05 14:33:44-03","UNESC","CRI","8825","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Vanilde C. Zanette","1998","07","21","Robson dos Santos; Vanilde Citadini Zanette & Zenaide Paes Topanotti","1998","07","21","Brasil","Santa Catarina","Criciúma","Propriedade do João Dagostim, Bairro Quarta Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,"CRI004648","CRI004648",NA,"58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-05 14:25:35-03","UNESC","CRI","12673","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Aline Votri Guislon & Renato colares","2017","09","18","Alexandre Medeiros","2017","06","26","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 565.","CRI010887",NA,NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-04-05 14:25:35-03","UNESC","CRI","12445","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Renato Colares & Aline V. Guislon","2017","07","17","Alexandre Medeiros","2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 130. Habito: Arbustivo","CRI010652",NA,NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-05 14:25:35-03","UNESC","CRI","12768","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Renato Colares & Aline V. Guislon","2017","09","18","Alexandre Medeiros",NA,NA,NA,"Brasil","Santa Catarina","Balneário Camboriú",NA,"-48.6347007751465","-26.9906005859375",NA,NA,"Habito: Arbóreo","CRI011032",NA,NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","408500","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"G. G. Hatschbach","1981","12","11","Brazil","Paraná","Antonina","Cab. Rio Faisqueira","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408500","NY00408500_01","44473",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","408511","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1914","11","27","Brazil","Paraná","Jaguariaíva","Jaguariaíva","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408511","NY00408511_01","15889","700","700",NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","402021","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.",NA,NA,NA,NA,"Y. E. J. Mexia","1930","11","13","Brazil","Minas Gerais",NA,"Districto Rio Branco. Retiro de Antonio Avelino",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402021","NY00402021_01","5295","750","750",NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","634348","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"J. G. Jardim","2000","07","27","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Conduru. Rod. Serra Grande/Uruçuca ca 9.4 km. Serra do Conduru vertente E","-39.1019","-14.485",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634348","NY00634348_01","3072","250","450",NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","408526","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"J. G. Jardim","1993","07","15","Brazil","Bahia","Una","Entrada à direita no km 10,4 Rod. Una/Ilhéus","-39.0753","-15.2933",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408526","NY00408526_01","224",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","408501","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.",NA,NA,NA,NA,"R. Reitz","1957","12","31","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408501","NY00408501_01","5975","750","750",NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","408510","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1910","10","22","Brazil","Paraná","Jaguariaíva","Jaguariaíva","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408510","NY00408510_01","10699",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","408508","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"W. W. Thomas","1992","05","08","Brazil","Bahia","Ilhéus","Along rd from Ilhéus to Serra Grande, 16.6 km S of Serra Grande (ca. 19 km N of Ilhéus), just N of Tulha","-39.15","-14.68",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408508","NY00408508_01","9216",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","517954","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"A. M. Amorim","1999","05","12","Brazil","Bahia","Una","REBIO de Una. Coletas efetuadas na estrada de acesso a Reserva","-39.0753","-15.2933",NA,NA,"Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517954","NY00517954_01","3070",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","408513","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.",NA,NA,NA,NA,"R. M. Klein","1955","03","31","Brazil","Santa Catarina","Itajaí","Morro da Ressacada, Itajaí","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408513","NY00408513_01","1263","50","50",NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","408509","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.",NA,NA,NA,NA,"R. M. Klein","1955","08","26","Brazil","Santa Catarina","Itajaí","Cunhas, Itajaí","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408509","NY00408509_01","1545","15","15",NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","408503","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"Collector unspecified",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408503","NY00408503_01","4996",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","408512","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.",NA,NA,NA,NA,"G. Jönsson","1914","09","22","Brazil","Paraná","Morretes",NA,"-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408512","NY00408512_01","967a",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","408507","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.",NA,NA,NA,NA,"D. A. Folli","1996","05","07","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares. Aceiro marca de ferro, km 0,1. Aceiro com Caldara","-40.0719","-19.3911",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408507","NY00408507_01","5434",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","298167","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"W. W. Thomas","1997","07","17","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Along park road 1-2 km. east of path to peak and visitor center","-39.415","-16.8672",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298167","NY00298167_01","11564",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","687463","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","J. A. Pastore",NA,NA,NA,"E. L. M. Catharino","1988","09","01","Brazil","São Paulo","Juquiá",NA,"-47.63","-24.32",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687463","NY00687463_01","1309",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","01092770","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"D. A. Folli","1991","11","25","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. Flamengo, ant. X-1, Km 0,900, lado direito. Em Floresta de Mussununga.","-40.0719","-19.3911",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233290' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092770","NY01092770_01","1495",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","408494","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"J. R. Pirani","1988","11","16","Brazil","Bahia",NA,"Ibicaraí, a 3 km W da cidade na Rodovia Itabuna - Vitória da Conquista. (BA 265)","-39.63","-14.87",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408494","NY00408494_01","2324",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"47","2021-03-15 16:37:00-03","NY","NYBG","408504","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","T. D. Pennington",NA,NA,NA,"G. G. Hatschbach","1993","10","12","Brazil","Paraná","Doutor Ulysses","Rod. PR-092, km 125-128, Serra de Paranapiacaba","-49.4194","-24.5683",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408504","NY00408504_01","59221",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
"48","2021-03-15 16:37:00-03","NY","NYBG","1016094","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","G. G. Hatschbach",NA,NA,NA,"O. dos S. Ribas","1989","07","02","Brazil","Paraná","Almirante Tamandaré","Jacuzal","-49.31","-25.3247",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141378' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016094","NY01016094_01","139",NA,NA,NA,NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA
