"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","typeStatus"
"11","2019-12-04 15:25:23-03","PUCPR","HUCP","19818","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Beltrami, L","1914","2007","12","07",NA,"Brasil",NA,NA,NA,"HUCP00013684!","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Selusniaki, M","Balsa Nova",NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-04 15:25:23-03","PUCPR","HUCP","15455","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Kauano, E","s.n.","2002","11","10",NA,"Brasil",NA,NA,NA,"HUCP00013914","Eudicotiledonea",NA,"Cham.","Paraná","Bugre, Chácara Payquere.","-49.6356010437012","-25.5839004516602",NA,NA,"Hatschbach, GG","Balsa Nova","HUCP00013914","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:25:23-03","PUCPR","HUCP","18813","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Cavalcanti, F; Pocá, GT","027",NA,NA,NA,NA,"Brasil",NA,NA,NA,"HUCP00013636","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.1988983154297","-25.9281005859375",NA,NA,"Selusniaki, M","Tijucas do Sul","HUCP00013636","25228","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-04 15:25:23-03","PUCPR","HUCP","20264","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Selusniaki, M","2482","2008","11","14",NA,"Brasil",NA,NA,NA,"HUCP00013624","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Selusniaki, M","Balsa Nova","HUCP00013624","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-04 15:25:23-03","PUCPR","HUCP","18784","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Nay.;","172","1991","02","07",NA,"Brasil",NA,NA,NA,"HUCP00013584","Eudicotiledonea",NA,"Cham.","Paraná","Rodovia BR 277, Ponte sobre o rio Tibagi.",NA,NA,NA,NA,"Selusniaki, M",NA,"HUCP00013584",NA,NA,"2008",NA,NA,NA,NA,NA,NA,NA
"16","2019-12-04 15:25:23-03","PUCPR","HUCP","22050","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Baccaro, M","162","2011","06","11",NA,"Brasil",NA,NA,NA,NA,"Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Baccaro, M","Balsa Nova",NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:25:23-03","PUCPR","HUCP","21337","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Baccaro, M","020","2010","05","09",NA,"Brasil",NA,NA,NA,"HUCP00013576","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Baccaro, M","Balsa Nova","HUCP00013576","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:25:23-03","PUCPR","HUCP","21149","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Selusniaki, M","2624","2009","03","23",NA,"Brasil",NA,NA,NA,"HUCP00013572","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Selusniaki, M","Balsa Nova","HUCP00013572","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-04 15:25:23-03","PUCPR","HUCP","18263","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Beltrami, L","098","2006",NA,NA,NA,"Brasil",NA,NA,NA,"HUCP00013966","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Beltrami, L","Balsa Nova","HUCP00013966","27346","auto","2007","12","20",NA,NA,NA,NA,NA
"20","2020-10-27 11:21:59-03","PUCPR","HUCP","25485","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Larocca, P; Felitto, G; B.K. Canestraro; E.D. Lozano","81","2013","03","09",NA,"Brasil",NA,NA,"Herbácea, 30 cm, flores rosas, estames amarelos. Afloramento rochoso.","HUCP00025485","Eudicotiledonea",NA,"Cham.","Paraná","Fazenda Pinheirinho","-50.4136009216309","-24.5093994140625",NA,NA,"Larocca, P; E. Barboza","Tibagi","HUCP00025485","56988","auto","2013",NA,NA,NA,NA,NA,NA,NA
"21","2020-10-27 11:21:59-03","PUCPR","HUCP","25385","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Larocca, P; Felitto, G; Canestraro B; Lozano, E","81","2013","03","09",NA,"Brasil",NA,NA,NA,NA,"Eudicotiledonea",NA,"Cham.","Paraná","Fazenda Pinheirinho, Afloramento rochoso.","-50.4136009216309","-24.5093994140625",NA,NA,"Barboza, E; Larocca, P","Tibagi",NA,"56988","auto","2013",NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:20:06-03","UFBA","ALCB","40415","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach, G; Barbosa, E; Deodato, F","67093","1997","10","15","Southern America","Brasil",NA,NA,"0,40 m. Flor rosada.; úmido, encosta de morro.","ALCB061700","Dicotyledon",NA,"Cham.","Paraná","Morro Cajuru","-49.7","-24.25",NA,NA,"Hatschbach, G","Jaguariaíva",NA,NA,NA,"1997",NA,NA,"-49.7","-24.25",NA,NA,NA
"23","2019-10-09 11:20:06-03","UFBA","ALCB","50046","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Ribas, OS","2813","1998","11","02","Southern America","Brasil",NA,NA,"ereta. Flor rosada.","ALCB061701","Dicotyledon",NA,"Cham.","Paraná","Fazenda Santa Rita","-49.933333","-24.516667",NA,NA,"Hatschbach, G","Piraí do Sul",NA,NA,NA,"1998",NA,NA,"-49.933333","-24.516667",NA,NA,NA
"24","2019-10-09 11:20:06-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Ribas, OS","2813","1998","11","02","Southern America","Brasil",NA,NA,"ereta. Flor rosada.",NA,"Dicotyledon",NA,"Cham.","Paraná","Fazenda Santa Rita","-49.933333","-24.516667",NA,NA,"Hatschbach, G","Piraí do Sul",NA,NA,NA,"1998",NA,NA,"-49.933333","-24.516667",NA,NA,NA
"25","2019-10-09 11:20:06-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach, G; Barbosa, E; Deodato, F","67093","1997","10","15","Southern America","Brasil",NA,NA,"0,40 m. Flor rosada.; úmido, encosta de morro.",NA,"Dicotyledon",NA,"Cham.","Paraná","Morro Cajuru","-49.7","-24.25",NA,NA,"Hatschbach, G","Jaguariaíva",NA,NA,NA,"1997",NA,NA,"-49.7","-24.25",NA,NA,NA
"26","2020-02-08 10:02:56-03","NBC","NL-BOTANY","L.2534460","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","australis","Lavoisiera australis","Brade AC",NA,"1951","04","21","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534460 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534460",NA,"Myrtales","Naudin",NA,"Proced. S. Paulo, Serra da Bocaina.",NA,NA,NA,NA,NA,NA,"NL-L2534460",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"27","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394809","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","australis","Lavoisiera australis","Brade AC",NA,"1951","04","21","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1394809",NA,"Myrtales","Naudin",NA,"Proced. S. Paulo, Serra da Bocaina.",NA,NA,NA,NA,NA,NA,"NL-U1394809",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"28","2020-02-08 10:02:56-03","NBC","NL-BOTANY","L.2534491","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach GG",NA,"1961","12","21","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534491 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534491",NA,"Myrtales","Cham.",NA,"Est. Parana (Brasil) Mun. Jaguariaiva, Estr. para Sertao Alto.",NA,NA,NA,NA,NA,NA,"NL-L2534491",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"29","2020-02-08 10:02:56-03","NBC","NL-BOTANY","L.2534492","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach GG",NA,"1960","02","23","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534492 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534492",NA,"Myrtales","Cham.",NA,"Est Parana (Brasil) Mun. Campo Largo, Serra S. Luis de Puruna.",NA,NA,NA,NA,NA,NA,"NL-L2534492",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"30","2020-02-08 10:02:56-03","NBC","NL-BOTANY","L.2534493","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534493 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534493",NA,"Myrtales","Cham.",NA,"Brasilia.",NA,NA,NA,NA,NA,NA,"NL-L2534493",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"31","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394759","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach GG; Joly M",NA,"1964","05","10","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1394759",NA,"Myrtales","Cham.",NA,"Parana, Palmeira, Rod. do Café, Rio Tibagi.",NA,NA,NA,NA,NA,NA,"NL-U1394759",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"32","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394760","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Rauscher I",NA,"1990","05","16","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1394760",NA,"Myrtales","Cham.",NA,"State Paraná, Prov. Ponta Grossa, Mun. Vila Velha, Parque Nacional de Vila Velha, ca. 800m s.m. Campo.","-50","-25.166667",NA,NA,NA,NA,"NL-U1394760",NA,NA,NA,NA,NA,"-50.0","-25.166667","Magnoliopsidae",NA,NA
"33","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394761","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach GG; Haas H",NA,"1966","03","02","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394761 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1394761",NA,"Myrtales","Cham.",NA,"Serra das Furnas (mun. Jaguariaiva)PR.",NA,NA,NA,NA,NA,NA,"NL-U1394761",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"34","2020-02-08 10:02:56-03","NBC","NL-BOTANY","WAG.1092936","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach GG",NA,"1976","11","18","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1092936 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1092936",NA,"Myrtales","Cham.",NA,"Joaquim Murtinho (mun. Pirai do Sul), Paraná.",NA,NA,NA,NA,NA,NA,"NL-WAG1092936",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"35","2020-02-08 10:02:56-03","NBC","NL-BOTANY","WAG.1092937","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach GG",NA,"1976","11","18","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1092937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1092937",NA,"Myrtales","Cham.",NA,"Joaquim Murtinho (mun. Pirai do Sul), Paraná.",NA,NA,NA,NA,NA,NA,"NL-WAG1092937",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"36","2020-02-08 10:02:56-03","NBC","NL-BOTANY","WAG.1092938","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Hatschbach GG",NA,"1979","01","18","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1092938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1092938",NA,"Myrtales","Cham.",NA,"Parque do Monge (mun. Lapa) Paraná.",NA,NA,NA,NA,NA,NA,"NL-WAG1092938",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"37","2020-02-08 10:02:56-03","NBC","NL-BOTANY","WAG.1092939","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Reitz R; Klein RM",NA,"1965","12","12","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1092939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1092939",NA,"Myrtales","Cham.",NA,"Paraná. Brasil. Rodovia do Café, Rio Tibagi, Ponta Grossa, Paraná. Campo úmido.",NA,NA,NA,NA,NA,NA,"NL-WAG1092939",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"38","2020-11-04 11:13:21-03","ESALQ","ESA","93049","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","australis","Lavoisiera australis","Kuhlmann, M.",NA,"1939","08","27",NA,"Brasil",NA,NA,NA,"ESA093049","Magnoliophyta",NA,"Naud.","Paraná",NA,NA,NA,NA,NA,"Gehrt, A.","Serra de São Luiz","ESA093049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:13:21-03","ESALQ","ESA","94594","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Torezan, J.M.; Arima, L.I.A.; Pimenta, J.A.; Resende, J.C.F.; Sifuentes, D.V.O.","702.0","1997","12","16",NA,"Brasil",NA,NA,"Sub-arbusto com 30cm. Flor rosea com interior esverddeado estames amarelos com anteras coral.","ESA094594","Magnoliophyta",NA,"Cham.","São Paulo","Fazenda Santa Maria do Espinho e Saco Grande. Campo, fenda na rocha","-491.535","-241.614",NA,NA,NA,"Bom Sucesso de Itararé","ESA094594",NA,NA,NA,NA,NA,"-491,535","-241,614",NA,NA,NA
"40","2020-11-04 11:13:21-03","ESALQ","ESA","13868","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Cordeiro, J.","684.0","1990","01","12",NA,"Brasil",NA,NA,NA,"ESA013868","Magnoliophyta",NA,NA,"Paraná",NA,"-49.5283012390137","-25.4585990905762",NA,NA,NA,"Campo Largo",NA,"53742","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:13:21-03","ESALQ","ESA","12476","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Souza, V.C. et al.","4740.0","1993","11","27",NA,"Brasil",NA,NA,NA,"ESA012476","Magnoliophyta",NA,"Cham.","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"Souza, V.C.","Itararé",NA,"27729","auto","1997","02","11",NA,NA,NA,NA,NA
"42","2020-11-04 11:13:21-03","ESALQ","ESA","50101","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Scaramuzza, C.A.M. et al.","1053.0","1993","04","23",NA,"Brasil",NA,NA,NA,"ESA050101","Magnoliophyta",NA,NA,"São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"Souza, V.C.","Itararé","ESA050101","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:13:21-03","ESALQ","ESA","50152","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Scaramuzza, C.A.M. et al.","1055.0","1993","04","23",NA,"Brasil",NA,NA,NA,"ESA050152","Magnoliophyta",NA,NA,"São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"Souza, V.C.","Itararé","ESA050152","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:13:21-03","ESALQ","ESA","17092","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Souza, V.C. et al.","3876.0","1993","05","22",NA,"Brasil",NA,NA,NA,"ESA017092","Magnoliophyta",NA,NA,"São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"Itararé",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:13:21-03","ESALQ","ESA","21050","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Souza, V.C. et al.","7203.0","1994","11","13",NA,"Brasil",NA,NA,NA,"ESA021050","Magnoliophyta",NA,NA,"São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"Itararé",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-04 11:13:21-03","ESALQ","ESA","8896","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Scaramuzza, C.A.M. ; Deur, M.","616.0",NA,NA,NA,NA,"Brasil",NA,NA,NA,"ESA008896","Magnoliophyta",NA,NA,"São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"Itararé",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-11-04 11:13:21-03","ESALQ","ESA","26574","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Barreto, K.D.; Fernandes, G.D.; Gouveia, J.","2896.0","1994","08","16",NA,"Brasil",NA,NA,"Arbusto; frutos castanhos.","ESA026574","Magnoliophyta",NA,"Cham.","São Paulo","Estação Experimental do IAC.","-49.3400001525879","-24.1100006103516",NA,NA,"Scaramuzza, C.A.M.","Itararé","ESA026574","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-11-04 11:13:21-03","ESALQ","ESA","37343","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Torezan, J.M. et al.","702.0","1997","12","16",NA,"Brasil",NA,NA,NA,"ESA037343","Magnoliophyta",NA,NA,"São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"Itararé",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-11-04 11:13:21-03","ESALQ","ESA","12713","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Souza, V.C. et al.","4815.0","1993","11","26",NA,"Brasil",NA,NA,NA,"ESA012713","Magnoliophyta",NA,"Cham.","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"Scaramuzza, C.A.M.","Itararé",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-11-04 11:13:21-03","ESALQ","ESA","17094","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Souza, V.C. et al.","3842.0","1993","05","22",NA,"Brasil",NA,NA,NA,"ESA017094","Magnoliophyta",NA,NA,"São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"Itararé",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"51","2020-11-04 11:13:21-03","ESALQ","ESA","17093","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Souza, V.C. et al.","3875.0","1993","05","22",NA,"Brasil",NA,NA,NA,"ESA017093","Magnoliophyta",NA,NA,"São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"Itararé",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
