"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount"
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0005466","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"G. Hatschbach; M. Hatschbach, E. Barbosa","67198","1997","11","17",NA,"Brazil","Minas Gerais",NA,"Serra do Cabral (Mun. Joaquim Felicio).","-44.2","-17.8",NA,NA,NA,"Apoiante, capitulo amarelo.",NA,NA,NA,NA,"J. Pruski",NA,NA,NA,NA,NA,NA,NA
"12","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0005465","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"G. Hatschbach; M. Hatschbach, E. Barbosa","66254","1977","3","14",NA,"Brazil","Minas Gerais",NA,"Serra do Cabral, Corrego Embaiassaia (Mun. Joaquim Felicio).","-44.2","-17.8",NA,NA,NA,"Sublenhosa, 50 cm, ramosa, capitulo amarelo.",NA,NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:31:14-03","UFJF","CESJ","39500","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"G. Hatschbach; et al.","64713","1996","04","14","América do Sul","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral (subida)","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Subarbusto, 70 cm, capítulo amarelo. Campo rupestre. Alt: 900 m.","CESJ039500","CESJ039500",NA,NA,"H.Robison","2001",NA,NA,"37503","auto",NA,NA
"14","2021-03-01 16:23:04-03","UNICAMP","UEC","106743","S","Plantae","Magnoliopsida",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Forzza, RC; Pirani, JR; Marcato, AC; Meguro, M; Rapini, A","576","1998","01","11",NA,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.316667","-17.701111",NA,NA,NA,"arbusto em solo arenoso, cerca de 1,5m alt. Capítulos amarelos","UEC102648","UEC102648","-44.316667","-17.701111","Magenta, MAG","1998","03",NA,NA,NA,NA,NA
"15","2021-03-01 16:23:04-03","UNICAMP","UEC","134892","S","Plantae","Magnoliopsida",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Souza, VC; Souza, JP; Romão, GO; Araújo, AO","25613","2001","07","10",NA,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral. Estrada Joaquim Felício - Várzea da Palma, ca. 26 km de Joaquim Felício","-44.315833","-17.699444","1080","1080",NA,"Arbusto, ca. 1,2m alt; flores amarelas; Afloramento rochoso com campo arenoso e mata ciliar (buritizal) adjacente","UEC126806","UEC126806","-44.315833","-17.699444","Bueno, VR","2016","12",NA,NA,NA,NA,NA
"16","2021-03-01 16:23:04-03","UNICAMP","UEC","112467","S","Plantae","Magnoliopsida",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Souza, VC; Souza, JP; Elias, SI; Forster, W; Oliveira, ACP","22498","1999","05","16",NA,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.191944","-17.708056",NA,NA,NA,"Arbusto, ca. 1m alt.; flores amarelas; Campo arenoso com cerrado e afloramentos rochosos adjacentes","UEC102982","UEC102982","-44.191944","-17.708056","Bueno, VR","2016","12",NA,NA,NA,NA,NA
"17","2021-03-01 16:23:04-03","UNICAMP","UEC","118976","S","Plantae","Magnoliopsida",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Moraes, MD; Alvarenga, D","639","2001","04","10",NA,"Brazil","Goiás",NA,"ca. 1,5km da saída da cidade de Nova Roma em direção a Ibalsa, encosta de morro, Cerradão",NA,NA,NA,NA,NA,"arbusto 1,8m","UEC102646","UEC102646",NA,NA,"Magenta, M","2003","11",NA,NA,NA,NA,NA
"18","2021-03-01 16:23:04-03","UNICAMP","UEC","134897","S","Plantae","Magnoliopsida",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Souza, VC; Souza, JP; Romão, GO; Araújo, AO","25544","2001","07","09",NA,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral. Estrada Joaquim Felício- Várzea da Palma, ca. 12km de Joaquim Felício","-44.198333","-17.69","1050","1050",NA,"Arbusto, ca. 1.2m alt.; capítulos amarelos; Afloramento rochoso com campo alagável adjacente; local da planta alagável","UEC119618",NA,"-44.198333","-17.69","Bueno, VR","2016","12",NA,NA,NA,NA,NA
"19","2021-03-01 16:23:04-03","UNICAMP","UEC","177708","S","Plantae","Magnoliopsida",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Souza-Buturi, FO; Guedes, JS; Martins, SE","348","2010","06","22",NA,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, próximo à estrada junto a rocha","-44.268806","-17.698056","1137","1137",NA,"Erva, ca. 60 cm alt; Brácteas involucrais verdes, ápice escuro, flores amareladas, anteras negras; Cerrado","UEC128975","UEC128975","-44.268806","-17.698056","Bueno, VR","2016","12",NA,NA,NA,NA,NA
"20","2021-03-01 16:23:04-03","UNICAMP","UEC","181792","S","Plantae","Magnoliopsida",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Scatigna, AV; Guarçoni, EAE","365","2012","12","07",NA,"Brazil","Minas Gerais","Joaquim Felício","Parque Estadual da Serra do Cabral. Córrego da Água Fria.","-45.802778","-18.308333",NA,NA,NA,"Subarbusto ca. 0,4-1m. Flores amarelas.; Cerrado antropizado.","UEC085263","UEC085263","-45.802778","-18.308333","Bueno, VR","2016","12",NA,NA,NA,NA,NA
"21","2021-03-01 16:23:04-03","UNICAMP","UEC","2379","S","Plantae","Magnoliopsida",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Davis, PH; Gibbs, PE; Kinoshita, LS; Semir, J; Andrade, JB","2375","1976","07","28",NA,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Capíulos amarelos, flores amarelo-claro","UEC102649","UEC102649",NA,NA,"Santos, JUM","1991","10","24","37503","auto",NA,NA
"22","2020-12-21 16:14:07-03","MBM","MBM","272469","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","73607","2002","08","19","Southern America","Brazil","Minas Gerais","Buenópolis",NA,"-44.1800003051758","-17.8733005523682",NA,NA,NA,"Sublenhosa, 50 cm, capítulo amarelo.; Campo rupestre. Solo arenoso.","MBM272469","MBM272469",NA,NA,"Robinson, H.","2003","03",NA,"42854","auto",NA,NA
"23","2020-12-21 16:14:07-03","MBM","MBM","357957","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Sartori, M.A.","18","2004","05","15","Southern America","Brazil","Minas Gerais","Buritizeiro","Chapada dos Gerais","-44.9622001647949","-17.3511009216309",NA,NA,NA,"Herbácea, capítulos amarelos.; Afloramentos rochosos.","MBM357957","MBM357957",NA,NA,"Barboza, E.","2010",NA,NA,"88041","auto",NA,NA
"24","2020-12-21 16:14:07-03","MBM","MBM","221974","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","67528","1998","03","08","Southern America","Brazil","Minas Gerais","Buritizeiro","Chapada dos Gerais","-44.9622001647949","-17.3511009216309",NA,NA,NA,"Sublenhosa, 1 m, capítulo amarelo.; Cerrado.","MBM221974","MBM221974",NA,NA,"Robinson, H.","2002",NA,NA,"88041","auto",NA,NA
"25","2020-12-21 16:14:07-03","MBM","MBM","187553","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","64280","1996","01","17","Southern America","Brazil","Minas Gerais","Joaquim Felício",NA,"-44.1721992492676","-17.7574996948242",NA,NA,NA,"Sublenhosa, ramosa, 1 m, capítulos amarelos.; Campo rupestre, solo arenoso.","MBM187553","MBM187553",NA,NA,"Pruski, J.","1997",NA,NA,"37503","auto",NA,NA
"26","2020-12-21 16:14:07-03","MBM","MBM","192052","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Schinini, A.; Silva, J.M.; Schinini, A.; Silva, J.M.","64713","1996","04","14","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242","900","900",NA,"Subarbusto, 70 cm, capítulo amarelo.; Campo rupestre.","MBM192052","MBM192052",NA,NA,"Bueno, V.R.","2016","07","05","37503","auto",NA,NA
"27","2020-12-21 16:14:07-03","MBM","MBM","205628","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","66254","1997","03","14","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Sublenhosa, 50 cm, ramosa, capítulo amarelo.; Campo rupestre, solo arenoso.","MBM205628","MBM205628",NA,NA,"Robinson, H.","2002",NA,NA,"37503","auto",NA,NA
"28","2020-12-21 16:14:07-03","MBM","MBM","218011","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","67198","1997","11","17","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Apoiante, capítulo amarelo.; Campo rupestre.","MBM218011","MBM218011",NA,NA,"Pruski, J.","1999",NA,NA,"37503","auto",NA,NA
"29","2020-12-21 16:14:07-03","MBM","MBM","242482","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Spichiger, R.; Cervi, A.C.; Barboza, E.; Spichiger, R.; Cervi, A.C.; Barboza, E.","69471","1999","10","21","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242","900","1100",NA,"Sublenhosa, 70 cm, capítulo amarelo.; Campo rupestre. Solo arenoso.","MBM242482","MBM242482",NA,NA,"Nakajima, J.N.","2009","09",NA,"37503","auto",NA,NA
"30","2020-12-21 16:14:07-03","MBM","MBM","258441","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","72062","2001","05","05","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242","950","1000",NA,"Arbusto, 1 m, flor amarela.; Campo rupestre, solo arenoso.","MBM258441","MBM258441",NA,NA,"Robinson, H.","2001",NA,NA,"37503","auto",NA,NA
"31","2020-12-21 16:14:07-03","MBM","MBM","308650","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Barboza, E.; Barboza, E.","79380","2005","09","20","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ereta 50cm, capítulo amarelo.; Campo rupestre; solo arenoso junto a rochas.","MBM308650",NA,NA,NA,"Nakajima, J.","2019","07",NA,"37503","auto",NA,NA
"32","2020-12-21 16:14:07-03","MBM","MBM","299998","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","66254","1997","03","14","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Córrego Embaiassaia.","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Sublenhosa, 50 cm, ramosa, capitulo amarelo.; Campo rupestre, solo arenoso.","MBM299998","MBM299998",NA,NA,"Robinson, H.","2002",NA,NA,"37503","auto",NA,NA
"33","2020-12-21 16:14:07-03","MBM","MBM","295304","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","77456","2004","06","06","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Entre Rio Embaiassaia e o Rio Preto.","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ereta, 35 cm, capítulo amarelo.; Campo rupestre, solo arenoso.","MBM295304","MBM295304",NA,NA,"Bueno, V.R.","2016","07","05","37503","auto",NA,NA
"34","2020-12-21 16:14:07-03","MBM","MBM","295302","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","77496","2004","06","07","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Entre Rio Embaiassaia e o Rio Preto.","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ereta, ramosa, 70 cm, capítulo amarelo.; Campo rupestre, depressão arenosa.","MBM295302","MBM295302",NA,NA,"Bueno, V.R.","2016","07","05","37503","auto",NA,NA
"35","2020-10-01 14:15:14-03","JBB","HEPH","31572","S","Plantae","Dicotyledon","Asterales","Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Antunes, EC; Antunes, LL","10","2012","03","17","Southern America","Brasil","Mato Grosso","Comodoro",NA,"-42.353889","-13.740278",NA,NA,NA,NA,NA,NA,"-42.353889","-13.740278","Paiva, VF","2016","02","11",NA,NA,NA,NA
"36","2021-04-07 14:12:27-03","JBB","HEPH","19108","S","Plantae","Dicotyledon","Asterales","Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hatschbach, G","67528","1998","03","08","Southern America","Brasil","Minas Gerais",NA,"BR 365 Chapada dos Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robinson, HE","2002",NA,NA,NA,NA,NA,NA
"37","2021-04-07 14:12:27-03","JBB","HEPH","17836","S","Plantae","Dicotyledon","Asterales","Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hatschbach, G","72251","2001","05","20","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral Agroindustrial Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,NA,NA,NA,NA,"Robinson, HE",NA,NA,NA,"37503","auto",NA,NA
"38","2020-12-11 11:32:16-03","UFMG","BHCB","115044","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Teles, AM; Viana, PL","508","2007","11","15","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral. Cachoeira Boqueirão do Inferno., Após portaria da SCAI.","-44.365278","-17.734444",NA,NA,NA,"Plantas do Brasil. Campo arenoso, próximo à margem da cachoeira. Subarbusto ca. 1m. Capítulos radiados com flores amarelas.",NA,NA,"-44.365278","-17.734444",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:32:16-03","UFMG","BHCB","134346","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hattori, EKO; Batista, JAN","1064","2009","11","04","Southern America","Brasil","Minas Gerais","Buenópolis","Parque Estadual da Serra do Cabral","-44.266222","-17.922667","1139","1139",NA,"Subarbusto, ca. 60 cm, brácteas involucrais verde-claros, ápice escuro, corola amarela, estames nigrescentes.; Cerrado com afloramentos rochosos.","BHCB036601",NA,"-44.266222","-17.922667",NA,"2016","05","19",NA,NA,NA,NA
"40","2020-12-11 11:32:16-03","UFMG","BHCB","199210","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Loeuille, BFP; Borges, LM; Watanabe, MTC","620","2012","04","26","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estrada Joaquim Felício-Várzea e Palma, 7-8,7 km de Joaquim Felício.","-44.192194","-17.708361","1023","1023",NA,"Erva até 30 cm. Flores amarelas, anteras pretas.; Campo limpo.","BHCB199210",NA,"-44.192194","-17.708361",NA,"2014",NA,NA,NA,NA,NA,NA
"41","2020-12-11 11:32:16-03","UFMG","BHCB","52917","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","67198","1997","11","17","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Campo rupestre. Apoiante. Capítulo amarelo.",NA,NA,NA,NA,NA,NA,NA,NA,"37503","auto",NA,NA
"42","2020-12-11 11:32:16-03","UFMG","BHCB","48321","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.","Topotypus","Hatschbach, G; Hatschbach, M; Silva, JM","64280","1996","01","17","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Sublenhosa, ramosa, 1m, capítulos amarelos.; Campo rupestre, solo arenoso.","BHCB000041","BHCB000041",NA,NA,NA,"1997",NA,NA,"37503","auto",NA,NA
"43","2020-12-11 11:32:16-03","UFMG","BHCB","71208","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","72251","2001","05","20","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral. Agroindustrial Serra do Cabral.","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ereta, 1m. Capítulo amarelo.; Campo rupestre, afloramentos rochosos.","BHCB036637",NA,NA,NA,NA,"2018","01",NA,"37503","auto",NA,NA
"44","2021-02-11 17:17:59-03","UFPR","UPCB","45161","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Robinson",NA,"Hatschbach, G.","72251","2001","05","20",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, Agroindustrial Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ereta 1m, capítulo amarelo. Campo rupestre, afloramentos rochosos..",NA,NA,NA,NA,"Robinson, H.","2001","01","01","37503","auto",NA,NA
"45","2020-08-31 08:52:46-03","INPA","INPA","200509","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hatschbach, GG","67198","1997","11","17","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral.","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"INPA0200509","INPA0200509 INPA0200509_e",NA,NA,"Pruski, JF","1999",NA,NA,"37503","auto",NA,NA
"46","2020-09-12 05:00:02-03","US","US","3429522","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","67528","1998","3","8","South America - Neotropics","Brazil","Minas Gerais",NA,"Rod. BR-365, Chapada dos Gereis (Mun Buritizeiro), cap' [itulo amarelo, Cerrado",NA,NA,NA,NA,NA,NA,"US01765451","US01765451_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
